track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
On,4auxa3dOFI2A9NXoLlKt1c,1991,Odyssey,0.187,0.252,5,-8.697,1,0.0419,0.013,0.507,0.472,0.58,131.975
Odyssey,50p5HLJgHhbIZX1n0WD7N2,1991,Odyssey,0.459,0.91,5,-3.508,0,0.0478,0.0013,0.896,0.149,0.312,173.953
Reloaded,2K8RNtp5JXglnBvkeCgaMN,1991,Odyssey,0.145,0.972,7,-3.193,1,0.128,0.000372,0.21,0.144,0.554,63.996
Out Of My Head,6Q2tJt4oYeC6bbytXc5Z0R,1991,Odyssey,0.473,0.947,5,-4.849,1,0.0772,0.00623,0.788,0.258,0.331,173.998
Nothing Left To Lose,2UFTFZoIZg9WMspos6xiX9,1991,Odyssey,0.275,0.973,0,-4.189,1,0.0672,3.09e-05,0.75,0.32,0.137,115.089
Life,0MV76YxNap0OX3ckIdjEfG,1991,Odyssey,0.663,0.97,5,-3.751,0,0.227,0.00529,0.000761,0.0682,0.704,134.958
We All Need Someone,3jme342uNmMsNth7nnlcUz,1991,Odyssey,0.205,0.943,10,-3.398,1,0.36,0.00743,0.284,0.106,0.077,174.031
Thinking About You,6fgoINGtejzQTLzNgUxP4q,1991,Odyssey,0.364,0.978,1,-2.769,1,0.0822,0.115,0.84,0.243,0.267,115.105
Eternity,1PPVo8S89l8EgE8M9pieb9,1991,Odyssey,0.463,0.99,1,-1.555,1,0.0565,0.00739,0.303,0.214,0.527,173.994
Who Hurt You,33ZGHwQZcUeEwOnHizJIRE,1991,Odyssey,0.519,0.987,5,-1.229,0,0.0446,0.0238,0.896,0.146,0.482,125.032
Feels,77TeWpTVoU66DDYy6u0LgP,1991,Odyssey,0.465,0.9,5,-4.042,1,0.0348,0.000196,0.000304,0.197,0.0978,173.896
When The Sun Goes Down,3a7wKXGqjO2MMhx2RI7srT,1991,Odyssey,0.384,0.956,7,-2.263,1,0.0637,0.00222,0.439,0.116,0.14,174.008
If Only,1QMBCgCTDh6N6Gz6FqtHcU,1991,If Only,0.421,0.984,6,-0.071,1,0.0454,0.0158,0.48,0.0895,0.431,173.916
Hijack,0GHfI7rdYSibiQTR8D1lTl,1991,Hijack,0.656,0.99,0,-0.592,1,0.125,0.00455,0.192,0.0534,0.704,173.98
Jungle - Colin Hennerz Remix,0sWEVPXiFdTI7QuR4e1vvX,1991,Jungle (Colin Hennerz Remix),0.541,0.903,8,-3.382,1,0.107,0.003,0.0366,0.152,0.463,173.941
Jungle,4KhTM4qP0ksi0vZy2y4bmO,1991,Jungle (Colin Hennerz Remix),0.471,0.956,8,-2.81,1,0.0822,0.000806,0.00722,0.385,0.0826,174.016
Pump (1991 Remix),2P9gcR3x8u0QzRAxybo4up,1991,Pump (1991 Remix),0.53,0.996,8,-2.472,0,0.136,0.0305,0.442,0.0511,0.265,174.013
Pump,3B6DV6q0oaQRpTopuQJDe9,1991,Pump (1991 Remix),0.604,0.987,9,-5.666,1,0.0496,0.0229,0.717,0.574,0.549,127.982
Cyclone - Rova Remix,7gBKXLZvtXcXIFiIwaagVj,1991,Cyclone (Rova Remix),0.551,0.934,11,-0.248,0,0.0763,0.00025,0.124,0.351,0.172,175.971
Cyclone,1RdenvS1ar59aVeHBeRnQK,1991,Cyclone (Rova Remix),0.504,0.901,0,-1.395,1,0.0896,0.0119,0.0921,0.102,0.155,173.886
Mind Still (feat. blythe) - 1991 Remix,3lrrdKzUlvwglG1P350p6E,1991,Mind Still (feat. blythe) [1991 Remix],0.575,0.971,4,-0.982,0,0.0943,0.145,0.000111,0.1,0.137,173.917
Mind Still (feat. blythe),0RNFFdh2bliQNMFv0k0opp,1991,Mind Still (feat. blythe) [1991 Remix],0.674,0.723,4,-6.678,0,0.0362,0.0482,0.0164,0.195,0.292,134.943
Mind Still (feat. blythe) - Oppidan Remix,5cVqEg41tjRyOKnr3DEqaq,1991,Mind Still (feat. blythe) [1991 Remix],0.717,0.644,1,-6.428,0,0.209,0.453,0.428,0.103,0.361,134.85
Mind Still (feat. blythe) - Tita Lau Remix,2D2g1PAjk80U64oHK1WmDx,1991,Mind Still (feat. blythe) [1991 Remix],0.738,0.912,7,-5.521,1,0.0406,0.00611,0.704,0.0998,0.64,129.982
Worlds Apart,0JB79gWfMZobRvTxOFbF6C,1991,Cyclone,0.632,0.913,7,-0.269,0,0.0669,0.0639,0.0121,0.0977,0.471,174.017
Horizon,3K5pNT1vPamjWAFbhIQKjF,1991,Cyclone,0.455,0.973,10,-2.08,0,0.0999,0.00951,0.0512,0.359,0.174,174.169
Worlds Apart - Tom Santa Remix,4eBaOVlQ2wS2Efkw8HLzDl,1991,Worlds Apart (Tom Santa Remix),0.727,0.854,9,-5.95,0,0.0556,0.00461,0.159,0.029,0.621,143.035
Perfect (Exceeder) - 1991 Remix,1VKWQgq0g2uKtgNfL0ceNM,1991,Perfect (Exceeder) [1991 Remix],0.689,0.903,1,-0.925,1,0.103,0.0118,0.691,0.0367,0.271,174.113
Perfect (Exceeder),082SdPhw4QP3JkdmLQX20R,1991,Perfect (Exceeder) [1991 Remix],0.637,0.862,6,-6.597,1,0.0588,0.00449,0.169,0.39,0.669,127.922
Firebreak - 1991 Remix,5WYJ3VWw7BewsMvG92M7gQ,1991,Firebreak (1991 Remix),0.607,0.98,1,-1.73,1,0.0903,0.000298,0.487,0.649,0.63,173.974
Firebreak - Edit,7CIew3HdIB1cfbz3aRxfUV,1991,Firebreak (1991 Remix),0.72,0.984,1,-3.624,1,0.0395,0.0279,0.707,0.534,0.713,129.948
Firebreak,5foZ0Dwq3NQHzAV7cmqrRS,1991,Firebreak (1991 Remix),0.705,0.968,1,-3.601,1,0.0354,0.00365,0.75,0.0183,0.644,129.986
Feel It - 1991 Remix,3oNHb6pdcPr6vj5iy2S9o1,1991,Feel It (1991 Remix),0.558,0.998,10,-1.915,0,0.0639,0.000843,0.451,0.0512,0.391,173.957
Feel It - 1991 Extended Remix,4gkZbyxegcVQB9GfakBhvi,1991,Feel It (1991 Remix),0.573,0.995,1,-2.095,1,0.065,0.000351,0.627,0.0839,0.418,173.982
Chant,65SsbtgsqPYv1p4Rq93fC9,1991,Chant,0.507,0.976,0,0.774,1,0.0644,0.0215,0.23,0.154,0.209,174.046
Tell Me Why - 1991 Remix,6tGtFeIO3yYuVvNLAdHU0A,1991,Tell Me Why (1991 Remix),0.464,0.932,10,-1.755,1,0.0552,0.00327,0.94,0.295,0.152,174.052
Where’s Your Head At - 1991 Remix,6aJRtWjtwXuLzXeLnrtVbc,1991,Where’s Your Head At (1991 Remix),0.385,0.975,0,0.206,1,0.0904,0.000145,0.0316,0.431,0.38,173.988
Power,3KK6KP4JsFL9ZxgdmLhuJz,1991,Power,0.465,0.909,5,-1.219,0,0.0369,0.00123,0.0689,0.0274,0.133,173.981
Pleasure,4Vc6yOPGFYEq6bmaR8zYtS,1991,Pleasure,0.431,0.959,5,0.027,0,0.0609,0.00105,0.848,0.175,0.37,174.037
The People,08T8SO6IjGchrle7vgVgPq,1991,The People,0.572,0.971,10,-1.865,0,0.0423,0.0133,0.822,0.084,0.399,154.958
The People (D&B Mix),1Q7bmWr70H12ScX4e3SPTI,1991,The People,0.526,0.943,10,-1.03,0,0.0557,0.000417,0.886,0.0358,0.465,173.846
Full Send,45qaAaQolmwfPj3mU7sOk8,1991,Full Send [UKF10],0.516,0.955,5,-0.846,0,0.0296,0.0336,0.0876,0.114,0.489,173.947
Kings & Queens,18aRwwmT2UzCtXCyxTOraG,1991,Kings & Queens,0.621,0.912,1,1.089,1,0.0671,0.0395,0.419,0.109,0.599,173.946
Midnight,5CNH1fectMnNkRmq6hMmIN,1991,Midnight,0.58,0.839,0,-4.371,1,0.0372,0.00873,0.666,0.103,0.276,174.019
Illusions,41UGzCvYwG2SB8BSKdDqMN,1991,Illusions,0.222,0.897,8,-2.706,1,0.0539,0.00118,0.793,0.157,0.273,174.038
Guiding Light,5xe0f0WIrjToj8H2RpUYba,1991,Guiding Light,0.497,0.889,6,-3.118,0,0.0389,0.00279,0.234,0.101,0.226,174.007
The Epiphany,68BEPDhGTHie1TwAg6Fzla,1991,The Epiphany,0.342,0.773,2,-5.061,1,0.0442,0.00138,0.00514,0.401,0.14,173.965
Dun Kno,7DOa95EztWk54t8JFUso5B,1991,Dun Kno,0.487,0.922,5,-5.259,1,0.0924,0.00196,0.838,0.754,0.449,173.999
Mayk Yu Myne?,507p7KZRdSov5HO50jS4k2,1991,Mayk Yu Myne?,0.561,0.709,5,-6.086,0,0.0382,0.000398,0.514,0.245,0.17,173.936
Violet Horizons,4mfHfIMdN7TFJtBVPLX033,1991,Lunar EP,0.473,0.87,11,-4.246,1,0.0589,0.000802,0.0466,0.36,0.499,149.97
You May Find Yourself,4c1LLFxc737jsPViHMzOoi,1991,Lunar EP,0.41,0.903,9,-4.538,0,0.0503,0.00038,0.655,0.312,0.117,173.972
Kabuki,4BUKc0gLe4iyDbmsrrqTN6,1991,Lunar EP,0.615,0.971,0,-4.278,1,0.106,0.000843,0.855,0.075,0.773,173.998
VHS,6BM9S0BAFTubl7OBSX82Dw,1991,Lunar EP,0.664,0.949,6,-5.027,0,0.0607,4.1e-05,0.922,0.136,0.391,174.025
Violet Horizons - Instrumental,6CW7AXyV9kgGmxik3W8sKp,1991,Lunar EP,0.461,0.886,11,-4.991,1,0.079,0.000318,0.847,0.359,0.44,149.943
Heartstrings,66GsgI6HzP2DFjdK951j3p,1991,Heartstrings / Pornography,0.185,0.789,5,-5.517,0,0.063,0.000331,0.0168,0.359,0.153,175.14
