track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Mystery (Tale Of Us & Mathame Remix),5PmtkO6wsY7Xj2cMm8c9dY,Adriatique,Nude Remixes,0.728,0.58,5,-9.778,0,0.0525,0.017,0.67,0.0654,0.0367,124.003
Nude (Solomun Remix),70xXqsvRZ8bACpEa7Yo55K,Adriatique,Nude Remixes,0.755,0.734,10,-5.699,0,0.0412,0.000204,0.865,0.102,0.275,124.988
Tachykardia (Kobosil Remix),6r3Ssd4A8ExcWgicC2xK94,Adriatique,Nude Remixes,0.756,0.756,7,-6.855,1,0.0723,0.00103,0.903,0.112,0.0382,124.997
Nude (Rampa Remix),4P9nuAmLHjP3Mb9TdJCU0y,Adriatique,Nude Remixes,0.607,0.706,1,-9.63,0,0.0374,0.00147,0.659,0.109,0.261,123.02
Buchla’s Dreaming (Agents Of Time Remix),45JR0Nv9hmlHdua2QVTSLt,Adriatique,Nude Remixes,0.703,0.716,4,-10.184,0,0.0337,0.072,0.739,0.109,0.198,126.006
Ray (Johannes Brecht Remix),4RQH2GxuqlNVfAeZJQbuBv,Adriatique,Nude Remixes,0.719,0.788,0,-8.643,1,0.0669,0.0626,0.919,0.107,0.195,123.019
Mystery (Isolée Remix),2RpqEkyQDEbX2Osx6zkgI3,Adriatique,Nude Remixes,0.86,0.546,5,-13.852,0,0.0647,0.0106,0.696,0.0537,0.623,121.009
Dawning,4Yu8EFZRofefzPYHV5NTRQ,Adriatique,Nude,0.598,0.362,8,-10.715,0,0.0374,0.484,0.855,0.125,0.0895,119.963
Awakening Machines,1ZE60MEzUCwhHEL032hYaL,Adriatique,Nude,0.632,0.88,8,-9.645,1,0.0436,0.000703,0.853,0.115,0.363,126.656
Random Notes Orchestra,7tutIZ5WoAK30X9U9xhglj,Adriatique,Nude,0.714,0.729,4,-10.061,0,0.0485,0.00309,0.899,0.0801,0.0499,121.996
Nude,4Q7ErNwVYqkWTH3zLnIRTQ,Adriatique,Nude,0.597,0.534,3,-8.626,0,0.0307,0.0303,0.0885,0.456,0.235,136.477
Panchromatic,50Ztf3l3WTrkrhqzLNAkd9,Adriatique,Nude,0.673,0.872,11,-8.372,0,0.0376,0.000257,0.805,0.0973,0.0676,120.0
Tachykardia,2iHk0OOYv1YWuitrGqf7LX,Adriatique,Nude,0.23,0.642,5,-8.999,0,0.0415,0.217,0.823,0.1,0.055,179.97
Point Of No Return,5z3bKbXo8jr5cQWoQ4iIkC,Adriatique,Nude,0.529,0.774,5,-9.208,0,0.038,0.00999,0.908,0.311,0.0298,116.02
Buchla’s Dreaming,31IM649zoTAXAozx4nYgB4,Adriatique,Nude,0.661,0.658,0,-10.123,1,0.0366,0.0513,0.745,0.0955,0.0947,122.991
Studies In Dance Theory,1PcOsTjXXYXmiMiQ3oZ8wd,Adriatique,Nude,0.73,0.676,2,-8.169,1,0.0525,0.0581,0.895,0.104,0.328,122.999
Mystery,5EyN9jHSGSwJxlWDvTYteT,Adriatique,Nude,0.527,0.514,7,-8.257,0,0.0299,0.224,0.0494,0.0926,0.0369,103.056
Ultraschall,6ZOgM06Oj68CcaEftaaCGx,Adriatique,Nude,0.561,0.738,4,-10.38,0,0.0413,0.394,0.927,0.0947,0.139,152.589
Ray (Reincarnation),4jnrhgeyAc0vz76cwEx6Ig,Adriatique,Nude,0.64,0.534,9,-11.445,0,0.0325,0.157,0.777,0.252,0.327,123.009
Golden Bird,3JUieUKeMyvSeSdeD9PXNU,Adriatique,Nude,0.716,0.509,1,-12.597,1,0.0479,0.0207,0.772,0.0917,0.0677,121.972
Never Alone,4J1QJwbFiinUpUvsXdagBh,Adriatique,Never Alone,0.698,0.92,5,-6.252,0,0.0433,0.0229,0.356,0.31,0.185,126.018
RACER,7IqrsY0SHIDdWgIJMIUzpZ,Adriatique,RACER,0.663,0.989,0,-6.115,1,0.0417,0.000598,0.847,0.117,0.068,125.001
In the Moment - Adriatique Remix,6YmTRcr74slEya3cvMsR6y,Adriatique,In the Moment (Adriatique Remix),0.594,0.864,10,-5.236,0,0.0341,0.00816,0.681,0.136,0.198,123.988
Back To Life,1FA0Adwe8FnRNpja1KYyT5,Adriatique,Back To Life,0.718,0.765,11,-8.026,1,0.0341,0.165,0.265,0.31,0.512,120.027
Like A Dream,5BfmbGA0K89froxm1kNBF1,Adriatique,Like A Dream,0.539,0.942,10,-5.732,0,0.0388,0.000438,0.541,0.0643,0.14,123.029
Changing Colors,04UuPln30oxyJeoufFB1cg,Adriatique,Changing Colors,0.61,0.876,4,-7.381,0,0.0413,0.00218,0.608,0.33,0.0655,121.998
The Echo,0LaJAP7IkBKdGZwpnIOjIf,Adriatique,The Echo,0.587,0.836,5,-6.858,0,0.0326,0.00115,0.446,0.136,0.118,122.995
Horizon,2P6RQguS7aEMz5wfJupyzQ,Adriatique,Horizon,0.712,0.73,11,-7.749,0,0.0386,0.0152,0.926,0.106,0.124,123.997
Vera,4XAvYkbflV8cmZdqynMM60,Adriatique,Horizon,0.802,0.472,5,-8.747,1,0.051,0.0189,0.868,0.111,0.164,124.008
The Future Is Unknown,4CvvIoMzXxXTzvGPT9nBNO,Adriatique,The Future Is Unknown,0.778,0.773,1,-8.414,1,0.0545,0.000452,0.853,0.104,0.345,125.016
Miracle - RÜFÜS DU SOL Remix,2yTjbIZDwHO41HIwDNPB8K,Adriatique,Miracle - RÜFÜS DU SOL Remix,0.619,0.882,7,-7.489,0,0.0364,0.000851,0.82,0.11,0.225,122.996
Miracle,18MrJWu7WMwxCl56ogcm7V,Adriatique,Miracle - RÜFÜS DU SOL Remix,0.553,0.745,5,-7.064,1,0.032,0.0542,0.432,0.168,0.0664,123.003
With You,79uf4T9oqDNjPKd8eCKtha,Adriatique,With You,0.646,0.866,2,-8.802,1,0.0409,0.108,0.455,0.0979,0.0374,120.981
Desire,4RK3K3tMjzyLbszKzqyAsi,Adriatique,Desire,0.566,0.822,8,-7.375,0,0.0281,0.00527,0.0585,0.0797,0.431,119.993
I Need You - Adriatique Remix,4RfOBweHWhbKwFDqIsuxdY,Adriatique,I Need You (Adriatique Remix),0.621,0.793,9,-7.269,0,0.0349,0.00754,0.432,0.414,0.0699,125.016
I Need You,0VtLAGi8Aj3Ghu2FAbw78h,Adriatique,I Need You (Adriatique Remix),0.658,0.703,9,-10.189,0,0.0435,0.331,0.17,0.103,0.137,127.98
All I Ever Wanted,73RyhUtQnXgHB0Ko51EniR,Adriatique,All I Ever Wanted,0.781,0.63,2,-9.768,0,0.0628,0.00755,0.792,0.11,0.365,123.021
Accordia,19pZBVcKIpZe6DqpzTEPCM,Adriatique,All I Ever Wanted,0.752,0.602,5,-9.475,0,0.0593,0.00189,0.916,0.0871,0.277,122.996
