track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Never Surrender (feat. Sarah De Warren),39EnASjfLU5hwoWnzsGsv9,adventure club,Love // Chaos,0.398,0.702,0,-4.037,0,0.044,0.0217,0.0,0.109,0.27,149.833
High Like This (feat. Dia Frampton),7MXOqINrqWgvznuVUTtuML,adventure club,Love // Chaos,0.471,0.863,5,-4.159,0,0.0909,0.0821,4.95e-06,0.111,0.252,150.057
Drive (feat. Tilian),1Ti0eQStqxmd4zpFizF2z1,adventure club,Love // Chaos,0.536,0.852,2,-3.994,1,0.071,0.184,1.14e-06,0.122,0.536,150.075
King of Nothing,7fVVCpaJh3H8IQ3BSzs93K,adventure club,Love // Chaos,0.484,0.524,3,-5.389,1,0.0359,0.0717,0.0,0.114,0.0756,74.961
Lonely,3Dh4iA0aF8dESoUvyANn6q,adventure club,Love // Chaos,0.582,0.769,7,-1.448,0,0.046,0.00201,0.0124,0.219,0.229,145.076
Here,27hlFFIWXwBTThRI3NhlOc,adventure club,Love // Chaos,0.513,0.876,2,-4.069,1,0.0661,0.0155,0.000124,0.11,0.117,109.614
Never Enough,2FfJ390fwEr1a82Y6uIOeg,adventure club,Love // Chaos,0.683,0.89,0,-3.537,1,0.0453,0.0473,0.866,0.19,0.319,165.19
Come Clean (feat. Justin Jesso),4PyEdtiTEPNvsNSXPDQDDL,adventure club,Love // Chaos,0.63,0.454,0,-8.639,1,0.0333,0.214,0.0,0.434,0.204,135.037
Colorblind (feat. Dayseeker),44J9wUVTFIGKmjDJb4e5Oq,adventure club,Love // Chaos,0.492,0.567,5,-5.125,1,0.0321,0.171,0.0,0.266,0.265,140.042
Already Know (feat. Caly Bevier),49hyA5AkB5TyCLtSozRuVW,adventure club,Love // Chaos,0.456,0.644,9,-2.753,0,0.0404,0.435,0.0,0.108,0.27,140.12
All In (feat. Boy Apocalypse),7MXXVsEMDZSRGKv2R1En0k,adventure club,Love // Chaos,0.537,0.665,3,-4.829,1,0.0605,0.285,0.0,0.0819,0.408,149.175
Rebellious (feat. Yuna),16YuEfqTveacXrTX3ubMgc,adventure club,Love // Chaos,0.367,0.536,3,-6.151,1,0.0317,0.222,0.0,0.129,0.199,79.004
Infinity (feat. Kindred),3cydpVMetuw47Bla7VTdDY,adventure club,Love // Chaos,0.503,0.956,5,1.148,0,0.0741,0.159,0.425,0.139,0.58,150.077
Still Awake (feat. Becca Krueger),5rkutMkidfrV5nd0VPLlwk,adventure club,Love // Chaos,0.515,0.549,9,-6.74,1,0.0876,0.608,0.0,0.122,0.363,160.217
Safe With Me (feat. Luma),2h56H2eqNHW3AcdvBWJfin,adventure club,Love // Chaos,0.359,0.746,9,-5.45,1,0.049,0.0109,8.7e-05,0.124,0.114,149.44
One More Try (feat. Kotomi),554M2OD0Mi1YfRx6EsQy0X,adventure club,Love // Chaos,0.45,0.547,9,-7.107,1,0.0639,0.12,1.73e-06,0.613,0.268,151.894
Stuck (feat. Gion),49qSsKaYyPdbXdxETLBSEp,adventure club,Love // Chaos,0.552,0.87,4,-3.86,0,0.045,0.0844,6.03e-05,0.31,0.39,76.98
You'll Never Be Alone,2syWTrYh5rlbiuamJzRcV3,adventure club,Love // Chaos,0.507,0.908,7,-4.141,1,0.0454,0.00281,0.753,0.0998,0.0563,127.894
Move It,1VtL6kiFukj1nqLqvJIyNe,adventure club,Love // Chaos,0.865,0.857,11,-9.114,0,0.157,0.00374,0.298,0.615,0.0918,128.029
Next Life (feat. Krewella),1s9PSUpePBIkHH1hKjFQ32,adventure club,Love // Chaos,0.515,0.788,7,-3.385,1,0.0377,0.0218,5.14e-05,0.128,0.198,142.073
Anywhere,381rMi03g10XRTZJXGu0SR,adventure club,Love // Chaos,0.431,0.846,2,-2.756,1,0.04,0.063,6.05e-05,0.147,0.162,130.02
Stronger,1Fb5xzcoIG2GFSgm7AIhf6,adventure club,Love // Chaos,0.528,0.974,8,-1.225,0,0.0472,0.0106,6.51e-06,0.16,0.228,149.925
Broken Love (feat. Cammie Robinson),0CwXjaDB0jIG1ubuhSpHPQ,adventure club,Love // Chaos,0.6,0.712,9,-4.531,0,0.0989,0.23,1.32e-05,0.0855,0.378,159.984
Back To You (feat. Sara Diamond),4VllzYEDAeNLVOdK95MhV3,adventure club,Love // Chaos,0.367,0.679,2,-3.242,1,0.224,0.433,0.0,0.0873,0.297,73.635
Away From Myself,18XJpomvoUmZ4xRSw8akGq,adventure club,Love // Chaos,0.479,0.923,9,-2.41,0,0.0475,0.00268,0.0,0.154,0.333,150.015
Without You,21ZsvGaxtrToaWAKO5MIQR,adventure club,Red // Blue,0.628,0.81,4,-2.806,0,0.0383,0.065,4.48e-05,0.124,0.378,145.104
Dreams - feat. ELEA,2obUwcAxoYgTb3U1JGg0vN,adventure club,Red // Blue,0.756,0.81,7,-4.446,1,0.161,0.261,0.0,0.241,0.227,94.983
Firestorm - feat. Sara Diamond,4n3ukXX10sRwm3e4VbZjH4,adventure club,Red // Blue,0.628,0.73,1,-4.341,0,0.0352,0.148,9.78e-06,0.0943,0.232,140.053
Forever - feat. Ben Stevenson,49l9ZbWThquYoP2InKOyQW,adventure club,Red // Blue,0.672,0.651,10,-5.971,0,0.036,0.0285,0.0,0.108,0.311,128.021
Limitless - feat. Delaney Jane,1dqM0LAtmWucrPzD495RyM,adventure club,Red // Blue,0.509,0.724,0,-4.333,0,0.0499,0.0766,1.07e-05,0.155,0.132,80.033
Breathe - feat. Sondar,2hrv7TyqsKyw8YE6SCReFt,adventure club,Red // Blue,0.5,0.657,1,-7.118,0,0.0967,0.258,0.0,0.0976,0.331,149.931
Ghosts,5poioDbt7VKveZXkdYMxI7,adventure club,Red // Blue,0.529,0.561,10,-5.461,0,0.0463,0.339,1.68e-05,0.112,0.138,77.569
Reaction - feat. Leah Culver,7GWVjse3Lxi8k44OlP85N7,adventure club,Red // Blue,0.552,0.886,4,-2.975,0,0.0957,0.0046,4.99e-06,0.542,0.115,112.078
Crash 2.0,7coX3jc5vGpywMWEZ8X8Mq,adventure club,Red // Blue,0.66,0.653,8,-4.746,1,0.0584,0.00253,0.0,0.0673,0.162,127.975
Save Me - feat. Adara,6jqNHdkH0NK3uSJhvdteGs,adventure club,Red // Blue,0.668,0.801,8,-2.448,1,0.0397,0.01,0.0489,0.097,0.49,139.96
Fade - feat. Zak Waters,0vwtWs9hDbfUvSt8kdu8kz,adventure club,Red // Blue,0.413,0.909,11,-4.16,0,0.0606,0.0117,0.0979,0.107,0.0393,100.831
Goodnight,0IkukbL4jnQInIscsIaT0H,adventure club,Red // Blue,0.639,0.534,4,-6.38,1,0.0461,0.187,0.000853,0.113,0.199,115.023
Cry,2RX2EpUCh9OodJ63ZYLstG,adventure club,Cry,0.527,0.98,4,-1.062,0,0.151,0.0989,0.00432,0.741,0.134,139.982
Cry - Extended Mix,7eVE8AwiAd4kbzDceKs7qm,adventure club,Cry,0.52,0.974,4,-1.574,0,0.136,0.173,0.00447,0.671,0.0918,140.034
Set Me Free,10bwFRsx88hgMf7Xe24wK2,adventure club,Set Me Free,0.395,0.853,1,-2.189,1,0.0583,0.019,3.55e-05,0.24,0.0706,145.206
Play the Game,5J4JSnjrqicsxHW9Epu7SW,adventure club,Play the Game,0.546,0.956,2,-3.405,1,0.0542,0.00681,0.000228,0.152,0.443,140.059
HERO,10LJKB5IyEZX4uimdwOi6t,adventure club,HERO,0.506,0.991,1,-1.188,0,0.0898,0.00017,0.288,0.377,0.0822,150.24
Voices,3QFK0Yga88uv2gC8Yz3P8j,adventure club,Voices,0.493,0.544,10,-8.844,0,0.0302,0.231,0.0,0.113,0.104,90.081
How Do I Say Goodbye (feat. Delaney Jane),7EdBkc2HvH9gIlBDtiYmY1,adventure club,How Do I Say Goodbye (feat. Delaney Jane),0.7,0.708,4,-4.859,0,0.0521,0.00736,4.66e-05,0.144,0.257,127.992
Feels Like You,0F1VAVqj021UkGntiDz4nx,adventure club,Feels Like You,0.437,0.822,7,-4.074,0,0.0487,0.0494,1.29e-06,0.134,0.275,173.966
You Can't Break Me (feat. Brandon Saller of Atreyu),61lywMXKiITBED8Do8LQHQ,adventure club,You Can't Break Me (feat. Brandon Saller of Atreyu),0.417,0.95,1,-1.199,1,0.0763,0.000879,0.0,0.434,0.0753,149.88
You Found Me,5caU54QlqCMPEKIbQ3nbhd,adventure club,You Found Me,0.468,0.836,11,-3.336,1,0.0664,0.0351,0.000183,0.666,0.19,130.017
Next To You (feat. Kane Brown) - Adventure Club Remix,0AsJCKwODOuVGcJ0h1y1YG,adventure club,Next To You (feat. Kane Brown) [Adventure Club Remix],0.581,0.747,4,-3.228,0,0.0327,0.258,0.0,0.158,0.38,119.016
Everything To Me - Adventure Club Remix,0c6rqqEOE3gp6jak5NbDMX,adventure club,Everything To Me (Adventure Club Remix),0.505,0.648,1,-5.69,1,0.0684,0.00737,0.00362,0.123,0.302,144.117
Fuck Your Sunshine (Adventure Club Remix),6QvldZZ10eYgKamaWfG52b,adventure club,Fuck Your Sunshine (Adventure Club Remix),0.576,0.558,2,-6.216,0,0.0342,0.0807,0.0,0.245,0.182,80.005
LEVIATHAN,1JHLFyGl62MDj5jDBJics2,adventure club,LEVIATHAN,0.507,0.959,5,-0.032,0,0.0406,1.29e-05,0.652,0.381,0.183,150.0
Where We Are (with Adventure Club & JT Roach),4ZkiScrQbUkJXpxEXHsz8T,adventure club,Where We Are (with Adventure Club & JT Roach),0.577,0.746,5,-4.846,1,0.0358,0.193,0.0,0.178,0.542,134.992
Already Know (feat. Caly Bevier) - Cinematic Remix,3njU5QR1LQw8UFlpGXAoEf,adventure club,Already Know (feat. Caly Bevier) [Cinematic Remix],0.445,0.68,9,-5.593,0,0.0361,0.071,0.0687,0.0806,0.0671,75.042
Death Or Glory,29ZnhDch5Hrq3rKqykwciR,adventure club,The Death Or Glory Sessions,0.515,0.745,5,-5.207,0,0.0869,0.0305,0.0104,0.0637,0.194,150.006
Wolfpack,5RZfWIHSd8M3fyUK4t5fad,adventure club,The Death Or Glory Sessions,0.543,0.946,6,-4.633,1,0.406,0.00405,0.00117,0.222,0.231,150.057
Already Know,5c1w7yHwSi1l3dFyyvr2CE,adventure club,Already Know,0.458,0.645,9,-2.733,0,0.0404,0.434,0.0,0.103,0.272,140.106
Next Life (feat. Krewella) - YehMe2 Remix,2fVG6thee78GeZLTFMm4b0,adventure club,Next Life (feat. Krewella) [YehMe2 Remix],0.545,0.912,4,-1.662,0,0.086,0.0153,0.000936,0.229,0.142,151.906
Next Life (feat. Krewella) - Mom N Dad Remix,2G2oy3zgSH67NOqQC8Y5lY,adventure club,Next Life (feat. Krewella) [Mom N Dad Remix],0.647,0.924,4,-1.9,0,0.0448,0.0184,0.000745,0.341,0.196,100.02
Next Life (feat. Krewella) - BYOR Remix,0jDRen5TIQbhXRUViRIdbR,adventure club,Next Life (feat. Krewella) [BYOR Remix],0.685,0.95,4,-5.461,0,0.32,0.0041,5.23e-06,0.0698,0.276,125.959
