track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Waterfall,5XJvzlRR2FnsObtoYy6qoy,Ahmed Spins,Waterfall,0.563,0.718,5,-11.494,0,0.043,0.728,0.715,0.0798,0.0729,121.962
Anchor Point,6tE5zuD7eC7cV2O1IyjRLX,Ahmed Spins,Anchor Point EP,0.679,0.794,2,-9.803,1,0.0353,0.389,0.51,0.0928,0.389,123.025
Waves & Wavs,1D7PE3dDyonJfUP6oSuaq7,Ahmed Spins,Anchor Point EP,0.702,0.544,2,-9.827,1,0.0437,0.0849,0.175,0.0575,0.0363,120.014
Sawa,3eNQJg5bmvpBLlOW0LDqhE,Ahmed Spins,Sawa,0.696,0.714,5,-9.122,1,0.0547,0.0991,0.00837,0.137,0.067,123.946
Sawa - OSENS Remix,5F7OmsrlrLPySRPmc4wewf,Ahmed Spins,Sawa,0.731,0.757,8,-10.403,1,0.0434,0.0152,0.103,0.479,0.141,119.989
Sawa - Mr. Id Remix,7ahQZzNeq0rLirM3fBMaqc,Ahmed Spins,Sawa,0.775,0.726,4,-11.069,0,0.0398,0.00619,0.365,0.0853,0.0371,123.018
Sawa - Omary Remix,1vc9EliOthiNcQk9voS0la,Ahmed Spins,Sawa,0.785,0.496,7,-14.282,1,0.0566,0.000456,0.787,0.109,0.0355,119.989
Sawa - Satelite Remix,2d1lYHOb9PfRgt05xlXjeN,Ahmed Spins,Sawa,0.819,0.916,7,-10.854,1,0.0456,0.000275,0.0738,0.0583,0.0385,124.012
Sawa - Soulzak Remix,4LB4L6GS1cKunRVMyj6IAV,Ahmed Spins,Sawa,0.678,0.528,9,-13.459,0,0.043,0.00608,0.76,0.109,0.476,124.007
Sawa - Accapella,4P2zvMFocIVr4vRwzGDE8J,Ahmed Spins,Sawa,0.655,0.0739,7,-12.251,0,0.426,0.896,0.0,0.0665,0.28,122.105
