track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Find Your Harmony (FYH362) - Intro,1jF5Z7TWxEE2rkd2qupz6y,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.483,0.856,0,-6.033,0,0.138,0.00661,2.64e-05,0.198,0.222,129.868
Home Again (FYH362) - Paul Arcane Remix,0RoP28D28FCMyNnyfs7R5m,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.534,0.919,7,-6.185,1,0.0416,0.000644,0.0136,0.214,0.53,123.937
Vision (FYH362) - BetweenUs Remix,0wfhRqzBl6XChzyVrld46L,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.426,0.887,9,-6.334,0,0.048,0.021,0.139,0.259,0.155,123.996
Motive (FYH362) - Club Mix,3knFAMqfo4bzeFTxcbIPnO,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.62,0.908,5,-5.719,0,0.106,0.0242,0.00387,0.0921,0.279,125.963
Strangers (FYH362),5cMBnjDkLLMbW9P557KH7W,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.526,0.935,9,-5.723,0,0.0606,0.00151,0.558,0.12,0.113,125.978
Mind Trip (FYH362),1Nz1TtTi88kWfuG7WKcI9V,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.526,0.943,4,-6.528,0,0.0584,0.00584,0.0212,0.296,0.0362,125.726
True Colors (FYH362),3ShKu1iMDusaCCT57KoaHg,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.599,0.88,9,-6.988,0,0.0381,0.000659,0.00569,0.24,0.0515,125.985
Never Leave (362),19hI9SdH3yu5YcQwkNV658,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.556,0.798,0,-6.463,0,0.04,0.000417,0.0355,0.208,0.197,126.079
IOU (362),5raeAiLjCvDRmmJtnkVqqF,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.512,0.966,7,-4.928,0,0.0635,0.00117,0.915,0.422,0.076,128.03
King's Reborn (362),1CHu0PQF8p63Gw2Fdxocaj,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.326,0.859,7,-6.793,0,0.0554,0.000442,0.146,0.58,0.0341,127.942
Back To Love Again (362),4QimjM24Q18QeLs6fIm4UH,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.539,0.804,10,-4.642,1,0.0437,0.0182,0.0,0.339,0.236,127.651
Invincible (362),4kTe39NO2hFxc9LCIO9Uge,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.521,0.936,11,-5.477,0,0.0392,0.000179,0.00856,0.227,0.173,129.95
Futuro (362),5dToJxLYdfLaeu0oSS0hSx,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.491,0.952,2,-5.938,0,0.044,0.00823,0.899,0.338,0.102,131.85
End Of The Earth (362),6T7OspV4N7upbEcPy7gsF8,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.594,0.855,0,-5.267,0,0.0603,0.00274,1.36e-05,0.275,0.145,134.383
Obscura (362),3YicRc3emGVSsYGKLHzLiN,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.503,0.887,7,-6.33,1,0.0638,0.000757,0.0697,0.6,0.0849,135.877
Dream Machine (362),4bpM2oIrp96UuiDvIlw6sn,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.457,0.98,1,-4.908,1,0.0949,0.00324,0.0066,0.733,0.122,136.013
Departure (362),1xPa7Qc1W0uyX3E7afznJK,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.401,0.968,6,-6.138,0,0.112,0.00122,0.912,0.167,0.0391,138.041
Guadalupe (362),0AO51ErPYufOOTmo1bg8Wo,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.438,0.966,8,-6.036,1,0.0775,0.000862,0.9,0.114,0.0845,138.002
Other Side Of The World (362),04xCVSXRSwb3MT4KzZ3Veo,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.548,0.957,10,-5.444,0,0.141,0.00389,0.014,0.205,0.073,138.072
All Alone (362),689VsIvf06Fc51Dr0VOFJj,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.452,0.99,7,-6.371,1,0.234,3.04e-05,0.313,0.302,0.0393,138.004
Terra Nova (362),1ClPS6FtYvwwz1XWUU1iKT,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.383,0.997,11,-5.757,0,0.0795,6.87e-06,0.778,0.089,0.298,137.985
The Color Out Of Space (362),6m5efYql8TItGYJl0xdKCY,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.441,0.918,11,-5.709,0,0.0673,0.0025,0.00587,0.193,0.333,138.344
Uprising (362),7c3bQHMMa6ujrSy9TupC5J,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.313,0.999,11,-6.173,0,0.186,0.000184,0.938,0.0996,0.261,140.013
The Final Frontier (362),1ncAI1ID5IQY6ZHaWLlozw,Andrew Rayel,FYH362 - Find Your Harmony Radio Episode #362,0.453,0.987,2,-5.523,1,0.15,5.1e-05,0.854,0.135,0.0356,140.024
