track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Birthday,5Wp85bLdMgrRAwsgJt0pSI,ANNA,Sixth Sense,0.601,0.666,2,-4.631,1,0.0345,0.297,0.0,0.187,0.249,139.874
Everything That Disappears,12r9q3rsjUmbqkzFcvz4kd,ANNA,Sixth Sense,0.373,0.515,3,-9.765,1,0.0348,0.392,1.87e-06,0.197,0.624,84.286
Nuclear Fission,19WVZYsWq0NxI1AQ1H97ep,ANNA,Sixth Sense,0.502,0.337,11,-9.252,1,0.03,0.829,0.0,0.187,0.416,130.921
July 32nd,6zcV6PQvGIqR7ycueqHyf4,ANNA,Sixth Sense,0.714,0.552,7,-9.201,1,0.0327,0.7,0.0,0.174,0.611,118.072
Black Box,5tbDK1R1nT7eYfB4VuII7W,ANNA,Sixth Sense,0.604,0.611,8,-6.949,1,0.0284,0.147,0.0,0.066,0.735,133.012
Forget I'm Here,4CqWsbba3pOP5wEMUaI1Ln,ANNA,Sixth Sense,0.638,0.469,11,-11.039,0,0.0341,0.0897,6.39e-06,0.658,0.57,112.049
Moony (Again),4DylMaiG4VheW0YMUq92L3,ANNA,Sixth Sense,0.293,0.33,1,-7.354,1,0.0301,0.672,8.71e-06,0.0906,0.194,135.545
Pleaser,2WiJZTz5FXys5cui6L4LT6,ANNA,Sixth Sense,0.566,0.468,6,-12.027,1,0.0373,0.33,0.0,0.146,0.659,83.46
Egg on Your Head,5CsQn9KF0rHjS0VIfcYRoN,ANNA,Sixth Sense,0.525,0.687,1,-6.089,1,0.0939,0.371,0.0,0.153,0.404,170.051
Conestoga Wagon,3sdZuR4igNvIT2JD2Kx8pG,ANNA,Sixth Sense,0.624,0.25,0,-10.011,1,0.0337,0.866,0.0,0.108,0.217,134.843
Sensory Deprivation Tank,2fkEi6JYLB239C0JT7utLe,ANNA,Sixth Sense,0.587,0.594,0,-10.555,1,0.045,0.331,0.00307,0.116,0.25,133.925
Eliana,00WFYq6gBCdrCgIykCqDD4,ANNA,Sixth Sense,0.336,0.283,9,-12.119,1,0.0329,0.929,0.0,0.104,0.223,134.13
Oh Well,19nrHf6jcTKxqQdm5AuJ1h,ANNA,Sixth Sense,0.54,0.277,5,-9.148,1,0.0274,0.621,0.0,0.126,0.393,128.74
Happy Song,5IZibbMfYozLF5fK1N64KR,ANNA,Sixth Sense,0.573,0.275,6,-8.871,0,0.0287,0.819,0.0,0.177,0.327,137.96
Nuclear Fission (Rain Demo),6Tue6KcSMuv5hadKF4jmqW,ANNA,Sixth Sense,0.57,0.238,4,-9.89,1,0.0302,0.789,0.0,0.137,0.28,128.409
