track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
INTO THIS WORLD (Intro),170XJEsMBAU51xyezNb4hd,ATLiens,LEAVING THE WORLD BEHIND,0.125,0.619,10,-10.678,1,0.0782,0.172,0.441,0.534,0.278,82.9
FINDING SILENCE (feat. Northside Hollow),1xzR4DrNBk6klyHFB3PXOE,ATLiens,LEAVING THE WORLD BEHIND,0.343,0.727,4,-3.024,0,0.0419,0.0287,0.0155,0.676,0.254,75.021
LOSING MY MIND (feat. Cxssidy),1tLeucZWSaT9HsrU4nmYoG,ATLiens,LEAVING THE WORLD BEHIND,0.461,0.675,1,-6.227,0,0.0826,0.809,0.0427,0.386,0.0457,100.061
IMY,5tCYq12iMTCMOrsYSTIxIs,ATLiens,LEAVING THE WORLD BEHIND,0.555,0.974,1,-1.195,1,0.0809,0.00393,0.0192,0.0737,0.158,144.992
TRAIN SONG (Interlude),1z8vwi1FYVX6gcH6qeqTqo,ATLiens,LEAVING THE WORLD BEHIND,0.614,0.559,9,-11.093,1,0.176,0.35,0.889,0.203,0.105,130.026
FLOWERS (feat. Denisse Borquez),1LF8L5WSFWiI543twlSqQw,ATLiens,LEAVING THE WORLD BEHIND,0.718,0.34,1,-9.374,1,0.0935,0.634,0.00135,0.112,0.122,92.99
CUTTING TIES (feat. One True God),678Qg8ZShJCNUzrRklCwLQ,ATLiens,LEAVING THE WORLD BEHIND,0.428,0.412,5,-13.335,0,0.0561,0.0301,0.745,0.84,0.155,134.167
NEVER GETTING YOU BACK,5ebFVb9Lh4CHv0qV2Kaup4,ATLiens,LEAVING THE WORLD BEHIND,0.653,0.9,7,-1.965,0,0.0468,0.00263,0.00023,0.518,0.236,95.979
BE YOUR GHOST (feat. Roniit),0YPy0ANcvTy5TrlWb6gJzJ,ATLiens,LEAVING THE WORLD BEHIND,0.495,0.681,7,-4.624,1,0.0425,0.183,0.0466,0.364,0.197,119.976
SOUL ON FIRE (feat. Cara Kay),4tbFIItM6wZr49cyk7ru2Z,ATLiens,LEAVING THE WORLD BEHIND,0.554,0.331,2,-9.643,0,0.0379,0.183,0.435,0.111,0.0845,129.967
SINKING (feat. Tomb),0EE7SKvKKsd3dBYnqBDUg5,ATLiens,LEAVING THE WORLD BEHIND,0.32,0.695,4,-3.984,0,0.114,0.0566,0.000338,0.112,0.101,178.022
LEAVING THE WORLD BEHIND (feat. Coasting),29OSCixRX154DFzhSJOsI5,ATLiens,LEAVING THE WORLD BEHIND,0.692,0.653,6,-6.065,0,0.133,0.154,0.0141,0.138,0.248,90.022
Space Cathedral - Jkyl & Hyde Remix,6S8VqLOpx3ljoHWMisHJTy,ATLiens,Space Cathedral (The Remixes),0.379,0.936,1,-1.605,0,0.089,0.0278,0.781,0.119,0.124,137.475
