track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
We May Live On,5TqJdx8Jvcjm0JwCGuyPS6,Audiofreq,Time Capsule,0.5,0.949,1,-4.833,0,0.12,0.00272,0.000225,0.259,0.233,149.749
2 The Dancefloor,61zl1rKjhT7nccW6n4YiWs,Audiofreq,Time Capsule,0.529,0.94,0,-4.408,0,0.0447,0.00563,0.17,0.21,0.433,150.062
A.A.C.S.,54WeD0JUPybZ1IJvNTWd1V,Audiofreq,Time Capsule,0.555,0.998,4,-2.636,1,0.0796,0.000782,0.267,0.18,0.397,74.987
Show Me,6FcF9QZhjs4MmLTTwFAsV6,Audiofreq,Time Capsule,0.52,0.972,6,-3.312,1,0.0402,0.0112,0.579,0.0541,0.535,149.959
Let The Beat,2Mhd2r4VLneZXCBjBRfq2q,Audiofreq,Time Capsule,0.602,0.997,2,-3.165,1,0.0817,0.0144,0.64,0.107,0.159,149.943
Dancing Through The Darkness,6s0hqFGYFNRMaOhByL48No,Audiofreq,Time Capsule,0.518,0.933,9,-5.184,0,0.0502,0.0355,0.00293,0.287,0.368,149.917
To The Rave,65f5HiEoaio54N6mYeZi6r,Audiofreq,Time Capsule,0.71,0.993,7,-3.626,1,0.0703,0.00596,0.0565,0.329,0.583,150.053
Move Me Closer,7M9rb57KKOjNVQ7SbLpd6w,Audiofreq,Time Capsule,0.595,0.979,6,-4.36,0,0.0746,0.0226,0.0689,0.066,0.429,149.966
Music,2YtBFDEjc5wyTYCf8RkTYs,Audiofreq,Time Capsule,0.494,0.987,1,-3.925,1,0.107,0.000664,0.00352,0.319,0.567,149.916
Turn This Weapon On,0Rf6A1f5Q9zdwHxVx1F2V0,Audiofreq,Time Capsule,0.324,0.989,1,-3.704,1,0.157,0.0255,0.000858,0.31,0.179,149.948
La Venganza (Revenge),2mHh7LHc1I39UEdpAQp0iG,Audiofreq,Time Capsule,0.339,0.972,6,-4.969,0,0.129,0.121,0.00404,0.128,0.108,149.797
Loudness,0JFH1e6jdWFjZK3l2CSFtO,Audiofreq,Time Capsule,0.599,0.982,4,-3.773,1,0.145,0.0615,0.421,0.0973,0.22,150.041
Creatures,7vKlrNLIsZUkkmUfpOgJfH,Audiofreq,Time Capsule,0.51,0.977,6,-4.347,0,0.0925,0.00888,8.94e-05,0.341,0.255,150.031
Invocation,2ckC7ez9wxdRnpCNBbGN5p,Audiofreq,Audiology,0.159,0.944,8,-8.994,1,0.347,0.00475,0.0424,0.942,0.128,152.022
MDMAUDIO,3dq4emGlRITJerzHRrJ10P,Audiofreq,Audiology,0.594,0.986,5,-0.727,0,0.139,0.00286,0.00801,0.229,0.315,149.978
Want My Love,2gHE3gRpHgffWag85AWCu1,Audiofreq,Audiology,0.52,0.981,9,-2.099,0,0.0534,0.005,0.00385,0.314,0.443,150.015
Let It Flow,0pGAvjZWDo7kC8hrnOE9cn,Audiofreq,Audiology,0.556,0.944,9,-2.901,0,0.0443,0.017,1.55e-06,0.197,0.399,150.0
Audiofile.001,1qV48s2vCXSwTfFiU3jpal,Audiofreq,Audiology,0.587,0.992,7,-3.414,1,0.101,0.000491,0.726,0.213,0.655,149.993
Audiofile.002,20kcmnxzCiO6YlsFpIoEiD,Audiofreq,Audiology,0.561,0.997,0,-2.108,1,0.122,0.0147,0.0554,0.614,0.194,149.994
Analog Alchemy,0N9J6GbxYtznep7Hm23K0o,Audiofreq,Audiology,0.532,0.977,5,-2.532,0,0.0592,0.0476,0.0365,0.659,0.256,150.03
The Grid,0IBMTPu4inEVWbkbgkHBNd,Audiofreq,Audiology,0.497,0.988,1,-1.417,1,0.0817,0.0136,0.168,0.484,0.253,150.013
Afterglow,6Hai670vAlgPThrvxLep2W,Audiofreq,Audiology,0.541,0.977,9,-2.3,0,0.0671,0.0132,0.00688,0.483,0.364,150.013
Psychosonic,2B6BceDDoqUhMU3XDkVifj,Audiofreq,Audiology,0.522,0.978,4,-3.404,1,0.0762,0.000723,0.461,0.668,0.469,139.973
Timebomb,3gaC8juVevhSPgIcEObYMT,Audiofreq,Audiology,0.54,0.996,9,-2.24,1,0.165,0.0185,0.00101,0.981,0.318,149.993
Fracture,6S6tJCESgKAfTNMJX3e1Go,Audiofreq,Audiology,0.582,0.935,4,-4.157,0,0.0495,0.0127,0.183,0.88,0.371,150.017
Gorilla,1ebfrM2DvWLgWXIMWAi221,Audiofreq,Audiology,0.569,0.989,9,-1.446,1,0.0713,0.0148,0.309,0.141,0.638,150.0
Rampage,0ILdwFJS2Ml22qoOLcBI6h,Audiofreq,Audiology,0.571,0.986,1,-3.059,0,0.195,0.0218,1.63e-06,0.584,0.296,150.065
Tripwire,1GWRlGsEPglaLAWXHMYjKG,Audiofreq,Audiology,0.693,0.978,11,-3.049,1,0.184,0.00347,0.0494,0.452,0.498,104.983
The Hornet,2CWb8ukXRbCfRTC1jQ5CzZ,Audiofreq,Audiology,0.593,0.987,11,-1.503,0,0.234,0.00179,0.0587,0.951,0.312,174.053
Primal Rage,1oVQGfSeHF2934mZed75f6,Audiofreq,Audiology,0.622,0.964,7,-2.696,1,0.165,0.00657,0.0407,0.862,0.46,180.026
Audio God,6IwLEkPPCzvHeKSSSl2kAa,Audiofreq,Audiology,0.448,0.98,7,-2.947,1,0.178,0.00815,0.559,0.658,0.2,179.998
Shocker [Mix Cut],35liHVIHEwLasMmSHPzuws,Audiofreq,Hate It Or Love It... This Is HARD with STYLE - One (Mixed Version),0.507,0.97,3,-4.453,0,0.168,0.000385,0.64,0.617,0.249,130.342
WOLV [Mix Cut],3ffzGAZIaTjSmCasiaL42f,Audiofreq,Hate It Or Love It... This Is HARD with STYLE - One (Mixed Version),0.412,0.91,10,-4.648,1,0.0627,1.61e-05,0.353,0.243,0.0745,131.078
Dear Life [Mix Cut] - Bassjackers Remix,2OvrOws6s9gdsDSs46Awxg,Audiofreq,Hate It Or Love It... This Is HARD with STYLE - One (Mixed Version),0.527,0.986,6,-4.768,0,0.277,0.00253,0.677,0.403,0.196,131.745
Ravefield [Mix Cut],5xAmvXGm3Vq3SK5Nwif9On,Audiofreq,Hate It Or Love It... This Is HARD with STYLE - One (Mixed Version),0.467,0.947,9,-5.907,1,0.0472,0.00436,0.952,0.109,0.0399,132.036
