track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Sandrail Silhouette,0d3yrpfIZj4BJUVRdm2llW,Avalon Emerson,& the Charm,0.607,0.639,1,-7.411,1,0.0264,0.0573,0.0437,0.092,0.35,100.008
Entombed In Ice,5lo1FxRECTKDxnyYbsdaTP,Avalon Emerson,& the Charm,0.682,0.62,2,-10.858,1,0.0404,0.42,0.342,0.0978,0.526,112.012
A Vision,2FDZLA0jIvyxWXBFjq0hZn,Avalon Emerson,& the Charm,0.768,0.497,11,-10.797,0,0.0578,0.03,0.432,0.327,0.654,117.999
Astrology Poisoning,2dM1rq6xGHlip9nrZXWlWP,Avalon Emerson,& the Charm,0.664,0.746,5,-7.003,1,0.0321,0.281,0.0665,0.0457,0.77,93.01
The Stone,39JRNiDlHn2SK982y2sSWS,Avalon Emerson,& the Charm,0.143,0.23,9,-11.2,1,0.0358,0.626,0.122,0.105,0.058,78.127
Dreamliner,3LRDYtukqYXwhL25lERWv9,Avalon Emerson,& the Charm,0.63,0.566,5,-12.513,1,0.0341,0.332,0.881,0.106,0.397,120.024
Hot Evening,1A0Cw6bYJirHpsxqbcun5d,Avalon Emerson,& the Charm,0.694,0.632,5,-7.617,0,0.0342,0.0116,0.339,0.367,0.576,127.772
Karaoke Song,4xD1P7mPDoPYgJL1IfQXZ5,Avalon Emerson,& the Charm,0.725,0.77,5,-7.277,1,0.0419,0.154,0.0727,0.103,0.286,114.979
A Dam Will Always Divide,5rxK8MebKsj0T20H5trnvs,Avalon Emerson,& the Charm,0.102,0.8,4,-8.445,1,0.104,0.0719,0.792,0.169,0.235,174.987
Long-Forgotten Fairytale - Mixed,40gctKKLvOTY60TH6unDSw,Avalon Emerson,DJ-Kicks (Avalon Emerson) [DJ Mix],0.683,0.535,1,-11.432,1,0.0368,0.043,0.265,0.24,0.593,113.996
Wastelands and Oases - Mixed,5HgSXRiVV5lWYEX9UgzMiA,Avalon Emerson,DJ-Kicks (Avalon Emerson) [DJ Mix],0.65,0.822,7,-11.557,1,0.0371,0.00678,0.868,0.161,0.321,114.042
Butterfly - Mixed,2dUCP5yY9WVU6zySM2QaQr,Avalon Emerson,DJ-Kicks (Avalon Emerson) [DJ Mix],0.375,0.887,8,-8.049,0,0.153,0.0241,0.793,0.298,0.283,116.845
Breakers in Space (D.A.T. Remix) - Mixed,7tS92iNBW9FMSR7YYLTiz1,Avalon Emerson,DJ-Kicks (Avalon Emerson) [DJ Mix],0.694,0.981,1,-8.912,1,0.0685,0.339,0.884,0.141,0.653,125.132
Rotting Hills - Mixed,3b3w5YuwK0EZE8sUqfRFqB,Avalon Emerson,DJ-Kicks (Avalon Emerson) [DJ Mix],0.677,0.752,5,-8.527,0,0.0536,0.0242,0.0111,0.357,0.578,125.961
"Doe, Doe, Doe - Mixed",27vp7WCKCySLqadI5XWCqQ,Avalon Emerson,DJ-Kicks (Avalon Emerson) [DJ Mix],0.711,0.873,7,-6.411,1,0.0538,8.06e-06,0.886,0.105,0.355,125.923
Dirty Pusherman (Original Filthy Mix) - Mixed,2b8TpNKQVAvJAuBQ4bfCWc,Avalon Emerson,DJ-Kicks (Avalon Emerson) [DJ Mix],0.621,0.898,6,-8.284,1,0.0371,0.00015,0.75,0.167,0.303,126.854
Finest - Mixed,1p6ZzGpN2QuyyrUPxxrW53,Avalon Emerson,DJ-Kicks (Avalon Emerson) [DJ Mix],0.807,0.798,4,-10.333,1,0.0578,0.047,0.63,0.151,0.653,128.335
The Future - Mixed,6MIheQyDYcsepOkNUGRbDz,Avalon Emerson,DJ-Kicks (Avalon Emerson) [DJ Mix],0.7,0.949,7,-9.474,1,0.0494,0.00108,0.844,0.04,0.725,128.82
OAR004-A - Mixed,7wcuNSdckeTGFsedmuR6SQ,Avalon Emerson,DJ-Kicks (Avalon Emerson) [DJ Mix],0.687,0.982,2,-6.138,1,0.0392,0.035,0.0391,0.875,0.941,129.729
Level 5 - Mixed,3oPoR99snFJ9HapmLIpE2k,Avalon Emerson,DJ-Kicks (Avalon Emerson) [DJ Mix],0.431,0.812,1,-10.614,1,0.0539,0.0486,0.723,0.25,0.443,125.069
Yellow Cone (Unison) - Mixed,51ZtsYEh9qma3LqGpzdxnO,Avalon Emerson,DJ-Kicks (Avalon Emerson) [DJ Mix],0.796,0.837,11,-6.676,0,0.041,0.00164,0.853,0.109,0.825,130.502
Ultra-Range Sound Process - Mixed,5LihMIVS77dChTVwmT6Buq,Avalon Emerson,DJ-Kicks (Avalon Emerson) [DJ Mix],0.851,0.539,10,-10.396,0,0.0812,0.000219,0.067,0.419,0.352,130.472
3rd Movement - Mixed,5mpt6Y15VEB3cYVA5ab69O,Avalon Emerson,DJ-Kicks (Avalon Emerson) [DJ Mix],0.622,0.908,11,-9.066,0,0.128,0.000832,0.978,0.184,0.309,130.017
Sharevari (Cybernedit) - Mixed,18VgD1YjLm5NYnLaKBOdjH,Avalon Emerson,DJ-Kicks (Avalon Emerson) [DJ Mix],0.722,0.504,5,-12.006,0,0.0667,0.0026,0.646,0.0771,0.451,129.13
