track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
HEY BABY,03PJbbMFZJymweSCacPkQm,avello,HEY BABY,0.623,0.968,0,-2.081,1,0.164,0.0904,0.0107,0.377,0.212,134.953
Destiny - AVELLO Remix,6D3ZtplcD34Bc7MvVpKcvu,avello,Destiny (AVELLO Remix),0.461,0.954,4,-2.014,0,0.0918,0.169,0.000494,0.647,0.376,127.945
Destiny,6rZsEiYmL6wzCbXj5k51HP,avello,Destiny (AVELLO Remix),0.539,0.952,4,-2.34,0,0.0753,0.11,0.0,0.179,0.378,127.962
Cry,2RX2EpUCh9OodJ63ZYLstG,avello,Cry,0.527,0.98,4,-1.062,0,0.151,0.0989,0.00432,0.741,0.134,139.982
Cry - Extended Mix,7eVE8AwiAd4kbzDceKs7qm,avello,Cry,0.52,0.974,4,-1.574,0,0.136,0.173,0.00447,0.671,0.0918,140.034
VENOM,3kCeNWckjjuOzBJREawUG7,avello,VENOM,0.272,0.962,5,-2.343,0,0.363,0.000228,0.00279,0.372,0.39,73.104
Washed Away - AVELLO Remix,7kFDcdfgMm7Jwr5j5jNHzB,avello,Washed Away (AVELLO Remix),0.616,0.946,11,-3.851,0,0.0476,0.0166,0.0826,0.35,0.0664,135.03
Washed Away,58vUgaC7FhBgZKtB7zhOLq,avello,Washed Away (AVELLO Remix),0.586,0.883,4,-6.044,0,0.0916,0.043,0.00219,0.182,0.0891,126.031
HURT YOU,53QK0EjhCYJTzMIFQ5IjgG,avello,HURT YOU,0.408,0.99,6,-1.603,0,0.367,0.239,0.525,0.33,0.452,140.035
Soar,63M9Bd0zrkcnUp0VtWQ8wM,avello,Soar,0.483,0.994,7,-4.032,0,0.239,0.00494,0.698,0.156,0.0689,150.012
Take Me There - hypernaut vip,7DSswhapsQd3SRLhoFG58I,avello,Take Me There (hypernaut vip),0.665,0.936,9,-3.706,0,0.0553,0.0112,0.232,0.0985,0.0394,138.078
Take Me There - Vodenik Remix,5uxkKT1APSfMUnvM0JeMKk,avello,Take Me There (Vodenik Remix),0.503,0.915,9,-4.465,0,0.104,0.0292,0.665,0.178,0.387,159.989
Take Me There - AK RENNY Remix,2cDv5hm11LFO25ws8SOnYk,avello,Take Me There (AK RENNY Remix),0.663,0.708,9,-13.305,0,0.0429,0.0626,0.82,0.103,0.199,128.037
Poison - SNOWFYRE Remix,2WOKHNEekFx70DH7BwJwjh,avello,Poison (SNOWFYRE Remix),0.471,0.982,6,-2.127,0,0.133,0.0291,0.852,0.282,0.171,150.142
Poison - SATØS Remix,74OhkQYcwWU3nTS4Y1vMWt,avello,Poison (SATØS Remix),0.566,0.968,6,-4.171,0,0.0694,0.000404,0.775,0.16,0.356,139.98
Let Go - WAYVE Remix,3focX7FdslZnbeREefLZFJ,avello,Let Go (WAYVE Remix),0.526,0.835,7,-0.41,0,0.0458,0.00974,0.0,0.702,0.0796,140.094
Let Go - RENN Remix,4nGlWGgzbuOWDU7rTDEVO1,avello,Let Go (RENN Remix),0.447,0.959,5,-2.494,0,0.294,0.0534,0.00084,0.191,0.112,149.994
Let Go - Bafu Remix,72YeO4W9Jf9TdYoMZWDsYs,avello,Let Go (Bafu Remix),0.341,0.621,5,-1.568,1,0.0331,0.0455,0.0,0.114,0.179,74.663
Honest - SPORTMODE Remix,3LWBZjqT054MJN3mqOhkVQ,avello,Honest (SPORTMODE Remix),0.691,0.955,1,-2.993,0,0.0719,0.0668,0.198,0.391,0.103,119.998
Shiver,5ZUIfbvtvGLmktRdnmDmkP,avello,Shiver,0.402,0.941,4,-4.151,0,0.126,0.0958,0.0195,0.161,0.0913,140.013
you're still here but i already miss you (be in my life),4h2ZR4QzqKeA49TyB2CpaO,avello,you're still here but i already miss you (be in my life),0.593,0.898,1,-7.038,0,0.0644,0.0261,0.776,0.0551,0.231,131.942
Without You,2vQIB4m1VfbK0KLqBAIjsO,avello,Without You,0.542,0.707,2,-5.108,0,0.041,0.144,0.003,0.111,0.138,125.991
Just Hold On,5n6XXmxnwj48YWC3bxQYr2,avello,Just Hold On,0.494,0.578,8,-8.01,1,0.0512,0.602,0.0,0.14,0.091,135.021
Hate Me,1p8bi7BAwN7Z5RV8ktEoyy,avello,Hate Me,0.307,0.958,11,-3.042,0,0.329,0.0504,5.6e-06,0.133,0.154,76.443
Coast,00qC1wWp0o6Yn1xCtWAYRB,avello,Coast,0.578,0.796,11,-4.313,0,0.25,0.0342,2.16e-05,0.124,0.371,150.008
Never You,1M17sOyX3gdrtIlfgaDeAG,avello,Never You,0.371,0.706,4,-4.854,0,0.0695,0.00794,0.0,0.19,0.17,74.986
Out of the Dark,4XypogXxdkscFZLDIzKMs8,avello,Out of the Dark,0.288,0.964,4,-2.405,0,0.255,0.0116,0.0194,0.171,0.115,145.337
Change of Pace (AVELLO Remix),3OvAqkjIcdTvQoyOOdFWgM,avello,Change of Pace (AVELLO Remix),0.19,0.932,3,-5.341,0,0.192,0.0153,0.0146,0.122,0.0683,149.795
Angel,1xlH55zNAt9a4oiKsvP6gE,avello,Angel,0.46,0.886,6,-4.985,0,0.0788,0.0105,0.302,0.103,0.0637,150.103
Only You (JAMES V Remix),0RpHTM7xfmhjZCJsO627dG,avello,Only You (Remixes),0.395,0.701,4,-6.021,1,0.0396,0.148,1.32e-05,0.326,0.337,169.917
Only You (Marze Remix),6RU93ikasLiUMmCkPe1JVV,avello,Only You (Remixes),0.492,0.721,4,-7.828,1,0.0507,0.134,0.0105,0.335,0.435,149.984
Only You (RAFAEL Remix),2WfgFG4c6p1709pve3A7Ku,avello,Only You (Remixes),0.293,0.698,4,-6.3,1,0.0557,0.0352,0.0,0.0969,0.0661,149.455
Only You (RYN Remix),6wukgScmelEBy9Caa4iViI,avello,Only You (Remixes),0.685,0.71,1,-9.048,0,0.036,0.162,0.0754,0.175,0.282,126.026
Haunting This Place,37iBEd3LgFJa1WCoB41idO,avello,Haunting This Place,0.238,0.733,0,-4.246,0,0.0584,0.0575,0.0,0.0599,0.281,79.28
Until I Die,7hWhx1OtPm03Yn5BtbNa76,avello,Until I Die,0.437,0.723,9,-5.39,0,0.101,0.00902,1.39e-05,0.0792,0.357,149.996
Empathy,7ijwfW1PNdoBsyUREiSJlu,avello,Empathy,0.299,0.702,4,-5.214,0,0.0637,0.282,0.00073,0.0719,0.039,144.619
Swear on My Tears,0hPjQAebxxWtvrR9RER3EN,avello,Swear on My Tears,0.552,0.718,4,-6.489,0,0.204,0.00045,0.000579,0.49,0.358,150.205
