track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
would i stay?,29WBKrOLvbuAlpA7LrJeYJ,Bad Boombox,would i stay?,0.674,0.881,7,-7.041,0,0.0702,0.00622,0.792,0.243,0.473,144.009
fucking highschool people - Bad Boombox Remix,1pFIcTRvRD8mQAtdAYHIQT,Bad Boombox,fucking highschool people (Bad Boombox Remix),0.708,0.918,0,-6.053,1,0.0514,0.00289,0.805,0.0803,0.852,154.011
fucking highschool people,4zXyBcNesfhRgD3x6ArsFK,Bad Boombox,fucking highschool people (Bad Boombox Remix),0.382,0.996,0,-5.389,1,0.0923,0.000198,0.929,0.401,0.315,163.998
Pressure,793n7wuuZsaBvnJGsXqJjJ,Bad Boombox,The Pressure,0.747,0.997,11,-4.428,0,0.0816,0.0336,0.662,0.067,0.767,154.039
Out at the Club (feat. MCYL),79VAIa900C72yWv1TwxFkg,Bad Boombox,The Pressure,0.684,0.952,9,-3.821,0,0.045,0.00146,0.781,0.278,0.877,153.989
Make You Trip,0O9PCTRaBi5TNN92ffRXuw,Bad Boombox,The Pressure,0.77,0.98,11,-4.703,0,0.0993,0.00357,0.422,0.0859,0.969,153.006
Alba,4VDhcRKLSti9fFwI5Rw770,Bad Boombox,Alba,0.758,0.956,8,-6.01,0,0.0752,0.0015,0.856,0.0748,0.69,145.98
PLUMP,0ixMs4PuOV7p7EaThyE6S7,Bad Boombox,PLUMP,0.762,0.985,7,-6.063,1,0.0829,0.000494,0.621,0.0649,0.711,145.998
Rhythm Don't Stop - Bad Boombox Remix,0hfhMXNyoi0BRAbectaHto,Bad Boombox,Rhythm Don't Stop (Bad Boombox Remix),0.796,0.944,8,-6.158,1,0.112,0.00528,0.686,0.0716,0.868,150.009
Quite A Pickle,4MnjpbH0ppNbV2kAcliRY5,Bad Boombox,Quite A Pickle,0.757,0.886,1,-6.909,0,0.123,6.66e-05,0.913,0.0581,0.473,146.0
Megan Look Good,35bUJt6cyjtuJmaztuJYnE,Bad Boombox,Megan Look Good,0.699,0.926,0,-5.429,1,0.0735,0.00807,0.159,0.0832,0.557,74.994
Gushy,6CM5aMgrE2uWFzzxqDcNFi,Bad Boombox,Gushy,0.728,0.995,11,-6.653,0,0.0675,0.000275,0.506,0.109,0.809,157.034
y u look so hawt,6SqSty4P0wqDYH2Mbnzwk2,Bad Boombox,y u look so hawt,0.751,0.955,6,-6.001,1,0.0447,0.000491,0.57,0.119,0.872,146.977
Still Awake - Original Mix,67dSv9IRieAQXwmKz2py9K,Bad Boombox,RAVE28,0.735,0.999,7,-8.497,1,0.0703,0.0102,0.852,0.0785,0.417,150.015
On The Attack - Original Mix,3rLhBrlw5Wosut1bTMIfXF,Bad Boombox,RAVE28,0.79,0.905,1,-8.652,1,0.211,0.000422,0.641,0.101,0.496,150.996
Hardbreak49 - Original Mix,3noXjXNFh4stDpDKqduGEY,Bad Boombox,RAVE28,0.75,0.998,9,-5.976,0,0.0796,0.00886,0.924,0.0864,0.837,153.042
Stressed - Original Mix,5bzL7ooSL7pp9qBDgrzn81,Bad Boombox,RAVE28,0.725,0.878,9,-8.179,0,0.0737,0.000652,0.744,0.0775,0.789,156.985
Medulla,1wCWu0olvm0XqvaY0CNna9,Bad Boombox,Medulla,0.739,0.967,7,-6.976,1,0.0879,0.00523,0.849,0.0946,0.599,153.997
Ekstazee,3bodMLFlC8mZDs4qLxkb06,Bad Boombox,Frequent Flyer,0.72,0.987,11,-6.44,0,0.0472,0.000266,0.879,0.0892,0.546,143.991
Ekstazee - Brian Baker Remix,3cMzVxkguAI7u8GJnFn0ZF,Bad Boombox,Frequent Flyer,0.784,0.941,1,-7.952,1,0.0516,0.015,0.884,0.0643,0.831,144.005
Kwang,78rlZytWR7RA1MlIPoHG0y,Bad Boombox,Frequent Flyer,0.762,0.942,10,-9.459,1,0.05,0.647,0.937,0.112,0.669,145.021
Phytoplankton,4f0FRm98Y62oU8Aj20JjVx,Bad Boombox,Frequent Flyer,0.569,0.939,7,-8.005,0,0.0387,0.0174,0.92,0.119,0.393,134.004
Relax,1Wm7GBQmovjhRuET1nESb7,Bad Boombox,Frequent Flyer,0.688,0.874,0,-7.071,0,0.0861,0.0161,0.136,0.114,0.882,134.056
Roza,59b0dxVstC4EWhCPQH487B,Bad Boombox,Frequent Flyer,0.815,0.849,7,-5.487,1,0.0523,0.0232,0.903,0.203,0.769,132.996
check this out,46azoxAA8S69bDhDEf8QVv,Bad Boombox,check this out,0.758,0.978,7,-6.107,1,0.0652,0.00631,0.0461,0.0621,0.896,147.979
make that bounce,0Yp0S5cYsXmRNuBNQLMh3B,Bad Boombox,check this out,0.759,0.972,7,-4.267,1,0.069,0.0214,0.51,0.0697,0.96,144.99
Vacation - Bad Boombox Remix,3AvCsg6xnd8jPOaluvyATb,Bad Boombox,Vacation (Bad Boombox Remix),0.808,0.631,1,-8.033,1,0.0481,0.00243,0.482,0.104,0.655,124.006
Freakin' Out,5I8YotTaEor7tyixmGPNpZ,Bad Boombox,Freakin Out,0.807,0.767,6,-6.584,1,0.059,0.000393,0.69,0.12,0.129,127.014
Fitness,1MXCJqfjGuakwItIBAKzAq,Bad Boombox,Freakin Out,0.795,0.886,7,-8.806,1,0.0587,0.0266,0.776,0.111,0.539,127.009
Popah,1BbtWDFO6oKN9Q735kIs8D,Bad Boombox,Freakin Out,0.809,0.967,11,-6.788,0,0.0551,0.000192,0.907,0.0507,0.614,127.028
Got Work,2QX0mpjKnoISZwzjaAfjX6,Bad Boombox,Freakin Out,0.807,0.762,0,-8.176,1,0.0467,0.000189,0.878,0.0956,0.707,129.012
Get Fried,0JbHYhvqn765T71JfdjNsM,Bad Boombox,Get Fried,0.854,0.686,11,-6.751,0,0.0931,0.00261,0.0518,0.0883,0.373,127.016
Yeah Nah Yeah,5LC3OkIwJTIugLKrcLrfPy,Bad Boombox,Get Fried,0.808,0.971,7,-6.616,1,0.0519,0.00108,0.727,0.039,0.58,126.954
Supposed to Be,3QryDTOyr5ABxQMeuKH1WI,Bad Boombox,Get Fried,0.933,0.878,11,-5.686,0,0.113,0.00301,0.16,0.0425,0.823,124.987
Senna - Bad Boombox Remix,2xhfaciHDkD2ieCVEhE1Nn,Bad Boombox,Senna (Bad Boombox Remix),0.8,0.657,11,-4.592,1,0.0456,0.000144,0.285,0.0702,0.618,123.999
