track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Dance Like We Are Lovers - BASHKKA'S Unholy Hour Remix,2o93S8mH4SHFIQ9iYrb0s2,Bashkka,Dance Like We Are Lovers (BASHKKA'S Unholy Hour Remix),0.788,0.711,1,-8.041,1,0.0475,0.000188,0.824,0.0992,0.398,132.008
Act Bad,4macBQnN35yq96fm5QZjFb,Bashkka,Maktub (Remixes),0.767,0.816,2,-10.566,1,0.0536,0.00177,0.378,0.17,0.59,143.015
Act Bad - Roza Terenzi Remix,72mpDScO1U3ZD09XkAzEiD,Bashkka,Maktub (Remixes),0.784,0.995,6,-9.784,1,0.0521,9.91e-05,0.9,0.0618,0.387,138.038
DeFol - Hyperaktivist Remix,38B03N1QTkjWtuK6rigv0R,Bashkka,Maktub (Remixes),0.756,0.949,1,-10.58,1,0.068,1.23e-05,0.884,0.208,0.537,145.99
C-quence Of Calamities,206pKjiUFzyzr4yJx9LN19,Bashkka,Maktub (Remixes),0.712,0.736,10,-8.612,0,0.0454,0.00329,0.101,0.117,0.184,137.976
C-Quence Of Calamities - Sedef Adasi Remix,6WDc3N9RdlsdE8554EVKrs,Bashkka,Maktub (Remixes),0.787,0.552,1,-13.153,1,0.114,0.000315,0.744,0.103,0.0894,136.988
Aziza - AKUA Remix,2QdoQEi8LeXQAaKpFsEGFh,Bashkka,Maktub (Remixes),0.649,0.733,1,-11.246,1,0.0457,0.0113,0.796,0.133,0.204,146.007
DeFol,544sM9wmPkQBOuRHYiyKmz,Bashkka,Maktub,0.693,0.985,11,-9.484,0,0.0517,0.000378,0.817,0.314,0.224,149.989
Aziza,46iiu4PH4LC9dTYaWHZ6mR,Bashkka,Maktub,0.73,0.845,1,-10.012,1,0.054,0.00197,0.716,0.346,0.33,151.995
DeFol - Nene H Remix,32WQ4GAk942EYbNqc9X0R7,Bashkka,Maktub,0.754,0.928,7,-9.982,1,0.0782,0.0112,0.884,0.114,0.771,150.015
