track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Other Side of Matrix,4yvTKoug0u40b2UWeUHQWK,Beltran,TOOLS 4 HARDWORKERS 002,0.703,0.453,8,-8.639,1,0.0767,0.191,0.00278,0.0798,0.662,126.987
The Matrix Of Other Side,2yxMh6UKIMyJ6qOpYXUcAC,Beltran,TOOLS 4 HARDWORKERS 002,0.832,0.629,8,-7.787,1,0.148,0.00591,0.0638,0.347,0.718,135.022
Firewhip - Viralata Mix,75rxVv0sO1NbAq3FOLRu24,Beltran,TOOLS 4 HARDWORKERS 001,0.806,0.731,0,-6.631,1,0.0733,0.00589,0.792,0.0606,0.639,129.005
Dancing Queen - Booth Mix,4tAaEc21tmsapEjMnSz0Ie,Beltran,TOOLS 4 HARDWORKERS 001,0.806,0.841,5,-8.221,1,0.0672,0.011,0.137,0.0887,0.621,130.991
Cuerpo Pegado,5Aquk2RpKdwaMK7s6yFGLA,Beltran,Cuerpo Pegado EP,0.797,0.856,6,-6.795,1,0.0614,0.00953,0.255,0.104,0.611,128.003
Cuerpo Pegado - Max Chapman Remix,3l2pUqONbFB7y8BEJHeKRF,Beltran,Cuerpo Pegado EP,0.803,0.974,1,-6.666,1,0.0778,0.000438,0.815,0.101,0.84,128.993
venus' secret,3D5K3K3kHKLkaotWQukNwP,Beltran,venus' secret,0.854,0.884,6,-8.309,0,0.0934,0.0176,0.345,0.0718,0.825,129.009
Still Pushin' - Radio Edit,3OBUo6PrzYAxkudyLNryFV,Beltran,Still Pushin',0.8,0.708,4,-8.635,0,0.0579,0.00133,0.631,0.084,0.945,129.989
Origins - 3AM Tusi Mix,6OCycJBRIG7ItttiTWlWQr,Beltran,Origins EP,0.804,0.8,2,-8.662,1,0.182,0.00246,0.913,0.0705,0.795,129.011
Origins - 3AM Tusi Extended Mix,0ac7VgtKqbBLVnjqAaDEea,Beltran,Origins EP,0.802,0.793,0,-8.842,1,0.0856,0.00205,0.872,0.0704,0.663,129.024
Tira A Roupa - Putaria Mix,5Qizlw34GcAayL5dlXrCjq,Beltran,Origins EP,0.931,0.863,4,-7.142,0,0.0785,0.0249,0.0517,0.0533,0.865,127.992
Brut,6TXC9egDVd0T6gdwRoT41X,Beltran,Origins EP,0.813,0.505,7,-8.993,1,0.0794,0.00451,0.117,0.0571,0.672,132.003
Moonlight,39JDdezxhax7XyjkRpM6Ds,Beltran,Moonlight,0.809,0.609,7,-9.69,1,0.0917,0.000453,0.473,0.0714,0.598,126.999
Unfair,3YvkoTPtxXvcEfs3vcZQVl,Beltran,Unfair,0.81,0.967,0,-6.639,1,0.0441,0.00233,0.77,0.0374,0.577,127.01
Mandarino,2RvjRFKZEl5h5S8QftppUR,Beltran,Mandarino,0.804,0.853,1,-9.56,1,0.0476,0.000136,0.494,0.0721,0.293,128.99
Warning,09fLcyru2xKfVPpN01dL0C,Beltran,Warning,0.81,0.836,5,-11.413,0,0.0549,0.00749,0.601,0.0953,0.407,127.009
Smack Yo',2UdCQIDwFvGhslUYZH5tRR,Beltran,Smack Yo',0.884,0.745,7,-7.892,1,0.135,0.00321,0.357,0.0921,0.735,126.992
MFK,0HEdybB8OI2trJwwN3znNh,Beltran,MFK,0.812,0.955,9,-7.762,0,0.0653,0.000311,0.937,0.0433,0.492,126.005
Basement,05t6VD5eeVcKtFLPe3t8jP,Beltran,Basement,0.809,0.916,9,-7.337,1,0.0775,0.0554,0.91,0.0982,0.919,127.988
