track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Chuck Norris - Mixed,1Oz5FssKXVilekRcWg5WCu,Billy Gillies,Afterdark 003 [Belfast],0.492,0.967,0,-7.161,1,0.0553,0.000472,0.941,0.433,0.437,138.02
What Goes Up Must Come Down (Afterdark 003 Edit) - Mixed,3ebEr6X0qlTeyoXksqRGvB,Billy Gillies,Afterdark 003 [Belfast],0.543,0.994,10,-6.036,1,0.0466,0.000383,0.817,0.0713,0.0368,138.012
La Bomba - Mixed,1mZFPx6OzC2ERZCgzNiosl,Billy Gillies,Afterdark 003 [Belfast],0.427,0.97,4,-6.281,0,0.0474,0.000115,0.838,0.086,0.166,137.938
Murky (Sneijder Tech’ed Up Edit) - Mixed,6WV7xZt4VxCPMYPD7m7Aan,Billy Gillies,Afterdark 003 [Belfast],0.408,0.981,1,-8.656,0,0.0694,0.000292,0.833,0.0943,0.173,138.015
We Came (Sneijder Remix) - Mixed,2QkGSzgOoN0oAiXSryttBC,Billy Gillies,Afterdark 003 [Belfast],0.36,0.998,0,-7.541,1,0.0904,0.000549,0.913,0.231,0.136,138.001
Karma (Sneijder Afterdark 003 Remix Edit) - Mixed,0Du4qMsZ7LxNWm2gEUcqRM,Billy Gillies,Afterdark 003 [Belfast],0.407,0.994,5,-6.945,0,0.0599,0.000303,0.818,0.106,0.465,138.029
No Way Back (Afterdark 003 Edit) - Mixed,5AxB7Z1FNjUpZN7iLzFCRB,Billy Gillies,Afterdark 003 [Belfast],0.415,0.987,8,-8.923,0,0.0635,0.00162,0.919,0.103,0.581,137.994
Away With You - Mixed,2VY4k6Zpo6oGrqF19GUw1v,Billy Gillies,Afterdark 003 [Belfast],0.422,0.998,1,-9.897,0,0.0663,0.00115,0.873,0.0749,0.103,138.002
Watch the Sun Fall - Mixed,2pzf2yHr2G2zzWWZcI3NlG,Billy Gillies,Afterdark 003 [Belfast],0.42,0.988,7,-8.494,1,0.0669,0.000597,0.963,0.367,0.0858,137.991
Empiternal (Afterdark 003 Edit) - Mixed,6XbfpOBEmsGDm7C0up7YCU,Billy Gillies,Afterdark 003 [Belfast],0.485,0.978,11,-7.657,1,0.135,0.00074,0.892,0.126,0.128,137.975
Sen’Jin (Afterdark 003 Edit) - Mixed,3BZKwdiUAhySm0SyIFJrSM,Billy Gillies,Afterdark 003 [Belfast],0.407,0.994,9,-9.286,1,0.113,0.000317,0.941,0.0831,0.119,138.013
Fade Into Light (Afterdark 003 Edit) - Mixed,7nImy4iEEiNW3Bq9bCjgmg,Billy Gillies,Afterdark 003 [Belfast],0.452,0.927,7,-9.704,1,0.0392,0.000104,0.899,0.0886,0.531,137.987
Dystopia (Alex Di Stefano Remix) - Mixed,2OKlUrLovkNtaOjht0cvDB,Billy Gillies,Afterdark 003 [Belfast],0.384,0.989,4,-8.698,0,0.0875,0.000154,0.899,0.672,0.0809,137.984
Smiler (Nineteen Sines Remix) - Mixed,78nstTAdL9TRdUgzwnx8qU,Billy Gillies,Afterdark 003 [Belfast],0.589,0.779,0,-11.39,1,0.0527,0.0134,0.917,0.251,0.472,137.996
Get Back to Ma - Mixed,5kovJbBjzJON5qahpNKlTf,Billy Gillies,Afterdark 003 [Belfast],0.5,0.87,4,-10.949,0,0.0367,0.00139,0.879,0.099,0.0396,137.984
Eternally (Sneijder Afterdark 003 Remix Edit) - Mixed,4uSYuZHrHhyMdVDGC2mTuX,Billy Gillies,Afterdark 003 [Belfast],0.672,0.817,10,-9.023,1,0.0509,0.00308,0.884,0.0751,0.446,138.03
Recon - Mixed,5xDdPQoqI0QsK7jZPF7qcd,Billy Gillies,Afterdark 003 [Belfast],0.441,0.967,10,-6.681,1,0.0512,0.00469,0.938,0.165,0.489,139.997
Beat the System - Mixed,6hmJqnvhwa1yEGhhsHMffg,Billy Gillies,Afterdark 003 [Belfast],0.179,0.984,1,-7.073,1,0.0902,0.00198,0.898,0.178,0.037,140.016
Rhino - Mixed,54ajo1ePvS6N4rI5UWFrZz,Billy Gillies,Afterdark 003 [Belfast],0.28,0.965,10,-7.449,1,0.105,0.0236,0.918,0.532,0.111,139.961
Accelerate (Afterdark 003 Edit) - Mixed,7sE47cOwa7JY35gXuoHvQ4,Billy Gillies,Afterdark 003 [Belfast],0.476,0.993,2,-6.498,1,0.0661,0.000877,0.877,0.139,0.0408,140.002
Feel You - Mixed,7JhyOR2xsge7nFNK1U3wsu,Billy Gillies,Afterdark 003 [Belfast],0.491,0.97,0,-6.999,1,0.117,0.00327,0.801,0.127,0.238,139.991
Chemical - Mixed,2ojqyXfYOomH0VWCYqNAfc,Billy Gillies,Afterdark 003 [Belfast],0.448,0.877,10,-7.719,0,0.294,0.201,0.946,0.103,0.0699,140.087
Expand (Afterdark 003 Edit) - Mixed,3eOivqpdZ2pBuFJw8qugk2,Billy Gillies,Afterdark 003 [Belfast],0.453,0.964,10,-6.998,0,0.213,0.013,0.957,0.134,0.154,139.979
The Yelli Cave - Mixed,1MDGLXN7IjiAODBj90eiWY,Billy Gillies,Afterdark 003 [Belfast],0.662,0.94,7,-7.197,1,0.326,0.000738,0.339,0.44,0.0725,139.992
