track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Sword In Stone,1kOHXzM907MIikCagpnWDh,Black Tiger Sex Machine,Portals,0.575,0.902,0,-2.993,1,0.125,0.0141,2.7e-06,0.075,0.337,145.078
Skull Machine,2cOWubLiLHeYDpUMIxq0qM,Black Tiger Sex Machine,Portals,0.511,0.933,8,-2.63,0,0.16,0.138,1.38e-05,0.131,0.446,144.328
Howling,1BYzZGaoGYSjWQJzAJhq7y,Black Tiger Sex Machine,Portals,0.617,0.916,9,-2.128,0,0.0546,0.0114,0.348,0.0991,0.247,100.011
Amaterasu,7kz8rYF1xmZF17IRXe2XvK,Black Tiger Sex Machine,Portals,0.592,0.854,9,-3.317,1,0.173,0.13,0.0,0.112,0.112,130.022
Bounce,43girkLVD5WYKCBMOphHhd,Black Tiger Sex Machine,Portals,0.495,0.893,1,-1.408,1,0.0892,0.11,2.76e-05,0.285,0.434,170.034
Mindstate,65ohsa1Gru079oHFbnqUoh,Black Tiger Sex Machine,Portals,0.474,0.971,8,-1.28,0,0.173,0.0187,0.0,0.114,0.348,149.807
Synthetic,1YFP80jWlmE1Z1ZoIOtYJA,Black Tiger Sex Machine,Portals,0.523,0.942,7,-2.126,0,0.0621,0.000271,0.834,0.124,0.151,128.062
Eclipse,1S1OEsIct81EKxb3mFY1pl,Black Tiger Sex Machine,Portals,0.512,0.768,6,-2.497,1,0.0411,0.01,2.34e-06,0.342,0.241,150.033
Brainwashed,6x3e5k1qoufVPL0qFEFtHO,Black Tiger Sex Machine,Portals,0.622,0.97,2,-1.029,1,0.0524,0.00572,0.0435,0.156,0.154,109.895
Die A God,4ovnqwiKkiRQhTImQsuute,Black Tiger Sex Machine,Portals,0.584,0.948,2,-2.247,1,0.0769,0.013,0.00133,0.126,0.398,140.103
Trailblazer,0GOvMicWHWuEESROLcNhXG,Black Tiger Sex Machine,Once Upon A Time In Cyberworld,0.516,0.92,6,-2.22,0,0.0678,0.0306,2.94e-05,0.21,0.34,75.026
Utopia,0vpvhFx17wBN7HHkxUOQUM,Black Tiger Sex Machine,Once Upon A Time In Cyberworld,0.566,0.949,5,-2.3,0,0.0348,6.26e-05,0.0692,0.104,0.537,128.041
Front Man,43JJ0lTaSUuFCU7DeSUhLG,Black Tiger Sex Machine,Once Upon A Time In Cyberworld,0.522,0.825,1,-3.015,1,0.0457,0.0116,0.526,0.116,0.0337,180.1
Sleepwalker,26RBZQlmMkiIueiykdRSJ7,Black Tiger Sex Machine,Once Upon A Time In Cyberworld,0.717,0.781,1,-2.615,1,0.0544,0.000496,0.0002,0.111,0.191,124.038
Cheatcode,1XYCWk1IBt0qA8BaQPV0VM,Black Tiger Sex Machine,Once Upon A Time In Cyberworld,0.467,0.934,2,-2.253,1,0.0588,0.00561,0.00186,0.107,0.135,149.967
Can't Stop Me,4S6OchYIbqtt6j5uJcUa1T,Black Tiger Sex Machine,Once Upon A Time In Cyberworld,0.649,0.781,5,-3.393,0,0.21,0.233,0.00156,0.0922,0.205,140.047
Prayers,1NrMtXDtcevIfRdk3Qws4W,Black Tiger Sex Machine,Once Upon A Time In Cyberworld,0.561,0.886,2,-2.778,1,0.082,0.0229,0.00177,0.111,0.15,140.07
Wild Kids,4HxZcmYG7Jp5lMi8lJTkbm,Black Tiger Sex Machine,Once Upon A Time In Cyberworld,0.622,0.924,2,-2.673,0,0.0324,0.00607,0.000183,0.107,0.258,120.025
Deathstalker,3jToiObyGXOLaK5Xo15GZc,Black Tiger Sex Machine,Once Upon A Time In Cyberworld,0.65,0.887,10,-3.944,0,0.0772,0.00088,0.866,0.163,0.111,129.978
Karma,2owrCdTzw3zbARzG8afscW,Black Tiger Sex Machine,Once Upon A Time In Cyberworld,0.644,0.888,11,-3.466,1,0.0317,0.0242,0.00418,0.112,0.298,128.013
Leaders,4TLGAdJz77stbI4cSckjRi,Black Tiger Sex Machine,Once Upon A Time In Cyberworld,0.428,0.889,1,-2.171,0,0.139,0.00252,2.55e-06,0.0923,0.466,169.935
The Devil's Instrument,3IfZ8pjZW94j2BytmBEw7D,Black Tiger Sex Machine,Once Upon A Time In Cyberworld,0.492,0.928,1,-2.952,1,0.0529,0.035,0.492,0.214,0.321,72.498
Resistance,46Eg3aa1RZttnZ3sd4u3fd,Black Tiger Sex Machine,Futuristic Thriller,0.524,0.922,1,-1.605,1,0.11,0.0484,0.0,0.0787,0.422,75.031
Nobody Wants You,2hvIALmJP9w9BZEZ3jWd1K,Black Tiger Sex Machine,Futuristic Thriller,0.625,0.856,7,-3.295,1,0.0822,0.000157,0.0103,0.137,0.409,115.029
Doomsday,1kALNZGIUYM6QADyJBVuxa,Black Tiger Sex Machine,Futuristic Thriller,0.523,0.921,11,-3.381,0,0.0903,0.00177,0.000137,0.127,0.324,74.991
Time Travel,5XYAiJQLMcFcZplOhP1li0,Black Tiger Sex Machine,Futuristic Thriller,0.602,0.955,1,-3.494,1,0.147,0.0306,0.00137,0.0733,0.341,145.126
Strange Creatures,69oq6Nhf41kd4yuiNUj3y4,Black Tiger Sex Machine,Futuristic Thriller,0.629,0.892,2,-5.309,1,0.0433,0.00441,0.815,0.0886,0.329,127.979
Frequencies,7G3jHyUe4ZKfdTZRvRU5X9,Black Tiger Sex Machine,Futuristic Thriller,0.55,0.872,5,-6.148,0,0.182,0.0112,0.457,0.346,0.116,170.125
Let's Get It,1sSOVFG39oxhTtpM9D1psu,Black Tiger Sex Machine,Futuristic Thriller,0.627,0.942,4,-2.541,1,0.0831,0.000671,0.398,0.0749,0.117,150.015
KILLZONE,1Vbd3R1JwyQLBV0BISnIXd,Black Tiger Sex Machine,Futuristic Thriller,0.492,0.903,4,-2.539,1,0.0636,0.00517,0.919,0.289,0.283,74.947
Broken Machines,2AdhPUdPYf3WgYJh2eFlG0,Black Tiger Sex Machine,New Worlds,0.556,0.905,4,-3.846,1,0.285,0.00284,0.000121,0.114,0.211,127.965
Zombie feat. Panther,6Ytdv9pEdBWdVfo1my1Ud8,Black Tiger Sex Machine,New Worlds,0.641,0.867,2,-2.811,1,0.0678,0.00868,0.00497,0.094,0.52,99.994
Lions feat. YOOKiE,5qk5k1eyxR4CHfCtIDczOQ,Black Tiger Sex Machine,New Worlds,0.56,0.95,7,-4.351,0,0.0952,0.0148,0.598,0.341,0.149,74.994
War,02OJzHDMZjZGMclUi7uQat,Black Tiger Sex Machine,New Worlds,0.599,0.952,7,-4.35,1,0.129,0.000218,0.861,0.966,0.449,128.033
Madness feat. Sullivan King,1jbQczhy89k0BqtR03JOva,Black Tiger Sex Machine,New Worlds,0.448,0.936,1,-2.717,0,0.0575,2.24e-05,9.93e-05,0.349,0.324,144.866
Artificial Intelligence,72M5IT8QTBnqMXI2pe6BMx,Black Tiger Sex Machine,New Worlds,0.478,0.869,4,-3.033,0,0.0785,0.000291,0.243,0.0804,0.314,150.14
Rebels feat. Kai Wachi & Macntaj,0LIuQ3FmrI4YLuPAW7ZyhS,Black Tiger Sex Machine,New Worlds,0.618,0.859,11,-4.802,1,0.361,0.00355,0.00103,0.181,0.103,89.95
Replicants feat. Apashe,33crpTxhUzdR2iKaxfHLXV,Black Tiger Sex Machine,New Worlds,0.56,0.786,1,-2.275,1,0.0571,0.00468,0.499,0.121,0.134,75.022
Beast,1V6uga5yswOZzsvF5G1slh,Black Tiger Sex Machine,New Worlds,0.58,0.984,8,-2.858,1,0.207,0.000151,0.058,0.125,0.0974,127.959
Death feat. Lektrique,3sCtI5oAoXGghMpUkOKo6e,Black Tiger Sex Machine,New Worlds,0.644,0.914,2,-3.634,1,0.29,0.0104,0.829,0.0981,0.164,130.045
Protocol,2JqvYABtzlyJ7XI2KOW0QV,Black Tiger Sex Machine,OMEN,0.361,0.961,2,-0.841,1,0.0772,0.0172,0.873,0.251,0.0469,73.621
Warriors,7rmJbIWb6eabyGIEw5U0Gc,Black Tiger Sex Machine,OMEN,0.539,0.967,4,-0.26,1,0.107,0.00685,2.48e-06,0.341,0.509,75.11
The Game,0oc45EoECCK8f4mMiJgAEQ,Black Tiger Sex Machine,OMEN,0.549,0.918,4,-2.159,1,0.102,7.22e-05,6.42e-06,0.09,0.278,136.01
Switchblade,52erwsLeKGkNKRaPuFI1VT,Black Tiger Sex Machine,OMEN,0.611,0.958,1,-2.974,1,0.089,0.00126,0.458,0.52,0.463,145.071
You Shall See,6Nhc5wafyYfq6TNJttV8jI,Black Tiger Sex Machine,OMEN,0.636,0.959,10,-1.37,1,0.183,0.082,0.0293,0.294,0.523,140.013
Mind Expanding,5ovBP58figzvH5mmewqTA1,Black Tiger Sex Machine,OMEN,0.557,0.916,10,-2.376,1,0.0477,0.00118,0.0606,0.303,0.222,104.854
Cheatcode - BTSM VIP,23I1YYdFrOO8vvKB8bUwgU,Black Tiger Sex Machine,OMEN,0.654,0.92,1,-5.413,0,0.0449,0.00115,0.517,0.138,0.424,139.987
Zombie x O Fortuna,3U0vLlZQHzdrSQL2TWanom,Black Tiger Sex Machine,Zombie x O Fortuna,0.638,0.923,9,-1.242,1,0.0526,0.00159,0.0,0.371,0.239,128.042
Cheatcode - Calcium Remix,5ioJ5jGdXou2a39mkxC9p1,Black Tiger Sex Machine,Cheatcode (Remixes),0.479,0.998,2,0.808,1,0.424,0.00884,0.489,0.691,0.0835,149.989
Cheatcode - Jessica Audiffred Remix,5FE63HFtwBHVuSCWINw9Nd,Black Tiger Sex Machine,Cheatcode (Remixes),0.587,0.939,2,-0.36,1,0.22,0.00404,0.235,0.0923,0.0853,75.042
Cheatcode - SoDown Remix,7cjyuSSSXLHRSV8ZtUa1sy,Black Tiger Sex Machine,Cheatcode (Remixes),0.511,0.884,2,-3.396,1,0.0517,0.000748,0.054,0.111,0.289,74.846
Cheatcode - Stoned Level Remix,1rjseBauVISjWuxDoK0kgp,Black Tiger Sex Machine,Cheatcode (Remixes),0.684,0.889,2,-0.86,1,0.0905,0.0139,0.0574,0.202,0.246,75.011
Cheatcode - JACKNIFE Remix,75x4iQxi74iOGoOObUHd64,Black Tiger Sex Machine,Cheatcode (Remixes),0.571,0.905,2,-3.511,1,0.0538,0.00123,0.0063,0.228,0.0848,126.059
Out Of My Head,2GbInmkrrUOSG0Q57gt2Na,Black Tiger Sex Machine,Out Of My Head,0.368,0.657,2,-3.362,0,0.0425,0.0352,8.37e-05,0.179,0.0803,170.312
Creature,77SxHKSrb8UvGwuP9ueh5u,Black Tiger Sex Machine,Creature,0.518,0.872,0,-4.167,1,0.0957,0.0249,9.92e-06,0.153,0.465,150.048
Lifeline,2GxBmvhUHMz9nwEcBzpFBK,Black Tiger Sex Machine,Lifeline,0.442,0.958,5,-1.841,0,0.0848,0.0252,3.46e-06,0.259,0.304,149.884
Spiders,0NL7UUPNgxL2igK0XCKRvB,Black Tiger Sex Machine,Spiders,0.462,0.923,8,-4.326,0,0.433,0.00125,0.266,0.107,0.245,129.957
Everything,4UgmElsYidJbYtCu9eTOIN,Black Tiger Sex Machine,Everything,0.5,0.978,7,-1.001,1,0.316,0.000195,0.0131,0.408,0.34,89.968
Hacker,4A7uMDUUUEuEqD6e6vwXO2,Black Tiger Sex Machine,Hacker,0.429,0.846,4,-4.917,0,0.0882,0.00831,0.802,0.38,0.257,109.998
Download the Future,5axup3QHvCTZiqoh51Bg3d,Black Tiger Sex Machine,Download the Future,0.603,0.906,0,-3.136,1,0.036,6.52e-05,0.603,0.277,0.284,115.013
Zombie - JACKNIFE Remix,2n2JhXi5eITr28tuxhhmzS,Black Tiger Sex Machine,Zombie (JACKNIFE Remix),0.716,0.889,2,-3.828,1,0.268,0.0263,1.6e-05,0.116,0.329,110.067
War - Michael White Remix,6FSG9RjJaZeqLn173opArj,Black Tiger Sex Machine,War (Michael White Remix),0.672,0.965,7,-4.378,0,0.0538,0.0022,0.817,0.424,0.314,127.014
Replicants - Kompany Remix,4xpdXptEjV9LoHUOthvIxH,Black Tiger Sex Machine,New Worlds Remixes,0.465,0.989,0,-0.66,1,0.198,0.0168,0.31,0.132,0.127,149.788
