track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Banza,6CNvt97xiC9gGBaGpJbG8s,Cassian,Laps,0.598,0.751,9,-9.26,0,0.0375,0.0147,0.938,0.1,0.0789,112.013
Magical,7N1a6iB6vvlYJSuOJ4DOI0,Cassian,Laps,0.616,0.822,6,-7.109,1,0.0323,0.0189,0.173,0.0943,0.525,106.021
Imagination,64vsNhqHIC8WTLb07DlUtD,Cassian,Laps,0.618,0.818,5,-6.573,0,0.0358,0.00399,0.0282,0.12,0.38,120.998
Same Things,33yIAwDfHOcyB9pz8uvjAf,Cassian,Laps,0.512,0.784,7,-7.169,1,0.0354,0.123,0.00196,0.527,0.276,120.891
Together,7fJvXNlkQPHi9w0ydb2JRq,Cassian,Laps,0.578,0.886,10,-6.851,0,0.0325,0.0256,0.422,0.112,0.349,122.027
Lafayette,0aou5mYti3kyyNnEF7LZqL,Cassian,Laps,0.645,0.888,0,-7.145,1,0.0533,0.000926,0.91,0.0955,0.172,121.999
Open Up,4MMk10aYY3W7tCP4f1ezs6,Cassian,Laps,0.641,0.966,7,-6.061,1,0.0449,0.000725,0.916,0.0974,0.128,121.001
The Rise,3P7KhlXCnnn9iF3pIDE2lj,Cassian,Laps,0.554,0.867,7,-7.437,0,0.0405,0.00335,0.834,0.105,0.223,122.991
Laps,0tzBvEKpdZWb2Ix4SdvEMt,Cassian,Laps,0.55,0.892,5,-6.574,0,0.0356,0.00859,0.912,0.282,0.0548,122.975
A Feeling I Miss (SAMA (US) Remix),50xyYrPZV6rs5pmAIozDMt,Cassian,A Feeling I Miss (SAMA (US) Remix),0.69,0.836,2,-8.002,0,0.0383,0.0019,0.0413,0.0993,0.0734,125.011
A Feeling I Miss,6kllOUAfDCHp7H643EfPYo,Cassian,A Feeling I Miss (SAMA (US) Remix),0.606,0.911,11,-4.502,0,0.0308,0.00123,0.000242,0.104,0.164,127.987
Blessings - Cassian Remix,3GpNIq74pzLjdIKplMvSV2,Cassian,Blessings (Cassian Remix),0.628,0.958,9,-5.712,1,0.0572,0.0153,0.642,0.0931,0.564,129.993
Blessings,0enDiRW8Nvysj2qQSjSnW8,Cassian,Blessings (Cassian Remix),0.691,0.888,11,-4.559,0,0.0565,0.00331,0.1,0.0721,0.504,129.912
SOS,7pdI0NvmX1AstoqafRMcsb,Cassian,SOS,0.65,0.936,1,-5.327,1,0.034,0.00173,0.382,0.0977,0.506,127.98
Where I'm From,0JFNTfRWLqQ09z9ZHldX8d,Cassian,Where I'm From,0.693,0.975,2,-5.724,1,0.0459,0.0017,0.809,0.121,0.071,128.027
Dun Dun,48XuAKxSzr3nJBeU1yf0KM,Cassian,Dun Dun,0.608,0.946,2,-4.762,1,0.0443,0.015,0.902,0.111,0.0468,126.03
Memento,3g1HVLeoINAydS97fB1qjM,Cassian,Dun Dun,0.636,0.951,5,-5.279,0,0.0285,0.00096,0.761,0.175,0.124,127.995
Shiver - Cassian Remix,3wPPekju1lN3XgdtYCWmOS,Cassian,Shiver (Cassian Remix),0.575,0.968,2,-5.352,1,0.0648,0.0171,0.022,0.385,0.0967,126.968
Shiver,26KJeqvcDJo6RtL0a6wyF2,Cassian,Shiver (Cassian Remix),0.533,0.925,4,-4.649,0,0.0344,0.00124,3.91e-05,0.108,0.0587,126.988
Aran,1smaJguPb8Psb3t4Jkds9X,Cassian,Aran,0.792,0.936,1,-5.841,1,0.143,0.000188,0.839,0.122,0.0292,123.993
