track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The One (feat. Jocelyn Brown),4fErrQvOX1LPDIPFDFI4eM,Chloé Caillet,The One (feat. Jocelyn Brown),0.746,0.672,11,-7.072,1,0.0783,0.00257,0.735,0.0717,0.754,129.999
Paris - Chloé Caillet Remix,4J3XYyIJYpXVKenF566F3A,Chloé Caillet,Send Return Remixes Pt. 1,0.799,0.682,0,-6.264,1,0.044,0.00307,0.0876,0.0519,0.384,120.011
Training Season - Chloé Caillet Mix,77Qh1N8NkXpQv3ShPLNsiS,Chloé Caillet,Training Season (Remixes),0.729,0.578,5,-6.269,0,0.0404,0.0781,0.0996,0.0806,0.428,126.004
NYWTF (feat. Mikhail Beltran) - Edit,3FoOzVf0Snj4ym2xjZCikn,Chloé Caillet,Nywtf (feat. Mikhail Beltran),0.782,0.686,9,-8.082,0,0.0527,0.00258,0.786,0.0934,0.53,126.002
Love Ain't Over - Carlita Remix,7AvRF0W6c6H5UzWZSojWlp,Chloé Caillet,Love Ain't Over (Carlita Remix),0.733,0.713,0,-9.566,1,0.0543,0.0418,0.0348,0.114,0.556,124.014
Costa,05GvOQ80VlYgXHuxw6fUN0,Chloé Caillet,Costa,0.771,0.881,3,-6.123,0,0.0927,0.0194,0.361,0.129,0.68,125.031
12 Inch Acid,3EbGMIaPLGsxVOOUBQ4un4,Chloé Caillet,12 Inch Acid,0.736,0.958,2,-6.109,1,0.0479,0.00371,0.912,0.0595,0.572,132.001
Chemical - Chloé Caillet Remix,7C87LBTIysCpVwZXE1pjzT,Chloé Caillet,Chemical (Chloé Caillet Remix),0.637,0.453,0,-13.36,1,0.0351,0.000923,0.552,0.121,0.0685,119.981
Love Ain't Over,0p5iiRlgmh664AzT1uQyCK,Chloé Caillet,Love Ain't Over,0.806,0.584,0,-11.677,1,0.0618,0.0323,0.805,0.0881,0.456,119.984
Role Model - Chloé Caillet Remix,12WDGzdNSHGRucw12qw54Z,Chloé Caillet,Role Model,0.727,0.969,7,-5.58,1,0.059,0.000808,0.925,0.0607,0.509,132.001
En Balaté (rework),780wEKS87IvaYO3QRrpTmx,Chloé Caillet,En Balaté (rework),0.703,0.762,0,-6.252,1,0.0431,0.0333,0.0318,0.0704,0.686,125.981
Last One For Today,2Rlwc41Lv2p1bARfNuYfrj,Chloé Caillet,Last One For Today,0.792,0.833,4,-6.398,0,0.0389,0.124,0.865,0.0898,0.517,136.016
Trouble (Chloé Caillet Remix),32HqSKWn6GirEMRxdmYZV1,Chloé Caillet,Trouble (Chloé Caillet Remix),0.58,0.842,1,-6.916,0,0.0342,0.000278,0.824,0.0234,0.255,133.001
Doudou - Edit,5njtAeRrYhEVvl9ZzXpqjY,Chloé Caillet,Doudou (Edit),0.816,0.712,0,-8.898,1,0.0934,0.456,0.796,0.053,0.763,123.993
Coma Cat - Chloe Caillet Remix,6dz32ygrLx6O5V8u4bMirD,Chloé Caillet,Coma Cat (Chloé Caillet Remix),0.599,0.788,6,-6.436,1,0.0365,0.000116,0.772,0.357,0.52,124.983
Moonwalk,27AON3rQgskdDM1fpjHHUt,Chloé Caillet,Moonwalk,0.721,0.707,2,-11.381,1,0.0426,0.000366,0.834,0.0756,0.0874,120.01
