track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
RAVEYARD,0eBl0MzcliYP16l6C6ivoj,Clawz,AFTERLIFE,0.86,0.99,7,-5.415,1,0.149,0.00394,0.866,0.105,0.202,150.012
How Do You Do - Clawz Bootleg Edit,749CnxtAx8zn6Nz6M4dBjD,Clawz,"How Do You Do (The Best, Pt.4)",0.532,0.935,4,-6.534,1,0.0556,0.00133,0.026,0.32,0.409,157.324
Hover Boots,4q9dFE2uhoyNxrRU8W2gl2,Clawz,Hover Boots,0.531,0.981,4,-2.16,1,0.473,0.00106,0.418,0.33,0.216,155.035
Warehouse Chant,4PAKfoshRZTuoiApruDScW,Clawz,Warehouse Chant,0.692,0.977,11,-2.818,1,0.0768,0.000732,0.726,0.105,0.333,153.006
TekNo Sh_t,02tgswvjPx554JjM4bLaoD,Clawz,TekNo Sh_t,0.607,0.998,1,-5.685,1,0.0949,0.00267,0.808,0.166,0.176,153.005
Remembering - Radio Edit,1pIdvVpXO5pHqna3wRqy0x,Clawz,Remembering,0.548,0.977,7,-5.238,0,0.0541,0.00121,0.899,0.221,0.259,144.991
Boss Rush,6q1sO6Ez2RFd1G90BpY72w,Clawz,Another Day,0.516,0.958,11,-8.69,1,0.239,0.000534,0.956,0.336,0.246,148.025
All Over the World (Radio Edit),2ceYZ3YZEnzKOoaS2RR3ly,Clawz,All Over the World,0.476,0.918,5,-10.562,0,0.0509,0.00146,0.478,0.217,0.189,145.005
Wait For Me - Extended Version,7FmBiURAWUI7Ca6Dqczn5n,Clawz,Another Day,0.56,0.978,9,-6.147,1,0.0701,0.0199,2.97e-05,0.302,0.344,145.972
Old Friend,23BN7kTcCbUT5R0vgvQP5p,Clawz,Another Day,0.486,0.951,1,-6.402,0,0.0479,0.00169,0.00191,0.0555,0.516,149.994
Wait For Me,3vMAeNkWtpA1LVcV3mhfud,Clawz,Another Day,0.536,0.951,9,-5.56,1,0.0845,0.121,0.0,0.35,0.415,145.957
Another Day,1qnsJ4e3PadNgLyHaBeVEz,Clawz,Another Day,0.499,0.943,6,-7.576,1,0.0683,0.00414,0.0561,0.119,0.222,144.941
Never Let Me Go - Extended Version,2LCqQODdoGNIoDm1vv8utW,Clawz,Another Day,0.502,0.972,1,-7.42,0,0.0482,0.000478,0.162,0.304,0.18,150.014
About You,6roDWNKYSHjmkEnwYVJXct,Clawz,Another Day,0.525,0.978,0,-6.192,1,0.0828,0.00629,8.41e-06,0.179,0.436,146.974
Another Day - Extended Version,7EF12OX7CSCbxA62jt2ViX,Clawz,Another Day,0.557,0.933,11,-7.938,1,0.0466,0.0013,0.301,0.312,0.373,144.991
Collapsing World - Extended Version,6xUI14c9hvOwVU9KJiyATi,Clawz,Another Day,0.615,0.866,2,-9.097,1,0.036,0.000382,0.39,0.3,0.125,145.004
MAXIMUM HAPPINESS!!! - Extended Version,4CHz5q4xeiAVBTUHlL1AFT,Clawz,MAXIMUM HAPPINESS!!!,0.49,0.957,2,-8.309,1,0.0497,0.000774,0.146,0.505,0.72,145.013
All Over the World (Extended Mix),44bZZrng2hFrBqXPQFA68W,Clawz,All Over the World,0.55,0.9,1,-10.602,1,0.0943,0.00036,0.683,0.0661,0.246,144.995
Boss Rush - Extended Version,0ICCa19o44df8JQACETNp8,Clawz,Another Day,0.533,0.972,8,-9.41,0,0.101,0.00039,0.84,0.372,0.305,148.01
Chasing Stars,1agQOJ2pmI6q5KHxyVxyo0,Clawz,Hands Up Legacy Sakura,0.546,0.91,0,-7.905,1,0.0603,0.021,5.28e-06,0.268,0.345,147.042
最後のHOUR - Extended Version,2l8jkQTi1GkbK8LayfBswl,Clawz,Another Day,0.554,0.971,10,-7.017,0,0.0496,0.00163,0.00201,0.613,0.416,147.031
About You - Extended Version,48nHb4Ry4rGCVJXAlCoXrh,Clawz,Another Day,0.506,0.986,0,-6.724,1,0.0499,0.000851,0.0016,0.103,0.324,147.008
Everything I Need - CLAWZ Radio Edit,4LWquclNN2amDsDrAGBJM3,Clawz,Everything I Need (Remix Edition),0.472,0.979,1,-4.217,1,0.13,0.0032,0.00902,0.377,0.0599,145.009
Old Friend - Extended Version,6GQXIiTTlRMd1ga1yz62Ws,Clawz,Another Day,0.499,0.972,1,-6.939,0,0.0451,0.00195,0.0453,0.0865,0.146,149.971
Remembering,13TQeT83c7iwRFhLRVoFHY,Clawz,Remembering,0.61,0.959,5,-5.296,0,0.0529,0.000105,0.915,0.354,0.353,144.987
I'm Your Best Fantasy (feat. Gemma B.) [CLAWZ Remix],1EIRCzmQeMNK7oN3MOzATd,Clawz,I'm Your Best Fantasy (feat. Gemma B.) [Remixes],0.634,0.983,1,-5.291,1,0.0645,0.000518,0.0269,0.357,0.318,145.003
I'm Your Best Fantasy (feat. Gemma B.) [CLAWZ Remix Edit],3DPq69gsJNS42QVUTA7eBQ,Clawz,I'm Your Best Fantasy (feat. Gemma B.) [Remixes],0.562,0.984,1,-4.989,1,0.0542,0.00134,0.00291,0.0758,0.173,144.976
