track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Right,6Rs9a5wCEYHviyHVIMa0Eb,Confidence Man,The Right,0.704,0.84,9,-4.621,0,0.118,0.00371,0.000926,0.37,0.551,134.942
gossip - Chris Lake Remix,4ypboAEndfCMGxDJQa9i5w,Confidence Man,gossip (Chris Lake Remix),0.671,0.918,11,-5.624,0,0.0517,0.00182,0.651,0.22,0.959,131.997
Now U Do,6HzL348HHRk2dWHNzx42aj,Confidence Man,Now U Do,0.755,0.875,10,-6.103,1,0.0338,0.201,0.0234,0.0943,0.77,136.992
Now U Do - Edit,0fK4NmIDXetjIiZ2Oxz2tF,Confidence Man,Now U Do,0.759,0.882,10,-5.81,1,0.0339,0.229,0.0403,0.342,0.878,137.058
I CAN’T LOSE YOU,4LJOC3L3wmOqX7jxC7DNTb,Confidence Man,3AM (LA LA LA),0.593,0.857,11,-3.988,0,0.0455,0.00584,2.04e-05,0.0994,0.639,136.009
Bon Bon - Confidence Man Remix,5JjzX4mDn31502bewW6Pdn,Confidence Man,Bon Bon (Confidence Man Remix),0.668,0.917,7,-8.794,1,0.199,0.000555,0.252,0.142,0.918,133.938
I HEART YOU,5YSaWnfbnrHC2ByWY73vdo,Confidence Man,4AM (LA LA LA),0.658,0.92,7,-2.466,0,0.068,0.00882,0.0102,0.058,0.546,138.003
Firebreak - Edit,5eD7gQPf53vmuQ0Ka6KUdb,Confidence Man,Firebreak,0.72,0.984,1,-3.624,1,0.0395,0.0279,0.707,0.534,0.713,129.948
On & On (Again),7Mno6NjdI9b71hBLCmZomi,Confidence Man,On & On (Again) [Edit],0.521,0.952,0,-4.836,1,0.0781,6.38e-05,0.844,0.108,0.345,133.987
SO TRU,4RLg7ZKJU51uhPPxWqS0XT,Confidence Man,3AM (LA LA LA),0.768,0.935,7,-4.259,1,0.0525,0.0118,0.0159,0.125,0.883,130.0
All My People - Silva Bumpa Remix,3JNs8UEqHhv0TA0FBggRig,Confidence Man,All My People (Silva Bumpa Remix),0.766,0.951,8,-2.969,0,0.0909,0.0646,0.00578,0.0705,0.832,137.015
BREAK IT DOWN (ON THE BASSLINE),1poGDt4f2MB2q9m1lsBwAB,Confidence Man,BREAK IT DOWN (ON THE BASSLINE),0.71,0.973,11,-5.691,0,0.0351,6.69e-05,0.786,0.132,0.801,134.973
SO WHAT,6ZmKtSbuCPrRWhrMltR3Pc,Confidence Man,3AM (LA LA LA),0.642,0.929,7,-2.7,1,0.033,0.0758,0.00128,0.132,0.739,130.959
In A Band,2Hjs7UNprJb6ka8XIdSPn3,Confidence Man,Active Scenes Vol One,0.796,0.618,1,-8.571,1,0.0692,0.00929,0.641,0.0817,0.705,127.984
