track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
we stayed up all night,7bsV0uvwhPVE40kHlkglpB,Conrad.,we stayed up all night,0.506,0.69,11,-5.4,1,0.0332,0.0601,0.000103,0.195,0.055,88.039
Out Of Bounds,3xgcNkLwNfYxbK8w9MlLlk,Conrad.,Out Of Bounds,0.627,0.478,1,-8.23,1,0.117,0.133,2.8e-05,0.196,0.159,87.923
roundnround,4sDNyj450xyh8d0BodkMyH,Conrad.,roundnround,0.509,0.567,1,-7.356,0,0.11,0.26,4.03e-05,0.138,0.386,169.912
Lightspeed,5cb2SwLzmjykYpU3VlHWei,Conrad.,Lightspeed,0.763,0.844,2,-2.652,1,0.0753,0.0145,0.00621,0.154,0.613,143.974
close2u,1JsUfBOlJxZGpvWBQeR7qb,Conrad.,close2u / venice,0.824,0.773,9,-3.581,1,0.258,0.0767,0.000487,0.195,0.381,131.99
venice,3hgL1hCCurIxDkf7ELin39,Conrad.,close2u / venice,0.752,0.727,1,-5.334,1,0.179,0.122,0.00744,0.231,0.0763,132.052
28 (remixed) - Conrad Remix,4M1DUHUoxwcI7RhJQXAZ1Y,Conrad.,28 (remixed) [Conrad Remix],0.759,0.675,9,-3.787,1,0.0739,0.13,7.58e-06,0.446,0.467,130.075
lost in love,0LwSrVJoSjrsPJntQvH9Vp,Conrad.,lost in love,0.779,0.924,7,-5.587,1,0.0694,0.15,0.608,0.387,0.227,133.998
me & u,4sqaMi7WIP5YFisv5DWFI4,Conrad.,lost in love,0.943,0.67,2,-8.452,1,0.0896,0.0737,0.59,0.348,0.431,132.037
back down!,5BYIyZtaUHmxA9u9lRe2fG,Conrad.,back down!,0.873,0.697,4,-6.751,1,0.0974,0.116,0.00412,0.0952,0.853,142.037
you again? (Tvvin Remix),0ttfUzA1uakHJdgMg0CPrV,Conrad.,you again? (Tvvin Remix),0.696,0.909,7,-3.927,1,0.22,0.00369,0.0327,0.217,0.345,140.018
you again?,6cFqbbTFTitUcWAWGoBYwm,Conrad.,you again? (Tvvin Remix),0.607,0.897,7,-5.463,1,0.388,0.0318,0.0317,0.315,0.474,152.113
Sakura,3tI9Nc1gHcstyY5frjJnXH,Conrad.,Sakura,0.496,0.579,5,-8.075,1,0.225,0.313,0.00486,0.108,0.519,177.94
miss fortune,1jijwYUOHdabL1MZpdnvih,Conrad.,miss fortune,0.793,0.376,5,-9.543,1,0.292,0.417,0.00385,0.123,0.697,87.481
guess not,02PJrMtbt43P5uaJ6lWhSy,Conrad.,guess not,0.683,0.501,8,-11.049,1,0.0909,0.158,0.236,0.0736,0.563,84.001
Where I Wish I Was,31Ho4sAHRJcHpwIjcfxcJ4,Conrad.,Where I Wish I Was,0.694,0.694,9,-10.142,1,0.041,0.444,0.0598,0.0881,0.513,104.009
Got You,7E3SOSWran36sWR1dMpSAS,Conrad.,Got You,0.719,0.548,9,-8.283,1,0.135,0.295,0.0,0.085,0.631,172.011
Call You Up,3cE0Qu5K5cNlUX2qrF6eRs,Conrad.,Call You Up,0.841,0.448,1,-13.881,0,0.0513,0.0876,0.363,0.141,0.584,103.998
Let Me Drown - Conrad Remix,3GvL5wdPPWFiLiRxZUtvkk,Conrad.,Let Me Drown (Conrad Remix),0.797,0.399,2,-10.139,1,0.0338,0.0835,0.000118,0.14,0.313,140.012
