track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Exploration of Space,0P2sfcfRD0lWw4b8eXegmR,Cosmic Gate,Exploration of Space,0.631,0.912,9,-7.591,0,0.0362,0.0346,0.539,0.0729,0.329,138.043
Nothing to Hide,1wMyscEhicHXD3Q63Ury0T,Cosmic Gate,MOSAIIK Chapter One,0.557,0.723,9,-5.638,0,0.0501,0.00557,0.00133,0.151,0.158,122.998
Let It All Out (ASOT 1263),2a38LzZKE4YQNH5Gw3Ca5s,Cosmic Gate,ASOT 1263 - A State of Trance Episode 1263 [Including Live at A State of Trance - Celebration Weekend (Saturday | Sphere Set) [Highlights]],0.501,0.874,8,-5.681,1,0.0347,0.0164,0.254,0.134,0.331,130.137
Only Road - Cosmic Gate Remix,30r107ODEMiFUEpnFHSGW7,Cosmic Gate,Only Road (Cosmic Gate Remix),0.495,0.866,7,-5.383,1,0.0662,0.00409,0.184,0.13,0.146,127.995
Exploration of Space - Extended Mix,38dcsLzgpOJLlX71z6c1l7,Cosmic Gate,Rhythm & Drums,0.693,0.792,11,-7.303,0,0.0443,0.0016,0.833,0.109,0.207,138.011
am2pm,2nxcG2fyXseFP8mtVLSCzz,Cosmic Gate,Materia Chapter.One,0.515,0.955,4,-5.723,1,0.0483,0.0409,0.915,0.104,0.2,127.994
Brave - ATB's Anthem Remix,30b4CrDUIbCWnhEum49icQ,Cosmic Gate,Brave (ATB’s Anthem Remix),0.515,0.811,9,-6.347,0,0.155,0.0428,0.000193,0.0753,0.134,130.006
Need A Little Love (ASOT 1263),6MTrnZq6hByGsDeSsmpgqT,Cosmic Gate,ASOT 1263 - A State of Trance Episode 1263 [Including Live at A State of Trance - Celebration Weekend (Saturday | Sphere Set) [Highlights]],0.586,0.969,10,-7.493,0,0.0418,0.0286,0.188,0.0953,0.0747,124.995
Not Enough Time,6LAjifAmybcqKzLrhWH60q,Cosmic Gate,Sign Of The Times,0.628,0.572,8,-9.372,0,0.034,0.00374,0.00259,0.109,0.252,131.952
Need A Little Love (ASOT 1261),5fXtLFoDzfCwgU7pZGN9vY,Cosmic Gate,ASOT 1261 - A State of Trance Episode 1261,0.501,0.946,10,-7.253,0,0.0404,0.00954,0.0337,0.187,0.144,129.026
Need to Feel Loved,0luW3HAY020Mb2BVtcqCZa,Cosmic Gate,20 Years [Forward Ever Backward Never],0.549,0.824,2,-5.221,0,0.065,0.00409,0.000131,0.124,0.358,128.016
I'm On Fire (Mixed),1VIGJP0CMRPLhNXytXuUMb,Cosmic Gate,A State of Trance Year Mix 2025 (Mixed by Armin van Buuren),0.479,0.919,7,-7.725,1,0.0554,0.00446,0.806,0.42,0.275,128.207
Be Your Sound,1oFefbcB3slIHxiQ5n1Gzs,Cosmic Gate,Wake Your Mind,0.472,0.682,7,-6.45,1,0.0386,0.0153,0.000184,0.269,0.168,132.062
I'm On Fire,1KIbfDi4qkolOx7Vwps33a,Cosmic Gate,I'm On Fire,0.554,0.97,7,-5.326,0,0.0421,0.014,0.458,0.557,0.0302,126.055
