track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Alone (feat. FEMME),6dsoPBbMuUodSUvhRW7Vr4,Cristoph,Alone (feat. FEMME),0.675,0.674,10,-11.037,0,0.0413,0.0058,0.901,0.11,0.317,123.992
Breathe,6TR0FGw4zhlGbQALN065AI,Cristoph,Breathe,0.595,0.877,9,-7.414,0,0.0442,0.00646,0.0879,0.398,0.081,125.015
Control,6K1MxJMyM2ImqQvYTdrnDL,Cristoph,Control,0.591,0.871,4,-9.521,1,0.0415,0.00726,0.384,0.157,0.16,123.007
Echoes,2enw0l62TUebZrITqMVISJ,Cristoph,Echoes,0.707,0.909,5,-5.62,0,0.0398,0.0679,0.854,0.0888,0.615,126.991
Turning Away,5CAcrDVbEhc64A5sHqO5Md,Cristoph,Turning Away,0.54,0.973,7,-7.205,1,0.0467,0.00634,0.351,0.682,0.0359,125.021
Alone,4Bu5Y6sAxJIIG4vJNdb1kc,Cristoph,8-track,0.744,0.651,10,-11.711,0,0.049,0.00386,0.88,0.0418,0.392,124.005
Need To Feel Loved - Cristoph Remix,6jJmzpQaOJmcay1UG4CYm0,Cristoph,Need To Feel Loved (Cristoph Remix),0.716,0.636,3,-10.251,0,0.0507,0.000898,0.891,0.0978,0.0648,124.994
Breathe (feat. Jem Cooke) - Dark Matter Edit,2ts4aOzrLbo8VmVIV6yz18,Cristoph,Dark Matter,0.598,0.86,9,-7.706,0,0.0423,0.00404,0.12,0.169,0.0364,124.988
Voice Of Silence - Edit,2m79kI9r7mXd2faiaS6eYO,Cristoph,Voice Of Silence,0.56,0.691,11,-8.857,0,0.0304,0.0723,0.246,0.135,0.123,121.027
Need To Feel Loved - Cristoph Alternative Radio Mix,787M1Wpwy413eRhgo6uM8O,Cristoph,Need To Feel Loved (Cristoph Remix),0.568,0.927,1,-6.884,0,0.0325,0.000666,0.658,0.164,0.162,124.02
Illusions,70nUQ9n4i1jJiZLlo6OtR8,Cristoph,Illusions,0.59,0.95,0,-5.656,0,0.0393,0.00103,0.00523,0.124,0.113,123.009
Where's The Music Gone,0W2DNZ8ttfFvhlGCBgMq0s,Cristoph,Where's The Music Gone,0.584,0.942,9,-4.513,0,0.0403,0.0297,0.298,0.281,0.228,123.019
Breathe - CamelPhat Just Chill Mix,6omsLkEQDeDHtILgj3Vkmn,Cristoph,Breathe (CamelPhat Just Chill Mix),0.534,0.758,9,-7.205,0,0.041,0.0694,0.0462,0.0838,0.334,97.968
Turning Away - Alternate Mix,4OBPkLQ0GGhBmFX34yna4X,Cristoph,Turning Away (Alternate Mix),0.549,0.908,11,-5.932,0,0.0846,0.0137,0.000168,0.0888,0.0995,122.967
Sleepless Nights,1Sy75PUq58sHb0sAlR6NRW,Cristoph,"Consequence of Society, Vol. X",0.698,0.706,3,-7.586,1,0.0438,0.00018,0.934,0.063,0.745,124.99
SFB - Edit,3lSQlfbEvQuGyaZ7rqk54O,Cristoph,SFB,0.549,0.91,9,-7.513,1,0.0354,0.00201,0.696,0.126,0.054,121.968
Breathe - Eric Prydz Remix,2l8OMu1TS4Q6EAqAYpTQKW,Cristoph,Breathe (Eric Prydz Remix),0.619,0.863,9,-7.926,0,0.0423,0.00174,0.357,0.0785,0.0894,125.001
Breathe - Cristoph Remix,5d1KPI9gcAZsM3ynSErGtg,Cristoph,Breathe (Cristoph Remix),0.693,0.791,7,-7.276,1,0.0561,0.000357,0.0536,0.0886,0.332,123.001
Come With Me,5D4gE215hZj1wQUOMCx1wK,Cristoph,FaCet Vol. 2,0.599,0.975,1,-4.627,0,0.0405,0.0156,0.868,0.0974,0.338,123.005
Reachin',6jsmbHZd8RPnxN2Ilu7gF1,Cristoph,"Consequence of Society, Vol. 1",0.728,0.628,0,-9.798,1,0.0392,0.00168,0.817,0.0867,0.549,123.997
Lucid Love,4lxezjHzTpF81nMNixy1OS,Cristoph,Lucid Love,0.564,0.858,10,-6.816,0,0.0428,0.0518,6.57e-05,0.134,0.148,123.947
Darkest Hour (feat. Diana Miro),5Vp85oGwYrz7Y9Ca6WS2Ei,Cristoph,Darkest Hour,0.548,0.928,1,-4.944,1,0.0411,0.142,0.00119,0.118,0.0382,125.961
SFB - Original Mix,6AgxyGJ7YQp7ZboZhD7zyE,Cristoph,SFB,0.608,0.805,6,-7.999,1,0.0434,0.000294,0.796,0.101,0.348,121.992
As The Rush Comes - Cristoph Remix,5CtWBP6utyLSOwXpwnHx8k,Cristoph,As The Rush Comes (Cristoph Remix),0.577,0.962,11,-5.662,0,0.0429,0.00982,0.431,0.078,0.164,125.008
Slowly Burning 2019,0nRSoJxUMDqgwtHgUjOFnV,Cristoph,Slowly Burning 2019,0.636,0.905,4,-5.149,0,0.0453,0.091,0.422,0.105,0.357,124.974
