track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Can Can (Hardstyle Mix),1qXFfxYo6lyVk8Cgeuyuu2,Da Tweekaz,Can Can (Hardstyle Mix),0.419,0.992,3,-3.362,1,0.29,0.0347,0.244,0.0581,0.437,157.688
By The Sword,07B46HFSAMauWkHwp5n50P,Da Tweekaz,By The Sword,0.499,0.761,10,-6.397,0,0.034,0.209,2.72e-05,0.0998,0.168,149.968
"Alone, Pt. II - Da Tweekaz Remix",22iyqD0gyzWHy6oAvPVAWk,Da Tweekaz,"Alone, Pt. II (Remixes)",0.555,0.91,3,-3.653,0,0.0628,0.137,0.0,0.335,0.55,154.932
We Go Up - Da Tweekaz Remix,21eGoV8gNSgKWuYE6HCqXO,Da Tweekaz,We Go Up (Remixes),0.522,0.916,10,-4.559,0,0.047,0.0186,0.0,0.177,0.453,150.04
So Easy,1tVzhmGJppsFmRD54O2YX7,Da Tweekaz,So Easy,0.561,0.759,2,-5.141,1,0.0425,0.129,0.0,0.0804,0.397,150.12
Because Of You,2FRBUkTwFHEcPw4VOZm8nr,Da Tweekaz,Because of You,0.566,0.948,5,-4.097,0,0.0398,0.0421,0.0255,0.193,0.355,149.983
My Girl (with Da Tweekaz),2bzvrWspouWjonF0iQb7Tf,Da Tweekaz,My Girl (with Da Tweekaz),0.527,0.843,11,-3.376,0,0.0421,0.0177,0.0,0.0789,0.552,152.071
Moskau,7seOXBlflZC8UR8bNi27u2,Da Tweekaz,Moskau,0.504,0.949,5,-3.303,0,0.0498,0.00221,0.00352,0.153,0.49,150.027
Arabian Nights,4i4KAZzbz2LIf9AoZNqp6t,Da Tweekaz,Arabian Nights,0.268,0.891,7,-4.118,1,0.193,0.0106,0.0,0.343,0.347,158.154
One Night in Bangkok 2K23 - Da Tweekaz 2K23 Remix,44rdr40M1DhqS7X5HKoPQ9,Da Tweekaz,One Night In Bangkok 2K23 (The Ultimate Remixes),0.597,0.949,0,-3.607,1,0.0394,0.0292,2.21e-06,0.236,0.809,149.998
Heaven - Million Miles Rework,492rfFS9Gc3mgBrAOiRpc1,Da Tweekaz,Heaven (Million Miles Rework),0.398,0.827,1,-5.72,1,0.0526,0.0161,0.0,0.414,0.502,154.857
Satellite - Tweekacore Remix,1FSZYa6qb0Is7SBxu3Psyi,Da Tweekaz,Satellite (Tweekacore Remix),0.474,0.882,11,-3.012,1,0.0921,0.0197,0.00156,0.119,0.267,170.039
Million Miles - Da Tweekaz Remix,40PYb7mtEgpptSbzzxDrKw,Da Tweekaz,Million Miles (Da Tweekaz Remix),0.464,0.874,1,-5.008,1,0.0555,0.0552,0.0,0.17,0.398,155.072
Beyond,0defUDsYUZ8vRuwl0dUT7Q,Da Tweekaz,Beyond,0.344,0.788,5,-3.61,1,0.0417,0.0759,3.18e-05,0.246,0.172,154.951
Komon,7itqliMZptunXCWBruDmi5,Da Tweekaz,Komon,0.371,0.927,5,-3.438,0,0.105,0.0554,3.27e-06,0.303,0.408,147.633
Lambada (Your Love),2oefmctoiEMHs6Cf6PmoHj,Da Tweekaz,Lambada (Your Love),0.557,0.981,6,-4.375,0,0.137,0.0267,0.0108,0.364,0.364,149.904
"Sugar, We're Going Down",5cUTsWrxb9uuICptTjdaac,Da Tweekaz,"Sugar, We're Going Down",0.491,0.953,2,-2.772,1,0.108,0.0275,0.000126,0.202,0.568,169.897
Without You,71EDJYo5gQauv0zGo0oanN,Da Tweekaz,Without You,0.431,0.836,1,-2.972,1,0.0652,0.0112,1.21e-06,0.0959,0.356,165.057
LA DI DA,6l07fK093JBCIh6enC4cof,Da Tweekaz,LA DI DA,0.576,0.974,2,-3.728,1,0.112,0.00865,3.09e-05,0.416,0.471,155.0
Like A Bitch,38g2OfneomEog25tsXHDHX,Da Tweekaz,Like A Bitch,0.595,0.963,11,-3.988,0,0.0554,0.0314,0.577,0.361,0.668,160.052
The Elite,6RbtosFO5C2pMbPaFeMf9b,Da Tweekaz,The Elite,0.337,0.925,6,-4.691,1,0.14,0.0148,0.00699,0.595,0.0399,150.002
Jägermeister,19UGEZoMAqqaTEcEYNvsox,Da Tweekaz,10 Years Da Tweekaz - The Definitive Collection,0.54,0.966,7,-3.075,1,0.0643,0.0133,0.00215,0.846,0.446,150.007
Dancing On The Bar,2hx1ZGH1ZHkMWazyhDeaUP,Da Tweekaz,Dancing On The Bar,0.581,0.972,5,-3.325,1,0.0587,0.00581,0.000121,0.322,0.557,160.016
Escape,1dugN8I61tGdZdhv35RwUg,Da Tweekaz,Escape,0.454,0.942,5,-5.22,0,0.0638,0.00656,0.000111,0.353,0.0955,149.922
White Lines,1PVnSZcmBg0ObTk3x0Z8Me,Da Tweekaz,White Lines,0.501,0.889,2,-3.862,0,0.0432,0.0117,0.0,0.121,0.323,154.892
Boom Boom Boom,2e7cgqJbNLp5W5L2XAinEw,Da Tweekaz,Boom Boom Boom,0.507,0.996,2,-3.217,1,0.233,0.107,0.0,0.902,0.299,75.003
Horizon - Da Tweekaz Remix,1RhoDnsSenutGDvtxfyACo,Da Tweekaz,Horizon (Da Tweekaz Remix),0.512,0.961,5,-2.789,1,0.0498,0.305,0.0,0.254,0.605,155.016
On My Way - Da Tweekaz Remix,4Sp0jLZN8MgPnoGDufJS7N,Da Tweekaz,On My Way (Da Tweekaz Remix),0.478,0.848,1,-3.85,0,0.0431,0.0934,0.0,0.0925,0.48,149.936
Knockout - Da Tweekaz Remix,5LSCfqeq1u1GxKogSQFEZn,Da Tweekaz,Knockout (Da Tweekaz Remix),0.307,0.865,4,-4.641,0,0.0614,0.0649,0.0,0.143,0.35,146.548
Us Against The World (Da Tweekaz Remix),3uJnYKR844kT7MLpm0cquz,Da Tweekaz,The Qontinent 2017,0.478,0.878,1,-3.431,0,0.0403,0.0431,1.93e-05,0.0719,0.289,149.671
Queen of Kings - Da Tweekaz x Tungevaag Remix,5Cmgqsv4Rmodk87JfVydPh,Da Tweekaz,Queen of Kings (Da Tweekaz x Tungevaag Remix),0.462,0.917,4,-3.4,0,0.0473,0.0352,0.0,0.398,0.297,149.981
How Far I'll Go,5vUVe1o9MvB6161zjXlMxc,Da Tweekaz,How Far I'll Go,0.555,0.876,1,-3.508,0,0.038,0.0851,0.0,0.284,0.399,150.055
Become,5NCOjDfJjqVvvLBq8YVjnh,Da Tweekaz,Become EP,0.605,0.795,1,-5.71,1,0.0337,0.0826,0.000193,0.177,0.35,149.983
Ich schenk' Dir einen Jodler,3TV7yso6fgNMtFbkjB3fCn,Da Tweekaz,Ich schenk' Dir einen Jodler,0.486,0.937,8,-2.866,1,0.043,0.0404,2.26e-06,0.108,0.68,149.925
Forever,5Nt7R9nXosi1n39QypCwXV,Da Tweekaz,10 Years Da Tweekaz - The Definitive Collection,0.511,0.959,10,-4.24,1,0.0366,0.0857,0.00455,0.742,0.552,149.914
SHOTJEE,5rEwVrcWQy2hn7bV78rwJC,Da Tweekaz,SHOTJEE,0.563,0.983,2,-4.169,1,0.0797,0.0216,8.21e-05,0.347,0.606,154.975
Feel Your Echo,4PUu4eskDRUWV7ltSnq8Xx,Da Tweekaz,Feel Your Echo,0.414,0.911,0,-3.537,1,0.0716,0.00298,0.000225,0.0698,0.305,160.071
Take Me Away,3bHcQsPXda18ri3WAO1xIs,Da Tweekaz,Take Me Away,0.502,0.896,0,-2.724,0,0.0478,0.022,0.0,0.664,0.0921,150.083
Intents HighScore (Official Intents Festival 2022 Anthem),7f8sMzOd2e5eHfiTqThjtQ,Da Tweekaz,Intents HighScore (Official Intents Festival 2022 Anthem),0.546,0.961,6,-3.574,0,0.0884,0.0119,9.11e-05,0.37,0.492,155.047
Back And Forth,5M890OggcTPtFrBfc0JbQK,Da Tweekaz,10 Years Da Tweekaz - The Definitive Collection,0.633,0.969,5,-2.658,0,0.0755,0.0439,0.203,0.211,0.751,150.052
