track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Keep Your Dreams Alive (Mixed) - Darren Porter Remix,0AwMjPpI90k9evJ44kDi21,Darren Porter,A State of Trance Year Mix 2025 (Mixed by Armin van Buuren),0.464,0.965,11,-7.984,0,0.0683,4.84e-05,0.895,0.324,0.234,137.959
Medusa (ASOT 1261) - Darren Porter Remix,79gCYtIZ3UburSwOCxnmHu,Darren Porter,ASOT 1261 - A State of Trance Episode 1261,0.458,0.945,2,-6.592,1,0.0501,0.000112,0.564,0.277,0.167,138.944
Transcendence,0ufXb1WrB9TEM4amNVRfvP,Darren Porter,Transcendence,0.462,0.907,4,-8.273,1,0.0385,0.0641,0.858,0.194,0.325,135.977
Dream Like I Do,4ZruxHVwyYmPBbskuWaFbX,Darren Porter,Dream Like I Do,0.458,0.988,2,-7.523,0,0.157,0.00127,0.443,0.117,0.191,136.01
Deep Blue - Radio Edit,0Gvl23L27RFukejYglltXS,Darren Porter,Deep Blue (Radio Edit),0.455,0.949,10,-8.303,0,0.0655,0.000886,0.906,0.44,0.089,140.028
To Feel Again,1BAY1J7VkEvm6VZeK2Q5nQ,Darren Porter,To Feel Again,0.411,0.98,11,-8.301,0,0.104,0.000862,0.921,0.126,0.0392,139.959
Inertia,3jwwllzhhHuiTHs675tJ4p,Darren Porter,Inertia,0.399,0.998,7,-7.022,1,0.157,9.57e-05,0.937,0.273,0.0342,139.966
The World - Darren Porter Remix,5xbGAVpbkYRovdgAi5Z6zU,Darren Porter,The World,0.537,0.914,8,-7.612,1,0.0487,0.00287,0.389,0.188,0.453,131.983
Reach for the Stars,5B7DcrfnSzoA7JLCxLQiW2,Darren Porter,Reach for the Stars,0.334,0.996,8,-5.948,0,0.152,3.27e-05,0.923,0.399,0.0728,139.988
Divergent - Radio Edit,07tSIYAgH9ovlgLr4iZJMS,Darren Porter,Divergent,0.509,0.933,11,-9.421,0,0.0514,0.000655,0.777,0.322,0.0399,135.98
Live And Love Again,2ZfXdyqnEZFKiRCVcViEhw,Darren Porter,Live And Love Again,0.426,0.964,0,-9.297,0,0.109,0.000963,0.00318,0.17,0.275,139.978
The Potion,6lyz5zfaVKCbAuoI9OypUL,Darren Porter,The Potion,0.425,0.941,10,-7.117,0,0.048,0.000134,0.889,0.582,0.169,140.004
Transonic,67ac7IlPloHbCLxb85h7Yc,Darren Porter,Transonic,0.399,0.994,9,-7.744,1,0.119,0.000718,0.876,0.318,0.15,139.95
Believe In Us Again,5FMVxh1Om0YvYWKcOvOGaL,Darren Porter,Believe In Us Again,0.462,0.933,7,-5.39,0,0.0564,0.00139,0.0269,0.288,0.215,136.001
Dream Like I Do - Extended Mix,00yzOk2tJB4rSOnWEXiZEg,Darren Porter,Dream Like I Do,0.523,0.966,2,-8.273,0,0.114,0.00455,0.587,0.238,0.0846,135.971
One Million Seconds - Billy Gillies Remix,2o6xJEg4Fxtk2thWRjM8aB,Darren Porter,One Million Seconds (Billy Gillies Remix),0.507,0.943,6,-4.16,0,0.0649,0.00227,0.779,0.522,0.177,140.022
Whiplash - Alessandra Roncone Extended Remix,732VLM74apvkvdNp1N33cu,Darren Porter,Whiplash (Alessandra Roncone Remix),0.431,0.998,7,-7.07,1,0.0808,0.00175,0.837,0.188,0.381,139.972
Nothing Breaks Like A Heart - Darren Porter Remix,7gdmsyLLnckK3Kog9qITnH,Darren Porter,Nothing Breaks Like A Heart (Darren Porter Remix),0.413,0.945,9,-7.55,1,0.0548,0.000174,0.238,0.0623,0.248,139.989
The Calling [Grotesque 300 Anthem],0qVzKz6ScS2E4T56idkbs8,Darren Porter,Grotesque 300,0.424,0.96,0,-7.294,0,0.0568,0.00144,0.845,0.916,0.224,137.987
Whiplash - Alessandra Roncone Remix,41jZQHc9Qu6hYX2FCf7M5w,Darren Porter,Whiplash (Alessandra Roncone Remix),0.398,0.997,9,-7.024,0,0.0997,0.00239,0.845,0.178,0.196,139.988
The Calling - XiJaro & Pitch Remix,4aflTgaweUtE9ucnOxmLIJ,Darren Porter,The Calling (XiJaro & Pitch Remix),0.461,0.998,8,-3.555,1,0.259,0.000116,0.912,0.512,0.0516,140.016
