track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Flashlight,3hZH62G2bsbzwJBqCzPERU,Darren Styles,Skydivin',0.471,0.951,0,-3.26,1,0.0487,0.000287,0.000614,0.353,0.585,169.919
Come Running,2izpxvSw1zToQlLNmWwnA0,Darren Styles,Skydivin',0.459,0.94,1,-2.673,1,0.0405,0.00114,0.00122,0.0546,0.3,169.942
Gettng Better,298SbJPUnYyij09JNPG6A6,Darren Styles,Skydivin',0.476,0.977,10,-4.949,0,0.0779,0.000285,0.0214,0.163,0.169,167.979
Discolights - Darren Styles Vs. Ultrabeat,7btU0nYgxUKhp5NOXe97BH,Darren Styles,Skydivin',0.453,0.967,0,-3.999,1,0.0508,0.00635,0.000318,0.1,0.139,169.948
Save Me,7AnjesDPOC4EUmUL6TjFkR,Darren Styles,Skydivin',0.408,0.838,3,-5.36,0,0.0493,0.0117,0.0,0.0959,0.245,169.932
Baby I'll Let You Know,6LvKc7Zij3wtsWPp3GRHK1,Darren Styles,Skydivin',0.475,0.962,0,-4.718,1,0.0468,0.00346,0.000162,0.0982,0.211,169.963
I Say I Love You,7qCqwEBB609vlBWWgxZ7Sp,Darren Styles,Skydivin',0.447,0.947,11,-3.449,1,0.0367,0.000789,0.0256,0.129,0.359,169.999
Drop Zone,4vrO0p3rkPCm1OIroYB9Bv,Darren Styles,Skydivin',0.409,0.936,11,-5.932,0,0.0656,0.000211,0.926,0.459,0.0369,170.034
Show Me The Sunshine,3VZIUPnkmFHgooHE99hGt5,Darren Styles,Skydivin',0.533,0.897,0,-3.688,1,0.0516,0.000364,0.00519,0.108,0.31,170.005
Skydivin' - Vocal Mix,0ux4OTA7N8zPW6swlq3ur6,Darren Styles,Skydivin',0.484,0.944,11,-4.805,1,0.0489,0.00259,0.0243,0.376,0.163,169.991
Jealous,5uBuEzBfpEKKb1DDjW5LZ9,Darren Styles,Skydivin',0.443,0.957,7,-5.083,1,0.0651,0.000105,0.328,0.0919,0.273,169.998
Just Easy,1ZZeGqtYObK1nvZ3DBOQDv,Darren Styles,Skydivin',0.588,0.919,0,-5.987,1,0.198,0.0324,0.00256,0.108,0.607,165.037
Cutting Deep,2GOGJIN0VMUFrHtyKvmkQn,Darren Styles,Skydivin',0.384,0.968,0,-3.693,0,0.0458,0.000131,0.0239,0.286,0.272,168.042
Lost The Plot,4Q4Obqig8QXJp4feYvK5XI,Darren Styles,Skydivin',0.686,0.897,7,-5.526,1,0.111,0.000343,0.583,0.0842,0.217,170.023
Slide Away,5wdfChkiHiXQZkE5TcUClw,Darren Styles,Skydivin',0.379,0.954,5,-4.017,1,0.0397,0.0019,0.0461,0.406,0.0355,166.953
Different Groove,5T5x4t6aUZ4UWvSjycNiYW,Darren Styles,Skydivin',0.576,0.98,9,-5.147,1,0.0948,0.00372,0.0127,0.192,0.496,169.999
Feel Love,1EzyzIIWdmWwNBzuRamI2O,Darren Styles,Skydivin',0.439,0.859,0,-4.323,1,0.0369,0.00351,0.0733,0.274,0.068,169.999
Right By Your Side (N-Force Vs. Darren Styles) [Radio Edit],2ajGdcnuZ3kJMqULxxwVIb,Darren Styles,Skydivin',0.515,0.994,1,-5.47,0,0.044,0.00138,0.00732,0.0674,0.592,145.954
Save Me - Nitelite Edit,5HMhpISGWUH5GMuurNk6aj,Darren Styles,Skydivin',0.526,0.674,3,-9.242,0,0.0349,0.0443,1.97e-05,0.168,0.595,170.06
Tell Me,2ry7KxCBfjwuSfqhlFhEzP,Darren Styles,Skydivin',0.557,0.971,11,-4.679,0,0.0387,0.00115,0.000724,0.376,0.638,146.005
Girls Like You - Fugutive Sexy Crazy Edit,0rK5EBw8Nl4jdqcGBj6Gib,Darren Styles,Skydivin',0.51,0.839,9,-8.32,0,0.0398,1.65e-05,0.582,0.283,0.546,128.01
I Need You,7gPY3PsSCzBCJwsRGq3UuY,Darren Styles,Skydivin',0.532,0.968,9,-5.176,0,0.0413,0.00336,0.00309,0.333,0.454,146.039
Sure Feels Good - Darren Styles Vs. Ultrabeat,22OkgeT7kVgauszTKLIAc8,Darren Styles,Skydivin',0.635,0.99,6,-3.78,1,0.0837,0.0385,0.00259,0.154,0.108,144.04
Heartbeatz,4pXNKx9WNpqGzPgTzBgiVT,Darren Styles,Skydivin',0.499,0.984,7,-4.089,0,0.0458,0.0075,0.000486,0.0898,0.448,143.993
Blow Me Away,7N15NT7LeJBNfkfWvrV5ne,Darren Styles,Skydivin',0.464,0.94,5,-4.423,1,0.0372,0.00168,0.0499,0.212,0.0948,143.976
Skydivin' - Fugitive Edit,0KBvgmm25XrLVgG7hc8AnS,Darren Styles,Skydivin',0.477,0.835,11,-8.954,1,0.0405,0.000383,0.000514,0.392,0.82,170.096
You're Shining,5zgoEnmbgkhwt7SRdwSGvk,Darren Styles,Skydivin',0.533,0.979,8,-5.209,1,0.0446,0.00161,0.00235,0.191,0.374,144.018
Feel Love - Nitelite Edit,4BD8aO0kYG3uPeCmqPEfVr,Darren Styles,Skydivin',0.63,0.434,0,-12.121,1,0.0351,0.0841,0.043,0.116,0.327,80.007
Paradise & Dreams - Darren Styles Vs. Ultrabeat,3Jj9MAa0IpKfzwwTbXyRlH,Darren Styles,Skydivin',0.565,0.986,0,-3.502,1,0.0765,0.0283,0.0474,0.349,0.389,145.992
You're My Angel,47F2hfDB2JbfapBJjIzIP3,Darren Styles,Skydivin',0.489,0.985,7,-4.435,1,0.0456,0.0145,0.525,0.146,0.0489,144.011
It Must Have Been Love (feat. Charla K),4xZcO6Kb9LikXY6OBT0WWF,Darren Styles,It Must Have Been Love (feat. Charla K),0.368,0.756,2,-4.473,1,0.0479,0.00543,0.000138,0.0726,0.437,164.894
Bad Man Sound,2I3aYWCdVYEsX0dM3RaCPK,Darren Styles,Bad Man Sound,0.595,0.995,6,-2.816,0,0.127,0.0261,0.154,0.324,0.6,160.036
Outta Space,2sDAuLG4HGSW7o3IU1yzCE,Darren Styles,Outta Space,0.44,0.817,11,-5.663,0,0.103,0.0119,0.143,0.149,0.273,159.946
Scars,5nhgzZknavigy00j26edAY,Darren Styles,Scars,0.477,0.964,9,-5.348,0,0.0471,0.123,0.837,0.262,0.219,160.032
Quiver - Georgie Riot Remix,1H6qSbZWHgIYHKdEZ1IBkG,Darren Styles,Quiver (Georgie Riot Remix),0.582,0.934,9,-1.195,0,0.0455,0.0686,6.99e-05,0.0855,0.142,174.001
Quiver - Georgie Riot Extended Remix,4Aq7hsjq9zQyckJwHCJgU9,Darren Styles,Quiver (Georgie Riot Extended Remix),0.562,0.905,9,-1.838,0,0.0445,0.117,0.00024,0.128,0.0608,174.027
Hard Beat,7Gs5hS0rQsdE5GVjovT5rm,Darren Styles,Hard Beat,0.522,0.998,1,-3.728,1,0.262,0.000894,0.564,0.375,0.124,160.02
Summer Dream Of Love,0MVE9HTEIXWG7igtwzcoUM,Darren Styles,Summer Dream Of Love,0.635,0.943,0,-4.077,0,0.0605,0.0696,0.211,0.114,0.54,160.072
So High (feat. MERYLL) - Kyle Meehan Remix,3tveFCdZCLHZ6YXOc84ri7,Darren Styles,So High (feat. MERYLL) [Kyle Meehan Remix],0.68,0.869,3,-6.132,0,0.0527,0.0413,0.135,0.199,0.635,137.032
So High (feat. MERYLL),6htKnclYIvSqD5Yki5ChMJ,Darren Styles,So High (feat. MERYLL) [Kyle Meehan Remix],0.56,0.708,1,-5.188,1,0.0842,0.0229,0.000592,0.153,0.501,174.023
Green & Gold (feat. Charlotte Plank & Riko Dan) - Darren Styles Remix,3VcRrEGKrLLIACvlr9lvQ7,Darren Styles,Green & Gold (feat. Charlotte Plank & Riko Dan) [Darren Styles Remix],0.505,0.932,4,-3.796,0,0.0583,0.0235,0.00282,0.125,0.519,173.971
Green & Gold (feat. Charlotte Plank & Riko Dan),4g5DAUp5c4t9kvskBminAP,Darren Styles,Green & Gold (feat. Charlotte Plank & Riko Dan) [Darren Styles Remix],0.697,0.822,4,-4.261,0,0.0695,0.117,5.7e-06,0.199,0.282,82.465
Satellite - Tweekacore Remix,1FSZYa6qb0Is7SBxu3Psyi,Darren Styles,Satellite (Tweekacore Remix),0.474,0.882,11,-3.012,1,0.0921,0.0197,0.00156,0.119,0.267,170.039
Discolights - Darren Styles VIP,4gQPTNz2THVAWM1UtnHXNZ,Darren Styles,Discolights (Darren Styles VIP),0.541,0.856,10,-3.79,1,0.0635,0.00299,1.74e-06,0.082,0.27,160.058
Rave Into The Night (feat. Diandra Faye) - Extended Mix,4bUZHHe6c49CpzwJl3yjja,Darren Styles,Rave Into The Night (feat. Diandra Faye) [Extended Mix],0.503,0.94,2,-2.922,1,0.0974,0.0115,0.00931,0.124,0.164,164.889
Rave Into The Night (feat. Diandra Faye),6fjluyT54G59LHW4PnVZ97,Darren Styles,Rave Into The Night (feat. Diandra Faye),0.487,0.931,2,-3.13,1,0.092,0.0114,0.00299,0.122,0.119,164.799
Wasted,0Trr3QSf9SvtFRtuAPVoBn,Darren Styles,Wasted,0.651,0.876,5,-3.728,0,0.0565,0.0149,0.0547,0.139,0.371,159.96
Wasted - Extended Mix,5BZXWVzxRFp6YY05Yax44g,Darren Styles,Wasted,0.698,0.831,5,-3.963,0,0.071,0.0257,0.0341,0.11,0.489,159.994
We Come 1 - Darren Styles Remix / Kenai Edit,4pM1GWC1HXKEloz0vi0j8E,Darren Styles,We Come 1 (Darren Styles Remix / Kenai Edit),0.638,0.914,11,-4.167,0,0.494,0.0641,0.00193,0.463,0.421,159.956
Quiver - Will Atkinson Summer Of Love Remix,7F49P0UZYnQWcwPqUiWBOz,Darren Styles,Quiver (Will Atkinson Summer Of Love Remix),0.444,0.991,0,-2.605,0,0.226,0.00634,0.455,0.772,0.576,160.02
Sweater Weather,6Xt80h0WCgzRezPMBlyKLs,Darren Styles,Sweater Weather,0.468,0.932,7,-6.325,0,0.0786,0.0141,0.000319,0.182,0.301,160.03
Down With The E - Tatsunoshin Remix,7jIHPF0CLlnq6GuVXmr56G,Darren Styles,Down With The E (Tatsunoshin Remix),0.509,0.993,8,-1.56,0,0.377,0.00364,0.604,0.095,0.481,159.968
We Come 1 - Darren Styles Remix,2sQ3FM2rP6of5BwyMhvxDJ,Darren Styles,We Come 1 (Darren Styles Remix),0.685,0.991,1,-3.602,1,0.264,0.00323,0.166,0.159,0.123,160.035
Come with Me,2r9sn0gVWF5EVMeSSwfSeL,Darren Styles,Come with Me,0.57,0.708,11,-5.231,0,0.0356,0.136,0.0,0.125,0.527,155.052
Reactivate,4EnSchPRIh9xWOb2SIrRQU,Darren Styles,Reactivate,0.635,0.958,6,-2.757,0,0.201,0.00401,0.13,0.274,0.203,160.01
I Follow Rivers (Deep Sea Baby),5LjjFLhe4QChEtBCnZBn1O,Darren Styles,I Follow Rivers (Deep Sea Baby),0.513,0.839,10,-3.763,0,0.0672,0.00588,0.0,0.115,0.611,160.021
Six Days (On The Run),2yQyhLBoQP9j8j1Flw28Cy,Darren Styles,Six Days (On The Run),0.597,0.977,3,-2.188,0,0.106,0.103,0.552,0.342,0.342,159.98
Got The Music,2jssAhP9SMK8S3SfCtqNrs,Darren Styles,Got The Music,0.613,0.932,1,-3.053,1,0.0491,0.0156,0.708,0.183,0.751,159.94
Louder,1aD5XGvR6wi6PZKtLxzpO9,Darren Styles,Louder,0.613,0.921,10,-2.96,1,0.0846,0.0333,0.145,0.349,0.411,155.016
Louder - Extended Mix,1N7n1H8xWgxpMI6Y9X2A1z,Darren Styles,Louder,0.664,0.951,7,-3.196,0,0.132,0.00268,0.154,0.316,0.422,155.003
Come Running 2022 - DS VIP,2xaoCLDPrlyeGRlbV1B6Ll,Darren Styles,Come Running 2022 (DS VIP),0.425,0.902,1,-2.685,1,0.081,0.0026,6.2e-05,0.337,0.358,169.906
Forever,2G7qua6CG3xATC1EBGWscc,Darren Styles,Forever,0.5,0.79,10,-5.159,1,0.203,0.0301,0.000104,0.0964,0.186,155.012
Forever - Extended Mix,2SAJBdNhoOUCpAnJ8UGMSe,Darren Styles,Forever,0.347,0.868,11,-5.23,0,0.202,0.00251,0.00884,0.152,0.132,155.033
Come Running 2022 - Lucky Rabbit Remix,0Qc4Hi2Hebx9uLTrKLJP4o,Darren Styles,Come Running 2022 (Lucky Rabbit Remix),0.668,0.885,1,-4.235,1,0.258,0.0246,0.00877,0.353,0.462,169.895
Come Running 2022 - Kozzplay Remix,1UgH7QpmKE1G252t19ircL,Darren Styles,Come Running 2022 (Kozzplay Remix),0.421,0.838,1,-7.583,1,0.0537,0.00569,0.000185,0.0975,0.305,150.006
Come Running 2022 - Double D WTF Remix,4EVTfcqMe4BOsUOznY0STq,Darren Styles,Come Running 2022 (Double D WTF Remix),0.464,0.921,10,-4.404,0,0.171,0.000861,0.00246,0.687,0.226,75.279
Come Running 2022 - Axel Boy Remix,5Blxj6UPGWFToDyGl5QPKL,Darren Styles,Come Running 2022 (Axel Boy Remix),0.447,0.962,1,-0.827,1,0.159,0.00559,9.55e-05,0.189,0.644,173.87
Come Running 2022 - Avi8 Remix,2AFnhQESOV7BZqWxfHBslS,Darren Styles,Come Running 2022 (Avi8 Remix),0.439,0.809,1,-5.261,1,0.0437,0.011,0.0,0.432,0.271,154.99
Save Me 2022 - DS VIP,6pY5hshwSfgwHR0jlcI2Ag,Darren Styles,Save Me 2022 (DS VIP),0.389,0.63,3,-4.039,0,0.0478,0.0184,0.0,0.162,0.251,170.036
Save Me 2022 - Andy Cain Remix,0xXVaEGRm3EXdcYlUedHmg,Darren Styles,Save Me 2022 (Andy Cain Remix),0.453,0.975,3,-6.756,0,0.0899,0.0168,0.031,0.439,0.0377,139.952
Save Me 2022 - Spearbreak Remix,4CTKuRxaxcR6SEKiRe9uHO,Darren Styles,Save Me 2022 (Spearbreak Remix),0.493,0.753,3,-3.67,0,0.0309,0.0215,0.0,0.328,0.165,155.004
Save Me 2022 - Luscious Fox Remix,3AfedmhIP58fNudkBmtptk,Darren Styles,Save Me 2022 (Luscious Fox Remix),0.615,0.653,6,-5.609,1,0.0458,0.198,0.0,0.0826,0.77,96.252
Save Me 2022 - Alexander Norman Remix,7M1gvpQwKYfYgDWmXqm00E,Darren Styles,Save Me 2022 (Alexander Norman Remix),0.489,0.887,3,-2.87,0,0.0409,0.00565,0.0282,0.206,0.0381,176.034
Dance Tonight,1dN8YYO1s6an0mb3MIWrox,Darren Styles,Dance Tonight,0.506,0.88,4,-4.711,0,0.0965,0.0115,0.0,0.0719,0.361,159.871
Superhorn,1aAfLKDKwnE7HooBxlsf2F,Darren Styles,Superhorn,0.555,0.979,1,-2.48,1,0.0924,0.0144,0.229,0.171,0.541,160.049
You're My Angel - DS VIP Edit,669paBUfzlLFC7Lhb4xqnJ,Darren Styles,You're My Angel,0.607,0.96,5,-4.109,0,0.262,0.0809,0.0648,0.0711,0.16,160.066
You're My Angel - Hypnose Remix Edit,1mCx32u41MITwQIlYTeZ6x,Darren Styles,You're My Angel,0.493,0.929,8,-6.767,1,0.102,0.00657,0.00226,0.0535,0.266,154.984
Without You,71EDJYo5gQauv0zGo0oanN,Darren Styles,Without You,0.431,0.836,1,-2.972,1,0.0652,0.0112,1.21e-06,0.0959,0.356,165.057
Need To Feel Loved,4zdXCsRLnMPknSFcH3ekxm,Darren Styles,Need To Feel Loved,0.594,0.92,2,-4.224,0,0.04,0.035,0.0107,0.34,0.459,154.985
All My Life,1wNIn3kLVSNXfOH3jumRh1,Darren Styles,All My Life,0.458,0.893,1,-4.065,0,0.106,0.0216,2.03e-06,0.197,0.294,159.99
Us Against The World - Protostar Remix,43Rv6fq5gVbzMR3mvfofEg,Darren Styles,Us Against The World (Protostar Remix),0.488,0.95,1,-3.229,0,0.0972,0.00428,0.000281,0.0704,0.0809,174.023
Wonder,27OTwxrYEXm7KowtJ8QqMN,Darren Styles,Wonder,0.449,0.985,6,-2.508,1,0.0613,0.00193,0.136,0.111,0.296,155.008
Deep End,6SriaPSxZQghSQYo7MV6gk,Darren Styles,Deep End,0.706,0.999,11,-2.99,0,0.203,0.073,0.0361,0.927,0.183,155.017
