track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
GHOST,5D0C8OIKX2QCtTP7ZgploW,Dead X,GHOST,0.496,0.959,0,-6.105,1,0.118,0.0365,0.0,0.105,0.36,169.925
POLSKA JUMPSTYLE - Dead X Remix,4QbLnkhaFHxAvDHswRG3pU,Dead X,POLSKA JUMPSTYLE (Dead X Remix),0.537,0.867,11,-6.262,0,0.155,0.0181,0.011,0.0709,0.349,160.014
Echo,2MyKfOGuKaRW9NNEva18kE,Dead X,Echo,0.532,0.977,8,-1.941,0,0.322,0.195,0.0494,0.171,0.397,159.973
Once Again - EQUAL2 Remix,0wYKG2vIxkoPJZtqPuTuFA,Dead X,The All American Boy Vol. 1,0.564,0.988,8,0.57,1,0.445,0.0144,0.000773,0.392,0.425,160.1
Riot,4YDvdt4IYPXGv3yoRH9IeA,Dead X,Riot,0.689,0.998,1,0.858,0,0.226,0.0259,0.0311,0.447,0.524,159.942
Destination,1c04CzSTZ66aP0rhrNCK6N,Dead X,Destination,0.547,0.963,5,-1.235,0,0.0673,0.0176,0.00124,0.322,0.288,159.927
GAMBLECORE,7cZcnx4U2T2H35YEnP2FPZ,Dead X,GAMBLECORE,0.624,0.987,7,-6.169,1,0.415,0.0689,3.87e-05,0.334,0.153,160.04
Something Real,6Ro2SMJErJl5xDVNHxIVTx,Dead X,The All American Boy Vol. 1,0.631,0.938,6,-1.47,0,0.333,0.181,0.000909,0.282,0.506,159.986
GAMBLECORE - LIVE EDIT,1ssbt934IgbTKCY5s8zTXZ,Dead X,GAMBLECORE (LIVE EDIT),0.496,0.928,6,-3.904,1,0.375,0.000687,3.47e-05,0.394,0.41,160.045
Turn It Up,42bRSZobB5PrsvFYAXKeqe,Dead X,Turn It Up,0.591,0.773,1,-6.4,1,0.0873,0.00369,0.00535,0.0897,0.421,160.06
Bye Bye Bye,6RQSJyFvaXwxP3oE6Pq3hs,Dead X,Bye Bye Bye,0.541,0.919,6,-1.806,1,0.345,0.0202,0.0,0.312,0.354,160.003
Once Again,17zQKX42L1t8uvqmFqQDEy,Dead X,Once Again,0.649,0.992,8,1.587,1,0.246,0.201,0.000108,0.37,0.18,160.025
Slurring,7gInOEoQ4zfuaxWhCstKep,Dead X,Slurring,0.592,0.977,0,0.091,1,0.199,0.0236,4.44e-05,0.351,0.518,160.031
Echo (Kreation Remix),5xApwvX7K9uyEvexgo0sVm,Dead X,Echo (Kreation Remix),0.457,0.961,8,-1.953,0,0.249,0.138,0.168,0.246,0.288,155.048
Voyage,4ucjmdmPraBJkaqDgR7yXU,Dead X,Voyage,0.589,0.974,9,-0.298,1,0.334,0.327,0.194,0.213,0.111,164.854
Player H8rs,1g60zElwtsu4veYYAnEPgM,Dead X,Player H8rs,0.199,0.99,7,-2.19,1,0.397,0.0263,9.26e-05,0.374,0.164,82.992
Wander,1O4SkvHwM1Y04NDVMvbBfO,Dead X,Wander,0.557,0.974,1,-4.155,1,0.248,0.0195,0.027,0.39,0.387,160.042
Be Mine,25303ywsIcSk3OZOHf0WwI,Dead X,The All American Boy Vol. 1,0.503,0.96,11,-0.562,1,0.488,0.034,1.81e-05,0.263,0.139,160.056
Come Correct,2Ga9m7IPZXKdDfkYLMLNE8,Dead X,The All American Boy Vol. 1,0.638,0.944,1,0.456,1,0.162,0.261,5.02e-06,0.129,0.491,160.013
By Your Side,6qN0vC7BaheJLZXo1wgOdy,Dead X,The All American Boy Vol. 1,0.598,0.976,5,2.083,0,0.244,0.0891,0.0235,0.2,0.136,159.868
MEDICATION,1f17ElGN6CzUhrWaramjlc,Dead X,MEDICATION,0.629,0.972,0,-1.565,1,0.148,0.0126,0.000808,0.632,0.46,160.025
Come Check This - Bangher Edit,4UHjYrll4jeWeNS0HyOWnv,Dead X,Come Check This (The Remixes),0.656,0.986,6,-2.29,0,0.185,0.0848,0.406,0.136,0.2,160.003
MEDICATION (Live Edit),1GvbMBwk94HaGEj8ugbrMc,Dead X,MEDICATION (Live Edit),0.567,0.947,0,-1.602,1,0.0994,0.000462,0.00143,0.368,0.575,160.019
BASS PUSH,3Y52INxzpm6pbzfKrfrY3Z,Dead X,BASS PUSH,0.653,0.936,0,-0.629,1,0.344,0.0812,0.000225,0.135,0.45,160.036
Morgan - Dead X,7utjOvt80MZGaDjhyOg5TS,Dead X,Huge Smile Deep Depression,0.702,0.606,6,-10.735,0,0.825,0.871,0.0,0.529,0.842,83.805
