track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
We Rise - DENNETT Remix,54SkAdOltXYgm39hJTBz9g,Dennett,We Rise (DENNETT Remix),0.663,0.862,8,-3.798,0,0.0648,0.00548,3.12e-06,0.0933,0.0762,140.108
PHYSIQUE,0wKwg6kDAaYxHHr3WYuI3P,Dennett,PHYSIQUE,0.713,0.766,1,-3.889,1,0.0345,0.000342,0.249,0.0772,0.182,140.025
Blossom,4W5THPWdOxirj5I2P25FbC,Dennett,Blossom,0.766,0.686,9,-6.629,1,0.0479,0.00248,0.823,0.195,0.12,134.988
Snooty Step,3aOZrRfhswde2esdicTi7X,Dennett,Snooty Step,0.651,0.988,2,-1.949,1,0.158,0.0382,0.957,0.151,0.0398,74.957
Block,0hole6zcxZLNgpeoiowyt0,Dennett,Block,0.728,0.914,1,-4.197,0,0.0388,0.0153,0.0596,0.112,0.194,134.994
Levels,05lUDuFLZPWT73x133qSS5,Dennett,Levels,0.447,0.879,2,-3.785,1,0.395,0.0032,0.296,0.112,0.0749,90.394
Power,2BHZ89JwtuMWnA3ZXOWic4,Dennett,Power,0.667,0.972,9,-2.987,0,0.185,0.0283,0.413,0.145,0.158,140.028
Grease,6fvaxSWLHD4srQDHFcCDGr,Dennett,Grease,0.625,0.931,0,-1.467,1,0.0877,0.0181,5.15e-06,0.179,0.274,74.993
I'm The,4HNrnQrLotRBA2VLxGI9d4,Dennett,I'm The,0.787,0.812,7,-4.106,0,0.439,0.0326,0.51,0.183,0.157,139.992
Flow,5A6SiCTOVu5KuaB5BVRZlF,Dennett,Flow,0.552,0.789,2,-2.723,0,0.0661,0.00404,0.00107,0.885,0.185,144.468
Get Down,2iyZrAr4vIEeouyMM0fNya,Dennett,Get Down,0.557,0.928,6,-3.395,0,0.127,0.00294,0.00308,0.359,0.0368,74.952
NEW REALITY,6GOYjrm4UmpDMyNzVm4AnM,Dennett,ONI,0.464,0.948,2,-5.35,1,0.895,0.0218,0.000665,0.918,0.333,69.149
CHUG,4yxJ63KikHEHYLbUf0dSLp,Dennett,ONI,0.452,0.907,3,-1.323,0,0.101,0.0437,1.06e-06,0.181,0.0691,143.16
SAY SOMETHING,2WuGYgztjXJDXimMGAHhTf,Dennett,ONI,0.495,0.736,2,-4.214,1,0.0722,0.0121,0.000475,0.0873,0.0819,78.892
Dub Street,0KvmFs2zy16nPzp8juTsbH,Dennett,Dub Street,0.651,0.844,2,-2.674,1,0.117,0.134,0.106,0.387,0.378,144.926
Fog Horn,0990RcpuL4LoxwKT8NArxp,Dennett,Fog Horn,0.647,0.934,2,-4.528,1,0.104,0.00559,0.455,0.909,0.329,138.098
Made in Heaven,0MLAZH0X0zbhF0LOwiCzCV,Dennett,AKUMA,0.429,0.793,1,-4.272,1,0.0634,0.0124,4.09e-05,0.226,0.0433,71.168
Ryu,2KYjLUVyvyhgKqSr9hmiyZ,Dennett,AKUMA,0.577,0.85,1,-2.79,1,0.0612,0.0101,0.00175,0.406,0.214,144.929
Let You Know,5ULbCGlV9R00WSO6uJaBu0,Dennett,AKUMA,0.501,0.876,2,-2.099,1,0.0807,0.00209,0.00426,0.331,0.0972,144.895
Riddim Whistle,0sga5hTJ1oQ4uxZaKrzpYB,Dennett,Riddim Whistle,0.423,0.88,0,-3.4,0,0.118,0.00791,0.000636,0.163,0.158,143.796
Beelzebub,1AiiOi9GrGU199OM5S4ZbE,Dennett,Beelzebub,0.398,0.87,10,-4.684,0,0.3,0.00625,0.00264,0.122,0.0383,149.612
Broken Glass,0DQfGdmSlaGFqbcAV0hurs,Dennett,Broken Glass,0.425,0.938,1,-4.025,1,0.506,0.00444,0.718,0.0851,0.307,149.497
Step Back - Dennett remix,5RzdLJyxXCc5uespy5Ro2u,Dennett,Step Back (Dennett remix),0.64,0.84,1,-4.047,1,0.515,0.00325,0.112,0.134,0.25,75.137
Signs,0mIDXnwtRnPU70cagpmOHt,Dennett,Signs,0.407,0.715,1,-4.783,1,0.0593,0.0132,2.88e-06,0.122,0.142,155.043
Help (DENNETT Remix),3j8el7dp1VdiAtp69xArvr,Dennett,Help (DENNETT Remix),0.43,0.952,2,-3.003,1,0.285,0.0292,2.8e-05,0.158,0.0882,142.614
