track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Pull Up,3TCmo9oC5hlzCGzlTFZ0u5,Discip,Pull Up,0.759,0.887,6,-6.225,1,0.0672,0.00471,3.28e-05,0.474,0.526,129.005
Mind Games,0eKOn3pMNfyrG2FvJNkbcc,Discip,Mind Games,0.796,0.828,6,-6.366,1,0.0508,0.00127,0.114,0.152,0.883,127.99
Serotonine,7brE4PDHUmdJMFle4OTTAA,Discip,Serotonine EP,0.771,0.867,7,-9.635,1,0.0474,0.00629,0.709,0.112,0.663,128.015
LMK,19xTGKIRasUy60rgJ5d6fC,Discip,Bad Influences EP,0.801,0.813,9,-6.602,0,0.0514,0.00121,0.607,0.0991,0.526,127.973
Soso,5NjWYcVsS76bkBDZjnuvvi,Discip,Serotonine EP,0.75,0.833,1,-11.093,1,0.0463,0.0391,0.827,0.0458,0.801,127.995
Bad Influences,5FP79y6f2WO44VoWwkOocx,Discip,Bad Influences EP,0.801,0.929,9,-5.072,1,0.0489,0.000167,0.0892,0.0922,0.716,127.986
ATSW,3TMAto5qUk2J9VkCBEvRUa,Discip,ATSW,0.748,0.67,11,-11.192,0,0.0604,0.00623,0.0154,0.119,0.572,127.973
No Stop - Original Mix,4EclxZl6MofhahgtDLFAkn,Discip,Endless Energy,0.759,0.764,1,-9.846,1,0.0463,0.00674,0.662,0.446,0.324,127.995
Dopamine,5Yv7lzyn7SgqEouE2HWVuY,Discip,Dopamine EP,0.799,0.728,8,-9.802,1,0.0508,0.0373,0.612,0.0795,0.492,128.0
Blow,29CKdheHtIOpEcA6ewA0fS,Discip,Blow,0.803,0.632,9,-9.462,1,0.082,0.00198,0.404,0.0297,0.561,127.979
U.,1bxRhny4DaTgTe4ReIRTvn,Discip,Dopamine EP,0.8,0.838,2,-8.349,0,0.0436,0.00076,0.876,0.0581,0.464,129.999
High Contact,72ISq01svmHFT1oOIfz2Br,Discip,In-Vision EP,0.777,0.8,7,-7.45,1,0.0431,0.0383,0.895,0.075,0.647,127.993
Endless Energy - Original Mix,7oiTjEPLHj50vR6u2qkuKN,Discip,Endless Energy,0.8,0.751,9,-8.277,1,0.0563,0.00714,0.635,0.108,0.901,128.023
Que Chulo,0S3uleTytPuxzuWF0zBeuL,Discip,In-Vision EP,0.794,0.923,10,-7.748,0,0.0496,0.00179,0.907,0.0482,0.733,128.983
No Bigger,4LH1RviAfT17HfVahn87Eh,Discip,Cause Statement EP,0.653,0.945,1,-7.652,1,0.0455,0.0079,0.0025,0.0808,0.785,128.974
In-Vision,2A2r64ub8dKgMtToT0rxsC,Discip,In-Vision EP,0.739,0.872,10,-7.115,0,0.0415,0.0286,0.251,0.114,0.703,128.985
WWYS,1JQ7gjQC8vOfSg4qpN1Ct5,Discip,Sometimes EP,0.803,0.81,1,-10.212,1,0.0502,0.000255,0.68,0.0929,0.481,128.022
TNT,08PkHyfr0QHU44Uh5dYtQE,Discip,TNT,0.803,0.71,6,-8.853,0,0.0528,0.000155,0.879,0.0734,0.626,128.997
No Stress,2u29XHvQLoHwbuTsK64fJQ,Discip,Mind Off,0.794,0.817,6,-9.578,0,0.0512,0.0445,0.545,0.302,0.564,130.024
Mind Off,0yiBVwWJkUDQlb10uQS5cp,Discip,Mind Off,0.808,0.902,11,-7.168,0,0.237,0.00386,0.756,0.312,0.694,129.001
Sometimes,1giHKt7yBWHWeidzORwsE8,Discip,Sometimes EP,0.803,0.862,0,-9.642,1,0.0443,0.0143,0.729,0.0959,0.75,128.002
We Move - Original Mix,6DjTYK5RFXQ3RGQqq2dm1X,Discip,Endless Energy,0.719,0.67,9,-10.631,1,0.047,0.0164,0.801,0.13,0.526,128.995
Juz Listen',15eTDNwIpjIb4eHkN2GbNz,Discip,Juz Listen',0.799,0.741,7,-11.14,1,0.0532,0.00395,0.711,0.0718,0.392,128.004
Groove It,5tdJbibGmEfgxlzPBGWr9S,Discip,Juz Listen',0.789,0.781,7,-9.541,1,0.0401,5.11e-05,0.654,0.067,0.468,127.98
Rockin´,2MpZiROY3SSULvWgAdoSJd,Discip,From Mars,0.8,0.852,1,-8.99,1,0.0715,0.00488,0.723,0.0223,0.8,128.005
Crazy,3wgBdv6hYsIvXPZp6ybUge,Discip,TNT,0.803,0.581,11,-9.702,0,0.0717,0.000155,0.716,0.0622,0.496,128.007
Talkers - Original Mix,0LOsHKicjY9OmgPwmBHtzH,Discip,Talkers,0.799,0.84,2,-8.475,1,0.0485,0.0023,0.912,0.0578,0.923,127.006
From Mars,24W5cyHlXOzYWjQSedNfgJ,Discip,From Mars,0.809,0.892,11,-8.454,0,0.0642,0.0022,0.87,0.0624,0.81,127.986
WWYS - Iglesias Remix,6NGuHT0fPzXYwmTWfReoBc,Discip,Sometimes EP,0.805,0.854,7,-8.397,0,0.0498,0.00027,0.935,0.0935,0.936,128.008
No Idea,7kBCauc95AUDLqSI5f6im4,Discip,TNT,0.805,0.606,9,-8.383,0,0.0678,0.000422,0.863,0.167,0.774,127.992
Break It,6019mfxx7QQEPkhgxZEfdz,Discip,Way Out VA 3 Years,0.803,0.779,1,-5.16,1,0.0492,0.000251,0.29,0.0906,0.754,128.025
Warp School,1uvb2cNuCAKBGcfpkIUkRN,Discip,Argentinian Compilation 02,0.801,0.806,8,-9.046,1,0.0959,0.00166,0.871,0.0733,0.475,127.993
