track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
La Batteria,09GeLKK8IwFBEUVzLlhVQ0,DJ Gigola,La Batteria,0.715,0.943,3,-6.621,0,0.296,0.0153,0.506,0.114,0.35,75.106
Siente (el Ritmo),34rWIUp98ZARnIgAba42fa,DJ Gigola,Bigroom Sensual,0.758,0.816,5,-6.785,1,0.0475,0.00807,0.767,0.101,0.61,144.957
In the Mood,0tIJQNaGHFGhcZGEHJHc9l,DJ Gigola,In the Mood,0.755,0.788,1,-9.96,0,0.0447,0.000355,0.918,0.0949,0.168,140.017
Ich bin ready - X-Coast Version,2IVAcx2YfdIzXSIBxfzwTq,DJ Gigola,G-COAST,0.781,0.907,6,-7.028,0,0.0519,0.015,0.862,0.311,0.276,137.983
Mas Y Mas,2UmrBesOGiBbLD4MkKAE5a,DJ Gigola,No Es Amor,0.748,0.528,0,-9.252,1,0.0495,0.0657,0.763,0.115,0.583,134.966
Gratitude Practice,5zOlczpEVXipWqjeY45wuu,DJ Gigola,Fluid Meditations,0.725,0.637,9,-15.275,0,0.067,0.0257,0.733,0.631,0.193,147.019
Papi,5nUak2SyLdYMVz8cj19Dl2,DJ Gigola,Tender Trance,0.725,0.745,1,-7.199,1,0.123,0.00129,0.519,0.136,0.903,139.993
La Batteria - DBBD Remix,6lTxhUWmxtveadIW80BoCD,DJ Gigola,La Batteria (DBBD Remix),0.741,0.959,11,-6.192,0,0.0791,0.00226,0.88,0.0776,0.303,154.002
Stream State,7JiVHLg0xMXn6ct4VSMyCr,DJ Gigola,Fluid Meditations,0.719,0.63,7,-14.572,1,0.085,0.303,0.805,0.205,0.231,133.009
Sueño,0IkD7mz4zUWFjgoGuXt982,DJ Gigola,Sueño,0.682,0.9,2,-7.284,1,0.0416,0.015,0.845,0.0883,0.261,132.988
No Es Amor,2mHl80Ggpr6xLXcka9iP5z,DJ Gigola,No Es Amor,0.681,0.407,1,-9.84,1,0.0644,0.00255,0.747,0.131,0.622,129.975
I think of you (sometimes),1jUfcZKN5Qpfve6JlXRfnc,DJ Gigola,Bigroom Sensual,0.744,0.91,4,-8.698,0,0.0728,0.00267,0.857,0.162,0.277,140.001
Ich bin ready - DJ Gigola Version,3Ry9dkzz7YbemcIXCw1P4e,DJ Gigola,G-COAST,0.773,0.78,0,-8.879,1,0.0517,0.00193,0.655,0.309,0.894,139.996
LSD XTC - DJ Gigola and Kev Koko Paranoia Mix,1s3HUCjebrJiB4GVMJyUt3,DJ Gigola,What Is A DJ If He Can't Care,0.609,0.973,1,-7.242,1,0.0747,0.000949,0.685,0.331,0.684,148.01
badthiings (rip avicii) - DJ Gigola Remix,5N67XcghiXS3zggEygnsCA,DJ Gigola,GOODBYE SALÒ THE REMIXES,0.702,0.732,6,-5.827,1,0.055,0.00119,0.479,0.138,0.585,146.007
Ibiza 2007,3dK4wn9AkJdEUVxzUwgiT0,DJ Gigola,Tender Trance,0.618,0.868,7,-7.968,1,0.0474,0.000179,0.809,0.0253,0.655,141.992
Affirmation Practice,39Z2MPfIxIrQVYRY8vgw5j,DJ Gigola,Fluid Meditations,0.812,0.381,11,-11.131,0,0.358,0.0846,0.483,0.123,0.136,180.019
La Batteria - Extended Version,0p7cv8iIzpLoFNkPmcnNWp,DJ Gigola,La Batteria (The Remixes),0.72,0.958,6,-7.632,1,0.201,0.00649,0.641,0.0888,0.124,75.027
La Batteria - X-COAST Remix,6HClx0gNRN4CD4EzMKf7o9,DJ Gigola,La Batteria (X-COAST Remix),0.642,0.884,1,-6.392,1,0.0545,0.000567,0.771,0.0747,0.405,172.012
La Batteria - Dj Babatr Remix,54tbzVAA0cxLIOMsETLQq0,DJ Gigola,La Batteria (The Remixes),0.752,0.952,0,-6.779,1,0.0515,0.00265,0.827,0.0951,0.391,143.011
Embodiment Practice,7mU6lHW885HUiJgfuKVwqV,DJ Gigola,Fluid Meditations,0.883,0.362,4,-15.156,0,0.388,0.404,0.0143,0.371,0.437,110.025
Unfolding Practice,7KzoQiBhFaqafcNw5ofXsn,DJ Gigola,Fluid Meditations,0.239,0.377,9,-18.546,0,0.0762,0.866,0.288,0.371,0.247,135.447
Beso De Angel,6lfQojRknzD5ogdnAUOwBV,DJ Gigola,No Es Amor,0.843,0.523,9,-8.494,1,0.131,0.00911,0.00875,0.127,0.369,139.964
Head2Toe,0RWdJKqpNcrbOw60DkGoae,DJ Gigola,In the Mood,0.762,0.905,9,-9.093,1,0.045,0.000371,0.907,0.185,0.855,139.995
Outro,6EkSQurlzs66TOXKJXEzvy,DJ Gigola,Fluid Meditations,0.344,0.309,2,-18.637,0,0.305,0.837,0.108,0.343,0.476,177.086
I Dream,11sYiWOe56kOdOxD8qfEgG,DJ Gigola,I Dream,0.779,0.688,0,-10.592,0,0.0597,0.00891,0.878,0.0826,0.147,138.005
Intro,083iHoOECNjA2Zoa6HbcUL,DJ Gigola,Fluid Meditations,0.516,0.45,2,-18.785,1,0.234,0.114,0.00953,0.309,0.306,160.003
Presence Practice,3Z0jWSMDH1WoEO3ZC9zzM8,DJ Gigola,Fluid Meditations,0.706,0.245,2,-17.495,1,0.499,0.27,0.395,0.111,0.0387,159.698
sextasy dealer,7eybJpDQx9HBitOZ0J4sQv,DJ Gigola,sextasy dealer,0.683,0.994,11,-9.704,0,0.0684,0.06,0.836,0.195,0.885,159.985
Blow,1qngVpQPNUStlo1WFMEjwz,DJ Gigola,Sueño,0.596,0.92,10,-7.66,0,0.0534,0.000285,0.83,0.0559,0.544,138.002
Como Se Dice - DJ Gigola Remix,7d2roPoeml8JBbSQW653p9,DJ Gigola,Como Se Dice (DJ Gigola Remix),0.738,0.899,1,-8.606,1,0.0638,0.00203,0.493,0.0833,0.225,150.012
