track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Trigga Finga,3JqwoR9tMmJ80SI5LHE9b8,DJ Isaac,Trigga Finga,0.774,0.981,6,-8.065,0,0.175,0.0566,0.464,0.114,0.0497,155.128
"Face Down, Ass Up",3PI0TiwdBwwHG4aL93Jw7o,DJ Isaac,"Face Down, Ass Up",0.901,0.897,11,-4.368,1,0.0818,0.0553,0.0533,0.0743,0.383,140.044
Bad Dreams,0zeciGkcEbHGLoU82sBTRZ,DJ Isaac,We Like Marihuana,0.753,0.827,6,-8.15,1,0.0724,0.0108,0.835,0.0572,0.075,174.078
Bitches,5DmksdbpypZd709H95ES1c,DJ Isaac,Bitches,0.644,0.97,9,-5.184,1,0.0743,0.00188,0.032,0.0796,0.777,74.987
"Face Down, Ass Up - 1998 Original",2T59W8J5FdLvgdmpkXhvUJ,DJ Isaac,"Face Down, Ass Up",0.916,0.81,11,-7.637,1,0.1,0.0556,0.0633,0.208,0.412,140.072
I Wanna Be a Gabber Baby,2FY2ZMvabK4hC1IrNrbTL1,DJ Isaac,I Wanna Be a Gabber Baby,0.676,0.86,4,-10.27,1,0.184,0.000247,0.699,0.0487,0.413,189.982
Feel So Good,0fnrHmbApoVm9Zt8jIwKsi,DJ Isaac,Feel So Good,0.501,0.885,3,-4.75,0,0.0505,0.00561,0.0807,0.469,0.106,155.119
Rave Now,2sVrVKIkrKZ8Vn9k0k3IfR,DJ Isaac,Rave Now,0.666,0.981,6,-3.352,1,0.122,0.00994,0.756,0.314,0.0945,150.017
World Renowned,6LNfKW19l2ETXWiOlguLf7,DJ Isaac,World Renowned,0.53,0.964,5,-2.117,0,0.0571,0.0111,0.000106,0.433,0.297,150.021
Power Hour - Radio Edit,7uUuUwsnjrV503vr4EQyiF,DJ Isaac,Power Hour,0.524,0.994,1,-3.197,0,0.0765,0.00205,0.747,0.3,0.338,150.019
Harder State Of Mind,3QeEf7TMugwZkmn0hPmXio,DJ Isaac,Harder State Of Mind,0.515,0.94,9,-2.452,0,0.0478,0.0044,1.06e-05,0.23,0.284,150.051
Heaven - DJ Isaac Remix,6If6tXpbwYs5zBop1AqfwG,DJ Isaac,Heaven (Remixes),0.3,0.897,0,-1.6,0,0.0481,0.0251,0.0,0.328,0.237,150.062
The Realm - Spotify Version,14CTM9DwJaavPHciHOsOTY,DJ Isaac,The Realm,0.517,0.98,8,-5.194,0,0.0964,0.00516,0.279,0.486,0.186,150.042
I Want You,67l1rBGrnkh7642qmpWE3K,DJ Isaac,I Want You,0.634,0.895,1,-4.445,1,0.216,0.0389,0.264,0.18,0.0935,150.057
Stick Em - Radio Edit,48ZZGQggJxGj6ugOm59xAH,DJ Isaac,Stick Em,0.378,0.926,4,-4.385,0,0.0682,0.00142,0.783,0.0827,0.0342,130.166
Rise,1rT7b6aDpU8jERHwOoRbi4,DJ Isaac,Rise,0.412,0.885,8,-5.208,0,0.212,0.0232,0.632,0.205,0.0364,155.051
Fascinating Rhythm,6hJGbVAtyWL0N0ZZrS96oc,DJ Isaac,Fascinating Rhythm,0.585,0.963,7,-2.908,1,0.33,0.0768,0.0158,0.43,0.128,150.017
Unbreakable,7w9PqqFdP3ornAItDwhppj,DJ Isaac,Unbreakable,0.529,0.891,7,-3.926,1,0.086,0.0119,5.56e-05,0.197,0.384,149.975
Slave To The Rave,32ncEXDqBzDyblpzdcGRWB,DJ Isaac,Slave To The Rave,0.543,0.886,9,-3.689,0,0.136,0.0278,1e-05,0.148,0.175,150.081
Alive,4HjZ3SbMwO0zuldSRVPyJ1,DJ Isaac,Alive,0.503,0.86,8,-4.321,0,0.0266,0.298,2.32e-05,0.0966,0.483,149.948
Digital Nation - Radio,45BlI5Ubf4iSGszPf6ntAo,DJ Isaac,Digital Nation,0.501,0.998,8,-2.828,0,0.0916,0.000442,0.518,0.488,0.354,150.013
Burn (Sub Zero Project Remix),3dwEwzejQANVY8VrOOv7vA,DJ Isaac,Burn (Sub Zero Project Remix),0.612,0.966,9,-1.396,0,0.109,0.00139,0.0097,0.353,0.166,149.992
Ctrl - Radio edit,0Jg47dyQVfPfSJndHmIAr2,DJ Isaac,Ctrl,0.622,0.995,3,-2.383,1,0.147,0.00219,0.0365,0.42,0.284,150.108
I Wanna Be A Gabber Baby - Radio Mix,7hbu868ox8WXkCTrMsT88u,DJ Isaac,I Wanna Be A Gabber Baby,0.596,0.99,0,-1.957,1,0.0886,0.0053,0.106,0.275,0.694,189.965
Party People,5iDQ96YWbADduqbswcLzNX,DJ Isaac,Party People,0.448,0.96,5,-1.797,0,0.388,0.029,0.00357,0.356,0.24,150.005
Feel So Good - Creeds Remix,5e5LDEFKg598LsLDRkBo6Y,DJ Isaac,Feel So Good (Creeds Remix),0.551,0.975,7,-4.576,1,0.108,0.019,0.587,0.511,0.0393,160.048
Till The Sky Falls Down - DJ Isaac Remix,7ySjTEmqZa9VuffXEnWjP9,DJ Isaac,"The New Daylight (Remixes, Pt. 2)",0.37,0.881,2,-2.994,0,0.0492,0.0155,0.00222,0.157,0.0382,149.927
Trigga Finga - Mixed,7kBX74qTDG5bmsxhJOTR3I,DJ Isaac,Hardcore History 2023 - The Ptp 25th Anniversary Edition (Mixed),0.709,0.916,6,-7.809,0,0.271,0.0707,0.701,0.0902,0.0619,160.519
"Face Down, Ass Up - Original 1998 Radio Mix [Mixed]",18eS10ftuBLbzNSpTixcj8,DJ Isaac,Hardcore History 2023 - The Ptp 25th Anniversary Edition (Mixed),0.906,0.809,11,-6.62,1,0.101,0.118,0.108,0.0719,0.291,145.689
Spaceman (I Always Wanted You To Go),6DYptAylnpJSgb5vjZ4Fdy,DJ Isaac,360 Blue,0.519,0.866,2,-1.885,0,0.117,0.000836,0.0163,0.567,0.274,154.944
Nobody Likes the Records That You Play,3AIG0y0zLY6xaZNOMVcfDJ,DJ Isaac,Nobody Likes the Records That You Play,0.903,0.98,11,-5.024,1,0.209,0.000977,0.13,0.215,0.33,140.026
Digital Nation - Extended,5YJ1QhgbyHwfLhwW4xttsF,DJ Isaac,Digital Nation,0.544,0.997,1,-2.994,1,0.117,0.000596,0.601,0.0893,0.257,150.016
Ctrl - Extended version,0c8bmR1KYNrZBq3cVvWeT5,DJ Isaac,Ctrl,0.699,0.984,8,-2.733,1,0.196,0.00117,0.0108,0.055,0.548,150.025
Go Insane - Coone remix,3ZQQrbkmtiReYQewf5HF6O,DJ Isaac,Welcome To Dirty Workz! EP,0.613,0.937,7,-5.464,1,0.0575,0.0429,0.263,0.0776,0.38,150.011
Rip Shit Up - DJ Isaac Remix,374z13w6o9jJxZ2ArXJ1J3,DJ Isaac,Rip Shit Up,0.753,0.756,9,-11.116,0,0.0956,0.00663,0.841,0.193,0.206,171.07
Loving You 2022,38UPF5qSnqvtRMhisFgVLl,DJ Isaac,Loving You 2022,0.603,0.929,9,-3.157,1,0.224,0.0298,0.0019,0.247,0.193,150.056
Takin' Off - DJ Isaac Remix,60JJ3yXAFvOB3jCFfYJc3c,DJ Isaac,Takin' Off (DJ Isaac Remix),0.469,0.957,2,-2.794,1,0.145,0.000366,0.0113,0.88,0.0799,149.869
The Realm,6xw2PYFRjTSorARB7W68Nt,DJ Isaac,The Legacy,0.468,0.979,4,-5.164,1,0.114,0.00547,0.311,0.624,0.164,153.947
Let There Be Hardstyle,6rnOUCqT6YOxX2ZAiuYVnN,DJ Isaac,Let There Be Hardstyle,0.437,0.983,6,-1.296,0,0.112,0.00637,0.769,0.426,0.393,149.979
Bad Dreams (Remix),2cckqWzY5bWyQUMxvtcy2f,DJ Isaac,Hardcore Never Dies,0.748,0.908,6,-6.422,1,0.113,0.00469,0.841,0.0976,0.074,174.002
Burn - Radio Version,68xGMc432he3KOsPlGnQ78,DJ Isaac,Burn,0.534,0.96,7,-2.54,1,0.0727,0.00807,2.21e-05,0.061,0.375,150.121
Digital Nation,7G8YuERDhkj0LB7YIjgkHq,DJ Isaac,The Legacy,0.498,0.997,1,-3.433,1,0.0954,0.000239,0.267,0.38,0.491,149.997
Impressed,1sNuLWB8P61SooM1OgyPYJ,DJ Isaac,Impressed,0.716,0.859,6,-4.665,0,0.135,0.000603,0.0904,0.0827,0.0683,146.002
Bitches and Money,3peAyh3ONEWnU9mn5NAPUU,DJ Isaac,Sex on the Casio,0.721,0.645,8,-9.465,1,0.117,0.000335,0.14,0.295,0.0396,180.093
Pirates,1XVzBHrn9WrocIyKiwpzQn,DJ Isaac,Pirates,0.617,0.982,4,-3.324,0,0.038,0.0143,0.95,0.263,0.0389,128.016
Mister Mister Scarface - DJ Isaac Remix,6Wk9OJTAUFhaHDHET9E4iO,DJ Isaac,Mister Mister Scarface,0.595,0.912,1,-7.838,1,0.108,0.000349,0.634,0.414,0.377,177.114
Find Me,1qMpizsteqlAZ1AHcQV6wn,DJ Isaac,Find Me,0.558,0.951,1,-2.367,0,0.0704,0.000881,3.55e-05,0.287,0.101,149.956
"DJ, Ease My Mind - Edit",5U7ZQoblOoHyO2Mpfm3w7V,DJ Isaac,Hard With Style,0.558,0.788,8,-5.692,0,0.0399,0.00355,0.0249,0.137,0.118,149.952
Bitches 2016,1dbwDMQWiHhMlwntuVb0D5,DJ Isaac,Bitches 2016,0.567,0.988,10,-4.324,0,0.0966,0.000213,0.223,0.136,0.583,150.005
Bass and Sound,5pHbvBVaXafUTgqC9JqwUg,DJ Isaac,I Wanna Be a Gabber Baby,0.63,0.833,4,-11.626,0,0.0805,0.117,0.66,0.08,0.394,177.022
Follow Me,3kklJVrwStjTgiW4DcrDmq,DJ Isaac,Follow Me,0.616,0.935,9,-3.021,0,0.193,0.129,0.00121,0.123,0.314,75.012
2 Definitions,4EX2f8UZ2jsXu83ThScQvU,DJ Isaac,2 Definitions,0.637,0.944,2,-5.795,1,0.0907,0.0323,0.722,0.283,0.336,174.064
Down with Me,6j3KmLFCz2cOcfQGjNvmi3,DJ Isaac,Down With Me,0.573,0.941,1,-2.76,1,0.0609,0.0502,0.0487,0.444,0.476,149.898
