track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Intro,21yxtTOttHCofM9Wff79Lo,DJ Noriken,Shinonome,0.349,0.826,0,-5.628,1,0.0427,0.114,0.969,0.233,0.231,170.12
Shinonome (Far East 4AM Extended),7FetlDuWBd7gHEnoVkCjeo,DJ Noriken,Shinonome,0.39,0.972,5,-3.465,0,0.242,0.00494,0.128,0.385,0.144,174.973
Remedy,7DrduZhTxEaDEbM88GcWh0,DJ Noriken,Shinonome,0.47,0.989,6,-3.098,0,0.0884,0.0417,0.357,0.354,0.285,169.972
Put Your Handz Up,0eZIVboT97QkMMecxAzQ1Z,DJ Noriken,Shinonome,0.44,0.988,8,-2.628,1,0.151,0.00788,0.00276,0.333,0.382,170.026
Luminosity (Don't you worry) - Extended Mix,108zR9kP062gdtUidWe5mf,DJ Noriken,Shinonome,0.338,0.96,10,-3.451,0,0.243,0.00975,0.038,0.206,0.298,174.992
Ms.Rave & Mr.Bounce - 170 Hardcore Mix,797nvNaAv5pMf3BKb8X2PT,DJ Noriken,Shinonome,0.359,0.996,11,-2.398,1,0.331,0.00802,0.534,0.413,0.416,170.03
OMT,3JHWqsCG4j4yHcYa9G84TM,DJ Noriken,Shinonome,0.457,0.978,9,-3.373,0,0.234,0.021,0.15,0.23,0.308,160.015
Tidal Current,08wHgwqeoVOvz6vy8YoxIb,DJ Noriken,Shinonome,0.395,0.959,10,-3.517,0,0.0405,0.0505,0.721,0.202,0.481,173.96
Natsunohate,7xdXCNZJnPEeXYgVMT9ze4,DJ Noriken,Shinonome,0.452,0.96,11,-3.277,0,0.0631,0.0156,0.000869,0.378,0.393,170.029
#I_WNNA_B_WIZ_U_2.0,0zBOzUUGbvA1XVFom8UNE6,DJ Noriken,Shinonome,0.52,0.833,4,-3.374,0,0.0559,0.0303,0.0844,0.0999,0.284,170.055
Moment - Album Edit,3KVpZ4fThAJh8mct4TAqtS,DJ Noriken,Shinonome,0.563,0.968,4,-4.666,0,0.134,0.034,0.145,0.281,0.243,140.984
