track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Flying Spaghetti Monster,4xR8WarYFHHgQ7S9SyR3Gn,Doctor P,Animal Vegetable Mineral Pt. 1,0.665,0.913,1,-2.301,1,0.0461,0.000148,0.412,0.384,0.439,100.004
Lions - Doctor P Remix,6exH1RP0wkEQgfHJ3rd2mP,Doctor P,Lions (Doctor P Remix),0.603,0.964,2,-1.987,0,0.123,0.00265,0.23,0.173,0.399,150.125
Tetris,2MeRaA1Q1Y0bd0JYO4dLCQ,Doctor P,Tetris (Dirt Monkey Remix),0.352,0.948,4,-1.58,0,0.0351,0.000705,0.244,0.0692,0.37,140.084
Won't Let Go,0SsqHQVCCjnQH4tH3LLEgJ,Doctor P,Won't Let Go,0.583,0.8,5,-3.656,1,0.0412,0.00801,4.03e-05,0.223,0.136,150.012
Bulletproof,2f3PsWY8hRvA9ESrLQPBei,Doctor P,Animal Vegetable Mineral Pt. 1,0.579,0.861,5,-2.987,0,0.0336,0.00104,0.0645,0.278,0.265,139.973
Flashback,63ZSvQjMKRnk8Gea15vymN,Doctor P,Doctor P & Flux Pavilion,0.715,0.986,5,-0.79,0,0.053,0.0545,0.0251,0.212,0.475,145.053
Going Gorillas,71u1D3efaLyqDOWZI6agYe,Doctor P,Going Gorillas,0.527,0.94,10,-1.895,0,0.0453,0.00264,0.509,0.686,0.0913,173.962
The Pit,5v7DY1Aopsv1aqOmKsIqPw,Doctor P,The Pit,0.62,0.899,1,-2.364,1,0.223,0.00181,0.0,0.0941,0.765,87.54
Wider,6DuO020f3wHhtCuCtaWRFT,Doctor P,Doctor P & Flux Pavilion,0.649,0.98,1,-1.49,1,0.0631,0.00212,0.168,0.24,0.21,145.04
Party Drink Smoke,0HOsAMV1IcuQXGe0dJze9J,Doctor P,Party Drink Smoke,0.76,0.843,4,-4.364,1,0.231,0.00208,0.0335,0.224,0.336,74.984
WDGAF,5Z3kCJv6U3hQ6Ti7ujd8Fj,Doctor P,WDGAF,0.628,0.985,6,-0.695,0,0.0862,0.145,0.221,0.729,0.314,75.005
Big Boss - Zomboy Remix,0cSLGHLEuJmyBRPgWw7usr,Doctor P,Circus Four,0.455,0.973,5,-2.125,1,0.281,0.00125,0.349,0.152,0.0772,75.05
The Feeling,7DXRgg3EGIKaH7OwCpOnI7,Doctor P,Circus Four,0.464,0.977,4,-0.951,0,0.0523,0.000239,0.881,0.092,0.231,145.017
Wasabi,0bm5Knfk6RmT9aluocj1rY,Doctor P,Wasabi,0.456,0.978,11,-2.198,0,0.0404,8.32e-05,0.829,0.355,0.0399,145.024
Rubber Dub,5ExRGge6pYzTpzxICY0euO,Doctor P,Doctor P & Flux Pavilion,0.499,0.932,8,-3.406,1,0.0422,0.00157,0.0539,0.0842,0.186,72.492
Fluffy Cowboy,0SHYdo3jV5o6ns9J54bPAS,Doctor P,Fluffy Cowboy,0.388,0.943,11,-3.2,0,0.124,0.00201,0.024,0.269,0.266,145.028
Feel Good Ltd,17Zx4iKhPhyovKzL1UM1yN,Doctor P,Feel Good Ltd,0.664,0.979,2,-1.373,1,0.0565,0.0436,0.0428,0.12,0.505,144.96
Galaxies and Stars,6eoexhkdG1RyxSSq8hpud8,Doctor P,Animal Vegetable Mineral Pt. 1,0.622,0.848,3,-2.108,0,0.0361,0.00238,4.29e-06,0.402,0.274,110.044
Arcade Fire,6oXQKW4cXq2c1HaTycVIlF,Doctor P,Arcade Fire,0.469,0.987,1,-3.371,1,0.154,0.000517,0.349,0.753,0.362,144.886
The Champagne Böp,5SodulGtVYpE54Pki40MPv,Doctor P,The Champagne Böp,0.461,0.948,2,-1.32,1,0.0412,0.00106,0.000773,0.0418,0.255,70.01
OD - VIP,6EVLJCD7mlODx8IrnwdJ6V,Doctor P,OD (VIP),0.596,0.98,4,-1.204,1,0.094,0.012,0.0386,0.14,0.213,150.026
Turbo Time,0HVkrwWYM1zU492p17ykoP,Doctor P,Turbo Time,0.605,0.959,10,-1.935,0,0.0737,0.00218,0.84,0.112,0.56,75.04
Fuego Con Fuego,2fIPSSLSG1vFX80Gn0UZis,Doctor P,Doctor P & Flux Pavilion,0.799,0.978,2,-2.17,1,0.0622,0.0108,0.00497,0.0577,0.0995,145.003
Last Ones Standing - Doctor P Remix,7FGvm1cAbiftl1o2rCdPQ7,Doctor P,Last Ones Standing (Remixes),0.542,0.951,7,-3.693,1,0.0501,0.00576,5.36e-05,0.113,0.17,140.052
Sweet Shop - Shlump Remix,32Sg90bqQR0aaOYDNFuYBU,Doctor P,The Remixes,0.617,0.971,9,-2.425,0,0.0434,0.000484,0.621,0.429,0.245,139.993
Tetris - Dirt Monkey Remix,3EudaN6oPKU6PZ2ObUEVNV,Doctor P,Tetris (Dirt Monkey Remix),0.596,0.915,6,-3.012,0,0.0489,0.00424,0.0407,0.632,0.403,144.955
24/7,0ai5YvHe7fjW1siaDf5LDH,Doctor P,Fluxiverse Vol. 1,0.457,0.97,1,-4.622,1,0.0884,0.000381,0.0953,0.111,0.184,144.791
Way To You,73nYzeai67LuuJSuMfrAiZ,Doctor P,Way To You,0.585,0.928,1,-2.5,1,0.0414,0.057,0.000594,0.37,0.493,145.951
Rekt Together (Every Single Night),0UzzEsG0OQr6mgePUVgA1I,Doctor P,Rekt Together (Every Single Night),0.504,0.95,4,-1.592,1,0.0518,0.00198,0.0324,0.117,0.568,75.057
Rekt Together (Every Single Night) - Bebi remix,46y4z4r9qr8VNMRdrUh5hp,Doctor P,The Remixes,0.415,0.927,2,-3.479,1,0.0376,0.17,1.41e-05,0.147,0.417,149.991
Going Gorillas - Doctor P's Bananas Remix,3Cvr4eW46fRb3QGhfSRmgX,Doctor P,Going Gorillas (Doctor P's Bananas Remix),0.749,0.921,2,-0.792,1,0.0358,0.073,0.0434,0.0792,0.424,100.05
Keep On Dancing,7bNNfqyoLYULrXqqZfTAns,Doctor P,Animal Vegetable Mineral Pt. 1,0.557,0.86,10,-2.48,0,0.0286,0.000617,0.0139,0.16,0.365,139.996
Sweet Shop - Hamdi Remix,61aqRPHpqpy3HScBCaBZdJ,Doctor P,Sweet Shop (Hamdi Remix),0.576,0.886,11,-4.11,0,0.0368,0.0341,3.66e-05,0.341,0.422,140.012
Pen Island,46k7lgwEMV6ZJDRrwqiy8j,Doctor P,Doctor P & Flux Pavilion,0.584,0.966,1,-1.393,1,0.0426,0.00053,0.827,0.126,0.483,145.016
Without You - Doctor P & Flux Pavilion Remix,7ymMizaXkuzDP7GpwQI6Lg,Doctor P,Without You,0.615,0.992,0,1.314,1,0.045,0.000286,0.0499,0.317,0.389,140.013
No Escape (Doctor P Remix),54txLD5WxfSvC6H4xXWPIb,Doctor P,No Escape (Doctor P Remix),0.482,0.974,1,-2.66,1,0.0762,9.81e-05,0.267,0.743,0.329,173.988
Flying Spaghetti Monster - Spag Heddy Remix,6YpcqOHKlcG0MZr7PBviZE,Doctor P,The Remixes,0.578,0.992,1,-1.401,1,0.0849,0.000622,0.00526,0.236,0.718,145.109
Big Boss - Mark The Beast Remix,20xiatHzepqFaXwJ00k3JO,Doctor P,Big Boss (Mark The Beast Remix),0.513,0.882,1,-4.185,1,0.0833,0.000631,0.568,0.113,0.0663,145.002
Party Drink Smoke - Cookie Monsta VIP,1PWB5siRoIBU4BML4Wi3o7,Doctor P,Party Drink Smoke (Remixes),0.76,0.919,9,-3.629,1,0.255,0.00276,0.00849,0.124,0.406,75.007
Yim Yam - Teddy Killerz Remix,1iIIOPWpanzHg1HlSqTEyN,Doctor P,Yim Yam (Teddy Killerz Remix),0.493,0.983,10,-0.743,0,0.14,0.00426,0.142,0.225,0.31,173.963
Bulletproof - Chime Remix,1cdvSFoCdTpNbAgpEzlh6W,Doctor P,Bulletproof (Chime Remix),0.363,0.74,5,-3.432,0,0.14,0.0327,0.0,0.0776,0.518,150.715
Something To Believe In,0uNpMa0l0eJH4BvqTNjPwI,Doctor P,"Animal Vegetable Mineral, Pt. 2",0.584,0.961,9,-2.099,1,0.151,0.000295,0.000984,0.313,0.171,145.015
Big Boss - DirtySnatcha Remix,39skrV6W6l7EmAALa7HL4E,Doctor P,Big Boss (DirtySnatcha Remix),0.656,0.906,10,-2.861,0,0.0495,0.0316,0.559,0.553,0.153,139.953
