track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Higher,1RF6iHIuiuMesHMVzoRoVu,Dreya V,Higher / Visions,0.557,0.982,9,-5.905,0,0.125,0.00963,0.417,0.127,0.275,130.018
Old Skool,5dyJBdgctRWcJa91o6UjTj,Dreya V,Old Skool,0.692,0.992,1,-3.806,1,0.0724,0.000689,0.933,0.164,0.661,128.032
Visions,4DaLZg98AvUkg5G9SERBNK,Dreya V,Higher / Visions,0.598,0.993,9,-5.739,1,0.0424,0.0304,0.829,0.0798,0.36,129.985
Just Talkin,194LtBqoQ6ntq68tSUs5Wo,Dreya V,Just Talkin,0.806,0.854,1,-6.606,1,0.0849,0.0155,0.00109,0.0676,0.293,127.019
Foreign Love,0tV8BcMH8Y2SxRVeNAqNMx,Dreya V,Foreign Love,0.62,0.862,7,-6.274,1,0.061,0.00276,0.477,0.11,0.266,131.976
"Good Girl, Bad Girl",20u3jSmHzqYf6Hx3qNLPlQ,Dreya V,"Good Girl, Bad Girl",0.757,0.893,9,-6.31,1,0.0475,0.00136,0.271,0.252,0.969,128.989
Mr Everybody - MISS DRE Remix,01WfciyVQyJgwixIBCOPpD,Dreya V,Mr Everybody (Remixes),0.738,0.736,5,-7.252,0,0.0348,0.0104,0.265,0.101,0.18,126.014
Club Melo - Eleganto Remix,7HgF6zJ2vkIeMIxGVAQOf7,Dreya V,Club Melo (Eleganto Remix),0.657,0.919,6,-7.015,0,0.0444,0.0149,0.407,0.211,0.184,132.008
All The Way - Extended Mix,0GdniwJFBBehLfrrO4thzl,Dreya V,All The Way (Extended Mix),0.764,0.806,7,-6.766,1,0.0696,0.0935,0.561,0.0619,0.701,126.006
Lezgo - MISS DRE Remix,1ElqpNEGl46b4F1MJyXhOZ,Dreya V,Ghettos & Gardens Remixes Vol. 1 (10 Year Anniversary),0.736,0.806,7,-6.423,1,0.0475,0.00502,0.877,0.0865,0.419,127.988
Whitney (feat. MISS DRE),3ogCJU9dPks2jk10NqaTSs,Dreya V,Whitney (feat. MISS DRE),0.791,0.825,7,-7.481,1,0.0373,0.0186,0.736,0.157,0.202,128.007
Something Special,2aJfjKWcEWr4eHH9kYGbLf,Dreya V,HARD Summer 2022,0.753,0.921,8,-7.785,0,0.107,0.00101,0.898,0.11,0.244,123.994
Shape A Thought,4mvCleVUgj6CRCMBJIpQnC,Dreya V,ROTATE Vol. 5,0.823,0.802,9,-7.153,1,0.048,0.0126,0.527,0.11,0.189,125.0
Where You At,7L9G1NxhSTrTZxMrEwOpet,Dreya V,Lonely Hearts II,0.822,0.516,1,-8.0,0,0.0487,0.000193,0.725,0.676,0.522,123.009
Give It To Ya,4lv9T9o8w94kY69XplXt7h,Dreya V,Give It To Ya,0.792,0.536,9,-8.687,0,0.0538,0.000919,0.805,0.0914,0.69,125.97
If You Wanna,5gZp7Z9YT86bfrfobWmRaH,Dreya V,If You Wanna,0.804,0.683,6,-8.728,0,0.0574,0.00584,0.71,0.0559,0.573,124.022
Like That,72eNbOZMGsKFI2MX5GrLb3,Dreya V,"Nothing But... Tech House Groovers, Vol. 14",0.789,0.812,0,-5.422,1,0.0498,0.0013,0.761,0.101,0.515,123.998
Take It All,2u8hyRaLXnfQu8Ys04aPD1,Dreya V,No Sleep Crew 5,0.807,0.884,0,-6.394,1,0.0466,5.58e-05,0.721,0.112,0.576,124.999
I Said,2o37J05RFdQuNGHWpAeq23,Dreya V,I Said,0.805,0.471,11,-7.114,0,0.0746,0.123,0.358,0.34,0.389,126.99
Lucy,1t5euhALA9RpirKDxU9ud5,Dreya V,Lucy,0.768,0.897,1,-6.625,0,0.0559,0.00411,0.00399,0.109,0.64,125.972
LIFESTYLE,147jiEr6DgzBqGun8UU8jg,Dreya V,LIFESTYLE,0.726,0.94,4,-5.439,0,0.042,0.0197,0.648,0.0854,0.384,129.997
All The Way,6t4KvBSTG8J4u50RZiEob6,Dreya V,All The Way,0.665,0.926,7,-6.28,1,0.049,0.271,0.358,0.0747,0.657,126.006
Holla,6QdyLioGoOqrdhc3ARgfNf,Dreya V,EDC Las Vegas 2023,0.764,0.962,1,-4.058,0,0.0663,0.00107,0.000941,0.052,0.646,126.979
