track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Sapped,26ykYX8xQgECWm5ax7iVrX,EazyBaked,INTERTWINED,0.784,0.299,9,-7.061,0,0.0676,0.0119,0.731,0.119,0.0767,135.1
Certified,3mYP9Tec1OzcwNKuCEqJzE,EazyBaked,Certified,0.92,0.532,10,-5.191,0,0.317,0.00517,0.0013,0.447,0.437,140.029
Bandzzz,2zvbziATXWicgf2ljFjkWG,EazyBaked,CONVOY,0.853,0.649,1,-6.148,1,0.313,0.0538,0.00877,0.361,0.158,75.52
WYAWYS,2jgOUCCJMqX3p3Fo40KsOC,EazyBaked,WYAWYS,0.774,0.562,11,-6.011,0,0.319,0.176,0.000586,0.0835,0.478,140.106
Can't Escape,2PCAThwi7WvYnrnsaqVOpE,EazyBaked,ALCHEMY,0.564,0.575,11,-6.638,0,0.0692,0.177,0.279,0.185,0.0398,84.905
Vessel,4yh4BNiFmg2WVEMRt5nGTJ,EazyBaked,Alone With Yourself,0.937,0.832,1,-6.061,1,0.269,0.0458,0.000632,0.385,0.311,133.011
No Laughing Matter,5pK31mO2YGqgJ4B1vcOgET,EazyBaked,No Laughing Matter,0.781,0.774,1,-2.355,1,0.117,0.133,0.00939,0.122,0.316,140.126
Rude Boy - EAZYBAKED Remix,2VsXJnwpCgPjoj84rMwBdY,EazyBaked,Rude Boy (EAZYBAKED REMIX),0.865,0.61,1,-7.555,1,0.298,0.0397,0.124,0.552,0.518,139.991
Catalyst,3CKQqdPsOP8uwmv2X4vBgi,EazyBaked,ALCHEMY,0.81,0.741,11,-3.262,1,0.21,0.643,0.704,0.295,0.456,166.122
Innertwine,6zVe5PcoFuXkX6bj1lUfqr,EazyBaked,INTERTWINED,0.696,0.631,11,-8.889,0,0.315,0.239,0.00191,0.0971,0.224,140.089
The East,3FRLmo5hSs1u2DR6RLEkPQ,EazyBaked,INTERTWINED,0.76,0.516,2,-9.427,1,0.318,0.13,0.0788,0.316,0.328,142.185
Letting Go,39nmR6HkT8PiNkrOQgnNtm,EazyBaked,INTERTWINED,0.655,0.648,8,-6.851,0,0.231,0.306,0.00391,0.14,0.437,128.113
S.O.T.E,6Zl0AjYs06PJNvEx8Etqf7,EazyBaked,INTERTWINED,0.47,0.557,9,-7.514,0,0.265,0.0321,0.0105,0.0916,0.453,79.784
Misinformed,7KEWe0DxCpdIaPkgRLAMaB,EazyBaked,Pulse,0.62,0.538,1,-12.354,1,0.438,0.425,0.667,0.179,0.364,142.185
Simulated,5W0hpKHRBrFhuOANBJ7115,EazyBaked,INTERTWINED,0.613,0.695,1,-8.945,1,0.433,0.0356,0.107,0.165,0.452,74.25
Are U There,1eINofQChRQqaSJdBQ7XPW,EazyBaked,Move Forward,0.798,0.425,2,-8.221,1,0.214,0.14,0.203,0.144,0.218,127.042
Diamonds,4eCKotoixCMh0U6Gfp7XI9,EazyBaked,Diamonds,0.848,0.834,6,-1.703,0,0.221,0.147,0.0641,0.345,0.384,140.062
Rollin' Deep,192PapqBQXyC0vuiWc80Bb,EazyBaked,Rollin' Deep,0.498,0.645,4,-7.869,0,0.203,0.0232,0.00826,0.811,0.317,139.852
Killjoy - Original Mix,3J1F5ooTick7owP99B8seR,EazyBaked,Boot Camp,0.743,0.896,1,-5.417,1,0.306,0.0659,0.0866,0.543,0.55,148.289
Glass Feet,35M8J3TrMOiGiU1NktFVbV,EazyBaked,ALCHEMY,0.701,0.63,11,-4.915,0,0.25,0.253,0.402,0.112,0.0391,107.088
Interclock,4Dpnm8Z7wmcSLFWftjMOyF,EazyBaked,Interclock,0.817,0.593,11,-6.669,0,0.289,0.0349,0.21,0.106,0.585,146.935
Golden Dawn,07zDBtAy4CoYtVgUK1Sys6,EazyBaked,ALCHEMY,0.566,0.449,5,-8.645,0,0.292,0.141,0.789,0.154,0.107,180.07
Bubblegum,35BTYLJDP2hI8dA7OYU0Ut,EazyBaked,Bubblegum,0.81,0.652,2,-5.275,1,0.0895,0.3,0.466,0.0819,0.345,124.94
Capsule,5o2ILq77hBRHMV35WMezlS,EazyBaked,INTERTWINED,0.573,0.539,10,-8.8,1,0.0854,0.248,0.391,0.174,0.316,138.912
Isolation,6SeQcBfM7oCSoRY0j3Layi,EazyBaked,INTERTWINED,0.77,0.706,9,-6.728,0,0.192,0.0845,0.0471,0.884,0.491,125.04
Stomper,3noczVtrj34BqPp4wp00Nc,EazyBaked,Stomper,0.657,0.885,1,-4.819,1,0.442,0.505,0.0,0.157,0.664,76.762
Capsule - Milano Remix,4CZ3JYIUa4bmk5kJq5uyRS,EazyBaked,INTERTWINED (Remixes),0.755,0.697,2,-9.234,0,0.162,0.505,0.346,0.128,0.0971,139.158
Gone'd Off That Ooee - Vide & EAZYBAKED Remix,4cjLj63HqtAx775vqM0TJ2,EazyBaked,Skreet Force One / Re-Bricked,0.702,0.862,11,-4.763,1,0.294,0.0975,0.0025,0.362,0.199,127.982
S.O.T.E - G-Space & Computa Remix,2t2mciZn3u5mgbabML2BSt,EazyBaked,INTERTWINED (Remixes),0.637,0.892,9,-3.63,0,0.398,0.0709,0.0586,0.927,0.617,86.975
Bubblegum - Dirt Monkey Remix,2IiZ2OP9oV0MKzQcCoegxT,EazyBaked,Bubblegum Remixes,0.811,0.45,11,-9.863,0,0.182,0.246,0.264,0.231,0.213,149.978
Bubblegum - kLL sMTH Remix,2QXxPew9UPRj9deL1BkLN9,EazyBaked,Bubblegum Remixes,0.729,0.753,11,-5.941,0,0.0649,0.0691,0.786,0.148,0.301,125.01
Distant Voices - MOLOKAI Remix,42GJiPsIKMZHP8DdE23AI1,EazyBaked,INTERTWINED (Remixes),0.508,0.826,6,-6.264,0,0.338,0.208,0.000729,0.115,0.271,79.91
Letting Go - tiedye ky Remix,1H2Ud71lYPzHpslqxW8pJR,EazyBaked,INTERTWINED (Remixes),0.733,0.45,6,-7.244,1,0.052,0.288,0.0104,0.108,0.14,139.795
The East - Black Carl! Remix,3wZJVs5EZVs0X0nDGFdfSk,EazyBaked,INTERTWINED (Remixes),0.846,0.844,9,-6.128,1,0.273,0.142,0.569,0.0927,0.241,128.028
Isolation - Digital Ethos Remix,2JWBxDOmrGW3jGyOcy5JdJ,EazyBaked,INTERTWINED (Remixes),0.737,0.636,9,-8.416,1,0.142,0.0221,0.715,0.158,0.153,125.055
Bubblegum - Ahee Remix,58ZGPxxIWHKclXyZtPpZvr,EazyBaked,Bubblegum Remixes,0.69,0.843,0,-5.021,1,0.365,0.0092,0.105,0.0964,0.233,149.986
Innertwine - FLY Remix,5Vb0ClXGUZr9jkY83EVtFm,EazyBaked,INTERTWINED (Remixes),0.697,0.544,6,-7.16,0,0.0855,0.0486,0.073,0.124,0.113,139.938
Bubblegum - Remix,2pe2iuZI1YbLzf0ggK2Hde,EazyBaked,Bubblegum Remixes,0.764,0.794,6,-4.75,0,0.0907,0.0138,0.574,0.0931,0.629,99.996
Finding the Way,00LTeMmym8pqBTyZRyGqbp,EazyBaked,Finding the Way,0.524,0.651,9,-7.025,1,0.306,0.634,0.206,0.1,0.253,139.704
One Hand Clap,1CFUbzv7RL4CEzhw878a8v,EazyBaked,One Hand Clap,0.871,0.482,10,-10.548,0,0.457,0.18,0.0747,0.105,0.395,121.797
3D,1veg9wXRkCrZeT6hsJSAQY,EazyBaked,Alone With Yourself,0.719,0.61,9,-7.179,1,0.431,0.0225,0.00672,0.336,0.502,66.998
Facelift Feat. G-Space,7fufRaJ9WTXA6aA6fhx2gk,EazyBaked,Alone With Yourself,0.763,0.933,8,-7.224,1,0.767,0.328,0.0108,0.183,0.317,133.929
Lurk,0kJ3ZYujBdPdKXqzCrWso5,EazyBaked,QGRC-003,0.884,0.398,10,-7.705,0,0.105,0.0208,0.0589,0.0832,0.203,138.131
Locked Up,4GMxwJDocUZaEeJAM3nnBP,EazyBaked,Locked Up,0.842,0.553,1,-6.963,1,0.412,0.325,0.0526,0.383,0.433,140.938
Changes,2U7SilckmLE0mvWeHQBawO,EazyBaked,Alone With Yourself,0.733,0.916,9,-5.763,1,0.441,0.0247,0.000484,0.921,0.437,139.887
Layin' Low,4z6T4AcgGFour6KwBYdLNr,EazyBaked,Heterodox - ThazDope Records Compilation Vol. 3,0.711,0.471,9,-12.449,1,0.265,0.171,0.851,0.0797,0.247,142.115
Beneath the Reefs,7dNf98dMetAHjBxqEfTH5z,EazyBaked,Tesseract,0.806,0.514,11,-7.357,1,0.296,0.449,0.000516,0.666,0.325,138.008
Alone with Yourself,12U5V48rSdaVCOncXfwtKi,EazyBaked,Alone With Yourself,0.827,0.634,8,-6.483,1,0.333,0.109,0.00115,0.0404,0.405,137.114
Move Forward,4kvRkokYZSdzyauxvmdoAT,EazyBaked,Move Forward,0.844,0.347,7,-16.054,1,0.277,0.0931,0.207,0.0619,0.1,120.01
Source,78ucvx9LTI2whClGE7DQCn,EazyBaked,Tesseract,0.692,0.904,1,-5.207,1,0.536,0.56,2.29e-05,0.553,0.783,140.022
Peaked,2ioW7CQtktq4JWg9zGNkzI,EazyBaked,Peaked,0.753,0.905,11,-3.507,0,0.358,0.032,6.67e-05,0.676,0.523,150.094
Mirage,2cfYN40leKJJlmGSMhf8Ry,EazyBaked,Alone With Yourself,0.708,0.785,10,-6.348,0,0.497,0.0398,4.27e-05,0.323,0.672,140.493
Arches,1XQShAIXLf07MW6bswX8Zi,EazyBaked,Tesseract,0.8,0.764,2,-5.955,1,0.418,0.327,0.168,0.685,0.392,133.028
Freedom,7hPqdLzgNUwSuK3icQqFwV,EazyBaked,Alone With Yourself,0.729,0.879,1,-6.868,1,0.645,0.0322,0.022,0.318,0.361,76.488
Backtrack,3McektNSbYWHSK4ubL7Tov,EazyBaked,Tesseract,0.863,0.485,1,-7.097,1,0.315,0.391,0.568,0.953,0.304,136.023
Niagara Falls,51aa6FaXZGFzo4mODQTEzl,EazyBaked,Niagara Falls,0.669,0.497,0,-9.862,1,0.404,0.789,0.0266,0.697,0.339,125.003
Squidweed,6f0Ez1RxWd3VaBN8oLXNNs,EazyBaked,Squidweed,0.84,0.648,1,-6.04,1,0.378,0.255,0.000211,0.255,0.371,77.018
Facelift,0ZBWYLWiHZ5fNcB11cB4Sy,EazyBaked,Alone With Yourself,0.763,0.933,8,-7.224,1,0.767,0.328,0.0108,0.183,0.317,133.929
4 4 4,7KpPARNQFJRmDs7gg0oFxK,EazyBaked,4 4 4,0.656,0.573,10,-9.833,0,0.883,0.664,0.00271,0.647,0.885,74.367
BOOM,1ZFmKdlDgBDBwYqE6koscQ,EazyBaked,Rotations,0.571,0.592,0,-4.873,1,0.344,0.571,0.194,0.118,0.127,139.721
Goon Mentality,6KfWasEz13TTp2IHQr2FxY,EazyBaked,INTERTWINED,0.559,0.649,1,-6.965,1,0.459,0.386,1.09e-06,0.257,0.323,169.765
Simulated - kLL sMTH Remix,1ikG8cYsTVNQeWVDMMNHub,EazyBaked,INTERTWINED (Remixes),0.831,0.84,11,-3.977,1,0.191,0.00686,0.592,0.0829,0.238,150.015
Stir Crazy,0eO8s4iPkVXxnNJNlkEVrR,EazyBaked,Stir Crazy,0.784,0.905,7,-6.974,0,0.551,0.128,0.00102,0.808,0.359,140.097
