track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Be The One,1cQld05IcUDw3RCFt7uymW,Eli Brown,Be The One,0.651,0.932,0,-5.074,1,0.0419,0.0053,0.156,0.104,0.578,135.98
Diamonds On My Mind,5AWGyFvWNof3Knq7QrN3jD,Eli Brown,Diamonds On My Mind,0.728,0.854,2,-5.409,1,0.186,0.0125,0.00565,0.0567,0.775,135.976
Ride or Die,3NBYbznMJsnpAuyBWhBpTa,Eli Brown,Ride or Die,0.671,0.868,0,-5.598,1,0.144,0.00446,0.00964,0.157,0.538,133.985
Deep Down,2gyh8uqnB5jkZQT9norbkW,Eli Brown,Deep Down,0.549,0.992,4,-3.637,0,0.0927,0.0019,0.786,0.141,0.485,129.987
I Got Money,3s04xXWWApmFv9P77df7ST,Eli Brown,Trick Daddy / I Got Money,0.656,0.933,7,-4.782,1,0.0493,0.00333,0.0224,0.0757,0.396,137.984
Inside My Head,7x5zEOkuKVqhabPKeQ8ttX,Eli Brown,Inside My Head,0.728,0.963,9,-6.548,1,0.0428,0.000699,0.895,0.0675,0.967,126.976
Pyramid Rave,3qjER0dcHhcWX2HSEPneF2,Eli Brown,Pyramid Rave / Feel The Energy,0.668,0.982,7,-3.819,1,0.105,0.0391,0.656,0.129,0.654,136.996
Killer,1qFMkptRxk84JEjp1tCKTi,Eli Brown,Killer,0.393,0.789,7,-6.143,1,0.0572,0.0116,0.0188,0.565,0.127,127.957
We Can Come Together,0YG1fyqSZpuIfNlkOeN3eD,Eli Brown,We Can Come Together,0.685,0.922,10,-7.416,1,0.0364,0.00563,0.00149,0.0904,0.422,124.988
Moving [edit],6KpGyJIyA75C0XyAkIcpZn,Eli Brown,Moving,0.645,0.96,4,-6.497,1,0.0399,0.0773,0.00641,0.594,0.637,127.999
San Frandisco - Eli Brown Remix,4TuXnDhBMkwQEDUKuUjXTU,Eli Brown,San Frandisco (Eli Brown Remix),0.723,0.967,5,-5.442,0,0.0413,0.00454,0.558,0.0357,0.449,127.003
My House,5MVxmUAM3lCYTsKjVPqfcy,Eli Brown,Escape,0.762,0.894,2,-6.789,1,0.0654,0.000475,0.786,0.104,0.454,129.988
Remedy,1j611ghQfHnBMnqSZCoxc8,Eli Brown,Remedy,0.693,0.92,9,-4.795,0,0.0615,0.00277,0.49,0.0522,0.371,139.001
Overdose Of Bass,3UnDvoDHicV3e2YLAeiTj5,Eli Brown,Overdose Of Bass,0.696,0.988,7,-3.574,1,0.142,0.00509,0.667,0.0833,0.588,134.02
Morning Light,28DvIPv7bSVqKdSQMwW7rX,Eli Brown,Escape,0.572,0.919,0,-7.103,0,0.0492,0.00495,0.696,0.128,0.48,128.002
Desire,33yWC2Sf9kdjF9T4es4y6I,Eli Brown,Desire,0.581,0.931,5,-5.597,0,0.0462,0.00165,0.335,0.0737,0.6,124.984
Feel The Energy,0dvbHArKHuvJxKwgTilETY,Eli Brown,Pyramid Rave / Feel The Energy,0.689,0.978,1,-4.575,1,0.104,0.079,0.0854,0.0578,0.541,132.962
Pulling Me Back,0megFGFoMy2ueMv48YHDGw,Eli Brown,Pulling Me Back,0.616,0.922,8,-5.587,1,0.0414,0.00115,0.509,0.149,0.338,127.998
On The Beach (ASOT 1261) - Eli Brown Remix,5V1RUmU9KaPnoEUEC8k7kM,Eli Brown,ASOT 1261 - A State of Trance Episode 1261,0.65,0.993,1,-7.795,1,0.0427,0.0861,0.906,0.118,0.0363,133.02
XTC - Remix,3n26ilj0AkgW8XFExmVChz,Eli Brown,Cognition,0.288,0.985,1,-2.921,1,0.0791,0.00702,0.552,0.193,0.287,110.007
XTC,7CN6ZYIX338ekn7pb2CpQp,Eli Brown,XTC,0.703,0.929,3,-6.5,0,0.0661,0.00761,0.00334,0.219,0.585,128.005
Ketamine Dream,0siz1aRydIExMNCFhR5ovs,Eli Brown,NRG,0.805,0.841,6,-5.698,0,0.0539,0.0358,0.839,0.119,0.446,127.014
When I Push - Edit,5poZz8srlh8P5XjKsHKXj7,Eli Brown,When I Push (Edit),0.686,0.952,7,-3.63,1,0.0497,0.0057,0.791,0.278,0.211,133.986
Gasoline,5ardmsHuWc0chy7GzsvrLd,Eli Brown,Gasoline,0.608,0.903,11,-5.604,0,0.103,0.00105,0.838,0.123,0.205,136.974
Escape From Planet Monday,2IqFYZ4Vocia7PmzEZh67r,Eli Brown,Escape From Planet Monday,0.679,0.992,6,-4.228,0,0.144,0.00392,0.804,0.0808,0.332,139.978
Drop It Down,6euR4VW88wRwG6TTXI8YEE,Eli Brown,Drop It Down,0.692,0.898,7,-7.189,1,0.0729,0.000804,0.196,0.0245,0.388,134.983
Trick Daddy,3Luwyvu9z27Di8fy78sGa4,Eli Brown,Trick Daddy / I Got Money,0.662,0.968,0,-3.729,1,0.0724,0.00152,0.894,0.0784,0.344,137.981
gImmE gImmE,4z9QQWXBmY9ARRmqWeAbjX,Eli Brown,gImmE gImmE,0.591,0.971,0,-5.815,1,0.074,0.00074,0.143,0.0673,0.209,133.974
Escape,5eLSXWSJphV4u3YZCNXySE,Eli Brown,Escape,0.585,0.879,6,-8.928,0,0.0482,0.000677,0.824,0.0613,0.0454,127.021
Drip (feat. Eliza Legzdina),030t6Ow4qRRbJQk3TtWLLH,Eli Brown,Drip (feat. Eliza Legzdina),0.756,0.978,7,-5.783,1,0.107,0.00354,0.0223,0.123,0.294,133.003
Love Is Free,1wGXpLDlQg5ClZ2epImCEc,Eli Brown,Love Is Free,0.73,0.922,8,-4.064,0,0.0625,0.0117,0.425,0.0805,0.272,136.968
Dreamin (feat. Daya) - Eli Brown Remix,0n8cEBSHOgUKHIcPmECIXi,Eli Brown,Dreamin (feat. Daya) [Eli Brown Remix],0.645,0.986,6,-3.686,0,0.17,0.000415,0.00454,0.651,0.275,134.974
