track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Waiting For Tonight,5uz3XmT2mbY8eCl1IXDzMF,FISHER,Waiting For Tonight,0.714,0.835,10,-4.542,0,0.039,0.00685,0.502,0.0578,0.636,128.988
Rain,1xtDflWAisSMU7k6QHG71U,FISHER,Rain,0.719,0.783,2,-5.836,0,0.237,0.00209,0.294,0.0874,0.527,130.068
Stay,74y1VgzL668hynrvA59WQB,FISHER,Stay,0.738,0.971,0,-5.776,0,0.125,0.0153,0.911,0.103,0.456,128.022
It's A Killa,2KjQ5zpQGCXgAPbwyPBVqx,FISHER,It's A Killa,0.782,0.905,7,-5.279,1,0.0448,0.00453,0.00625,0.151,0.8,125.982
Just Feels Tight,4jbg2o0TehLjOlddOxHJTO,FISHER,Just Feels Tight,0.808,0.994,1,-6.326,1,0.0709,0.00153,0.874,0.0686,0.721,127.004
Wanna Go Dancin',2SweUwDKRlXeCDyaJddhWJ,FISHER,Freaks,0.764,0.856,4,-5.415,1,0.0659,0.00676,0.739,0.0606,0.748,125.0
Yeah The Girls,1w3IvRZpHTCyGkCp8icGAa,FISHER,Yeah The Girls,0.755,0.968,8,-5.282,1,0.0423,0.00114,0.775,0.103,0.783,126.009
Freaks,25V0TNA8cZLVzLQpHa6rB1,FISHER,Freaks,0.805,0.869,1,-4.344,1,0.0549,0.00219,0.799,0.122,0.786,124.014
Ya Kidding,23u8Srx4MNpBjrM66Tj7On,FISHER,Ya Kidding,0.813,0.983,1,-5.515,1,0.153,0.00177,0.546,0.501,0.77,125.007
Palm Beach Banger,0e457tGsO8QyJavqcr2IbO,FISHER,Palm Beach Banger,0.767,0.8,0,-6.37,1,0.116,0.00899,0.0018,0.164,0.646,126.003
Ocean,6jhAJgaS9OttFwP5Cn8WII,FISHER,Ocean,0.683,0.978,9,-5.171,0,0.0495,0.0039,0.448,0.719,0.769,127.986
Boost Up,07Sm4SlYGZ4CRSxgwP3hUr,FISHER,Boost Up,0.7,0.938,7,-6.831,1,0.0637,0.000897,0.708,0.15,0.41,127.95
Jamming - FISHER Rework,2gKewcQZEV1fqoWH81RUDk,FISHER,Jamming (FISHER Rework),0.851,0.892,11,-6.869,0,0.091,0.000118,0.104,0.0594,0.604,126.011
Losing It,6ho0GyrWZN3mhi9zVRW7xi,FISHER,Losing It,0.76,0.964,2,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,125.003
It's That Time - FISHER Remix,3GiORO0zRwRT3g9CCklzkQ,FISHER,It's That Time (FISHER Remix),0.865,0.978,0,-4.29,1,0.0471,0.00136,0.381,0.0766,0.936,130.008
TAKE IT OFF,7zp9FOU4cjFdGN1zdWTvcB,FISHER,TAKE IT OFF,0.884,0.707,1,-6.607,1,0.202,0.000502,0.258,0.363,0.582,127.013
Blackberries,1AS1oLvEr6PNsCLnuEUmCi,FISHER,Blackberries,0.816,0.874,11,-6.964,0,0.106,0.00143,0.719,0.114,0.9,129.979
Losing It - Radio Edit,2KXwJZv1pRQFQ95Kj60jBN,FISHER,Losing It (Radio Edit),0.729,0.965,2,-5.711,1,0.0624,0.00176,0.66,0.0973,0.744,125.021
Stop It,627JZ3dVd88Xc5IoHOeNT5,FISHER,Oi Oi,0.859,0.824,8,-7.207,1,0.0512,0.0242,0.66,0.205,0.882,124.015
Atmosphere,63HwAAXuSV2tzIUPoHOwZa,FISHER,Atmosphere,0.762,0.895,8,-4.562,1,0.0734,0.00623,0.142,0.204,0.757,125.985
Waiting for Tonight - Radio Edit,5GHVp2CCufZ8MJzYE82W7R,FISHER,On The 6 (25th Anniversary Edition),0.715,0.833,10,-4.543,0,0.039,0.00695,0.476,0.058,0.639,128.988
Somebody (2024),0agQ9vIV7NP4dntGKLcCXO,FISHER,Somebody (2024),0.848,0.629,0,-6.198,1,0.0424,0.016,0.18,0.049,0.586,130.017
You Little Beauty,1gRQxbfL4ULWyTosgXSbWT,FISHER,You Little Beauty,0.926,0.951,6,-5.531,0,0.0924,0.00232,0.452,0.313,0.918,123.987
It's A Killa - Shermanology Edit,46Ev3TqSeRhxWku5Mi4sQJ,FISHER,It's A Killa (Shermanology Edit),0.861,0.588,11,-7.79,0,0.243,0.0125,0.0645,0.0807,0.676,127.024
Ya Didn't,0EccaqIxHxttldj2UK5yDV,FISHER,Oi Oi,0.855,0.934,0,-5.386,1,0.0434,0.00155,0.7,0.308,0.898,123.965
Crowd Control,2ncmdVcaW4yTrPkXOIgV6Q,FISHER,Crowd Control,0.871,0.665,9,-7.878,1,0.0618,0.00748,0.353,0.0514,0.855,125.029
Hurricane [UpOnly 356] - Lumin-8 & Anton van Sprundel Remix - Mix Cut,41Zsp0LIeqo9yZ8twHBq4z,FISHER,Uplifting Only Episode 356 [incl. Vocal Trance] (incl. PHOENIX Guestmix & 10 World Premieres),0.186,0.929,4,-7.216,0,0.086,0.00439,0.000522,0.461,0.0394,137.921
World Hold On (Children Of The Sky) - FISHER Rework - Mixed by Bob Sinclar,2TxLnntljOL1HuBon6Dky3,FISHER,Ibiza Fever 2023 by FG (Exclusive Mix By Bob Sinclar),0.817,0.806,1,-7.102,0,0.0539,0.002,0.128,0.118,0.763,126.009
True Love,6deVwvPX1CkxemsoQGKmBI,FISHER,True Love,0.732,0.573,3,-7.55,0,0.0431,0.00298,0.63,0.24,0.153,126.009
I Will Love You,195GXsPpC6wHxcwhsjpJxB,FISHER,True North,0.259,0.134,2,-11.95,1,0.034,0.911,2.91e-06,0.0928,0.218,146.281
Crowd Control - Extended Mix,2XaEi9Lv7vlTqSyogWKetZ,FISHER,Crowd Control,0.858,0.71,9,-8.165,1,0.0573,0.00214,0.545,0.0278,0.742,125.02
You,7IF7BniUMmQGTDLg3gSP1i,FISHER,The Lovely Years,0.366,0.0329,2,-21.674,1,0.0413,0.942,4.53e-05,0.101,0.15,93.016
Ya Kidding - Solardo Remix,1DKgIYnbrjbaYEaTtjqWOx,FISHER,Ya Kidding,0.804,0.927,1,-6.676,1,0.0498,0.000452,0.733,0.336,0.749,125.973
Beautiful,3c3EcUkMk7T1NRrqRzAZxf,FISHER,From Miami To Amsterdam,0.7,0.473,1,-7.761,1,0.0433,0.000887,0.161,0.0796,0.279,128.022
Breakable - Soundtrack Version,346alwQHWUhf9SVOC7KT71,FISHER,Great Expectations,0.338,0.481,9,-7.078,0,0.0261,0.253,3.71e-05,0.125,0.0708,88.677
L-O-V-E,0GpnWd83nBPsKrPvWhoHn9,FISHER,How To Lose A Guy In 10 Days: Music From The Motion Picture,0.73,0.667,2,-7.759,1,0.0948,0.124,1.24e-05,0.138,0.562,78.482
Ya Kidding - Sébastien V BE Remix,2QniCyZhcHJastwK9qIFsK,FISHER,Ya Kidding,0.805,0.725,1,-12.235,1,0.056,0.0126,0.942,0.0754,0.0612,123.98
The Last Time,3sWaePKh6XjqH8ltFS79xA,FISHER,The Last Time,0.583,0.792,7,-7.355,1,0.0356,0.000587,0.432,0.103,0.359,131.987
The Last Time - Original Mix,4VeiREeGUF0m8bJSCX6sG3,FISHER,Anjunabeats Volume 6,0.563,0.733,10,-9.079,1,0.041,0.000533,0.535,0.118,0.351,136.245
Love Rain Down,7uOdNcyWFQyPrkX79RBflu,FISHER,From Miami To Amsterdam,0.41,0.483,5,-7.791,1,0.0455,0.0275,0.753,0.0953,0.502,129.978
Nie mogę Ci wiele dać - Radio Edit,38OvbQAnJmWY3BBkdsY4SY,FISHER,Nie mogę Ci wiele dać (Radio Edit),0.702,0.904,8,-6.482,1,0.074,0.0405,2.35e-06,0.299,0.813,129.994
Ya Kidding - Eli Brown Remix,5cPSwZD66BDaDSIOWaOAur,FISHER,Dirtybird Campout West Compilation,0.775,0.937,9,-6.085,1,0.0637,0.00342,0.644,0.632,0.614,125.01
In Your Hands - Radio Edit,4RdPHZFJtwVACYvO5NrhzL,FISHER,In Your Hands,0.533,0.891,6,-3.417,0,0.0637,0.0105,1.5e-05,0.379,0.353,130.051
Bo to miłość,7vjCv6z7D5aatX4ZqruLaf,FISHER,Czym jest miłość,0.705,0.828,11,-7.256,1,0.101,0.0476,0.0,0.158,0.409,127.999
Zawsze tam gdzie Ty,5TNJc3BqSyd4evGGqOMIFb,FISHER,Zawsze tam gdzie Ty,0.813,0.771,11,-6.365,1,0.0561,0.0364,0.0,0.298,0.897,109.989
Dziewczyna ze snu,5gNJryHsQNGJT9x1jGfFZN,FISHER,Dziewczyna ze snu,0.731,0.727,1,-6.519,1,0.0625,0.0207,0.0,0.202,0.797,135.045
The Lovely Years,7HWpoLXYmpUQ0mB9Vhbpw4,FISHER,The Lovely Years,0.287,0.141,2,-14.692,1,0.0313,0.784,1.32e-06,0.11,0.208,103.317
Jesteś aniołem,05JddcEzrPf5YzSc343pKL,FISHER,Czym jest miłość,0.752,0.805,0,-5.825,1,0.035,0.212,0.0,0.193,0.838,131.98
Everything - Aly & Fila Extended Remix,6P2xbyuzhrnkPmvceGuIFM,FISHER,Everything (Vast Vision feat. Fisher),0.556,0.982,2,-4.415,1,0.0551,3.23e-05,0.691,0.104,0.206,139.988
Ordinary Moment [ASOT 241] - Original Mix,6XTYlzSAum2gRcb7cj62Ck,FISHER,A State Of Trance Episode 241,0.557,0.91,4,-9.398,0,0.0333,0.000106,0.451,0.353,0.264,133.885
The Last Time (FSOE 648) - Hydra's Altered State Mix,6dSaqfmDndsAASBpKeeSOZ,FISHER,FSOE 648 - Future Sound Of Egypt Episode 648,0.573,0.89,7,-8.88,1,0.0515,0.00699,0.896,0.532,0.146,130.37
Found A Way (feat. Fisher) - Joint Operations Centre Remix,1JKBybDRR1ugiaW5GhCufk,FISHER,Found A Way (feat. Fisher),0.554,0.991,1,-3.629,0,0.104,0.000191,0.121,0.0835,0.14,136.99
Gone - Steve Allen Remix,7q8M4XVhukn1cBP2AleHWZ,FISHER,Gone (The Remixes),0.447,0.952,6,-5.094,0,0.0436,3.68e-05,0.0808,0.559,0.228,137.975
True Love - Club Radio Mix,2swGCgwo3AEfyMYbkUM3jc,FISHER,True Love,0.623,0.714,3,-6.99,0,0.0449,0.00104,0.17,0.501,0.411,132.025
All the Way,74WgARfU8MdW9NRNPiQlLp,FISHER,Evolution,0.612,0.675,2,-7.627,1,0.029,0.0145,0.00197,0.439,0.233,127.993
Jesteś aniołem - Acoustic Version,7GYtZX8pE9guSy1tFgvoKz,FISHER,Czym jest miłość,0.649,0.394,9,-9.67,0,0.0333,0.699,0.0,0.138,0.228,90.05
