track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Savage (feat. Flux Pavilion & MAX),0kD586ste6xyDRqUYhVlCh,Flux Pavilion,Savage (feat. Flux Pavilion & MAX),0.679,0.662,7,-5.861,1,0.0773,0.151,0.0,0.376,0.365,90.054
Cracks - Flux Pavilion Remix,2grynUHH0A3faPhGjdkjeJ,Flux Pavilion,Cracks,0.499,0.826,9,-7.082,0,0.0534,0.00095,0.029,0.122,0.427,140.007
Gold Dust - Flux Pavillion Remix,4FgSQPcTde9ctbsrSJC8j5,Flux Pavilion,Gold Dust,0.643,0.796,5,-4.962,1,0.095,0.00576,0.0521,0.288,0.649,144.963
Recess (feat. Fatman Scoop and Michael Angelakos) - Flux Pavilion Remix,4RJHa0uZqGV4bGyKQe2wcM,Flux Pavilion,Recess Remixes (feat. Fatman Scoop and Michael Angelakos),0.427,0.875,0,-2.211,0,0.0326,0.000832,0.000171,0.299,0.357,144.852
Exostomp (Jump Up High) - DISKORD Remix,6sBZz6mU0jO8EbeMIVEbHi,Flux Pavilion,Exostomp (Jump Up High),0.566,0.976,1,-1.781,1,0.0587,0.0261,0.0117,0.135,0.826,160.049
Party Starter,3klLxSUNNRDEFpCa67kqpm,Flux Pavilion,Party Starter,0.55,0.824,10,-4.018,1,0.0503,0.0205,0.696,0.112,0.295,150.055
Stain,1YWpA180VZyk9uwQREdR4H,Flux Pavilion,Stain / Saxophone Doom,0.482,0.916,7,-5.712,1,0.35,0.00508,0.0,0.335,0.619,145.195
Better Off,37soHIEtd2aminmS9w6CcF,Flux Pavilion,Better Off,0.648,0.955,9,-3.665,1,0.0449,0.00271,0.895,0.212,0.394,143.09
Gold Love (feat. Rosie Oddie),1MwnqTZQR89Y0LOLMJUceN,Flux Pavilion,Freeway EP,0.468,0.907,6,-3.128,0,0.0343,0.00169,0.023,0.194,0.0377,108.738
Daydreamer (feat. Example) - Radio Edit,5osHRqrBmK2Am2FhoNm2FL,Flux Pavilion,Daydreamer (feat. Example),0.539,0.914,9,-5.786,0,0.0345,0.00219,0.0806,0.199,0.432,141.349
Starlight,3a6unUszLQkRhXDPzQfxRa,Flux Pavilion,Blow the Roof,0.501,0.869,1,-5.113,0,0.0296,0.00349,0.161,0.0578,0.067,140.006
Pull the Trigger - Regions Remix,5tmFkV8EvbCwei1ErTTJ6E,Flux Pavilion,Pull the Trigger (Remixes),0.479,0.608,1,-6.118,1,0.0425,0.0682,0.0,0.081,0.274,170.114
Blow the Roof,1DZfcSkibPHM9h8lPFT7LT,Flux Pavilion,Blow the Roof,0.517,0.978,9,-4.053,1,0.381,0.00351,0.403,0.0848,0.38,220.169
Thief - Flux Pavilion Remix,6btkdvumrTmcFzy3oFpZqS,Flux Pavilion,Thief (Flux Pavilion Remix),0.55,0.858,6,-2.58,1,0.0357,0.041,0.199,0.0562,0.577,145.169
Cut Me Out,2i9Jh3GC8vOa3kCc7x9dWp,Flux Pavilion,Pull the Trigger / Cut Me Out,0.695,0.505,10,-7.332,0,0.0461,0.0231,7.08e-06,0.0577,0.271,139.985
International Anthem,1jsLCvfdVonMBLqe7jPfqA,Flux Pavilion,Tesla,0.577,0.919,7,-1.748,1,0.0353,0.00183,0.000529,0.09,0.436,149.94
Symphony,5q86TSBKYQpMlfaBi1iPdJ,Flux Pavilion,Earwax,0.615,0.447,8,-9.377,0,0.0988,0.00862,0.000935,0.0629,0.287,120.168
The Scientist,29RuDIip0ewe8hfnCItSC2,Flux Pavilion,Blow the Roof,0.631,0.797,10,-5.383,0,0.0366,0.0058,0.00184,0.104,0.404,144.975
Dawn,2Xl1scHBWYC8hrLBPxzqrL,Flux Pavilion,Get Off The Internet,0.527,0.944,2,-0.669,1,0.358,0.109,0.799,0.4,0.452,172.142
Pull the Trigger,5q3yaZJiuGIdC7B1LDUxLW,Flux Pavilion,Pull the Trigger / Cut Me Out,0.447,0.78,10,-4.877,0,0.0602,0.00561,8.31e-06,0.0736,0.466,175.068
Waves,1RKYSmVp2vSWumL9uI2sbd,Flux Pavilion,Waves,0.403,0.94,4,-3.744,0,0.22,0.0304,0.000153,0.091,0.0631,140.129
Fracture,1dzp7lsgNDCg2NQJyIwaZz,Flux Pavilion,Antagonist,0.656,0.889,7,-1.971,1,0.262,0.0224,0.0,0.5,0.437,146.954
Hold Me Close,45ioBYbD62IFjsmMjhBpp4,Flux Pavilion,Lines In Wax EP,0.628,0.902,1,-9.197,0,0.0565,0.000537,0.788,0.409,0.0475,139.977
Must Be The Feeling - Flux Pavilion & Nero Remix,3BVAGwQGSiWXpIWx8QbMvP,Flux Pavilion,Must Be The Feeling,0.259,0.937,6,-4.712,1,0.0543,0.00129,0.795,0.0533,0.0395,140.041
On Repeat,5RQzUsayVws2Rbw6qtXzV6,Flux Pavilion,On Repeat,0.363,0.862,11,-2.745,0,0.0451,0.0867,0.000594,0.297,0.3,145.089
Got 2 Know,6JWxIixMgDWQ96IwIfnKyt,Flux Pavilion,Got 2 Know / Normalize,0.646,0.757,7,-4.802,0,0.0312,0.0109,0.701,0.128,0.467,139.933
Bigger Than Bad,08ODKxryGbIJQC3cAGNYsJ,Flux Pavilion,Fluxiverse Vol. 2,0.675,0.998,4,-1.653,1,0.215,0.0484,0.00104,0.297,0.34,145.106
Emotional,4oIbyPWjYAH3ugOrGVnmtE,Flux Pavilion,Tesla,0.335,0.865,11,-4.672,0,0.0944,0.0027,0.276,0.107,0.411,149.85
Room to Fall,4pCaBJPDbw1HFzwsQZlIgb,Flux Pavilion,Joytime III,0.531,0.845,9,-5.362,0,0.164,0.0037,1.58e-05,0.275,0.537,175.898
Feel Your Love,414kvBH8YTY65PLuwLd4kN,Flux Pavilion,Feel Your Love,0.555,0.974,11,-2.439,0,0.135,0.000689,0.0358,0.364,0.29,149.973
Catch Me (feat. Naaz),4UIAJ1WnUvAPPdkzq2rn1i,Flux Pavilion,Blood For Mercy,0.56,0.916,7,-3.328,0,0.0661,0.0362,0.000963,0.102,0.585,144.933
I Still Can't Stop,2ClWt2RN5FdNthxgR2VRDF,Flux Pavilion,Blow the Roof,0.661,0.855,0,-6.263,0,0.0419,0.000847,0.0186,0.206,0.124,140.02
20:25,5esNLoETSek5tJxojn0mWt,Flux Pavilion,.Wav,0.72,0.664,4,-7.278,0,0.105,0.00435,0.00252,0.0601,0.268,99.958
Dreams,4RWMUN7m78hYp4nvXVCxzJ,Flux Pavilion,Dreams,0.388,0.598,6,-6.467,1,0.0317,0.00149,0.0213,0.06,0.0605,132.115
On Forever,7JA6hc3cQKOu2EZPwUG061,Flux Pavilion,On Forever feat. Saint Raymond,0.26,0.902,11,-2.195,0,0.0552,0.0036,3.35e-05,0.0838,0.195,145.401
Somebody Else,3TU6Y4pmHrJQh4J6viPIu9,Flux Pavilion,.Wav,0.234,0.685,9,-5.95,1,0.0369,0.0283,0.000519,0.057,0.04,139.925
Lion's Cage,3eaOf8XoL5vqQ7bJY2MVc5,Flux Pavilion,.Wav,0.5,0.74,7,-8.301,0,0.0392,0.25,3.67e-05,0.0849,0.328,150.02
What You Gonna Do About It,5z3QD6fNhaOBDH9CINrUbY,Flux Pavilion,Tesla,0.484,0.831,4,-4.875,1,0.0719,0.000194,0.15,0.442,0.133,110.097
Fall To Me,55wwghy6bkSREyxfkW14Rf,Flux Pavilion,.Wav,0.565,0.845,9,-6.397,0,0.0751,0.262,2.14e-05,0.188,0.394,75.021
Paradise,2El9NKw2Z0WZw542DVs39e,Flux Pavilion,Paradise,0.523,0.979,11,-4.246,0,0.166,0.000622,0.00334,0.142,0.277,141.96
Daydreamer (feat. Example) - Extended Version,32umxnWHwaBbAebfg8qHE2,Flux Pavilion,Daydreamer (feat. Example),0.556,0.884,9,-6.038,0,0.0328,0.0033,0.122,0.223,0.439,141.342
I'm Delighted,3BvekUPIbcepmAFS8HXTXV,Flux Pavilion,I'm Delighted,0.357,0.764,10,-5.444,0,0.0451,0.00834,0.00115,0.125,0.116,75.004
Turbo Time,7hC29MX6DygcbiLsqkP5x7,Flux Pavilion,Doctor P & Flux Pavilion,0.605,0.959,10,-1.935,0,0.0737,0.00218,0.84,0.112,0.56,75.04
Rubber Dub,46dSNuFP3DFThvZyaBu5F5,Flux Pavilion,Rubber Dub,0.499,0.932,8,-3.406,1,0.0422,0.00157,0.0539,0.0842,0.186,72.492
Haunt You,0FC0mr9pOvuuR3Arv1ACi9,Flux Pavilion,Lines In Wax EP,0.528,0.887,6,-5.392,0,0.0344,0.00398,0.152,0.171,0.14,140.009
Cannot Hold You,3SxtJEyRQAAayOHYjSMnv8,Flux Pavilion,Cannot Hold You,0.338,0.466,10,-6.768,0,0.0298,0.0738,0.029,0.219,0.162,55.894
International Anthem - LEVEL UP Remix,1nV3t6ywUOK4RU3D6zsYKE,Flux Pavilion,International Anthem (LEVEL UP Remix),0.606,0.975,7,0.16,1,0.0485,0.00223,0.00154,0.0763,0.261,145.072
Feel Good Ltd,6Kc1Y3KMHQAyymlI4KfLFF,Flux Pavilion,Doctor P & Flux Pavilion,0.664,0.979,2,-1.373,1,0.0565,0.0436,0.0428,0.12,0.505,144.96
