track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
FOX BOP,0Nh440aKOuihvPcXaSMiob,frost children,SPIRAL,0.526,0.736,7,-6.632,1,0.367,0.0127,0.0,0.344,0.944,125.501
GET WHAT WE WANT,1qS9GICrgAlCo9dQkJxWKy,frost children,SPIRAL,0.61,0.884,6,-7.177,1,0.225,0.165,0.000736,0.312,0.195,119.967
HARP + PONY,7Aie6UJe45uy867mpfLaxA,frost children,SPIRAL,0.676,0.889,1,-7.167,1,0.163,0.373,0.00767,0.448,0.876,176.986
I LIKE IT,4JDCOOBxca6wDqIJe2ykZu,frost children,SPIRAL,0.646,0.762,1,-10.3,1,0.0522,0.576,0.00963,0.103,0.247,101.041
MAKE THE FLOOR DIED,0Iy532TDsy21oTmhOwImAd,frost children,SPIRAL,0.767,0.556,7,-10.454,1,0.453,0.227,0.00122,0.397,0.232,87.057
MAYFLY,6bAi3bCjBzCBuOdleugvGz,frost children,SPIRAL,0.738,0.747,11,-7.881,1,0.356,0.124,0.0,0.128,0.82,168.018
SNAIL'S PACE,0JUnfSjqpIvetC15lz1cgG,frost children,SPIRAL,0.571,0.79,1,-7.531,1,0.338,0.0431,0.0,0.0588,0.533,172.876
GARBO,6Lr5y545scPptMCqLZNMNj,frost children,SPIRAL,0.876,0.897,7,-6.332,1,0.301,0.00334,0.0123,0.266,0.9,153.952
DEVIL NEXT DOOR,1pKh02MGbC5UXbc21eerGb,frost children,SPIRAL,0.477,0.813,10,-4.55,0,0.278,0.0272,0.00412,0.693,0.315,97.69
LOSER,5yQbJOTMj91Iw6dO0wQzXG,frost children,SPIRAL,0.738,0.646,11,-6.297,1,0.307,0.338,0.0,0.137,0.827,173.879
LAUGHINGLAUGHING,0rfUPAKjBEjgEDf8oBbtER,frost children,SPIRAL,0.812,0.564,1,-9.915,1,0.395,0.0172,0.712,0.123,0.593,134.997
WORSHIP U,0rMGNYg5jAggboyZCSj2NN,frost children,SPIRAL,0.273,0.268,8,-13.116,1,0.0333,0.828,0.0123,0.115,0.0606,151.797
FOR THE WHOLE WORLD'S SAKE,7q6sgiV4ddK0BwNoDZ57wo,frost children,SPIRAL,0.499,0.46,3,-8.18,1,0.076,0.385,1.86e-05,0.22,0.416,142.395
LAKE OF LOVE,44Y190pwiJfDVYYVpFs3sB,frost children,SPIRAL,0.546,0.605,2,-7.597,1,0.0979,0.184,0.819,0.141,0.138,137.468
Crunk Crisis,2qNfptnwHCUec44THcpi49,frost children,Elixir Rejection,0.652,0.827,2,-7.466,1,0.231,0.0628,1.05e-05,0.0622,0.822,178.043
BL!NK,1fBwINAfg2z1LmSunI9khj,frost children,Elixir Rejection,0.652,0.778,1,-9.235,1,0.0985,0.0587,0.366,0.256,0.561,174.013
Wild For The Night,42fwihFq53TuU7sBghJziA,frost children,Elixir Rejection,0.28,0.889,8,-5.229,1,0.114,0.00495,0.000327,0.642,0.463,163.967
Baby Stando,5CuAUyiwNKTPgwgkI3HN06,frost children,Elixir Rejection,0.62,0.872,0,-8.518,1,0.152,0.181,0.0807,0.0954,0.338,175.06
Bouncehouse,4U39YBNcbbupWXQDjG64St,frost children,Elixir Rejection,0.404,0.788,5,-8.496,1,0.0757,0.0242,0.011,0.185,0.547,99.523
Skype Me,7k4ymNM1tA2jovCCNZfPYD,frost children,Elixir Rejection,0.658,0.695,2,-10.891,1,0.0453,0.00218,0.00337,0.0388,0.936,154.004
Ghouls,1wfRHPAx8kuyCiAR8ugvIh,frost children,Elixir Rejection,0.296,0.908,8,-6.447,1,0.337,0.0258,0.0215,0.154,0.129,96.521
Pup,4kNi72rWN0OclVmI5UwfEL,frost children,Elixir Rejection,0.48,0.818,1,-9.962,1,0.117,0.00108,0.00027,0.11,0.537,151.004
Red Flag,4NkYdnrk8rclmh1wD0T627,frost children,Elixir Rejection,0.505,0.821,1,-8.04,1,0.235,0.0577,0.0196,0.31,0.294,180.026
Compens8,1JaXYWXA0465nXMVppWo8o,frost children,Aviation Creates Adventurous Beginnings,0.251,0.971,7,-6.769,1,0.444,0.000801,0.44,0.0921,0.122,97.544
Sonic,50X7PpsJjKy8yuKHYKTjty,frost children,Aviation Creates Adventurous Beginnings,0.337,0.916,8,-7.616,1,0.0513,0.00804,0.858,0.157,0.546,103.538
Insane (Deadscots and Gullivers),1d6g39bOJyCHZzSMhO2vXR,frost children,Aviation Creates Adventurous Beginnings,0.755,0.815,10,-8.198,1,0.0495,0.0542,0.0438,0.0909,0.755,139.03
Quicksand,74dxugLBugowYKJk4lXGhn,frost children,Aviation Creates Adventurous Beginnings,0.565,0.58,7,-8.013,1,0.16,0.106,0.903,0.21,0.821,138.042
Safe,0yTwVspjxmU3B4M1iTu1Bv,frost children,Aviation Creates Adventurous Beginnings,0.678,0.954,0,-8.661,1,0.0905,0.00144,0.661,0.067,0.144,120.004
Concede,6Zkh4Ww8JqYISiVqoUscL7,frost children,Aviation Creates Adventurous Beginnings,0.417,0.737,11,-7.107,0,0.061,0.108,0.0235,0.11,0.313,102.435
Drives Like a Dream,4TNx1vT0bSYGfELdJbj7w1,frost children,Aviation Creates Adventurous Beginnings,0.397,0.668,0,-11.327,1,0.0429,0.0177,0.0136,0.227,0.307,124.889
Fuck My Computer - Frost Children Remix,4msZzTP3dJlqmHRhUb4v3f,frost children,Fuck My Computer (Frost Children Remix),0.557,0.858,7,-1.423,1,0.0487,0.000791,0.183,0.425,0.414,136.958
We Invented Love,3ph60TsHPtgPYiu5wTTEp6,frost children,We Invented Love,0.686,0.858,7,-4.386,1,0.332,0.0139,0.0,0.505,0.709,134.902
Lethal - Far Out version,5WG4K6kMzQOPbIW2n78tB7,frost children,Frost Children | Far Out,0.492,0.547,3,-7.866,1,0.0322,0.135,0.000848,0.0884,0.351,138.969
HI 5 - Far Out version,2cwAgKd3p1kKUEMEUJ2kue,frost children,Frost Children | Far Out,0.775,0.797,11,-9.348,0,0.27,0.089,0.000121,0.385,0.518,120.055
SMSOU,19sm8bSemNgi6eE2w3qpjX,frost children,SMSOU,0.879,0.917,7,-1.086,1,0.109,0.0541,0.00464,0.372,0.53,128.008
Freak Mode (Frost Children Remix),6lYFnjjIBipiC4ZfWjCUaL,frost children,Freak Mode (Frost Children Remix),0.756,0.906,1,-4.161,1,0.142,0.00182,0.00301,0.441,0.683,135.04
Seeing Stars,4B4Sekpstoom4VdqDLatY1,frost children,Seeing Stars,0.559,0.951,10,-4.94,1,0.0549,0.00152,0.000694,0.0762,0.541,119.678
Demolished - Frost Children Remix,2TAnZcqstaplbdBtCFOE8w,frost children,Demolished (Frost Children Remix),0.66,0.915,0,-5.008,1,0.353,0.449,0.0995,0.338,0.627,169.961
MOTT ST (IN JULY),61r2oZkCKBeuMXUDfn4PUy,frost children,MOTT ST (IN JULY),0.595,0.548,9,-12.614,0,0.208,0.193,0.167,0.389,0.569,133.047
Osiris Avenue,7hOviJbkj7fpgKIuMFq6yT,frost children,Osiris Avenue,0.717,0.839,6,-7.864,1,0.0811,0.311,0.00178,0.0901,0.9,92.001
Yule Shoot Yr Eye Out,7plFvn1bp8fUYJy9bZNYC3,frost children,Yule Shoot Yr Eye Out / Scruge,0.569,0.811,2,-6.161,1,0.465,0.312,0.00671,0.148,0.8,155.928
Scruge,2FniE7fKxKv15e9z7Skkui,frost children,Yule Shoot Yr Eye Out / Scruge,0.515,0.542,0,-7.63,1,0.0284,0.18,0.0716,0.639,0.281,136.972
