track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
All Of It,79grw34DPX7iCvVUfBPB9S,Funk Tribu,All Of It,0.646,0.978,0,-8.804,0,0.0965,0.0421,0.803,0.0789,0.108,153.986
Most Wanted,70tuLbNs78YpooR8kZoWJW,Funk Tribu,Against All Odds,0.783,0.9,1,-5.412,1,0.0993,0.00449,0.308,0.051,0.926,150.023
New Wave,4qBI8874KdAUZexjNgpKmE,Funk Tribu,New Wave,0.774,0.712,6,-5.856,0,0.0736,0.0222,0.753,0.611,0.543,148.02
Make Me Feel,0QF02YFlAgQcduyidbwuxg,Funk Tribu,Against All Odds,0.747,0.727,11,-8.053,0,0.057,0.00738,0.644,0.0686,0.663,147.997
What Trance Feels Like,0cAhbpsVMIeAoNsmLWQvZ9,Funk Tribu,The Midnight Club GT,0.73,0.709,0,-10.077,1,0.0712,0.0118,0.872,0.442,0.652,158.037
Drummers,6um0V02B6s6eFW98U0cbNo,Funk Tribu,Platinum,0.703,0.876,7,-8.573,1,0.166,0.00379,0.825,0.0976,0.461,74.995
I WANT YOUR LOVE,3YlabQB2EfIqvxZDovTlc5,Funk Tribu,I WANT YOUR LOVE,0.482,0.999,5,-3.561,0,0.125,0.0055,0.919,0.0872,0.444,74.978
Phonky Tribu - Radio Edit,1FvZEAOq2Hptyt7UzUFCmu,Funk Tribu,The Midnight Club GT,0.73,0.944,1,-7.129,0,0.0443,0.000163,0.794,0.0313,0.597,160.001
Phonky Tribu,0AwurY9kc7KE48r58KKvJg,Funk Tribu,The Midnight Club GT,0.731,0.873,11,-7.746,0,0.0518,0.000268,0.851,0.1,0.671,159.984
Digital Mess,0xPKx6lhxkSZpRfoIzkGIQ,Funk Tribu,Against All Odds,0.63,0.867,0,-7.031,1,0.124,0.0169,0.0544,0.135,0.458,154.028
Magic - Funk Tribu Remix,1HfoXnLC5VtJ6YPa5O3qm2,Funk Tribu,Magic (Funk Tribu Remix),0.597,0.686,3,-9.166,1,0.0831,0.00603,0.00466,0.118,0.15,150.003
