track_name,track_id,artist_name,album_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Fill Me In,0UzsDmdpw0Q14KU4hieQss,Craig David,Born to Do It,UK garage,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493
Has It Come to This?,35zEswqAFI1D41cmoBXOFK,The Streets,Original Pirate Material,UK garage,0.668,0.854,1,-4.577,0,0.397,0.00436,0.0,0.314,0.903,130.072
What's It Gonna Be (feat. Platnum),2xUjNGHjJOBcpTf7dYx4EY,"H ""two"" O, Platnum",What's It Gonna Be (feat. Platnum),UK garage,0.733,0.9,9,-4.758,1,0.0341,0.0085,0.0218,0.151,0.937,139.61
Moving Too Fast - Radio Edit,4FLFm76nwepkcxzqS8PzH4,"Artful Dodger, Romina Johnson",Movin' Too Fast (Ultimate Collection),UK garage,0.844,0.506,11,-11.082,0,0.0453,0.0878,1.65e-05,0.0323,0.515,127.099
Love Shy (Thinking About You) - Virgo vs. Agent X Club Mix,5u8a3ikxBEyPlMjPLlYqmN,Platnum,Love Shy (Thinking About You) [Remixes],UK garage,0.679,0.823,11,-3.504,0,0.0533,0.00834,1.93e-05,0.35,0.747,140.34
Sweet Like Chocolate (Radio Edit),3IFVskDtdJTwAZ0I8HGvoO,Shanks & Bigfoot,Sweet Like Chocolate,UK garage,0.909,0.628,5,-10.664,1,0.0722,0.0481,0.291,0.0967,0.697,130.65
Fantasia,0zUkDKuz2NW84ez2Ty3rsQ,MONK,Fantasia,UK garage,0.769,0.916,1,-8.578,0,0.223,0.519,0.0,0.105,0.628,124.047
On My Mind (Jorja Smith X Preditah),1OxL1FWSEd7QmJoWLRP2NO,"Jorja Smith, Preditah",On My Mind (Jorja Smith X Preditah),UK garage,0.71,0.662,10,-5.947,0,0.175,0.42,0.0,0.0723,0.755,130.037
Sambuca - Original Mix (Radio Edit) [feat. Dennis G],4todOcpbt1Kpp4jl5x0r9h,"Wideboys, Dennis G",Sambuca (feat. Dennis G),UK garage,0.879,0.669,0,-8.013,1,0.147,0.0571,1.25e-05,0.022,0.94,129.02
Imagine - Asylum Remix,23k9zieWoOTm67FVWkvAFn,Shola Ama,You Might Need Somebody,UK garage,0.786,0.854,1,-6.058,1,0.11,0.0436,0.0374,0.146,0.963,128.572
Babycakes,0dAn58pe2GWDTlqa2Th4mP,3 Of A Kind,Babycakes,UK garage,0.817,0.719,0,-6.858,1,0.0982,0.351,3.33e-06,0.0592,0.838,137.944
Into That,62SwsMgk0UtSo4vUgPQlib,MONK,Into That,UK garage,0.794,0.832,7,-9.531,1,0.212,0.769,0.00274,0.193,0.751,117.496
Battle,1Y8R1CKdai0oycCf6K0sjh,"Wookie, Lain",Wookie (Deluxe Edition),UK garage,0.559,0.693,0,-7.975,0,0.0682,0.0213,0.000888,0.115,0.557,129.967
London System,4DojpITrYldHAADhF74AmB,Rascaal,London System,UK garage,0.96,0.609,6,-8.279,1,0.298,0.0724,0.0,0.141,0.823,129.941
Weak Become Heroes,4H45wRMStWCWwCLQ8TEz1z,The Streets,Original Pirate Material,UK garage,0.467,0.58,0,-12.792,0,0.272,0.0735,0.0,0.091,0.465,130.091
R U Sleeping - Bump 'N' Flex Remix,1iNeRmlqIPPcxyCAuCOi3m,"Indo, Bump N Flex",R U Sleeping,UK garage,0.76,0.751,4,-9.792,0,0.078,0.00022,0.105,0.0667,0.472,127.166
Gabriel - Live Garage Mix,6fSdR81YvNG8Wo6i2ytLPR,"Roy Davis Jr., Peven Everett",Gabriel,UK garage,0.829,0.332,11,-13.837,0,0.047,0.0125,0.294,0.0918,0.448,128.627
This Time Around,3seoFkxLDIc0xhgF2iek4k,"Dashawn Jordan, 4TUNAT",This Time Around,UK garage,0.717,0.949,4,-6.628,0,0.0456,0.23,0.156,0.119,0.711,127.99
"No Good 4 Me (feat. Megaman, Romeo and Lisa Maffia)",7oysiJ2yYjVYzrGSmIEzME,"Oxide & Neutrino, Lisa Maffia, Megaman, Romeo",Execute,UK garage,0.735,0.839,0,-9.041,0,0.0358,0.0177,0.0175,0.09,0.815,134.005
Tell Me It's Real - Club Asylum Steppers Mix,7qvjI9Mo0KQTGz6NB0ZLYQ,K-Ci & JoJo,X,UK garage,0.8,0.783,0,-7.572,0,0.0504,0.0949,6.79e-05,0.156,0.817,134.182
Tension,6Zx1tbIMpcLUIBE57bMxz3,Vital Techniques,Tension,UK garage,0.814,0.907,11,-4.016,0,0.0846,0.0434,0.0683,0.0721,0.899,130.022
Booo! (feat. Ms Dynamite) - Original Dirty Mix,1hZ56XbpYbxCOrpNgj6CU6,"Sticky, Ms. Dynamite, Jason Kaye And Ms Dynamite, Richard ""Sticky"" Forbes",Booo!,UK garage,0.6,0.77,6,-7.077,1,0.195,0.0004,0.000264,0.0533,0.625,131.582
Garage Girls - Sunship Radio Edit,4P5Rntc1SI0IGeqlrWJQCq,"Lonyo, Sunship",Garage Girls,UK garage,0.641,0.954,0,-4.048,1,0.0375,0.0817,0.0001,0.358,0.98,131.95
Wah Gwarn,7iBBaFflTZuCTUX4xx3rXR,Lisa Maffia,Wah Gwarn,UK garage,0.84,0.812,8,-4.348,0,0.16,0.0283,3.71e-06,0.085,0.383,132.038
"Be the One (feat. MORGAN, Digga D & TIKE)",1kXHqvq1R8dkx1Mm52nH9g,"Rudimental, MORGAN, Digga D, TIKE","Be the One (feat. MORGAN, Digga D & TIKE)",UK garage,0.846,0.726,1,-3.376,1,0.0635,0.094,2e-06,0.0304,0.79,131.974
Guess I Was a Fool - Mj Cole Mix,4rZnUdfa5g8XHWWCq84wap,Another Level,Hôtel Costes 2 - La Suite,UK garage,0.836,0.668,7,-8.245,1,0.0688,0.209,0.0238,0.151,0.703,130.038
Million Rings,3xPIndCsBuz27cLygsUhSB,"Hardy Caprio, Lost Girl",Million Rings,UK garage,0.582,0.492,8,-10.138,0,0.332,0.381,0.0,0.128,0.59,86.804
Denial - Mikey B & Motion Remix,1cn1ejFyFVHcajto6umVO2,"Mikey B, Motion, shanesa",Denial (Mikey B & Motion Remix),UK garage,0.822,0.76,9,-5.221,0,0.0493,0.258,5.27e-06,0.123,0.774,127.975
