track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Buckshots,3m8gAK8zwgV6iwx0geN7UL,Gorillat,Third Eye Vision,0.42,0.981,10,-1.925,0,0.542,0.0263,0.00174,0.126,0.351,82.625
Pay Respect,4OpmeYRpurVHJYhuOqJqqy,Gorillat,Pay Respect,0.698,0.939,8,-3.13,1,0.045,0.0231,4.17e-05,0.148,0.135,136.008
Uplift,0NqRO6Vks3gg6mrGlynkS4,Gorillat,Tales Of A Stoned Ape,0.63,0.916,9,-3.081,1,0.19,0.00136,0.0222,0.0645,0.403,177.018
Subject: Wonk,2ZhO2uDhQnL6VHE6vKNadX,Gorillat,Third Eye Vision,0.649,0.968,9,-0.354,1,0.169,0.0646,0.0148,0.804,0.315,143.045
Bear Witness,407XWCEUEGIpqbEmqZchHj,Gorillat,Bear Witness,0.667,0.942,4,-0.192,0,0.0501,0.0905,0.0442,0.551,0.218,90.033
Mystic,4s9KteFXPrqdJ0PYLX5wOw,Gorillat,Tales Of A Stoned Ape,0.571,0.859,6,-2.393,0,0.307,0.0285,0.686,0.0654,0.24,141.853
Wonky Walk,3LRoqsInPfXf6Ghl75609d,Gorillat,Tales Of A Stoned Ape,0.754,0.872,1,-1.427,1,0.328,0.0173,0.588,0.088,0.171,182.142
Amnesia,0GAZYpYEPg9sFJPyEbf7xt,Gorillat,Amnesia,0.58,0.913,11,-1.244,0,0.294,0.0333,0.307,0.0646,0.202,140.135
Everybody Knows - feat. IRAH,6zOMRlixopeRw0PScXKZNU,Gorillat,MINDFULL,0.428,0.961,10,-2.596,1,0.297,0.00351,0.000308,0.203,0.413,140.094
Come Alive,1veBhHpWIj267LOaj6Xs8K,Gorillat,Come Alive,0.685,0.955,10,-1.763,0,0.138,0.00065,0.475,0.126,0.362,180.04
LFG,5N2I2ObfEO7U2wECdwoyiT,Gorillat,HEARTWAVE,0.619,0.793,1,-4.26,0,0.2,0.000676,0.0223,0.32,0.294,175.981
Feel It,2Zin7IOCSXxhQtdoFU4zdk,Gorillat,Feel It,0.618,0.934,7,-2.887,0,0.2,0.0167,0.00182,0.228,0.0812,147.011
Third Eye Vision,1waLYktQF1ByPCP3PjTTfb,Gorillat,Third Eye Vision,0.493,0.865,9,-1.889,1,0.0607,0.0395,0.128,0.34,0.039,139.909
Ape Shit,18iIaFPwTlRhDWTcCWpwel,Gorillat,Ape Shit,0.559,0.988,0,1.007,1,0.0556,0.0508,4.26e-06,0.306,0.155,69.991
Harmonic Revolution,1NyF26hxvNieCDaDQgrSj5,Gorillat,Tales Of A Stoned Ape,0.498,0.799,1,-2.787,1,0.0923,0.0403,0.0651,0.0578,0.127,68.666
Table For 4,4SHAukssL2EaXS7eHnqMKD,Gorillat,Third Eye Vision,0.684,0.915,2,-2.286,1,0.104,0.0147,0.00177,0.0887,0.138,140.07
Tension,1nfG9Vc38n8KNMnA6DuSmz,Gorillat,Tension,0.706,0.93,9,-2.024,0,0.262,0.0127,0.00194,0.123,0.186,140.111
Deadweight,5xl3rrZFBuxZCbd4dBIvld,Gorillat,Deadweight,0.521,0.983,2,-1.652,1,0.219,0.0169,0.0789,0.224,0.242,175.111
Mandela Effect,4CRh6adSOpELDlb3fo8ZaE,Gorillat,Tales Of A Stoned Ape,0.781,0.943,3,-1.963,0,0.0905,0.0131,0.321,0.127,0.177,145.084
Native Curse,3f93sYaZnHwVjNBt0RPO0W,Gorillat,Native Curse,0.667,0.97,6,-1.436,0,0.148,0.136,0.0374,0.446,0.457,140.01
Vibration,1HB4LFxY4xCp3XGPCIqpov,Gorillat,Tales Of A Stoned Ape,0.652,0.903,2,-1.893,0,0.0565,0.101,0.309,0.335,0.446,141.888
Kinetic Flavor,3aHXQ3dxulNRhhs82Rj2R4,Gorillat,Third Eye Vision,0.637,0.973,11,-2.041,0,0.352,0.0223,0.000121,0.17,0.427,175.925
Imagine,6K6HQjzUN1MBsBLzhrXS9L,Gorillat,Tales Of A Stoned Ape,0.721,0.709,1,-4.798,0,0.169,0.152,0.577,0.056,0.169,137.03
Personal,5r8n9MaSGujpRQkQSMSgyO,Gorillat,Personal,0.604,0.983,11,-3.142,0,0.226,0.00778,0.381,0.355,0.613,178.114
Treasure Hunt,5zEylMrIb9Uuw2Q3TPE8yO,Gorillat,Third Eye Vision,0.712,0.984,10,-1.174,1,0.213,0.0514,0.63,0.306,0.344,143.05
LA,2UkNHNlcX9Gnm78lAl9iYh,Gorillat,LA,0.722,0.896,10,-4.068,0,0.0408,0.0602,0.718,0.13,0.466,127.476
Pulse,4dfPLIBrqqSpPSFNKMhyVg,Gorillat,Tales Of A Stoned Ape,0.619,0.911,10,-2.598,0,0.0722,0.0655,0.114,0.0765,0.422,178.147
De Novo,400fetAHOBv4NPocs4ju7v,Gorillat,De Novo,0.7,0.938,11,-3.392,1,0.426,0.0687,0.0277,0.147,0.231,142.972
Don't Test Me,6y2ut0VRZYTsjisWzPilBj,Gorillat,Don't Test Me,0.458,0.779,1,-3.564,0,0.164,0.0261,0.634,0.124,0.0363,139.553
Ascend,39ladvJIbMMFrf87GRTuyw,Gorillat,Tales Of A Stoned Ape,0.585,0.672,5,-4.072,0,0.051,0.269,0.0044,0.107,0.12,145.018
Attitude,0FD5xlAaWQzJUUjYwWALza,Gorillat,Attitude,0.791,0.897,10,-3.266,0,0.0807,0.00988,0.364,0.0798,0.0672,126.06
Deceit,5QIrn6jcrVi5jONahI29DN,Gorillat,Deceit,0.568,0.944,10,-2.047,0,0.36,0.00634,0.102,0.149,0.171,140.144
Pause,4rhqA1TknYZzJAjoPjSTkq,Gorillat,Third Eye Vision,0.702,0.915,11,-2.691,0,0.274,0.291,0.0,0.855,0.156,140.133
Wibble Wobble,3zbVmYayQLT8TbMhzGHHCe,Gorillat,Wibble Wobble,0.583,0.933,10,-1.303,1,0.099,0.0332,0.00201,0.341,0.539,133.966
