track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
t a k e c a r e,1VyyhVkiZFTtZm0wI6fkA0,GRiZ,Ouroboros,0.399,0.668,4,-10.649,1,0.122,0.931,0.00739,0.768,0.814,82.004
Drop In,2R7I1oNiKns4dOvOzsXINs,GRiZ,Ouroboros,0.379,0.952,4,-2.524,1,0.425,0.00576,0.59,0.346,0.199,180.11
In This World,6lOIKNT7W5c7weyAEmfYkC,GRiZ,Ouroboros,0.453,0.941,0,-3.101,0,0.286,0.0501,0.00022,0.206,0.583,184.063
f a d i n g,63C5rMhaNV8eqWs48U9D5m,GRiZ,Ouroboros,0.351,0.493,0,-9.26,0,0.0321,0.00548,0.864,0.413,0.124,170.009
Falling Flying,6FSG4uKwi4Ofs6yWSqmyeZ,GRiZ,Ouroboros,0.438,0.875,0,-6.683,0,0.344,0.00223,0.738,0.123,0.102,169.999
Knucklepuck,2x5id3Ovu8gTYIInVG82tF,GRiZ,Ouroboros,0.632,0.972,0,-1.829,0,0.178,0.00899,2.47e-05,0.548,0.7,96.026
Better From Here,6IgPkY3iFYcqNdc31KPM6c,GRiZ,Ouroboros,0.264,0.89,1,-4.212,1,0.16,0.00778,0.685,0.0862,0.0362,72.485
Mystik Dub,2PMHPplo3vnlCBYzpUlICH,GRiZ,"Chasing The Golden Hour, Pt. 4",0.363,0.845,1,-4.538,0,0.0851,0.000944,0.051,0.136,0.565,200.052
Your Light,3hREfWrO8mOqgpfJWNPR4v,GRiZ,"Chasing The Golden Hour, Pt. 4",0.618,0.956,4,-3.062,0,0.0435,0.0205,0.33,0.219,0.772,100.02
Keep Bouncin',0HlBMpyG5T3zDsiXgRcnOg,GRiZ,"Chasing The Golden Hour, Pt. 4",0.654,0.939,6,-2.787,1,0.0505,0.0607,0.0433,0.549,0.9,96.99
Airplane Mode,1rc0XjFm6I3uL9b6AmtZWo,GRiZ,"Chasing The Golden Hour, Pt. 4",0.683,0.837,2,-5.209,1,0.0518,0.0628,6.51e-05,0.287,0.854,90.01
Carry On,78dAkAxU3tPpFfKSVnChqz,GRiZ,"Chasing The Golden Hour, Pt. 4",0.501,0.681,1,-4.86,1,0.0435,0.084,0.456,0.106,0.529,99.984
Gooey,0Wraxhm3m0ERYIQzXHpyHo,GRiZ,"Chasing The Golden Hour, Pt. 4",0.416,0.877,1,-6.377,1,0.403,0.00665,0.742,0.0299,0.408,179.962
On a High,2RC4PerrwP2UNy1AGf5GdS,GRiZ,"Chasing The Golden Hour, Pt. 4",0.689,0.851,7,-3.969,1,0.0763,0.0508,0.606,0.134,0.816,119.95
4 Your Mind,4SBeCPeBtkAnSCA0p502Z5,GRiZ,"Chasing The Golden Hour, Pt. 4",0.505,0.836,8,-3.807,1,0.041,0.125,0.565,0.105,0.312,95.015
Sundown,2cNFRzBIBtp8mJGcVEdwmz,GRiZ,"Chasing The Golden Hour, Pt. 4",0.526,0.82,4,-4.4,1,0.0405,0.00812,0.481,0.0938,0.283,160.036
c h r o m e s t h e s i a,2DdLUmfVu90t0aCoixYn1Q,GRiZ,Rainbow Brain,0.35,0.642,1,-5.824,1,0.0562,0.955,0.636,0.323,0.175,111.168
Astro Funk,3kzfUn0IkNB1NuOeORaoxU,GRiZ,Rainbow Brain,0.648,0.916,8,-2.285,0,0.215,0.000598,0.0123,0.138,0.66,149.83
Vibe Check,4uPfavkzDSlppPTJD5TdxS,GRiZ,Rainbow Brain,0.735,0.946,0,-0.751,1,0.145,0.0176,0.00476,0.313,0.391,149.914
Burn Up The Floor,0Qi6t5ZKFxE4nCFG0YHMTK,GRiZ,Rainbow Brain,0.524,0.994,11,-0.084,1,0.387,0.00173,0.0313,0.402,0.438,173.992
Tie-Dye Sky,53BjnauSWFdYV5tdKvbQ6j,GRiZ,Rainbow Brain,0.605,0.9,0,-1.725,0,0.0789,0.0131,0.443,0.144,0.523,150.146
R O Y G B i V - i n t e r l u d e,0MmP5BbLmRLX6LNh4D2UDp,GRiZ,Rainbow Brain,0.503,0.868,5,-4.589,1,0.0677,0.15,0.00567,0.303,0.489,140.15
Rainbow Brain,7wIUsOxSKHeILRmH8P47A6,GRiZ,Rainbow Brain,0.659,0.957,1,-3.23,1,0.106,0.00272,0.00199,0.223,0.692,140.067
Harmony,791iN88YzVS7RMP3qDyR8V,GRiZ,Rainbow Brain,0.286,0.914,9,-4.659,1,0.266,0.0335,5.91e-05,0.84,0.157,199.896
Gold,2jW9CeiIMBeYLZbqA41TY7,GRiZ,Rainbow Brain,0.722,0.9,4,-4.119,0,0.0649,0.0257,4.84e-05,0.279,0.76,100.985
Daily Routine,5dHNo0XaVUlh3VDYjzh97x,GRiZ,Rainbow Brain,0.736,0.928,1,-2.268,1,0.305,0.011,3.36e-05,0.371,0.915,100.015
Other Side of Jupiter,1DNQoOgkW0OCrsBZ7qCUEK,GRiZ,Rainbow Brain,0.398,0.819,4,-2.887,0,0.0509,0.00756,0.00161,0.328,0.138,82.726
w u - w e i,3OcqzZrWx8oekpYDSjYrRK,GRiZ,Rainbow Brain,0.405,0.196,5,-12.9,1,0.0396,0.989,0.276,0.198,0.586,96.515
Infinite,4zTVDxD5KpLjrSAiLcxl4b,GRiZ,Rainbow Brain,0.394,0.895,5,-1.79,1,0.0441,0.00471,0.429,0.491,0.204,149.718
y o u - a r e . i - c a n,1Ct6aa7BvBY9HGvrlZbsW2,GRiZ,Rainbow Brain,0.218,0.387,5,-10.592,1,0.0748,0.977,0.86,0.403,0.487,151.903
Feel It All,3WkiZM6cEcyX6Geg3N36Jz,GRiZ,Rainbow Brain,0.44,0.726,5,-3.793,1,0.0913,0.00308,0.304,0.784,0.254,60.677
