track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Push,29OFLlrrfKIEVwbVMTjBYe,Hamdi,Push,0.751,0.864,7,-2.85,1,0.125,0.019,0.0,0.0557,0.586,140.078
Discovery,1hL68mCCsLmtSJNr1W8HmR,Hamdi,Discovery,0.779,0.837,11,-7.028,0,0.0541,0.0567,0.000474,0.124,0.141,140.008
Badman Season,2sOBIuHSmGcdCnfzJJhfvK,Hamdi,Badman Season,0.719,0.886,7,-6.376,1,0.314,0.0064,0.616,0.321,0.433,144.955
Show Me (VIP),3w49BYdjw2Co5Y8pZf3hkV,Hamdi,Show Me (VIP),0.82,0.859,4,-3.98,1,0.248,0.12,0.169,0.146,0.609,134.0
UK Ting,3PuTUAsUTR7D3PnYtW1yj4,Hamdi,For The Love Of Bounce,0.764,0.638,0,-7.74,0,0.32,0.0476,0.0,0.0764,0.24,140.014
R&R,4Tw1Yfo5aOcdlb18QyZo78,Hamdi,132.00FM,0.704,0.924,9,-4.767,0,0.0427,0.0481,0.53,0.0968,0.205,134.046
Squirrel,4ZoC2nZwtxNhxZEuv3Ru6J,Hamdi,Three Lanes,0.436,0.623,4,-12.623,1,0.438,0.133,0.0,0.303,0.701,174.709
Skanka - sumthin sumthin Remix,7IZHUjEccg17iyWXBVfPs3,Hamdi,Skanka (P Money Vocal Dub),0.736,0.736,2,-7.344,1,0.294,0.172,0.0089,0.157,0.135,129.92
Selecta,7qx3TEpVPhdEHlIkmwsUBo,Hamdi,Selecta EP,0.471,0.935,2,-9.232,1,0.347,0.0913,0.758,0.269,0.456,175.997
Raw,3VFEXa3SD5ML1yxE1LABGs,Hamdi,Raw,0.727,0.792,7,-9.243,1,0.279,0.227,0.841,0.535,0.0837,139.899
"She’s Gone, Dance On (Hamdi Remix)",6rHen83Vy62TQbTgKayl9j,Hamdi,"She’s Gone, Dance On (Hamdi Remix)",0.555,0.931,6,-5.083,1,0.251,0.000493,0.883,0.544,0.674,160.073
Goblin - Hamdi Remix,5wPm3INKCgKJzzO2MgH7gD,Hamdi,Goblin (2024 Remaster & Hamdi Remix),0.741,0.719,2,-5.986,0,0.481,0.289,0.564,0.0824,0.373,139.878
Homesick,1Pl0RjTwUzaAh5SJY0fZBa,Hamdi,Homesick,0.724,0.906,1,-6.777,0,0.0415,0.0517,0.867,0.173,0.511,131.956
Simplicity,4VlfpC3JkhxPhZtypJ1j0U,Hamdi,Simplicity,0.785,0.469,6,-9.641,0,0.449,0.329,0.000163,0.21,0.352,140.014
Fired Up,0A2AZUyYg9AklWRTCtmneJ,Hamdi,The R♾️ts,0.594,0.985,1,-3.358,0,0.0522,0.00279,0.00187,0.201,0.0789,145.055
Havana,6tiFTvxMBwUN9Vl97okFKa,Hamdi,"Cuba, Pt. 2",0.764,0.939,6,-8.172,1,0.277,0.126,0.0292,0.113,0.45,139.904
Immortal,06V8G4kIGxbbGJ5x39PnXl,Hamdi,Selecta EP,0.764,0.337,0,-13.469,1,0.148,0.758,0.0036,0.233,0.0354,140.015
Sweet Shop - Hamdi Remix,61aqRPHpqpy3HScBCaBZdJ,Hamdi,Sweet Shop (Hamdi Remix),0.576,0.886,11,-4.11,0,0.0368,0.0341,3.66e-05,0.341,0.422,140.012
Counting - Simula Remix,23Z515fT5tpQZAn2nkt2lj,Hamdi,Counting (Simula Remix),0.769,0.931,11,-2.717,0,0.279,0.0351,0.0977,0.125,0.457,87.525
Nobody,4FWEg3SlEHt1iBYa5NG6eV,Hamdi,Summer Fruits,0.598,0.559,1,-6.409,1,0.0469,0.0214,0.357,0.112,0.312,135.14
Never Let You Go Edit (Original by Sammy Virji),4I6hQfzrWdnbFCo7od2Qqv,Hamdi,Never Let You Go Edit (Original by Sammy Virji),0.787,0.436,8,-8.726,1,0.511,0.741,0.91,0.315,0.479,139.941
Counting,0jozSNmRCcQvIzuae6xQ78,Hamdi,Counting,0.574,0.867,4,-7.061,1,0.458,0.132,0.00959,0.501,0.623,71.734
Dagger,60BCAVmc3GBJrE5ZjfX6P4,Hamdi,In:flux Audio Free Dubstep Volume 1,0.767,0.918,7,-10.904,1,0.206,0.0649,0.812,0.114,0.0682,139.859
Criminal,1wlsLLlTQjtqBvrPbKXHXd,Hamdi,Criminal,0.776,0.861,7,-6.719,1,0.231,0.0614,1.2e-06,0.198,0.655,142.062
Caterpillar VIP,2heGFqGdBukmlshTzLGgsj,Hamdi,Lost / Caterpillar VIP,0.809,0.694,10,-9.123,0,0.17,0.465,0.231,0.155,0.0368,140.094
Skanka - Kayzo Remix,5KFoCiMq8ucDN1SI5LOMI0,Hamdi,Skanka (Kayzo Remix),0.786,0.967,8,-1.944,0,0.0754,0.00686,0.0298,0.0881,0.349,140.08
Skanka,3M2l5Rh3qLjHzgVEWbyAbZ,Hamdi,Skanka,0.53,0.708,2,-5.592,1,0.435,0.146,1.36e-05,0.116,0.647,173.381
Creepy Crawlies,336A0A2TVAHQBfANnROg3Z,Hamdi,Creepy Crawlies,0.909,0.913,10,-6.784,1,0.583,0.000112,0.328,0.0657,0.909,135.231
Fired Up - MUNK Remix,4hlDikft2vgKRwWPjc7Tr6,Hamdi,The R♾️ts (Remixes),0.697,0.996,10,-2.747,0,0.144,0.0677,0.36,0.0419,0.158,158.059
Swing King - Mixed,4nkXWg9SF11N69XTX8FJ5R,Hamdi,fabric Presents Laurent Garnier: Into The Low-end (Mixed),0.769,0.777,2,-8.428,1,0.282,0.0267,0.000352,0.11,0.24,141.606
Orchid,02NXaNtoScXGndO3Zj1MNA,Hamdi,Orchid,0.492,0.811,7,-6.782,1,0.378,0.044,0.00204,0.0512,0.271,139.948
Patterns,23xE27jW7X7Tl2Y3favXv8,Hamdi,Stay In Your Lane,0.533,0.403,8,-7.38,0,0.322,0.102,0.00595,0.0671,0.329,137.9
Swing King,0xHtnko6St2bKkMGgrtTO1,Hamdi,Swing King,0.789,0.841,1,-7.9,0,0.257,0.0285,0.0107,0.102,0.273,139.985
Skanka (VIP),4HUsOtjhCpXPUHZfYtPSo8,Hamdi,Skanka (VIP),0.815,0.929,9,-4.471,1,0.0404,0.00713,0.00425,0.0885,0.82,140.061
Skanka - P Money Vocal Dub,4n7PlmHa8DU1elvSbYTOFY,Hamdi,Skanka (P Money Vocal Dub),0.424,0.785,2,-6.161,1,0.378,0.0722,0.0,0.216,0.337,165.322
Laidback,5fOdnJHTNqJ1dtibScdNom,Hamdi,"Cuba, Pt. 2",0.689,0.913,10,-4.944,0,0.0449,0.0232,0.337,0.0694,0.288,140.069
Counting - Sammy Virji Remix,4KPTu8qSxATFXL3e5sJipW,Hamdi,Counting (Sammy Virji Remix),0.93,0.551,1,-7.904,1,0.265,0.0232,0.0103,0.0472,0.389,134.019
Counting - Taiki Nulight Remix,1NSWEN2D4tSseirwne0bhD,Hamdi,Counting Remixes,0.857,0.684,1,-8.12,0,0.314,0.198,0.0338,0.271,0.558,142.046
Push (feat. contra & OFFAIAH),0Ef9qRVu8U0FwdySS38Pdx,Hamdi,Just Dropped,0.756,0.858,7,-2.829,1,0.128,0.018,0.0,0.0557,0.591,140.061
Counting - P Money Vocal Dub,6doTGbLKtrRPMDFS5RjtUz,Hamdi,Counting Remixes,0.551,0.942,6,-4.519,0,0.542,0.347,0.0,0.599,0.52,88.701
Skanka - Nikki Nair Remix,06ouUqeuOqifyDAdbORJeK,Hamdi,Skanka (P Money Vocal Dub),0.8,0.924,6,-3.407,0,0.0752,0.0212,0.671,0.123,0.0932,140.009
Bun Dem Down - VIP,4uw1aUGiDcezyvexMWZymw,Hamdi,Bun Dem Down VIP,0.673,0.813,7,-6.234,1,0.301,0.0915,0.0,0.128,0.31,139.962
Yum - Jon Casey Edit,3LpqWmY4wylwueiL2C35DM,Hamdi,Okay / Yum,0.59,0.585,9,-8.657,1,0.927,0.0417,0.209,0.37,0.332,166.113
