track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4am In A Rave (feat. rhys from the sticks),5Q7g7bfuumI3oF9GaVtxWP,Hannah Laing,4am In A Rave / Speed Is A Deed,0.657,0.924,7,-4.53,1,0.0656,0.01,0.000384,0.131,0.547,147.051
FWTDJ (All Night Long),5FyugvX0og6OA1s2NUBK6L,Hannah Laing,FWTDJ (All Night Long),0.736,0.962,0,-4.162,1,0.0473,0.00381,0.0255,0.0614,0.254,139.976
Good Love,0ZVjgfaC2Ptrod9v6p9KFP,Hannah Laing,Good Love,0.777,0.821,1,-4.963,1,0.0595,0.14,0.0042,0.218,0.439,140.039
Fuck The Pain Away,4xCmCF6pHz0v6vcANehny0,Hannah Laing,Triple F,0.62,0.997,2,-3.564,1,0.137,0.195,0.0255,0.321,0.0962,150.007
Ibizacore,0LU920mdHUiNTWGd3xIxdl,Hannah Laing,Into The Doof,0.659,0.903,3,-5.437,0,0.0438,0.000393,0.00744,0.0729,0.18,139.976
Bass Boys,7vMU4De9ruZBTCbseWEQUm,Hannah Laing,Bass Boys,0.737,0.704,10,-7.346,1,0.0465,0.105,0.000838,0.0869,0.187,147.016
Good Love - Tiësto Remix,64EVtIxtoYJorqaMjHGzPM,Hannah Laing,Good Love (Tiësto Remix),0.737,0.829,5,-4.941,0,0.0461,0.00319,0.15,0.326,0.385,130.042
Murder On The Dancefloor - Rave Edit,1Nl3LaK2B5X2y3tHJThfSA,Hannah Laing,Murder On The Dancefloor (Rave Edit),0.648,0.898,1,-6.884,1,0.0523,0.000618,0.553,0.357,0.231,129.999
I Need It More,3if5OebGvCHYFUrgWbcNq2,Hannah Laing,I Need It More,0.667,0.922,2,-5.816,1,0.0426,0.02,0.13,0.336,0.0466,140.028
Party All The Time - D.O.D Remix,5JBtawmFkJ1Qs9Fzrdgkxt,Hannah Laing,Party All The Time (D.O.D Remix),0.602,0.969,6,-4.16,1,0.06,0.0106,0.664,0.0852,0.595,132.048
Speed Is A Deed,5CXP7Z4doGPLqAlka8gS5t,Hannah Laing,4am In A Rave / Speed Is A Deed,0.416,0.948,7,-4.533,1,0.0827,0.167,0.00437,0.28,0.626,144.961
Don't Wanna Go,7Egwrj96WlechP11rChGK9,Hannah Laing,Don't Wanna Go,0.78,0.702,7,-7.759,1,0.0531,0.0126,0.942,0.379,0.133,130.008
Party All The Time,49iD1q5Z58aEDqCemEXpS1,Hannah Laing,Party All The Time,0.665,0.964,7,-4.014,0,0.091,0.00947,0.0129,0.254,0.338,139.995
4am In A Rave (Mixed),2hWmtGyGNF4nuQjmOvJBiB,Hannah Laing,A State of Trance Year Mix 2025 (Mixed by Armin van Buuren),0.597,0.963,1,-7.152,1,0.0483,0.00124,0.946,0.164,0.819,144.96
