track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Zonder Jou,1amdcqzkjFf3eVuoIKyNDh,Hardwell,Zonder Jou,0.64,0.711,7,-6.124,0,0.0497,0.141,0.0,0.308,0.498,131.861
Spaceman - Carnage Festival Trap Remix,0T64SYe5jQTQq57E6d94N3,Hardwell,Spaceman,0.712,0.499,11,-8.976,1,0.0768,0.0233,0.77,0.101,0.255,139.987
Everytime We Touch (Mix Cut) - Hardwell & Maurice West Remix,49ZuJYjop8st6JwHWquK0u,Hardwell,Hardwell presents Revealed Vol. 9,0.594,0.864,8,-3.993,1,0.0786,0.00125,0.0,0.185,0.207,145.045
Call Me A Spaceman,5NYejXf1mwigePilCGLjdM,Hardwell,Spaceman,0.582,0.878,3,-3.595,0,0.0487,0.0172,0.0,0.248,0.35,127.945
Ping Pong - Hardwell Remix,1NM2NUzlN9SY8z5k4ZfRJB,Hardwell,Ping Pong (Hardwell Remix),0.575,0.985,6,-3.493,1,0.0747,0.00379,0.155,0.0471,0.0762,129.956
We Are Legends,77ibQbRBcNtsDtm6i5oSi3,Hardwell,We Are Legends,0.505,0.842,6,-2.275,0,0.0446,0.0642,2.23e-05,0.31,0.0695,128.008
Chasing The Sun - Hardwell Edit,7jRUGNzGNvBThHvgTYFhIE,Hardwell,Chasing The Sun (The Remixes),0.606,0.905,7,-3.821,0,0.0754,0.00642,0.000421,0.508,0.542,127.937
Shotgun (It Ain't Over),1VDALv89k5kHC0B3neBwru,Hardwell,Shotgun (It Ain't Over),0.624,0.905,2,-5.248,1,0.131,0.0168,0.00736,0.354,0.112,131.994
Out Of This Town,6wEotG7E3R9ztdmJ8VNMWH,Hardwell,Out Of This Town,0.549,0.902,5,-3.444,0,0.071,0.00863,0.000171,0.355,0.633,149.902
Off The Hook,6jmTQwFzejCurofZDz7x9k,Hardwell,Off The Hook,0.705,0.951,11,-3.754,0,0.0743,0.0113,0.503,0.346,0.153,129.967
No Sleep,0IfBHPh5QvtEAM46nKERjR,Hardwell,No Sleep,0.572,0.938,2,-4.683,1,0.0597,0.0261,0.59,0.239,0.622,74.99
Miracle (with Ellie Goulding) - Hardwell Remix,4LwbGXpHNvKkwiyLFBsBBQ,Hardwell,Miracle (with Ellie Goulding) [Hardwell Remix],0.573,0.763,9,-10.011,1,0.0607,0.00142,0.0609,0.0935,0.197,138.005
Revolution,4YtVNUrDjKbdrpkreAaz17,Hardwell,Revolution,0.457,0.968,7,-6.855,1,0.0953,0.0186,0.698,0.692,0.0375,139.978
Never Say Goodbye - Radio Edit,1JEZL8T0JE0868RXp811br,Hardwell,I Am Hardwell (Original Soundtrack),0.426,0.841,1,-3.529,0,0.0546,0.0192,0.0,0.421,0.05,129.982
The Underground,65U4u0K64Xs28gJOiXfTH9,Hardwell,The Underground,0.497,0.944,1,-3.701,1,0.0451,0.000186,0.377,0.482,0.318,150.021
Written In Reverse,6YYlDwGwQvWIePrUk42Pxi,Hardwell,A Town Called Paradise,0.473,0.765,1,-3.427,0,0.048,0.00446,1.53e-06,0.072,0.271,129.989
Sanctuary,4chU8mXKqVOgwtq5NWUL5r,Hardwell,Sanctuary,0.514,0.889,8,-8.202,0,0.191,0.0187,0.00579,0.0951,0.0641,131.931
Unity,02q7qbOYbE89NMFEtOklcc,Hardwell,Unity,0.65,0.912,10,-4.588,0,0.0406,0.0241,0.8,0.293,0.191,129.999
Echo - Giuseppe Ottaviani Remix,3ud0yUbSduI4eGnxKuvNJ3,Hardwell,Echo (Giuseppe Ottaviani Remix),0.403,0.961,1,-6.029,0,0.0398,0.000108,0.00395,0.15,0.0953,139.997
Brace For Impact,3h7yXc3dy9bLKHNYVc8YrC,Hardwell,Brace For Impact,0.467,0.965,4,-5.509,0,0.125,0.0095,0.000114,0.386,0.135,149.995
Power,4CVOUJki8YUWol3jhLphgs,Hardwell,Power,0.49,0.907,5,-4.063,0,0.108,0.000427,0.0,0.116,0.21,132.057
Rave Till My Grave,7w0OLfAqXs05KpUU34ngWd,Hardwell,Rave Till My Grave,0.678,0.958,2,-3.754,1,0.524,0.00945,0.00084,0.372,0.152,149.996
Live The Night,4GwXdVLueKZ8YhYjZmWtYh,Hardwell,Live The Night,0.805,0.968,10,-3.909,1,0.227,0.00707,0.00091,0.368,0.211,127.984
Bigroom Never Dies,0g7r4J268kF71T7ChFu8kI,Hardwell,Bigroom Never Dies,0.715,0.948,8,-4.887,1,0.0532,0.000732,0.0206,0.315,0.165,129.968
Follow The Light,1tMKOSjEH8xDccWhfNj0d3,Hardwell,Breathe,0.581,0.925,7,-8.119,0,0.0768,0.000839,0.305,0.646,0.0727,140.003
Bella Ciao,3M0NUo9eoV5otcWVIPNrwD,Hardwell,Bella Ciao,0.615,0.892,4,-4.688,0,0.0472,0.00214,0.000185,0.227,0.23,129.969
Spaceman - Extended Mix,3UkKMTiHxRt0E8SyF9tb45,Hardwell,Spaceman,0.6,0.761,3,-3.723,0,0.0554,0.000263,0.795,0.241,0.115,127.993
Nothing Else Matters vs F*CKING SOCIETY - Hardwell Mashup,107nvz0Fjnsq9O9g61myZ5,Hardwell,REBELS NEVER DIE (Deluxe Edition),0.551,0.855,2,-6.378,1,0.0616,0.00113,0.845,0.838,0.0332,128.013
A Sky Full of Stars - Hardwell Remix,0WZVGXO8FYpK8v1IDxlOyE,Hardwell,A Sky Full of Stars (Hardwell Remix),0.652,0.657,3,-4.491,0,0.0306,0.00209,7.04e-05,0.0859,0.0873,127.998
Apollo,7EdxI2Yro4AW2HH3akwqms,Hardwell,I Am Hardwell (Original Soundtrack),0.552,0.742,6,-6.122,0,0.0683,0.015,0.0124,0.639,0.274,128.076
Spaceman,3Nnq6YSHQ5LwRKkioGIjhb,Hardwell,Spaceman,0.403,0.73,3,-3.512,0,0.0662,0.000272,0.714,0.256,0.249,127.983
Falling In Love,5L5kU9WFu7IPZQXzzxaRQV,Hardwell,Falling In Love,0.219,0.851,8,-3.706,1,0.0534,0.1,0.132,0.0984,0.152,159.957
I Don't Wanna Wait - Hardwell & Olly James Remix,0GOXlShsWOp7BQ7nt9uwUL,Hardwell,I Don't Wanna Wait (Hardwell & Olly James Remix),0.51,0.943,1,-6.945,0,0.0381,0.00066,6.28e-06,0.388,0.639,150.065
Don't Let Me Down - Hardwell & Sephyx Remix,1JI70l1lE5IF2tgJm5TnMD,Hardwell,Don't Let Me Down (Hardwell & Sephyx Remix),0.509,0.897,8,-3.418,0,0.0454,0.0861,0.000634,0.0625,0.283,149.864
ACID,6JkQb1qCCJDBV7kW5vJUAH,Hardwell,ACID,0.573,0.982,0,-5.518,1,0.0576,0.0278,0.768,0.386,0.0617,135.034
Outside (feat. Ellie Goulding) - Hardwell Remix,5F65SKdHWD9l4Nl4kgMcWG,Hardwell,Outside (feat. Ellie Goulding) [Remixes],0.512,0.986,2,-3.04,0,0.0387,0.000678,0.00357,0.0463,0.167,127.997
Creatures Of The Night,7E12QRk94o3DBLzkySXFqn,Hardwell,Creatures Of The Night,0.388,0.759,5,-5.293,1,0.274,0.344,0.0,0.114,0.286,75.085
16,1DaiV2h1XWvqpyxJ25Q6Cs,Hardwell,16,0.511,0.882,9,-9.294,0,0.0712,0.0502,0.743,0.583,0.0898,144.979
Move,1zR99sAbPNjVnO7v9Q5IiP,Hardwell,Move,0.567,0.951,7,-6.455,1,0.0929,0.000494,0.874,0.354,0.0874,134.962
I'm Not Sorry,2gPHWUeWPcgVc88s8C9XC2,Hardwell,Hardwell presents Revealed Vol. 10,0.649,0.821,4,-3.812,1,0.0553,0.121,0.0,0.0771,0.343,128.094
