track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Fall Again,3oOvEw1pgxMtrQMNgPWQHL,Hayla,Fall Again,0.589,0.954,5,-6.033,0,0.0444,0.026,0.0087,0.151,0.537,129.983
FADED,0OSKN4D9kXEunDf89augTt,Hayla,FADED,0.764,0.813,9,-5.18,0,0.0975,0.031,0.000478,0.0538,0.651,128.003
Treading Water,6yv4uevSRhuDrBGrIgpmEh,Hayla,DUSK,0.689,0.577,5,-8.33,0,0.0342,0.281,0.00595,0.112,0.541,123.994
Lonely Days,3v9iM2rva2zjB3tQaFZFvS,Hayla,Lonely Days,0.792,0.842,0,-5.285,0,0.0463,0.00447,0.308,0.0535,0.715,126.024
I Found You (feat. Hayla),3okzjbfNE8uagng0tHfB02,Hayla,Evolve,0.479,0.868,9,-2.673,1,0.0386,0.156,0.0202,0.092,0.0989,173.789
Only I,1cH1TPIkt16pgC2xOdyplf,Hayla,DUSK,0.52,0.809,9,-4.613,0,0.0355,0.0592,0.195,0.137,0.0378,122.029
Without You (with HAYLA),6L9UuUMs32tHkwPufnmZee,Hayla,KYGO,0.269,0.681,9,-5.51,0,0.0473,0.0336,0.0,0.0927,0.0674,85.365
See Right Before My Eyes,0eZA97RIyDKqOnOkYfJ5Np,Hayla,Red Alert,0.685,0.967,4,-5.522,0,0.046,0.00358,0.787,0.0809,0.693,124.994
Another World - Kevin de Vries & SLVR Remix,70hIxHhQLcxmqwxfcYkoUf,Hayla,Another World (Kevin de Vries & SLVR Remix),0.564,0.841,11,-6.569,0,0.0324,0.00229,0.777,0.368,0.215,126.991
In My Arms,4y1L851idWEGf7ZKjXnEBg,Hayla,Refuge / Ur Alive,0.422,0.758,7,-2.83,0,0.0433,0.00952,0.0,0.144,0.175,142.066
Shiver - Wilkinson Remix,0agheCESujTTCavYzsRco0,Hayla,Shiver (Wilkinson Remix),0.373,0.982,4,-1.76,0,0.0415,0.00888,0.00181,0.106,0.0894,173.896
Shiver,0y5AwOPNSipCieOBz7gvV8,Hayla,Shiver,0.533,0.925,4,-4.649,0,0.0344,0.00124,3.91e-05,0.108,0.0587,126.988
Where You Are - Gorgon City Remix,6vc0R5eIkOBmqHw2CSDDBw,Hayla,Where You Are (Gorgon City Remix),0.607,0.878,4,-7.969,0,0.0524,0.0333,0.33,0.103,0.105,130.037
Alone,0on8CLpXmYtroRaOVTx9oP,Hayla,DUSK,0.548,0.689,5,-6.014,0,0.0579,0.00988,0.000181,0.346,0.185,124.008
Another World - HUGEL Remix,36uVlC2w68WFYnvEprzBBO,Hayla,Another World (HUGEL Remix),0.598,0.809,10,-4.821,0,0.0433,0.000737,0.0344,0.421,0.345,123.009
Visions Of You,3YRPcV1EQbYL155Qm6nkx1,Hayla,DUSK,0.785,0.854,8,-5.562,1,0.0675,0.0245,0.217,0.176,0.356,130.008
Freefall,3FGKOJEfF21ahU4qkmijku,Hayla,Freefall,0.639,0.815,2,-4.858,0,0.0411,0.0952,9.5e-05,0.116,0.28,126.982
Embers,7lU1KPpPh3uwx86KBvT8yK,Hayla,Embers,0.563,0.915,9,-4.415,0,0.052,0.00391,0.00126,0.105,0.104,124.089
Escape - Subtronics Remix,11IQ89bxoC3bklnfP5TZiM,Hayla,Escape (Subtronics Remix),0.562,0.837,9,-5.007,0,0.0843,0.0763,0.00846,0.135,0.232,145.059
Where You Are (Orchestral Version) - Live At The Forum,6CYWPXC27hiPCWOcYig7tz,Hayla,Where You Are (Orchestral Version) - Live At The Forum,0.44,0.899,9,-7.687,0,0.115,0.0244,0.518,0.958,0.0384,132.044
Shiver - Cassian Remix,3wPPekju1lN3XgdtYCWmOS,Hayla,Shiver (Cassian Remix),0.575,0.968,2,-5.352,1,0.0648,0.0171,0.022,0.385,0.0967,126.968
Escape - John Summit Remix,68lTEhMEx4MxDCJypT6bXE,Hayla,Escape (John Summit Remix),0.631,0.84,9,-5.768,0,0.0347,0.0009,0.0374,0.109,0.113,125.992
Where You Are,4qDpLaFGf5ampf2DXD2TMA,Hayla,Where You Are,0.567,0.83,9,-6.402,0,0.0349,0.00879,0.0105,0.529,0.0726,126.04
Escape (feat. Hayla),3VpxEo6vMpi4rQ6t2WVVkK,Hayla,Kx5,0.659,0.798,9,-6.933,0,0.0749,0.175,0.000379,0.708,0.15,126.064
Where You Are - Zedd Remix,6hI3PnULFXwkOQSHLHNfOO,Hayla,Where You Are (Zedd Remix),0.547,0.616,9,-6.451,0,0.043,0.0396,0.000144,0.13,0.0661,129.979
Another World,5U0iZCQ9e8PaLYxup0pcnO,Hayla,Another World,0.258,0.815,10,-7.11,0,0.0372,0.0632,0.0474,0.197,0.335,130.032
Where You Are - GRiZ Remix,47kEJq44ZBrRBD4gvdCu0v,Hayla,Where You Are (GRiZ Remix),0.349,0.793,9,-4.383,0,0.0474,0.0331,3.66e-06,0.745,0.249,139.641
Another World - Nico de Andrea Remix,3ZOrHLxVmoJ6qlF9QK4HI0,Hayla,Another World (Nico de Andrea Remix),0.604,0.946,10,-5.4,0,0.0305,0.000808,0.0373,0.333,0.183,124.998
Another World - Volaris Remix,7bEl4z8zkQg3UC8FKEBzdl,Hayla,Another World (Volaris Remix),0.484,0.955,10,-7.571,0,0.0381,0.00538,0.118,0.235,0.0789,125.976
Escape - LöKii Remix,4LNeh4R9tx3IsmRIPbFlD5,Hayla,Escape (Remixes),0.517,0.914,9,-5.831,0,0.0999,0.24,0.00176,0.147,0.221,127.921
Escape - Spencer Brown Remix,7nVF0vhNrzwFS3sbpwvpdR,Hayla,Escape (Spencer Brown Remix),0.726,0.721,2,-10.183,1,0.0676,0.00414,0.537,0.103,0.111,128.005
"Another World - Neil Amarey, Glauko, Breeze and The Sun Remix",5tfvV3MjPEDEswgMSlWzpc,Hayla,"Another World (Neil Amarey, Glauko, Breeze and The Sun Remix)",0.566,0.827,10,-7.35,0,0.0563,0.0308,0.000456,0.341,0.223,119.966
