track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Coming Up (Like That),6st1CVCUWkKgonMwm20BCD,Heyz,Coming Up (Like That),0.605,0.925,9,-1.747,1,0.0948,0.0292,0.000437,0.268,0.14,74.979
Castaway King,4gvHBXha2dhmjjiSBQ9zTo,Heyz,Human 404,0.568,0.74,7,-5.972,0,0.06,0.0766,2.59e-05,0.567,0.122,152.051
Lost In The HEYZ,45AFCFFA20ByaqEd6qXqpI,Heyz,Lost In The HEYZ,0.311,0.99,1,0.025,1,0.46,0.00212,0.000755,0.0868,0.34,71.773
Darkest Little Friend,4Yzx2Ly5Qydpgd87CdvTFG,Heyz,Darkest Little Friend,0.539,0.722,2,-5.161,1,0.0434,0.00454,0.764,0.201,0.0388,99.961
On A Dime,5Riszk0ZuaA6US8TyZZ9cT,Heyz,On A Dime,0.486,0.798,4,-2.408,0,0.032,0.00153,0.0271,0.0919,0.0357,149.977
"EMPYRE, Pt. 2 - Heyz Remix",2ExgInVObnTnN2coGp3SLc,Heyz,LSZEE (Remixes),0.462,0.811,1,-2.975,1,0.0625,0.0793,0.423,0.113,0.0724,71.7
Alive - Heyz Remix,4ByJrz4AA2KU3r6YLvtMm8,Heyz,Alive (Remixes),0.334,0.938,0,-1.969,0,0.0874,0.0111,0.0168,0.202,0.169,127.436
Just Friends,3UhrXTixAs1m04bgbRBYF0,Heyz,Just Friends,0.333,0.793,11,-4.005,0,0.0433,0.000898,0.000249,0.114,0.175,144.615
Odyssey,40thGOBjZuW9bK1oNgAB4x,Heyz,Odyssey,0.618,0.826,9,-8.105,1,0.0419,0.108,0.943,0.0918,0.0326,104.985
I'm In Deep,7CpzpC08POgY3reKx8pZns,Heyz,"Into The HEYZ, Part I",0.561,0.904,1,-3.183,0,0.038,0.00414,0.25,0.0948,0.111,128.126
Feel Right,7bap91OhETlg2P9jdzYKI4,Heyz,Lost In The HEYZ,0.472,0.935,10,-2.918,1,0.278,0.185,0.000307,0.12,0.0565,139.989
Wicked,5iWb1LOSKnG3OXIp4sSWZM,Heyz,"Into The HEYZ, Part II",0.408,0.859,8,-1.183,1,0.0511,0.000777,8.37e-05,0.711,0.219,87.012
Hold Me Close,1qKvS15FUKaE8zd77a9G1w,Heyz,"Into The HEYZ, Part II",0.208,0.927,8,-2.698,0,0.201,0.0306,0.188,0.313,0.125,144.619
Hurt,4hSmhoWceZfpoTopxcvaEr,Heyz,Hurt,0.353,0.936,10,-1.53,1,0.096,0.00217,1.9e-05,0.187,0.344,150.156
Acid - Heyz Remix,2Ga0nZKuO6UciBK4CFcOqx,Heyz,Acid (Heyz Remix),0.504,0.936,6,-3.649,1,0.402,0.00363,0.00162,0.508,0.417,190.09
Turn The Tide,7r5s7HP6dJvcQjYrb0ZsoK,Heyz,Turn The Tide,0.437,0.875,7,-2.493,0,0.0737,0.0107,0.00127,0.104,0.181,144.973
Anyway,0PhsygvObAaqJ62sP3nmdD,Heyz,Who Is HEYZ,0.398,0.996,11,-2.237,1,0.187,0.00255,0.508,0.122,0.177,150.103
In The Stars,3qPJQhBBLPtr1R9ojGQFKk,Heyz,"Into The HEYZ, Part I",0.451,0.975,4,-1.933,1,0.0871,0.000893,0.549,0.128,0.2,173.96
Clear (Feat. Tiaan) [Jauz Remix],3p6KOZ2GiIBySLRCES1Bfq,Heyz,Clear (Feat. Tiaan) [Jauz Remix],0.687,0.702,4,-7.818,0,0.0684,0.0376,0.00867,0.0669,0.0344,99.988
The Power of Everything,0QCTSPch7uVA344JWcNlIu,Heyz,The Code of Dreamz,0.477,0.976,10,-0.05,1,0.16,0.000448,0.234,0.47,0.163,140.238
Nice,2eEbvdn31H6aqF2SZ9M3Uy,Heyz,Nice,0.603,0.63,11,-9.219,1,0.0363,0.00153,0.774,0.0935,0.146,110.002
In The Dark - Heyz Remix,35tPeKysywBrrCMMxXmkS1,Heyz,DEADTHEREMIXES,0.475,0.793,11,-6.349,0,0.146,0.00312,0.000428,0.334,0.126,180.236
Super Hott - Heyz Remix,3Ns4XwygFBr1l2K14UuJFS,Heyz,Super Hott (Heyz Remix),0.534,0.519,11,-0.159,0,0.151,0.124,0.0455,0.306,0.245,74.979
The Portal (Intro),5trpDia1851wDx5aeHM1U4,Heyz,"Into The HEYZ, Part I",0.145,0.393,9,-7.949,1,0.0462,0.129,0.899,0.635,0.0965,79.059
So Far - Heyz Remix,2JfO318d0kxP1n5Wwapbe0,Heyz,Altered Underground (Remixes),0.596,0.989,6,-3.509,0,0.224,0.0186,0.006,0.0637,0.327,145.105
Wildheart,3SBjXISPZ5WZFBddRDnXun,Heyz,Who Is HEYZ,0.518,0.932,10,-1.609,0,0.0937,0.000781,0.783,0.0705,0.298,150.1
Time,5AoaswPw7CXb83nxuk1g9S,Heyz,Time,0.375,0.826,1,-4.079,1,0.336,0.0634,0.00118,0.128,0.491,199.735
Corruption,50OELzo8P6IK2U2c1UgtdD,Heyz,Corruption,0.472,0.891,6,-2.958,0,0.128,0.0552,0.0795,0.107,0.108,89.866
Fleeting,12UHQdihUSZl3fRHq4nHOT,Heyz,Who Is HEYZ,0.552,0.666,2,-2.336,1,0.0389,0.0305,0.0,0.31,0.144,149.988
Clear,1tTpxsN0SDwv1LUUz6I8oa,Heyz,Human 404,0.482,0.683,4,-5.227,0,0.0358,0.162,0.000245,0.0837,0.0453,97.959
Lion's Cage - Heyz Remix,0Tbkl52QIbFr5Fnskf5LId,Heyz,Lion's Cage (Remixes),0.478,0.734,0,-3.582,1,0.092,0.029,0.132,0.111,0.261,149.968
