track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Edge Of The World (feat. Nu-La),2zfWwqiWzmXRsyICIDbwGW,Innellea,Edge Of The World (feat. Nu-La),0.61,0.919,5,-6.409,0,0.0419,0.00698,0.00494,0.261,0.224,126.039
Lost,3fDv3H85PgOOg65JZZP6ki,Innellea,Lost,0.575,0.949,5,-4.863,0,0.0384,0.00576,0.472,0.122,0.119,126.035
Silence,1JMR7eNRM65VHkr1El3yjn,Innellea,The Belonging,0.488,0.894,2,-5.248,1,0.0438,0.000932,0.0667,0.107,0.0558,123.985
Downfall,6MLU9TwtV5mAu7E2pfQEgv,Innellea,The Belonging,0.626,0.863,2,-5.103,0,0.0487,0.00296,0.0732,0.0768,0.0793,123.981
I Don't Wanna Leave - Innellea Remix,5TKl0PjZyqUFocUWR3rQ7v,Innellea,Surrender (Remixes),0.414,0.626,7,-6.728,0,0.0347,0.0274,0.187,0.0908,0.0569,121.979
Angel 1,2XmN4sUQdDwnAwCqTpScMw,Innellea,Genesys,0.615,0.887,10,-6.721,0,0.055,0.000905,0.885,0.0956,0.0391,122.013
Shelter,2scX5RdL0wByroF3sCBzDX,Innellea,The Belonging,0.615,0.926,2,-6.882,1,0.0556,0.00248,0.173,0.104,0.118,123.975
Loss Of Hope,7gPTyBwllEDyrTuiB7iiaW,Innellea,Distorted Youth EP,0.682,0.927,5,-6.13,0,0.0373,0.134,0.844,0.0904,0.11,122.994
Boavista - Innellea's Arp Attachement,0h467C8iLWdgfW58aj0X0o,Innellea,Boavista Remixes,0.689,0.773,0,-7.786,0,0.0507,0.0668,0.794,0.103,0.138,123.995
Euphoria,6m1B316ZF6UpDQwhz34Zfr,Innellea,Euphoria,0.624,0.794,1,-10.071,1,0.058,0.00122,0.0655,0.363,0.233,128.0
Desert Sun,5ho09ZAulykFu0SOw0IFjn,Innellea,Realm Of Consciousness Pt. VI,0.664,0.812,10,-7.489,0,0.0459,0.0402,0.892,0.101,0.0337,122.005
In And Out Of Love - Innellea Remix,1JIA8bJWcpQdpvKCt59633,Innellea,In And Out Of Love,0.56,0.872,5,-5.651,0,0.0471,0.0038,0.0169,0.524,0.0802,124.98
Set Me Free,5jRtRJNZuWMU7RCipIoNPh,Innellea,Set Me Free,0.581,0.971,10,-4.808,0,0.0559,0.03,0.788,0.241,0.588,126.016
In Control - Innellea Remix,35fdRgZrz5ujDGBaqhoPE8,Innellea,In Control (Innellea Remix),0.679,0.568,0,-7.097,1,0.0358,0.0447,0.709,0.067,0.0636,120.002
Promised Land - Innellea Remix,5cAbWjaGepnkRyJPPG5yqh,Innellea,Promised Land (Remixes),0.656,0.929,7,-5.341,1,0.107,0.0032,0.278,0.107,0.338,124.962
Obnoxious Desire,5uKwUXNoWgPONkdzuNuHpN,Innellea,"Realm Of Consciousness, Pt. V",0.746,0.487,11,-8.457,0,0.0553,0.19,0.894,0.095,0.419,124.002
Before We Drown - Innellea Remix,5w8LVMfShMYk98IZgVAraZ,Innellea,Before We Drown (Remixes),0.576,0.876,7,-7.337,0,0.0534,0.00146,0.658,0.0729,0.0579,125.994
Reflected Wisdom - Five Phases Project (4 / 5),7yU6xmRV36pHpsGTO9QMli,Innellea,Five Phases-Reflected Wisdom,0.672,0.8,5,-8.187,0,0.0673,0.00211,0.851,0.0962,0.0753,123.978
Her Entrance - Innellea's Interstellar Remix,2ovsj906vjoGM867YF5ZLO,Innellea,Juno (Remixes),0.606,0.814,9,-7.109,0,0.034,0.00172,0.81,0.0785,0.0388,121.996
Confronted Reality,7AiHR2spzxpa43YPfYylk1,Innellea,Distorted Youth EP,0.625,0.629,11,-8.043,0,0.0554,0.00381,0.752,0.107,0.223,121.989
The World Returns,4SQsOPbodBtlSHc7KtafSu,Innellea,The World Returns EP,0.632,0.57,7,-8.742,1,0.0311,0.000991,0.828,0.111,0.039,121.975
Mondfinsternis,5rjP1klQ4Y6xB5zwfZULnP,Innellea,Hoffnungsschimmer EP,0.732,0.541,1,-10.698,0,0.0637,0.181,0.915,0.111,0.285,125.006
Kiss Me Hard - Innellea Remix,4KqYjx5uaAemgjp6jWVpNL,Innellea,Kiss Me Hard (Innellea Remix),0.697,0.709,7,-7.223,1,0.0919,0.023,0.327,0.103,0.317,123.962
Forced Adaptation - Five Phases Project (3 / 5),20HjoBT4aiWPnRC8RaNLZj,Innellea,Five Phases-Reflected Wisdom,0.696,0.88,7,-7.122,1,0.0734,0.00381,0.773,0.107,0.211,122.99
Lost In Fades,6RhLucuBZEv4IuBvkpLdAM,Innellea,Realm Of Consciousness Pt. IV,0.749,0.348,0,-13.225,1,0.036,0.0586,0.649,0.108,0.464,118.009
Forward Forever,6nP3iynkH0n2eyrQsLDKym,Innellea,Forward Forever,0.725,0.848,6,-5.095,0,0.201,0.21,0.00322,0.0797,0.307,129.964
Hoffnungsschimmer,3IQ3kFgIcPTCdmQa7pOUfq,Innellea,Hoffnungsschimmer EP,0.749,0.842,8,-7.222,0,0.0742,0.103,0.817,0.244,0.812,120.026
Let's Get It Right - Innellea Remix,4tKdEEDu9ZGs0IimsZSDKi,Innellea,Let's Get It Right (Innellea Remix),0.668,0.798,11,-5.951,0,0.0451,0.00159,0.568,0.0788,0.0834,120.03
No Gravitation,7n0SczmUVJOQBCdR2piQHt,Innellea,The Belonging,0.613,0.66,2,-6.566,0,0.0371,0.0246,0.753,0.106,0.0397,124.029
Underwater Breathtaking - Innellea Remix,0TtJKWTueUUhFHBzcszuiY,Innellea,Underwater Breathtaking (Innellea Remix),0.709,0.81,6,-9.28,0,0.0594,0.0754,0.895,0.107,0.0394,124.0
Imaja's Drum - Innellea's Cosmic Consciousness,6gpNUUq4DgSqDtr6ZB51OI,Innellea,Innellea's Cosmic Remixes,0.85,0.531,5,-10.739,0,0.0464,0.0516,0.736,0.32,0.0593,122.036
The Awakening - Five Phases Project (1/5),49RvQpiPDosCWOzlsp0p32,Innellea,Five Phases - The Awakening,0.722,0.737,9,-8.605,1,0.0476,0.0281,0.903,0.149,0.0849,119.967
Concrete Jungle - Transhumanism Project (1/3),4oHAI2kmcxaSezwqyc2iw2,Innellea,Concrete Jungle - Transhumanism Project (1/3),0.797,0.563,10,-8.643,0,0.0568,0.0262,0.783,0.103,0.176,119.996
The Conclusion - Five Phases Project (5/5),38tFaMPTiCosT510Ngy9V5,Innellea,Five Phases - The Conclusion,0.598,0.611,7,-8.236,1,0.0476,0.000982,0.776,0.0861,0.114,131.985
Hypnos - Innellea's Highway to Hypnosis Remix,2aA3T5XfkXScVRk8NxpIjX,Innellea,Hypnos,0.758,0.563,2,-11.576,1,0.0446,0.101,0.915,0.12,0.13,119.004
In And Out Of Love (Mixed) - Innellea Remix,3xgmoX7jFi5nrziiBhPapw,Innellea,"A State of Trance, Ibiza 2023 (Mixed by Armin van Buuren)",0.566,0.813,5,-8.6,0,0.0445,0.00243,0.0642,0.222,0.109,127.986
The Invention Of Flying,1YKNNhIys3VyjLGkLz8Ij5,Innellea,Dixon & Âme Present Limbo,0.715,0.838,5,-7.356,0,0.0464,0.00589,0.849,0.0797,0.46,119.988
Rebellious Learning - Five Phases Project (2/5),62pfE8mxoPkiM2hE4vD8dg,Innellea,Five Phases - The Awakening,0.656,0.781,6,-5.964,0,0.0369,0.00357,0.832,0.112,0.0393,119.987
The Golden Fort,4jbcLHbQOYycRFTZQGaSH3,Innellea,It´s Us,0.663,0.495,1,-11.338,1,0.0401,0.154,0.924,0.108,0.0377,123.005
Forced to Bend,4d6Bk4gsiV2AMoxVsOsHTw,Innellea,Picture: Innellea,0.481,0.57,5,-10.456,0,0.0456,0.0123,0.867,0.69,0.0355,120.079
Tårar,45zr0wqbytRQqWlmh1385R,Innellea,The Belonging,0.694,0.798,7,-5.033,0,0.0398,0.0124,0.225,0.0948,0.064,125.974
Electricity,7uFegDWRXXgZ42twbwQNVo,Innellea,Picture: Innellea,0.714,0.572,9,-9.125,1,0.0718,0.00209,0.832,0.0664,0.403,121.992
It´s Us,1pbMinkxHnI5mpD2hnCPu3,Innellea,It´s Us,0.639,0.664,10,-8.344,0,0.0392,0.0271,0.455,0.0991,0.131,125.99
Deformation,311InDecOz3bD1RWKxS6VI,Innellea,The Belonging,0.654,0.866,8,-6.09,0,0.0512,0.0262,0.804,0.109,0.0767,123.991
Burning Out,6YFv057H40eXutcDIlADAn,Innellea,The Belonging,0.602,0.663,4,-7.724,0,0.031,0.104,0.863,0.0979,0.12,116.971
Insanity,1cbCXcq1rvjNTZZfWW0LUc,Innellea,The Belonging,0.614,0.901,6,-4.985,0,0.0405,0.00941,0.771,0.176,0.539,133.025
Haveli,3Wj5tbyaSFMcECsNUdLVyj,Innellea,It´s Us,0.78,0.662,4,-9.828,1,0.0732,0.106,0.9,0.0844,0.265,121.993
Irreversible,287qqcVcFGpfvjQWgHfnCP,Innellea,Distorted Youth EP,0.526,0.791,11,-8.766,0,0.0595,0.0325,0.85,0.092,0.137,121.961
Red Thread,0k4qYmEA4uTi3jzeadnVMr,Innellea,Picture: Innellea,0.503,0.637,6,-8.969,0,0.0836,0.0728,0.722,0.105,0.333,122.032
Distorted Youth,0yKrmiepUxcMVaNRR0sN03,Innellea,Distorted Youth EP,0.707,0.753,7,-7.679,0,0.0601,0.0361,0.582,0.0893,0.177,137.991
The Verge,1LyLN8w1K9HoPc94c1Lso5,Innellea,Unity Pt. 2,0.666,0.559,6,-11.751,0,0.0374,0.0302,0.663,0.115,0.126,122.005
So Far so near,6vneaPWl1DZ4S8cNwzK1uQ,Innellea,The Belonging,0.439,0.478,2,-12.69,0,0.0383,0.876,0.067,0.367,0.433,112.513
Lillith,5oegjxszrYaGKLjYgdUZ3G,Innellea,Apate,0.843,0.605,7,-9.395,1,0.046,0.0103,0.695,0.0817,0.105,120.001
We Thrive,5FYJlbDLyHTxB8M96HkGTL,Innellea,The World Returns EP,0.777,0.69,10,-9.809,0,0.0685,0.00693,0.904,0.0975,0.26,121.998
Escaping Nambaka,31wCWSQHpEq56WPdvF2c8W,Innellea,Room Mates #001,0.799,0.47,2,-14.03,1,0.0506,0.0759,0.921,0.107,0.205,119.983
Loving You Like Always - Innellea Remix,55YClWYJCtrXLc6bOgeVGZ,Innellea,Loving You Like Always (Innellea Remix),0.73,0.552,11,-8.331,0,0.0397,0.00736,0.817,0.114,0.296,119.993
Mars's Moon,42e8VteO1Iy3WtzLu11c4Y,Innellea,Picture: Innellea,0.791,0.971,9,-8.715,0,0.0661,0.0179,0.816,0.0948,0.0347,121.976
Visionquest,3XmQZ1qpBpxdnc1ECt4dNR,Innellea,The World Returns EP,0.756,0.789,1,-9.103,1,0.0378,0.00759,0.928,0.0885,0.252,120.01
Transhumanism - Transhumanism Project (3/3),1Bc1YCkgdW1AJ2GchM7g2C,Innellea,Transhumanism - Transhumanism Project (3/3),0.662,0.869,6,-7.076,0,0.0516,0.0163,0.875,0.096,0.0296,121.982
Effort of Change,7tgJYPD07mMrHm631xyjwj,Innellea,Effort Of Euphoria,0.574,0.95,10,-4.332,0,0.0602,0.0028,0.00766,0.0686,0.126,121.898
Vigilans,3zpx4nqbBsesDsC4EMuHQv,Innellea,Vigilans EP,0.738,0.942,2,-8.06,1,0.0646,0.015,0.805,0.108,0.225,119.982
Forgiveness - Innellea's CP Needs More Interfering Noise Remix,5FvDi7pnXcsTGxyzIEcpl1,Innellea,Forgiveness Remix - EP,0.768,0.463,10,-10.083,0,0.0381,0.00861,0.773,0.0979,0.0881,125.018
Targo,1bxfDqZtIObJdX7vdjg7OD,Innellea,Unity Pt. 3,0.617,0.818,8,-8.68,1,0.0543,0.0258,0.915,0.106,0.0388,124.002
I Won't Go,4wihcfLFZXBu783CbgRHyZ,Innellea,I Won't Go,0.636,0.704,10,-7.586,0,0.0388,0.00548,0.466,0.107,0.124,124.008
Das Licht,4S2HFmznjasZXwL5axqTaP,Innellea,Hoffnungsschimmer EP,0.746,0.519,1,-9.364,1,0.0473,0.0758,0.689,0.0798,0.0803,122.028
Taschendieb,7d9WojuQex6JTr8AIuqNqm,Innellea,Taschendieb,0.79,0.387,10,-10.906,0,0.0894,0.00136,0.82,0.0972,0.512,120.004
Sorrow,5bJ19I05AdJyUnFvv7JSZZ,Innellea,Picture: Innellea,0.712,0.798,0,-8.802,1,0.0502,0.000545,0.862,0.0735,0.344,131.996
Galagant - Dahu Remix,0ht3LREh4R1mt0evoUwYT8,Innellea,Colante,0.668,0.676,1,-9.778,1,0.0351,0.0211,0.878,0.0749,0.0365,121.995
Collapse - Mixed,7cD9sg3NPt0Kly21AXAbsz,Innellea,Melodic House & Techno 2025 (DJ Mix),0.61,0.712,7,-12.334,1,0.0435,0.00767,0.732,0.0926,0.148,120.002
Badai,3NhGUov9AxxfXwvXTUriwm,Innellea,Najachoka,0.741,0.497,7,-10.803,1,0.0469,0.0586,0.921,0.0928,0.122,120.02
Wood & Stones,0Fl0jkKEM8Ew96eciPAcEY,Innellea,Prospective Vision,0.748,0.906,11,-10.908,0,0.0698,0.0603,0.565,0.109,0.176,121.991
Returning Spaces,1DQe8rMlogUmqqhmiGNnJE,Innellea,Hypolation EP,0.719,0.682,3,-9.141,0,0.186,0.00992,0.122,0.0515,0.155,100.007
Saladin - Upercent Remix,4IdCfLLkxv95c4EDLFYQ0j,Innellea,Saladin,0.7,0.55,10,-12.708,0,0.0571,0.00233,0.89,0.116,0.268,120.018
Pathological Passion,6OGoHylYvE1jOY7j1AZGe1,Innellea,Hypolation EP,0.68,0.578,1,-8.792,1,0.043,0.00181,0.304,0.103,0.0576,120.034
Erlkönig,3UshszlUwGFkPMCX66ddNt,Innellea,Taschendieb,0.748,0.816,2,-7.567,1,0.0471,0.00394,0.91,0.0939,0.0387,122.005
Impurity,7DsLnylHuLald2OegvDZap,Innellea,Vigilans EP,0.734,0.938,11,-11.015,0,0.0518,0.00452,0.83,0.0999,0.0371,122.002
Nautilus,4Heb8g2IMDT9NtbKEfXMdS,Innellea,Nautilus EP,0.673,0.831,7,-11.007,1,0.0505,0.00226,0.802,0.0648,0.0382,123.989
Quito,4KvjZ3M9D88qBSlAAEReDM,Innellea,Nautilus EP,0.779,0.782,1,-10.711,1,0.0428,0.00294,0.884,0.114,0.169,120.001
