track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
B.O.T.A. (Baddest Of Them All) - Edit,39JofJHEtg8I4fSyo7Imft,Interplanetary Criminal,B.O.T.A. (Baddest Of Them All),0.733,0.921,0,-7.077,1,0.0446,0.161,0.662,0.122,0.729,136.996
Damager,7lNxQksP0anFNGEq8zsjMS,Interplanetary Criminal,Damager,0.819,0.957,7,-6.331,1,0.264,0.00434,0.000648,0.36,0.59,137.998
Yosemite - Wilkinson Remix,2l4aIc0G4KpX0kygZy1Tnd,Interplanetary Criminal,Yosemite (Wilkinson Remix),0.426,0.96,8,-2.581,1,0.0502,0.00311,0.658,0.165,0.0668,173.977
Yosemite,2bsE8sHNGxofmecroJrxsT,Interplanetary Criminal,Yosemite,0.582,0.944,8,-6.105,1,0.0594,0.00178,0.381,0.42,0.41,143.992
Yosemite - Philip George Remix,6ckbOEFwlBqzUnXO0rPeiE,Interplanetary Criminal,Yosemite (Philip George Remix),0.666,0.931,5,-6.399,0,0.0429,0.042,0.615,0.139,0.28,130.001
Gunman,581XtO5wVBE75sIbhsi3E2,Interplanetary Criminal,ATW007,0.747,0.963,11,-3.364,0,0.446,0.0521,1.13e-06,0.265,0.581,138.068
King Steps (Interplanetary Criminal Remix),0HhBiXAIb31CXqU1fFXAV0,Interplanetary Criminal,King Steps (Interplanetary Criminal Remix),0.728,0.886,6,-7.047,0,0.182,0.00517,0.00566,0.925,0.747,136.0
Dot Dot (feat. Interplanetary Criminal & Flowdan),7vePS1uTLA4iENtOldQVLt,Interplanetary Criminal,Dot Dot (feat. Interplanetary Criminal & Flowdan),0.763,0.832,11,-6.376,0,0.223,0.0749,0.00282,0.558,0.413,134.984
B.O.T.A. (Baddest Of Them All) [feat. Eliza Rose & Interplanetary Criminal] [Sped Up Version],4PwGpbqCyhmRdF8PjD4w79,Interplanetary Criminal,B.O.T.A. (Baddest Of Them All) [feat. Eliza Rose & Interplanetary Criminal] [Sped Up Version],0.652,0.942,1,-7.504,1,0.0501,0.314,0.658,0.132,0.743,82.012
100%,50jJH3e6Cfx077fDA2CKaB,Interplanetary Criminal,Atw002,0.909,0.802,2,-7.185,1,0.24,0.00122,0.0106,0.0705,0.451,140.027
Races (feat. Blanco),346F7P0kUbfsnVDjoNuBIo,Interplanetary Criminal,Races (feat. Blanco),0.804,0.926,11,-4.294,0,0.0854,0.00369,4.9e-06,0.246,0.625,139.974
Manchester,1T6WTLvFQWnTiDRmNQ8e9n,Interplanetary Criminal,ATW007,0.765,0.937,11,-6.036,0,0.0824,0.00249,0.867,0.394,0.814,138.019
Sidewindah (feat. Flirta D) - Interplanetary Criminal Remix,40jqUyfGoCQaZnUMIGdHSD,Interplanetary Criminal,Sidewindah (feat. Flirta D) [Interplanetary Criminal Remix],0.79,0.917,11,-7.344,0,0.0702,0.00336,0.356,0.0382,0.406,135.012
Badman Control,4NmbdhxOHSryHgqMYxLpEs,Interplanetary Criminal,Badman Control,0.799,0.97,10,-6.399,1,0.141,0.0035,0.409,0.101,0.432,136.01
With U,7pwHtdSrDx3ou811IcEz5e,Interplanetary Criminal,Atw002,0.846,0.818,11,-8.569,0,0.112,0.00142,0.668,0.241,0.946,137.053
B.O.T.A. (Baddest Of Them All),45bfH0GZvUyujIBiKRhXso,Interplanetary Criminal,B.O.T.A. (Baddest Of Them All),0.756,0.962,0,-7.526,1,0.0583,0.0671,0.703,0.194,0.749,136.981
The Valley,3wPOsKdwhkbEyfNXaCCcSn,Interplanetary Criminal,ATW007,0.644,0.832,0,-6.935,0,0.107,0.00394,0.904,0.362,0.0526,140.07
Gangster Time,4LEU14gZpGPwjbdJm58fz4,Interplanetary Criminal,Gangster Time,0.893,0.686,1,-7.785,1,0.278,0.018,0.00655,0.184,0.786,133.943
Don't Hurt Me,2NdCMXN5d7zVIwgaARacmy,Interplanetary Criminal,All Thru The Night (Locked On Vol 4),0.594,0.963,1,-6.846,1,0.0355,3.86e-05,0.0975,0.173,0.862,133.995
Lessons (Interplanetary Criminal ‘Back 2 Skool’ Mix),6hJamvmtpflSpRVjuY1Gkb,Interplanetary Criminal,Lessons,0.786,0.965,5,-6.513,0,0.118,0.00538,0.654,0.832,0.925,137.929
Confused,7y8jl2vr3yPm0ttrCA8BnX,Interplanetary Criminal,Confused,0.802,0.868,9,-7.773,0,0.064,0.058,0.0122,0.0292,0.681,133.948
Backshot,3jgaxb6K3eneGYi60mxRPo,Interplanetary Criminal,Atw002,0.765,0.906,1,-7.75,1,0.11,0.000581,0.223,0.14,0.599,138.018
Reckless (feat. Lily McKenzie),5D2tGiawYXh5n2so3clY2L,Interplanetary Criminal,All Thru The Night (Locked On Vol 4),0.827,0.919,3,-7.999,1,0.149,0.134,0.000637,0.499,0.368,134.988
T.H.C (The Hardest Cru),17WkznSRzZe545Y9EdkGFM,Interplanetary Criminal,T.H.C / D.M.T,0.798,0.992,1,-6.419,1,0.0564,4.65e-05,0.891,0.937,0.859,140.001
Frontier,10MxEAlZuBPiidcQ9cNyvx,Interplanetary Criminal,Pressure,0.792,0.786,6,-8.901,1,0.0653,0.00101,0.783,0.132,0.698,128.017
