track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Beater,3RByAZZwvCvRD3gqHe1Pgc,Johannes Schuster,"Acceleration Series, Vol. I",0.733,0.992,10,-6.566,0,0.0742,0.000531,0.863,0.0882,0.402,145.997
Suck Jesus,7GxcCtAQxCuZETvWuKMeSi,Johannes Schuster,Surge Of Power III Album,0.479,0.891,7,-9.722,1,0.0406,1.16e-05,0.869,0.11,0.0393,140.017
Surrender,0LCRGbC70bZlsrnGA9b1KP,Johannes Schuster,Affection,0.541,0.984,3,-7.054,0,0.0669,0.000471,0.884,0.0726,0.2,155.008
Empowerment - Original Mix,4DdJy5iAbm0jGtYyH9pMqT,Johannes Schuster,Benzeen Vol. 5,0.528,0.99,8,-9.321,1,0.04,6.09e-05,0.763,0.103,0.309,144.005
Catch The Vibe - Johannes Schuster Rave Remix,4UR5GmubbKN69JfviQGL9r,Johannes Schuster,Catch The Vibe,0.559,0.908,1,-6.619,1,0.0843,0.00588,0.345,0.198,0.178,149.973
Die Menschen Nennen Es Liebe,4BPfU6pbqwUtp3aU4Jq0OO,Johannes Schuster,Collective Process Vol.2,0.719,0.76,1,-9.0,1,0.0503,0.00063,0.824,0.102,0.214,143.999
Macht,62OaLJsDfYFI5OKQUwwfak,Johannes Schuster,RSVA001,0.586,0.973,5,-6.682,0,0.0597,0.0171,0.739,0.112,0.0812,142.01
Herz Am Rasen,3Xex3pAdv3t2fFtc1rimRE,Johannes Schuster,Affection,0.615,0.998,11,-6.265,0,0.0668,0.0039,0.711,0.0734,0.699,154.004
Pressure,1VChH4dCu6v6mUOcx9gNsM,Johannes Schuster,Panic EP,0.557,0.942,11,-8.348,0,0.0469,0.00281,0.859,0.127,0.652,144.007
Candy Flip - Gallop Mix,37AB9dyqwY7EY6R0jJjIP7,Johannes Schuster,SWITCH EP,0.681,0.997,0,-8.595,1,0.109,3.31e-05,0.925,0.141,0.446,150.021
Rush,6rIshx2AOofippGfegQyzc,Johannes Schuster,Panic EP,0.316,0.98,9,-7.483,1,0.2,0.0266,0.787,0.348,0.295,80.021
Reflect,3ME24i1DOOjQh8I51d6nYV,Johannes Schuster,Panic EP,0.245,0.851,7,-11.038,0,0.0794,0.00181,0.846,0.119,0.341,72.353
Ice Breaker,4sY4d4z1QTv6jvxIDVdwLK,Johannes Schuster,Techno Germany - Various Artists EP,0.658,0.998,1,-5.066,1,0.126,0.00252,0.902,0.112,0.097,147.992
Ohne Verstand,0GGYcTGc4rpSBnTPooTezo,Johannes Schuster,Ohne Verstand,0.712,0.968,1,-4.468,1,0.11,5.12e-05,0.881,0.222,0.646,153.975
Flicker Jab - Original Mix,2vICuCLSKywvwAbt3YD33A,Johannes Schuster,SWITCH EP,0.634,0.997,6,-6.799,1,0.0802,0.000442,0.845,0.0729,0.105,152.003
Affection,2zAxJV0O7UfOjxBrRvoSQP,Johannes Schuster,Affection,0.661,0.957,7,-5.275,1,0.0604,0.000152,0.908,0.208,0.794,153.994
Panic,4qz5hARKu0YCDqMSxE7i8g,Johannes Schuster,Panic EP,0.618,0.936,8,-7.374,1,0.0438,0.000175,0.913,0.119,0.0386,146.017
Nebel,42HEDaNWBI9WdUlh159pHN,Johannes Schuster,NTND001,0.553,0.854,8,-9.82,0,0.0346,0.00105,0.771,0.11,0.35,142.001
Switch - Original Mix,5b2sUk8dpAEnjD5YhyHEyY,Johannes Schuster,SWITCH EP,0.66,0.959,1,-7.688,0,0.0836,0.00108,0.784,0.073,0.21,150.02
