track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Ananda,4OgesRizuZuES11S4oMmCp,Joseph Capriati,Mantra EP,0.699,0.985,10,-4.622,0,0.123,0.0133,0.46,0.316,0.115,145.015
Electrolytic,1oPtzgPHeW9I91UGQDrBCv,Joseph Capriati,Self Portrait,0.783,0.741,9,-11.227,1,0.115,0.00587,0.803,0.101,0.58,89.995
New Horizons,4qFFPi5xUV9aKw3CSggglf,Joseph Capriati,Metamorfosi,0.765,0.533,2,-7.608,1,0.0466,0.00432,0.855,0.145,0.268,104.998
Improvvisazione,6l1Q2JgZcyQH0T6W3AcseQ,Joseph Capriati,Metamorfosi,0.49,0.479,1,-11.879,1,0.0705,0.01,0.837,0.211,0.166,118.225
This Then That - Coyu Remix,0NhHWtbDzcVgqSp3DWECWB,Joseph Capriati,Self Portrait (Remixes),0.799,0.853,1,-9.952,1,0.0507,2.12e-05,0.932,0.056,0.369,126.003
Meandri - Mixed,0Ilj1mKWWRk7DfnisBmLNf,Joseph Capriati,Global Underground #47: Joseph Capriati - Montreal (DJ Mix),0.656,0.809,7,-7.512,1,0.058,7.48e-05,0.913,0.135,0.321,135.99
Rubicon,0bHMuzFbDytfAOMuXrOXOy,Joseph Capriati,Congenial Endeavor,0.776,0.443,7,-10.595,0,0.0529,0.0662,0.9,0.11,0.23,128.004
The Gallery Tool,1vLPjYUNVoZcZFAQNGRhgV,Joseph Capriati,The Gallery,0.517,0.108,0,-12.552,1,0.0407,0.392,0.882,0.684,0.0776,127.892
Goa - Carl Cox Deeper Remix,61Jb6dHdMkXr58HwAypTM9,Joseph Capriati,"Metamorfosi Remixes, Vol. 2",0.787,0.837,2,-9.78,1,0.0729,2.66e-05,0.887,0.0944,0.107,133.994
Gmid,0zAHqJrqJeu2ueW6fyLlRT,Joseph Capriati,Save My Soul,0.799,0.76,8,-6.012,1,0.0681,0.0294,0.922,0.134,0.103,128.013
Locomoted,0XRajNfsUW5pDwZ2fwJ6JA,Joseph Capriati,Gashouder,0.801,0.718,10,-7.71,0,0.0763,0.0207,0.904,0.105,0.314,128.023
Fratello,26VK8KbwpHpMzntM5Bua45,Joseph Capriati,Self Portrait,0.804,0.668,7,-9.635,1,0.054,0.00522,0.912,0.109,0.35,123.997
Oasi - Ramon Tapia Remix,6kBKrjlRdsGLWY9b834JxR,Joseph Capriati,C'est la vie / Oasi (Remixes),0.764,0.753,6,-9.763,0,0.0769,0.00984,0.915,0.0886,0.169,127.004
It's All About Love,79EsOZDxo7evUIsPjGV0qS,Joseph Capriati,Metamorfosi,0.782,0.451,9,-11.62,1,0.072,0.00555,0.9,0.114,0.182,127.993
Save My Soul,621jcGf5sOBIhVdT6cEiaS,Joseph Capriati,Save My Soul,0.806,0.85,1,-9.948,1,0.0535,0.00374,0.924,0.072,0.315,126.005
Psychic Journey - Steve Rachmad Remix,7ihqkxDBX9BKZGFBQ2hyBD,Joseph Capriati,Metamorfosi Remixes Vol 1,0.773,0.808,11,-11.844,0,0.0804,0.0151,0.908,0.0961,0.341,134.992
Montreal Intro - Mixed,26ZQ3547akKkkgnfLgS6uc,Joseph Capriati,Global Underground #47: Joseph Capriati - Montreal (DJ Mix),0.665,0.396,1,-20.424,0,0.727,0.585,0.857,0.0884,0.211,128.049
I Can't Stop - Joseph Capriati Deep Remix,5ZP7lNC3Ilai9zeN89XsYP,Joseph Capriati,I Can't Stop (Joseph Capriati Remixes),0.777,0.777,11,-7.916,0,0.0469,0.00318,0.888,0.0567,0.264,122.988
Psycology,12XoHLggLOuoKkVwYIK8We,Joseph Capriati,The Gallery,0.754,0.721,9,-5.526,0,0.0893,0.0147,0.86,0.132,0.334,128.001
Kontrol Room,53IMp9VTOGSxypFabaJi36,Joseph Capriati,Sidechains / Kontrol Room,0.806,0.868,6,-6.553,1,0.0604,0.000164,0.823,0.113,0.15,126.018
I Can't Stop - (Joseph Capriati Groove Remix) [Mixed],66Nb8LYLutW209SpSDjvlR,Joseph Capriati,Global Underground #47: Joseph Capriati - Montreal (DJ Mix),0.824,0.888,9,-7.944,0,0.0426,0.0123,0.0419,0.0512,0.503,129.018
Peace & Blessings (feat. Arnold Jarvis),36MlwUNXAQL1O4UQ3xgQrp,Joseph Capriati,Peace & Blessings (feat. Arnold Jarvis),0.776,0.804,4,-4.255,0,0.0546,0.00117,0.0547,0.278,0.874,126.0
Awake (Live) - Julian Jeweil Remix,69QkozX8OQl3RhVzFflPoR,Joseph Capriati,John Digweed Live in Montreal Finale,0.747,0.929,9,-5.795,1,0.0385,0.00225,0.864,0.234,0.233,125.023
Congenial Endeavor,5oQZ5rOTCXeD9CBFacafjg,Joseph Capriati,Congenial Endeavor,0.822,0.537,4,-9.193,0,0.126,0.00304,0.88,0.106,0.112,128.009
Peace & Blessings (feat. Arnold Jarvis) - JC's Groove Mix,0Xdkc2Is1U1JZiejsUwT8J,Joseph Capriati,Peace & Blessings (feat. Arnold Jarvis),0.799,0.531,0,-10.512,1,0.0865,0.000548,0.675,0.106,0.54,125.986
Parallels,5XXJcVoaCKEG2fXye0j229,Joseph Capriati,Parallels,0.93,0.461,7,-6.735,1,0.101,3.41e-05,0.935,0.693,0.0381,126.012
Sogno Profondo,7GyINEmwnootoSAPEI9j8g,Joseph Capriati,"Realm Of Consciousness, Pt. V",0.758,0.335,9,-13.128,1,0.0845,0.00119,0.908,0.0985,0.0371,125.001
