track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Feel This Way,2libVw5xnVwelZ69K47bDz,Josh Baker,Feel This Way,0.678,0.902,9,-5.155,1,0.041,0.0138,0.134,0.0645,0.744,132.98
Come Closer (feat. Sienna Sophia),6u4hUxemFMANHWhYPzKqNt,Josh Baker,Come Closer EP,0.723,0.598,8,-6.426,0,0.0388,0.127,0.235,0.121,0.551,127.998
Back It Up,5bdKaYnig6IqBsQQqBUjHm,Josh Baker,Back It Up,0.695,0.849,8,-6.282,0,0.034,0.0122,0.359,0.126,0.79,132.012
Back It Up - Extended Mix,3a6uey8rKgqnztu7DwCyvr,Josh Baker,Back It Up (Extended Mix),0.692,0.84,6,-6.42,0,0.0397,0.00432,0.735,0.0838,0.895,132.034
Jam Is Pumping,1tXkSkbltR7XjRxkgMZSNW,Josh Baker,Jam Is Pumping EP,0.792,0.702,8,-10.12,1,0.0522,0.235,0.372,0.103,0.602,128.966
Subsonic,1tquq70Dc0dhhEPxkbOu1I,Josh Baker,Come Closer EP,0.847,0.876,2,-7.548,1,0.0686,0.165,0.0239,0.641,0.961,126.98
Bass Up To The Top,0Z5iboHxPmyilWJQFnHZaY,Josh Baker,Bass Up To The Top,0.799,0.895,7,-6.125,1,0.0425,0.00677,0.388,0.117,0.723,127.005
Signs Of Life (feat. Lily McKenzie),5rMiSeIKqtZG6aHIcKi3Xy,Josh Baker,Come Closer EP,0.834,0.822,0,-7.773,1,0.0515,0.056,0.688,0.0955,0.737,127.005
Description,6Rh9rP1aIw5YAb0ETyQLQ9,Josh Baker,Come Closer EP,0.743,0.803,11,-7.431,0,0.0548,0.0115,0.7,0.104,0.691,129.006
Free Your Mind,1ckZEPBUmxbcn1i9CG4RjP,Josh Baker,Come Closer EP,0.704,0.718,3,-8.096,1,0.053,0.416,0.534,0.111,0.515,129.031
