track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Escape (feat. Hayla),3VpxEo6vMpi4rQ6t2WVVkK,Kaskade,Kx5,0.659,0.798,9,-6.933,0,0.0749,0.175,0.000379,0.708,0.15,126.064
Resonate (feat. Julia Church),2pvQCbUnXHOpAcJOkgAYmZ,Kaskade,Resonate (feat. Julia Church),0.604,0.872,7,-6.855,1,0.133,0.0486,0.000343,0.106,0.0587,129.953
Flip Reset,2mUnxSunvs3Clvtpq3FtGo,Kaskade,Flip Reset,0.78,0.916,1,-4.773,1,0.0699,0.00127,0.193,0.0611,0.426,126.006
Room for Happiness (feat. Skylar Grey),4Wtr41QfhYeAG1QocWuECB,Kaskade,Fire & Ice,0.63,0.778,2,-5.783,0,0.0276,0.0135,4.06e-05,0.0915,0.496,124.981
Solid Ground,1Uwvfrav6kkJUWHECeokme,Kaskade,Solid Ground,0.559,0.891,7,-3.232,0,0.0687,0.134,0.000298,0.332,0.164,125.087
Eyes (feat. Mindy Gledhill),0sm0xlswqP3OLlapoxt4YO,Kaskade,Fire & Ice,0.587,0.555,0,-7.991,1,0.044,0.00162,0.219,0.0782,0.308,128.014
With You,1xK7enJZVdv37fnnxoZlPq,Kaskade,With You,0.362,0.921,1,-3.815,0,0.486,0.123,0.0,0.19,0.529,172.191
Alive (feat. The Moth & The Flame) - KREAM Remix,1ak16S8LnZQzMIx3s2ViMt,Kaskade,Alive (feat. The Moth & The Flame) [KREAM Remix],0.598,0.885,9,-6.383,0,0.0373,0.0309,0.0508,0.211,0.254,126.031
Sweet Memories,6F3rgQfSns1slUnMfHXjOA,Kaskade,Sweet Memories,0.624,0.923,9,-5.449,0,0.0335,0.0268,0.000228,0.0509,0.402,124.994
Last Chance,2CouIsF7mjAyWv0qm2xus2,Kaskade,Atmosphere,0.442,0.851,3,-4.69,0,0.0598,0.0613,0.0164,0.107,0.172,127.956
Bright Lights (feat. AR/CO),7hz4FnANJOY7tR8eutPxIP,Kaskade,Kx5,0.682,0.845,4,-6.509,0,0.102,0.00608,0.00151,0.132,0.305,122.925
Angel On My Shoulder,6JG68IvIEUpOAobU6w7YJP,Kaskade,Strobelite Seduction,0.572,0.631,9,-7.522,0,0.0416,0.00379,2.67e-06,0.102,0.155,125.977
Miles To Go,0d2F9wcykuZ1QzDMcI0Mf0,Kaskade,Miles To Go,0.775,0.735,5,-5.585,0,0.0369,0.0363,0.131,0.103,0.172,125.025
imprint,2MNRIfBBCyWHb2NV5QUpKE,Kaskade,undux,0.651,0.939,11,-6.667,0,0.0724,0.0909,0.0375,0.114,0.367,120.041
Escape - Subtronics Remix,11IQ89bxoC3bklnfP5TZiM,Kaskade,Escape (Subtronics Remix),0.562,0.837,9,-5.007,0,0.0843,0.0763,0.00846,0.135,0.232,145.059
Atmosphere,5jozNdKPygoaSZhPJMP3eD,Kaskade,Atmosphere,0.588,0.757,3,-4.616,1,0.0402,0.0225,4.59e-06,0.0741,0.472,122.975
Tears Don’t Fall,3Hsbv9Z19MaIfXOu8S2v34,Kaskade,Tears Don’t Fall,0.518,0.907,0,-5.068,0,0.0918,0.0211,0.0,0.18,0.145,125.967
Sacrifice,3J10jNiQVIyaLgug5oI6sO,Kaskade,Sacrifice,0.667,0.956,6,-5.563,1,0.287,0.00385,0.0184,0.303,0.17,129.991
DNCR,7bNyAYmLg7HPLqi4YUysTA,Kaskade,DNCR / imprint,0.678,0.828,8,-5.891,1,0.137,0.0349,0.0118,0.308,0.52,132.001
pwdr Blu (feat. Brother.),6HIAIAWnanFhBtmIjtAtAr,Kaskade,Kx5,0.788,0.679,9,-7.684,0,0.0433,0.185,0.0486,0.107,0.179,122.037
Heaven Knows,3TnVOV85DaxEMP02xWbQfH,Kaskade,Heaven Knows,0.582,0.82,5,-5.44,1,0.0421,0.00899,0.00039,0.616,0.154,131.941
Alive (feat. The Moth & The Flame),1wbQbpNwQzcrgphXzWcgw7,Kaskade,Kx5,0.653,0.886,9,-8.237,0,0.0685,0.0778,0.236,0.126,0.0638,124.004
State Of Mind,769a3KrWIeyqIeAsKSyq2Y,Kaskade,State Of Mind,0.554,0.888,0,-7.261,1,0.0414,0.0611,0.0953,0.129,0.212,125.987
Believer - Kaskade Remix,6aiHF2IbJr6lG4Vu9em8KF,Kaskade,Believer (Kaskade Remix),0.73,0.634,10,-5.084,0,0.0509,0.181,2.24e-06,0.118,0.182,126.022
4 AM - Adam K & Soha Mix,1d4LKOubKKEJHqoxoUe4vR,Kaskade,4 AM,0.75,0.43,11,-8.146,0,0.049,0.0614,0.731,0.617,0.252,127.005
Disarm You (feat. Ilsey),3xQjivjUZ4KnUslduTEYKC,Kaskade,Automatic,0.446,0.793,5,-3.912,0,0.0556,0.0434,4.14e-05,0.159,0.313,127.799
obvious,0RXP5hsxxUyWMeKDd0Zxb1,Kaskade,undux,0.458,0.566,11,-9.955,0,0.137,0.281,0.0,0.365,0.213,125.028
In My Head,5zXfHNzmiGLpMJhzFdD7bM,Kaskade,In My Head,0.579,0.899,9,-4.523,0,0.042,0.0638,1.46e-05,0.483,0.0494,131.99
