track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
rookie,25Asxh6HQeYazQ1bEafNk4,knock2,nolimit,0.618,0.88,1,-4.691,1,0.246,0.0106,0.0197,0.701,0.325,131.991
"crank the bass, play the muzik",68V8nkmtQAnQ1daNWc9sFO,knock2,nolimit,0.705,0.935,8,-4.665,0,0.134,0.00447,0.000725,0.605,0.436,131.944
shake!the!city!,0AdQigPVEFZrgzdBGHEnuC,knock2,nolimit,0.76,0.882,1,-3.828,1,0.0429,0.00139,0.136,0.589,0.507,131.985
fw me (dirty),23bMrDNmqXJYfe8cY6Sw49,knock2,nolimit,0.802,0.923,1,-4.217,1,0.117,0.0217,0.129,0.108,0.621,129.982
dance or dead,2zlDtXQorGWTSTyxuZvOxM,knock2,nolimit,0.474,0.981,4,-2.978,0,0.161,0.0822,0.00757,0.92,0.477,124.918
party! (dance alone),5Gyk61VF5P3eIJ1dZwI7nh,knock2,nolimit,0.695,0.805,2,-5.709,1,0.0342,0.00182,0.00661,0.0593,0.41,128.031
select@,55uf1FtsrO1C1pQU457O5h,knock2,nolimit,0.563,0.871,6,-4.202,0,0.211,0.00308,0.00302,0.115,0.5,173.996
come aliv3,52DHyjdqrvGmtxixLpQl0x,knock2,nolimit,0.576,0.985,2,-3.905,0,0.0915,0.00817,0.694,0.2,0.152,140.054
ready 2,1Ox9wm23PPkBUPLzKYekgY,knock2,nolimit,0.591,0.957,9,-3.046,1,0.122,0.004,0.00459,0.85,0.44,144.934
lights down low,0lU2cMyeOWRimsZaN0qQVn,knock2,nolimit,0.591,0.922,3,-3.595,0,0.0366,0.00374,0.00605,0.41,0.112,135.001
shyne 4 me (feat. PIAO),3M8ih79hxAhMu8anoZO74o,knock2,nolimit,0.533,0.976,5,-5.727,0,0.0751,0.00667,0.231,0.12,0.0734,135.993
fast n slow,0ZvxJkVOn6o3ivrARv83XV,knock2,nolimit,0.808,0.814,8,-5.014,1,0.105,0.0828,8.05e-06,0.353,0.417,135.01
my melody,22V4wHK29PT5JFvi1aDg7Q,knock2,nolimit,0.594,0.844,11,-4.342,1,0.0605,0.264,0.0475,0.14,0.322,169.941
feel U luv Me,7C46d7mrdoSsgd3rNOa4A7,knock2,nolimit,0.655,0.944,11,-2.995,0,0.0821,0.0969,0.0311,0.178,0.287,130.035
hold my hand,7EZzLjvLJlAbOixtiExeE8,knock2,nolimit,0.505,0.842,0,-4.044,0,0.0496,0.0473,0.0283,0.115,0.223,127.918
day1s,6QsiX1NtqhakBxWaNYmInW,knock2,nolimit,0.63,0.908,5,-6.91,0,0.154,0.0498,0.00175,0.336,0.129,141.959
nolimit,6Kjt1bFzoH14FrfkwsmKuH,knock2,nolimit,0.488,0.773,6,-5.175,1,0.0454,0.0462,0.00729,0.104,0.0762,131.994
THRASH (PARTY STARTER),4elUJWLSukWtdMmNIjGQKM,knock2,4EVR,0.497,0.941,8,-0.711,1,0.112,0.005,0.00855,0.477,0.04,140.234
TROUBLE,3Y0FFtcmxdGkrCKnvuOs5q,knock2,4EVR,0.628,0.974,9,-0.51,1,0.0565,0.0172,0.0445,0.371,0.305,129.975
ENERGY,6GbhVYLX4gDu3v5Tx2cnIH,knock2,4EVR,0.736,0.987,8,-0.009,1,0.116,0.00246,0.177,0.343,0.316,129.973
