track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Deep End (feat. JHart) - Eden Prince Remix,4rgtPGf9Vp2aWiM0NooJvE,KREAM,Deep End (feat. JHart) [Remixes],0.677,0.848,7,-6.14,0,0.0741,0.0154,0.00111,0.277,0.469,125.068
Alive (feat. The Moth & The Flame) - KREAM Remix,1ak16S8LnZQzMIx3s2ViMt,KREAM,Alive (feat. The Moth & The Flame) [KREAM Remix],0.598,0.885,9,-6.383,0,0.0373,0.0309,0.0508,0.211,0.254,126.031
I Need A Miracle,0Op5b6Wio6U15ohFPJvjmm,KREAM,I Need A Miracle,0.576,0.932,2,-5.291,1,0.0455,0.00143,0.00685,0.104,0.282,126.03
Choices,6B07qI5lbBHuJpC6Ho3PJh,KREAM,Choices,0.678,0.859,5,-6.029,0,0.0507,0.0154,0.00123,0.1,0.48,123.998
Drifting (KREAM Remix),1EUTDw9E70ewmIi5pDCu4b,KREAM,Drifting (Remixes),0.574,0.949,2,-4.475,1,0.0406,0.00281,0.821,0.318,0.358,129.989
Numb,4thVkpcyMDxNYSRizyz6kL,KREAM,Reverie,0.555,0.852,10,-5.635,0,0.0421,0.0025,0.135,0.0884,0.323,126.032
Taped Up Heart (feat. Clara Mae) - VIP Mix,4fp5ICMxsl5kq9qWWpYBjN,KREAM,Taped Up Heart (feat. Clara Mae) [VIP Mix],0.706,0.835,0,-6.619,1,0.0465,0.0396,0.00311,0.14,0.46,121.986
Manta,0uXlFJxr5zDnoLql7DELIm,KREAM,Manta,0.501,0.943,9,-5.048,0,0.0409,0.00627,0.95,0.121,0.0564,125.999
Rendezvous (feat. Marlo Rex),13cVApl6LsR2QvEGdmh9VC,KREAM,Rendezvous (feat. Marlo Rex),0.594,0.895,4,-6.543,1,0.0464,0.0168,0.0106,0.136,0.177,126.057
New Rules - KREAM Remix,3X7hDlZs60cHwax3BI679a,KREAM,New Rules (Remixes),0.548,0.753,9,-5.456,0,0.11,0.00621,0.000342,0.0966,0.434,122.01
Go Somewhere,71rHHK9L22rVdmofJTjuSd,KREAM,Go Somewhere,0.706,0.78,0,-5.588,1,0.154,0.0105,0.0,0.164,0.677,124.022
Blue Symphony,6YztQYF4h3cqtF8rNcVWM5,KREAM,Blue Symphony,0.636,0.864,5,-5.552,0,0.0565,0.0051,0.0124,0.132,0.0421,124.055
Pressure,4D8Jh26RrDmNTeXL43kXBE,KREAM,Pressure,0.643,0.945,10,-6.301,0,0.0781,0.0524,0.146,0.223,0.49,124.928
What You've Done To Me (feat. Bemendé),2k9kWgFLCiAeRBTmwlGbAv,KREAM,What You've Done To Me (feat. Bemendé),0.7,0.911,10,-5.414,0,0.056,0.0137,0.65,0.163,0.545,123.996
Where Are You Tonight,5NosZGOuZRJOTPRAqIOkt8,KREAM,Where Are You Tonight,0.562,0.867,0,-5.538,0,0.0344,0.0429,0.849,0.12,0.0367,126.053
Take Control,4NPkQtN5w0T4ju8T6mYVsJ,KREAM,Take Control,0.676,0.9,6,-6.469,1,0.0881,0.0105,0.0136,0.0942,0.482,122.984
Interstellar,2noFPSXtNacxDVlUn1qsgn,KREAM,Interstellar,0.543,0.923,6,-4.963,0,0.0372,0.074,0.792,0.125,0.0786,127.993
About You,0mSxHkAKB6JR8Y3IX20H3n,KREAM,About You,0.711,0.82,8,-6.171,1,0.0477,0.00116,0.48,0.302,0.733,124.983
Water (feat. ZOHARA),6KddlPfPQ0L8MyffEpo63p,KREAM,Water (feat. ZOHARA),0.567,0.738,0,-6.03,0,0.154,0.0129,7.27e-05,0.207,0.432,121.936
Arrival,0hSuV2otL5a1tl8pByCiAt,KREAM,Arrival,0.731,0.932,9,-5.366,1,0.037,0.00305,0.932,0.0747,0.102,125.997
