track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Voicemail,5TK1e0ZrePHxtPs1yS5Pcy,Kuko,Voicemail,0.535,0.964,10,-6.109,0,0.0817,9.77e-05,0.903,0.115,0.225,150.01
Fühlst du den Schmerz,3flC0c8sXLl4RoJlbPJwuP,Kuko,44010,0.49,0.992,6,-6.191,0,0.101,2.62e-05,0.604,0.127,0.347,154.988
KINSKI,1gPVr558E2qmEHR5hf4Lz2,Kuko,KINSKI,0.405,0.99,6,-6.327,0,0.0481,1.18e-05,0.745,0.584,0.0897,150.005
Blurred,0VBS3aGkFOSGbIX1XLnR4f,Kuko,44010,0.54,0.993,0,-5.667,1,0.0477,0.00131,0.75,0.387,0.0958,147.993
Summertime Sadness,6ZbhIcQlXVz66bAAvSEuCe,Kuko,SEKTION 4,0.416,0.999,6,-5.126,0,0.123,0.000323,0.667,0.16,0.339,153.986
Eiskalt - Short Mix,6mm5l8BUKwVaG1yEFKCkgl,Kuko,Eiskalt (Short Mix),0.594,0.957,1,-7.225,1,0.0604,0.00321,0.775,0.144,0.141,155.021
Nikotin & Alkohol,7IG3FT4gosIWT7CASkT68v,Kuko,44010,0.561,0.988,7,-4.975,1,0.034,0.00379,0.764,0.158,0.398,154.99
Paranoid,5E16nGHXS2jgDSnSz8UAgu,Kuko,Paranoid,0.549,0.99,11,-7.118,0,0.128,0.000206,0.794,0.422,0.0799,150.015
Adrenalin,3wvjliUOPrXxXEVarm2DRT,Kuko,44010,0.527,0.996,6,-5.96,1,0.198,0.000117,0.627,0.105,0.347,154.972
No Tears,03LY83KqXl0YyZGpAgOXnU,Kuko,44004,0.427,0.933,10,-7.502,0,0.37,0.000341,0.89,0.15,0.322,152.997
KINSKI - ADRIÁN MILLS REMIX,2yA8jM4HnktmCnxKmkIIG7,Kuko,KINSKI REMIX EP,0.719,0.953,8,-5.448,1,0.0587,0.00216,0.729,0.0997,0.551,158.002
Du Bist Allein,2C1ucHI51iMWtgbYRnzO9d,Kuko,44004,0.445,0.98,2,-7.882,1,0.233,0.000477,0.818,0.231,0.222,152.031
Wach,6r2CBEKG9axHEiKh5za4RR,Kuko,44004,0.471,0.999,4,-6.797,0,0.0915,0.000445,0.845,0.21,0.0529,150.011
Push & Pull,0RmcJS5boEo9GWjVwLFFZN,Kuko,44004,0.568,0.995,7,-7.179,1,0.15,0.00184,0.88,0.403,0.129,151.996
Te Vuelvo a Ver (feat. Kuko),3C9oRh6c1pUTWiZOaNrsIv,Kuko,La Dura Vida del Joven Rapero,0.818,0.569,2,-8.946,1,0.228,0.685,0.124,0.124,0.801,97.039
KINSKI - DAVID STRASSER REMIX,7oJjNjCvSjIxykLikcEOXM,Kuko,KINSKI REMIX EP,0.557,0.984,1,-4.462,1,0.0427,4.94e-06,0.705,0.11,0.183,150.016
KINSKI - KARL SCHWARZ REMIX,6Tdrs3KuVbf16tI06ziSd6,Kuko,KINSKI REMIX EP,0.544,0.994,11,-5.325,0,0.192,0.00106,0.708,0.238,0.0385,149.999
KINSKI - HOEHENANGST REMIX,6xdh5SQ5O60c6SZoT1RGRh,Kuko,KINSKI REMIX EP,0.6,0.756,1,-14.581,1,0.354,0.00076,0.826,0.0449,0.323,150.002
Mi Lingo,0YTKnobttYLVeU03GV7ZlC,Kuko,Spanish Lesson Number 1,0.811,0.902,9,-7.036,0,0.103,0.241,2.41e-05,0.383,0.711,107.996
KINSKI - GABRIELLE RITES REMIX,2aWniReg0qGNoXA72CqjSD,Kuko,KINSKI REMIX EP,0.41,0.979,4,-5.324,1,0.0611,8.75e-06,0.878,0.109,0.0795,150.011
KINSKI - LS41 REMIX,3BCqqZaRXpiTwvln2yvvxt,Kuko,KINSKI REMIX EP,0.496,0.987,8,-2.515,0,0.205,0.00255,0.685,0.081,0.105,156.995
