track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Winner,7HMI29TLEFnrfJrjOE8iK9,Lady Faith,Winner,0.537,0.966,9,-2.882,1,0.166,0.0105,0.00149,0.381,0.117,154.951
The Law - Lady Faith Remix,0rPhT8Ix80LaO0JtagvlgK,Lady Faith,Untamed,0.596,0.964,10,-2.702,0,0.275,0.00199,0.174,0.239,0.19,159.984
Carmen (feat. Caitlin),6HD3xXJY6xy7iCdF28TgYe,Lady Faith,Carmen (feat. Caitlin),0.43,0.982,7,-2.562,1,0.275,0.0385,3.88e-05,0.0448,0.33,74.998
Take You Away,0jBrWpZ8Qx7kGqvE0WhXKJ,Lady Faith,Take You Away,0.568,0.92,9,-4.788,0,0.0447,0.00635,0.00024,0.267,0.47,150.062
America - Edit Mix,0nx2B1wJXnyeiPEiAraNWE,Lady Faith,America,0.549,0.955,5,-3.581,0,0.0963,0.00224,0.038,0.0798,0.0384,150.038
Salvation,7y24NYi1cCmDCXH5xUKkRL,Lady Faith,Untamed,0.456,0.925,7,-3.73,1,0.144,0.00659,6.08e-05,0.0966,0.177,155.033
Lights Out,5UY7X9Z3uPOLWHhVFuq2Aq,Lady Faith,Untamed,0.451,0.986,11,-1.775,0,0.159,0.00248,0.00227,0.167,0.363,155.025
Goddess Mode,5pW8pdfOGio1Kf3E73jmh8,Lady Faith,Goddess Mode,0.443,0.944,10,-3.01,1,0.126,0.00267,0.00086,0.338,0.093,155.125
Strife,2JPy3rwWrurO5CW7EtubGI,Lady Faith,Strife,0.582,0.928,6,-3.521,1,0.105,0.155,2.28e-05,0.717,0.349,155.034
Unbreakable,26geRmip7aa7LdV2uDcNp3,Lady Faith,Untamed,0.38,0.891,4,-4.536,0,0.0818,0.000446,2.91e-06,0.2,0.221,154.965
Unleash the Urge,3PkEqAzRP3NR6fd2VSiBhu,Lady Faith,Unleash the Urge,0.465,0.861,6,-4.246,1,0.0606,0.00162,0.00351,0.293,0.358,149.895
Wildside (feat. Melissa Pixel),2B6YLYEzRpATUzqCsEeFys,Lady Faith,Wildside (feat. Melissa Pixel),0.53,0.633,10,-6.222,1,0.0505,0.00285,1.5e-05,0.439,0.503,74.922
Basic Bitch - Original Mix,30D2Fv8ZTN33koz3eA778E,Lady Faith,Basic Bitch,0.42,0.931,6,-2.469,1,0.224,0.00134,0.316,0.0777,0.18,75.03
Electric,6ByvflmFP0j9ndT55uybIa,Lady Faith,Electric,0.328,0.953,11,-4.581,0,0.685,0.00264,0.413,0.302,0.14,149.651
Basic Bitch - Radio Edit,6aEEImxgGAUiaOSAQ0H9K0,Lady Faith,Basic Bitch,0.56,0.918,6,-3.047,1,0.178,0.00446,0.146,0.114,0.129,74.766
Ground Shake,3AI1sBPHefqXVKbe9GgPm1,Lady Faith,Untamed,0.677,0.904,2,-1.939,1,0.155,0.00294,6.31e-05,0.127,0.486,160.038
Moxie - Original Mix,3GPcmZlgg0cTouBObLfMBD,Lady Faith,Moxie,0.562,0.947,6,-4.633,0,0.0621,0.0119,0.833,0.108,0.371,150.017
