track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Leave The World Behind - Radio Edit,25ZEYUgCJyf3gRxkqYbkIc,Laidback Luke,Leave The World Behind,0.525,0.849,10,-7.727,0,0.0484,0.00232,0.00196,0.322,0.277,128.055
Leave The World Behind,73jg7bVVMpht7GF1QYVkl5,Laidback Luke,Leave The World Behind,0.831,0.518,10,-8.214,0,0.054,0.0511,0.402,0.0583,0.197,128.011
Better Off Alone - Laidback Luke Remix - Hit Radio,4ZO4AMv1AMEKG89AZUl0DG,Laidback Luke,Better Off Alone (Laidback Luke Remix),0.639,0.83,4,-7.492,1,0.0735,0.000656,0.531,0.237,0.366,129.844
Break The House Down,06Spq2VfQFwngHsRyvnUqA,Laidback Luke,Break The House Down,0.851,0.901,11,-4.603,1,0.0818,0.0126,0.669,0.0733,0.766,129.988
Leave The World Behind - Live From New York (Paradise Again Remix),01Pz3W8UMafuNseEDKw3Ll,Laidback Luke,Paradise Again: The Live Album,0.474,0.976,10,-4.948,0,0.113,0.0309,0.818,0.409,0.285,130.936
Heart On My Sleeve (feat. Sarah Reeves),510g8ODa5RWBG6KMe2n5Yi,Laidback Luke,Heart On My Sleeve (feat. Sarah Reeves),0.559,0.856,0,-4.122,0,0.0621,0.00815,0.0,0.113,0.276,127.997
If There is Love,6QrOjB34a6j9LQASSMLwxj,Laidback Luke,If There is Love,0.472,0.771,6,-5.7,0,0.123,0.00813,0.0,0.04,0.726,119.802
Sweat,3BJZCKZzWbsFYXSJvwPhVD,Laidback Luke,Free The Universe (Extended Version),0.857,0.773,11,-5.478,0,0.253,0.00347,0.0214,0.129,0.656,130.017
Over & Over,5AVt4A74OkAbhRVUcUglDU,Laidback Luke,Over & Over,0.64,0.731,0,-5.32,1,0.0481,0.0969,0.0,0.249,0.539,122.97
It's Time (feat. Bruce Buffer),3cR66dRqbsQwh0lyAa2y0M,Laidback Luke,It's Time (feat. Bruce Buffer),0.546,0.975,5,-2.78,0,0.122,0.00866,0.0141,0.0895,0.0987,150.017
Whistle (feat. Bertie Scott),6hEJvWfNOvTUhLuV1Or1of,Laidback Luke,Whistle (feat. Bertie Scott),0.832,0.922,0,-3.866,1,0.0712,0.0361,0.0274,0.109,0.716,127.999
Now That We Found Love,4x69WSo9kpkp0okxcm5Yzh,Laidback Luke,CODE/RED,0.72,0.797,0,-4.648,0,0.0436,0.000563,3.04e-05,0.324,0.419,125.997
MAMI,4UqHeg01SyTG6YiamDGKkT,Laidback Luke,MAMI,0.851,0.9,1,-4.978,1,0.057,0.0167,0.0454,0.113,0.632,129.961
Crescendolls - Laidback Luke Remix,1702kHIwlMLbTgnzPZbkno,Laidback Luke,Daft Club,0.634,0.962,6,-6.193,1,0.056,0.000205,0.901,0.0679,0.501,131.359
Rolling Stone (feat. David Gonçalves) - Radio Edit,2fkwMUNFv4SEGXdNxvjDy4,Laidback Luke,Rolling Stone (feat. David Gonçalves),0.702,0.844,6,-4.739,1,0.0508,0.129,4.31e-05,0.139,0.788,126.036
Death & Desire (feat. Harrison) - Laidback Luke Remix,1mYcQvtPBNqhFKMK36Ok0l,Laidback Luke,Death & Desire (feat. Harrison) [Laidback Luke Remix],0.65,0.977,2,-2.214,0,0.0764,0.00632,0.265,0.148,0.445,124.982
Sideways (feat. Valerie Broussard) - Laidback Luke Remix,5ZeQPbqt3zeaPuMMtLs1eP,Laidback Luke,Sideways (feat. Valerie Broussard) [Laidback Luke Remix],0.438,0.909,5,-3.378,1,0.0689,0.00392,2.4e-06,0.101,0.276,127.898
Heartbreaker (feat. John Legend) - Laidback Luke Remix,0kHlbzxIWntpJvFsjWYaO8,Laidback Luke,Heartbreaker (feat. John Legend),0.617,0.902,7,-5.175,1,0.0612,0.00147,0.349,0.124,0.157,128.001
Hello - Laidback Luke Radio Edit,0AJLtyzvpNfS1CCBtLIJU7,Laidback Luke,Hello - Remixes,0.565,0.931,7,-3.354,1,0.0713,0.00509,0.000238,0.0861,0.286,127.929
Left Or Right,5UGOIEo6EyUm9WFfFfU9NN,Laidback Luke,Left Or Right,0.751,0.818,1,-4.794,1,0.0334,0.0339,0.000743,0.332,0.54,126.024
Better Off Alone - Laidback Luke Remix - Dance Radio,4BZvRzEqwF2r2l01y6Ezru,Laidback Luke,Better Off Alone (Laidback Luke Remix),0.661,0.812,4,-7.478,1,0.0771,0.000253,0.545,0.24,0.295,129.892
