track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Dreamer,5M6sEMtKjef5OK3BRaRpXE,Lenny Dee,The Dreamer,0.513,0.984,7,-4.524,1,0.0883,0.0275,0.869,0.347,0.0992,180.993
Speedbump,3sWRYbqVcDqwFLDpCANCEI,Lenny Dee,The Definition Of Techno,0.557,0.951,11,-4.759,0,0.127,0.00958,0.574,0.0309,0.222,100.007
Passing By,5akHuqyYEZZeFoe0QRmxi8,Lenny Dee,Cold Fusion,0.589,0.993,11,-8.732,0,0.152,0.0236,0.64,0.109,0.0671,150.001
I Dont Understand This,0coWSnFIWdIZVc95EZSlGQ,Lenny Dee,Hostile,0.514,0.967,6,-2.954,0,0.293,0.00595,0.162,0.259,0.235,95.161
U - Ready,0MRrrMlH0Oc9lr75u5kh54,Lenny Dee,Hardcore Rave Classics Vol 1,0.716,0.979,2,-2.93,1,0.0908,0.000647,0.934,0.0969,0.4,169.983
Get busy yo,2dfMab2ai0GtQ0VfWnG4aA,Lenny Dee,Blood bath,0.478,0.98,1,-5.817,1,0.0813,5.5e-05,0.929,0.0395,0.48,177.042
Desolation - Original Mix,1tlyEG1ZnboaKwBgyjNHDB,Lenny Dee,Atomic,0.447,0.998,1,-3.791,1,0.0978,8.69e-05,0.855,0.33,0.0661,150.032
Legally Insane,3UFH3YmsHPO4WShLCf9uR0,Lenny Dee,Cold Fusion,0.538,0.998,6,-6.563,1,0.258,0.00148,0.931,0.694,0.0397,151.958
When Day Is Done,2qGWHKZnqQDpHL8Fx644ZO,Lenny Dee,Virtuoso Organist,0.494,0.12,5,-21.455,1,0.0607,0.187,0.0897,0.139,0.285,106.839
The Dreamer - Promo Remix,0GsK90EbPARV15keamS5jG,Lenny Dee,The Dreamer,0.467,0.982,9,-4.104,0,0.225,0.268,0.838,0.0998,0.28,175.057
Forgotten Moments - DJ Mutante Remix,52Q3ZFDbUcENSrLk7c1jqZ,Lenny Dee,30 Years of Industrial Strength,0.606,0.998,1,-0.328,1,0.121,0.0023,0.931,0.656,0.0383,104.963
Forgotten Moments - Ophidian's DJ Cut,7iyGC3n2Q3CIlxIdp8v5vR,Lenny Dee,Forgotten Moments (Ophidian Remixes),0.467,0.876,6,-12.95,1,0.0425,0.00308,0.704,0.0312,0.646,166.017
Fuckin Hostile - Brooklyn Mix,3LPZhmSlrBA4f4Gev9LcTH,Lenny Dee,Hostile,0.485,0.965,6,-2.722,0,0.0639,0.000108,0.122,0.103,0.137,185.018
Fuckin Hostile - General Guyble Remix,01pNaUjJIh8Yrpmuee5ecK,Lenny Dee,Hostile,0.506,1.0,9,-1.929,0,0.112,0.115,9.46e-06,0.794,0.0451,160.006
I Fear The Night,6nCzdM0BO4V5InfSIKTSeQ,Lenny Dee,I Fear The Night feat. Lenny Dee,0.719,0.707,11,-8.614,0,0.0646,0.00197,0.791,0.101,0.178,125.002
Fuckin Hostile - Malke Remix,6YJSQ1ROvPZRvShDPuCTB9,Lenny Dee,Hostile,0.603,0.993,9,-4.174,0,0.227,0.00958,0.56,0.0998,0.0373,165.026
I Called You,6ZzE31ucEbDLDIWLY3tt3z,Lenny Dee,Never Compromise,0.438,0.991,8,-1.703,1,0.36,0.0156,0.0179,0.113,0.102,154.987
Forgotten Moments,3xrOF41CBuZ755toXQP2xN,Lenny Dee,Forgotten Moments (Ophidian Remixes),0.599,0.752,2,-12.346,1,0.0389,0.118,0.936,0.106,0.106,95.511
I Called You - Lenny Dee & Malke Remix,4FYWII6p13dPneCodbcnvC,Lenny Dee,I Called You (Remixes),0.448,0.999,6,-3.302,0,0.0948,5.61e-05,0.794,0.0658,0.0686,150.019
Gravedigger - Lenny Dee & Malke Remix,0LhWeVryLRMoHIJZ8ykuUK,Lenny Dee,Gravedigger (Lenny Dee & Malke Remix),0.562,0.854,1,-5.327,1,0.0874,0.0263,0.38,0.242,0.165,169.982
Zombies of the Underground - Radium's French Cheese Mix,1YKmPY2s3oMuIiOwMmCAtH,Lenny Dee,Zombies of the Underground,0.596,0.824,0,-5.463,1,0.197,0.159,0.00838,0.0882,0.545,174.999
Follow The Leader,2TDcgIhDwVqO0GWQrImOIn,Lenny Dee,English Muffin,0.657,0.765,6,-9.844,0,0.128,0.00128,0.825,0.623,0.796,159.908
