track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Super Jam,5vztcIVr9nWcG9UwEC37ZU,Liquid Stranger,BALANCE,0.603,0.791,8,-5.011,1,0.0454,0.000701,4.02e-06,0.224,0.328,137.944
Higher,2G90bSK4KRKapjkdezCxoU,Liquid Stranger,BALANCE,0.768,0.661,5,-6.32,1,0.0408,0.000813,0.00253,0.204,0.176,135.015
Take A Trip,7wQCQt96CTbr7snOrIogZU,Liquid Stranger,BALANCE,0.646,0.896,1,-4.255,0,0.0376,0.00103,0.08,0.221,0.242,140.032
Berserk,2iYIDDMMTYdOaICHKFjfVj,Liquid Stranger,BALANCE,0.77,0.655,8,-3.132,1,0.0542,0.00752,0.0108,0.0937,0.282,80.021
Low,1YiZMc8DlW52vH3E1n24Oe,Liquid Stranger,BALANCE,0.578,0.665,1,-5.067,1,0.0326,0.00357,0.000804,0.338,0.0722,173.971
Holla,3tLWJIT3r0wxqlXftBPGU3,Liquid Stranger,BALANCE,0.893,0.55,2,-4.912,1,0.0628,0.00386,2.29e-05,0.132,0.276,95.009
Mission Control,2PeW522Krm9nzmzXR3rYCx,Liquid Stranger,BALANCE,0.669,0.773,6,-4.676,1,0.0438,0.00155,0.247,0.182,0.0389,130.033
Shake,06EzP8Y2dBKRgShaTnJdcE,Liquid Stranger,BALANCE,0.779,0.784,1,-4.361,1,0.0449,0.00198,0.118,0.292,0.54,102.023
Hi Grade,4cE7dCeXpLOSZsoozJM5Ky,Liquid Stranger,BALANCE,0.625,0.611,9,-4.425,0,0.0297,0.00277,0.00394,0.111,0.0822,95.05
Busy,2hiyyGp9I1Nh1eOgMbc5Ur,Liquid Stranger,BALANCE,0.785,0.671,0,-4.283,1,0.0851,0.0236,0.0102,0.12,0.435,99.978
Dreams,7lUg1dRYxuZeP8G8jSshKC,Liquid Stranger,BALANCE,0.772,0.574,7,-3.952,1,0.0612,0.0806,0.0,0.319,0.607,144.963
Keep It Up,25nuf6UHrFgbuwdKd7KF31,Liquid Stranger,BALANCE,0.681,0.567,4,-5.286,1,0.0646,0.00078,0.00393,0.14,0.275,120.0
Flashback,0hWYX13qRpeP9bmBPVKyBH,Liquid Stranger,BALANCE,0.569,0.598,7,-6.515,1,0.0275,0.00149,0.000139,0.708,0.0539,124.001
Sinewave Safari,0cnQwmsxU8PFbPGY2hJSRx,Liquid Stranger,INFINITY,0.437,0.817,0,-8.552,1,0.415,0.509,0.0,0.182,0.0294,165.263
Prime,34efKc1ehTYdjDfwlT4OEf,Liquid Stranger,INFINITY,0.647,0.724,6,-4.376,1,0.0472,0.000107,0.00241,0.231,0.281,144.989
Ignite,78kT5PGrurTxOIN5nQw6Mv,Liquid Stranger,INFINITY,0.758,0.763,7,-7.577,0,0.297,0.0325,0.0126,0.297,0.392,89.852
Brain Boi,2MaAgVtsb7LD9hp66i0Nss,Liquid Stranger,INFINITY,0.613,0.56,1,-6.101,1,0.0247,0.0142,0.00145,0.243,0.308,120.035
Zero Frontier,1QPgLwBmY4P7m67glYA8RN,Liquid Stranger,INFINITY,0.489,0.778,7,-5.436,1,0.415,0.00307,0.00212,0.136,0.308,79.162
Ceremony,11n5EUoycaoTVUEHdMUCJB,Liquid Stranger,INFINITY,0.644,0.585,8,-5.035,1,0.0545,0.0127,0.211,0.111,0.187,90.018
PLUR Feat. CoJaxx,1d9dAE9lQuMUFOIUF9qcKx,Liquid Stranger,INFINITY,0.882,0.643,7,-3.841,1,0.282,0.009,0.0,0.445,0.548,82.008
Carnage Feat. Pistol,4rwbDklwSb0rDjLw5a0HTC,Liquid Stranger,INFINITY,0.923,0.748,2,-3.709,1,0.293,0.0346,6.27e-05,0.132,0.506,131.973
Run For Cover Feat. MC Shells,52HGmwMFZUQEKo1FLD7Xfx,Liquid Stranger,INFINITY,0.646,0.74,6,-5.329,0,0.102,0.00168,0.000114,0.613,0.54,140.031
"Hydroplane Feat. Warrior Queen, HARD KNOCK",7wmhkaBzznowCnFkEOlmoY,Liquid Stranger,INFINITY,0.802,0.793,11,-4.578,1,0.198,0.0185,0.0,0.363,0.564,150.143
Jetpacks Feat. Vern Knows,4hqPAFLfiUGh8669DCZjlT,Liquid Stranger,INFINITY,0.637,0.834,7,-3.267,1,0.349,0.0204,0.0,0.448,0.564,80.79
Spastic Elastic,6aPIp4bYhaFRDwzyjPOSTZ,Liquid Stranger,INFINITY,0.664,0.862,1,-2.873,1,0.0615,9.36e-05,0.286,0.505,0.426,74.996
Battleship Feat. Spear,3ZDuNz4I7hyIaiegOvoooL,Liquid Stranger,INFINITY,0.869,0.81,6,-5.141,1,0.149,0.0165,0.000261,0.348,0.349,90.039
Swollen Beasts,2smNdQjOYdIOVNgTorSuZA,Liquid Stranger,INFINITY,0.473,0.578,8,-8.305,1,0.0659,0.0387,0.52,0.113,0.0396,111.902
Go Commando,3XqDwNA3Mw0nn6bJhpIIj2,Liquid Stranger,INFINITY,0.795,0.845,1,-4.785,1,0.265,0.00146,0.204,0.374,0.45,83.986
Wreck,3CMulNKFvkTEchwDX9SjHO,Liquid Stranger,INFINITY,0.675,0.711,1,-4.749,1,0.196,0.00124,0.00331,0.127,0.243,185.007
