track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Weisse Nase,67yvRQRFMWcpI4er0um39H,LNY TNZ,Weisse Nase,0.544,0.973,1,-2.358,1,0.128,0.0128,0.0926,0.117,0.17,159.991
Last Night Ever,44aNaaHvLcEUkjQmdwElpw,LNY TNZ,Last Night Ever,0.558,0.827,7,-4.833,1,0.0708,0.00047,9.56e-05,0.101,0.172,149.989
Cotton Eye Joe,3iq4M1xPl3YRXRUUAIdREt,LNY TNZ,Cotton Eye Joe,0.572,0.989,9,-0.457,1,0.142,0.00645,0.000849,0.355,0.762,149.971
Vámonos - LNY TNZ Remix,1ss4CfqZagd4a7A0CBkqZY,LNY TNZ,Vámonos (The Remixes),0.483,0.947,11,-4.569,0,0.0494,0.00101,0.303,0.515,0.301,75.015
TECHNO (feat. Waka Flocka Flame),0EIPUnOYJQujsqoezHkFtN,LNY TNZ,Random White Dude Be Everywhere,0.668,0.911,4,-4.157,0,0.0593,0.00505,0.000126,0.327,0.655,150.03
So Easy,1tVzhmGJppsFmRD54O2YX7,LNY TNZ,So Easy,0.561,0.759,2,-5.141,1,0.0425,0.129,0.0,0.0804,0.397,150.12
TECHNO DRUG,4eTcsnhvSpCqraE0OQRr5T,LNY TNZ,TECHNO DRUG,0.561,0.988,1,-0.868,1,0.101,0.00099,0.31,0.209,0.392,160.045
Till It Hurts (LNY TNZ Remix),0BpQlf9Uy2rJnU9zNA6K6D,LNY TNZ,Till It Hurts (The Remixes),0.548,0.974,5,-2.987,0,0.0849,0.0178,7.79e-05,0.0553,0.534,149.991
Mariachi,0w5HSAzXfAvVENgUWp7inW,LNY TNZ,Mariachi EP,0.572,0.88,11,-3.585,0,0.0666,0.00483,1.21e-05,0.336,0.265,155.036
Party Till Midnight,0yIpkAQNsMfkROSqSJG6Jx,LNY TNZ,Party Till Midnight,0.447,0.942,3,-2.385,0,0.144,0.0034,0.00972,0.63,0.0566,155.089
Happy Together,4hWoh6M8Fc2u8Juyovwyu5,LNY TNZ,Happy Together,0.455,0.84,6,-3.333,0,0.0529,0.0141,1.03e-06,0.167,0.136,150.011
Shake It,56mKjg2ZDsb4wiHuU8hQfx,LNY TNZ,Shake It,0.73,0.992,8,-3.216,1,0.1,0.117,0.00542,0.0567,0.668,149.949
