track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Broken In All The Right Places,3iINQZKpmSMY2mkjLtlzYO,lost kings,"It's Not You, It's Me",0.626,0.81,2,-5.179,1,0.0903,0.0552,0.0,0.122,0.521,155.207
PS I Love You,5XifeDwRFHVgew6aLktt83,lost kings,"It's Not You, It's Me",0.783,0.665,8,-6.619,1,0.0538,0.0459,0.0,0.0921,0.334,96.063
Me Myself & Adderall,7xaaqSE7fcAjE6iAl0REBW,lost kings,"It's Not You, It's Me",0.426,0.787,1,-4.95,1,0.141,0.0273,3.52e-06,0.0975,0.549,88.145
I Miss The Future,2k7EwI4qVUIcMyYbGyyeeX,lost kings,"It's Not You, It's Me",0.734,0.443,0,-5.73,0,0.0406,0.386,0.0,0.123,0.658,110.988
Oops (I'm Sorry),4Q8qPf6kysKz9x2NQFHfi7,lost kings,"It's Not You, It's Me",0.657,0.797,2,-5.234,1,0.0298,0.0394,0.0,0.117,0.327,146.027
Mountains,7hauyzTQ4EQcksL390cTPU,lost kings,"It's Not You, It's Me",0.637,0.78,7,-7.547,1,0.049,0.279,0.00186,0.517,0.478,94.029
Runaway,4G1VSeur60LcmRElQRI8Zk,lost kings,"It's Not You, It's Me",0.756,0.73,6,-5.92,1,0.0358,0.138,2.6e-05,0.0415,0.558,140.033
Hurt,5Gwr0gkBycI0OWhQtJH3n5,lost kings,"It's Not You, It's Me",0.809,0.615,10,-7.529,0,0.0476,0.138,1.69e-06,0.0681,0.564,122.007
Here For You,786y4wbIGJbKului9oWr1l,lost kings,Here For You,0.696,0.897,1,-4.99,1,0.0289,0.222,0.119,0.142,0.669,130.075
Remind Me,1rxKF0GORTwTj46yvDYIiU,lost kings,Here For You,0.691,0.876,0,-6.099,1,0.116,0.103,0.0778,0.397,0.646,140.043
Dreams,5WE6b3ZWuee3ycZ3XcVEuF,lost kings,Here For You,0.741,0.886,0,-6.317,1,0.0516,0.0472,0.00193,0.204,0.119,140.033
Wonderlust,6IQXfJMEirB4kdu5qMNlh9,lost kings,Wonderlust,0.705,0.874,8,-6.014,0,0.0454,0.012,4.91e-06,0.334,0.555,125.032
I Do,1yALPtLaDOgEuWvgEUFKpc,lost kings,I Do,0.744,0.835,11,-6.627,1,0.0383,0.0439,0.0,0.224,0.884,105.029
Save Me (feat. Kiddo A.I.),591wGDMg5Bnus2laEIK2Ac,lost kings,Save Me (feat. Kiddo A.I.),0.729,0.818,9,-6.569,0,0.0499,0.176,0.000403,0.302,0.438,123.997
Under The Influence,5zsMuiYeqw2JoSBulihbwo,lost kings,Under The Influence,0.557,0.839,5,-5.449,0,0.101,0.00182,0.0,0.114,0.663,179.995
Oops (I'm Sorry) - KC Lights Remix,6GdfTrSKxEYefdOp3l3JRL,lost kings,Oops (I'm Sorry) (Remixes),0.859,0.745,4,-7.458,0,0.0743,0.00135,0.429,0.0571,0.484,123.997
Oops (I'm Sorry) - LILO Remix,0WLSTevLwp8yi4bwrcbHaG,lost kings,Oops (I'm Sorry) (Remixes),0.676,0.731,11,-8.628,0,0.059,0.00548,0.0,0.0867,0.399,128.003
LA & The Parties - Parker Remix,5G36bgHGv53sJckHM3ehMR,lost kings,Lost Angeles (Remixes),0.591,0.989,5,-1.297,1,0.125,0.00156,0.00147,0.138,0.293,154.889
Somebody Out There - Denis First Remix,4vOqa0aVUzrNTojBafsjrG,lost kings,Lost Angeles (Remixes),0.649,0.966,1,-4.018,0,0.103,0.0486,0.0214,0.556,0.501,126.015
Feather - Mo Falk Remix,2vUqb7ZL9wWWwFjWFxB6RL,lost kings,Lost Angeles (Remixes),0.719,0.8,11,-4.706,0,0.0473,0.00692,0.00154,0.152,0.445,127.995
Ain't The Same - PHZES & Gabe Ceribelli Remix,4f1dOG2wTDhGzDYNhol5uW,lost kings,Lost Angeles (Remixes),0.587,0.832,6,-4.891,1,0.0627,0.0132,2.43e-06,0.107,0.65,121.959
Try - Deerock Remix,41VpxJPqrE9vYLWfstowrz,lost kings,Lost Angeles (Remixes),0.702,0.664,7,-4.91,0,0.0545,0.0711,0.0,0.0809,0.232,100.023
Too Far Gone - Wild Cards Remix,2m6ROH9VzQZwfbxZhPHLcX,lost kings,Lost Angeles (Remixes),0.528,0.723,7,-3.709,1,0.0494,0.145,0.0,0.105,0.282,92.96
LA & The Parties (feat. Luh Kel),74Gh9nKepROQtp6RoDSUC9,lost kings,Lost Angeles,0.545,0.899,10,-4.221,1,0.0606,0.0639,0.000129,0.234,0.445,157.836
Somebody Out There,3NPhFGsvbhsYXjt98iEnjw,lost kings,Lost Angeles,0.714,0.661,1,-6.635,1,0.0411,0.0143,0.00104,0.209,0.358,101.993
Feather,1qjDzdS3AKkTSCNsEp7mht,lost kings,Lost Angeles,0.756,0.629,2,-6.604,1,0.0393,0.305,1.86e-05,0.135,0.433,141.003
Ain't The Same,6w2ZLAZWEJMRWGUn23WyDp,lost kings,Lost Angeles,0.477,0.903,6,-2.562,1,0.138,0.034,0.0,0.113,0.725,175.952
Try,24Wfi8F5QaNmNT1l3VMRui,lost kings,Lost Angeles,0.463,0.796,7,-5.078,0,0.0471,0.0611,2.09e-06,0.151,0.372,199.922
Too Far Gone,7jd1ZQXvPeIEfvtpDHGdYR,lost kings,Lost Angeles,0.62,0.829,7,-4.925,1,0.0362,0.0158,0.0,0.241,0.518,93.012
i - Lost Kings Remix,4X8ZLmiJpYupUA4Gbmtqjs,lost kings,i (Lost Kings Remix),0.528,0.797,6,-4.901,1,0.191,0.122,0.0,0.174,0.373,198.036
Small Talk - Lost Kings Remix,6dKxXef5Y4bxaAfIhz7AiA,lost kings,Small Talk (Lost Kings Remix),0.617,0.946,5,-2.125,1,0.0302,0.00709,0.265,0.284,0.544,124.007
LA & The Parties,4BX9utrulgT68sAqwWjrkZ,lost kings,LA & The Parties,0.543,0.883,10,-4.247,1,0.065,0.0667,8.49e-05,0.156,0.523,157.815
Too Far Gone - Fransis Derelle Remix,1RM56mLzbia8V0eTls5aVu,lost kings,Too Far Gone (Remixes) (feat. Anna Clendening),0.557,0.798,7,-3.373,1,0.0442,0.128,0.0,0.365,0.311,93.934
Too Far Gone - Nurko Remix,6o7Jj1lycGJjSi4DyjrUP7,lost kings,Too Far Gone (Remixes) (feat. Anna Clendening),0.646,0.617,7,-7.007,1,0.0429,0.492,0.0,0.275,0.124,114.049
Too Far Gone - COASTR. Remix,668iDx1nFEA7TGMNaeRHia,lost kings,Too Far Gone (Remixes) (feat. Anna Clendening),0.644,0.889,7,-2.79,1,0.0615,0.306,5.27e-05,0.265,0.439,103.021
Too Far Gone - Rob Gasser Remix,1zhQTZf9Xd9Kjla457Bxiu,lost kings,Too Far Gone (Remixes) (feat. Anna Clendening),0.53,0.949,7,-1.96,1,0.178,0.0566,6.38e-05,0.285,0.197,173.97
Too Far Gone - Daniel Allan Remix,6ygY7Bv5ij9Z2liSrR4Dyb,lost kings,Too Far Gone (Remixes) (feat. Anna Clendening),0.794,0.773,7,-8.28,1,0.104,0.0878,1.58e-05,0.358,0.807,98.962
Anti-Everything - Jake Wolfe Remix,3tQe6EipndJbSE8R23JAP0,lost kings,Anti-Everything (Remixes),0.645,0.583,0,-6.975,1,0.0575,0.572,0.0,0.144,0.56,121.976
Anti-Everything - GRYNN Remix,3E6SdMoyDHDMKJ3zGEYkaB,lost kings,Anti-Everything (Remixes),0.701,0.768,0,-5.94,1,0.156,0.0346,0.0,0.643,0.645,124.098
Don't Kill My High (feat. Wiz Khalifa & Social House) - Squalzz Remix,43b71vw50VQG2eqMDLvHqG,lost kings,Don't Kill My High (Remixes) (feat. Wiz Khalifa & Social House),0.543,0.934,1,-3.874,1,0.0925,0.00223,4.84e-05,0.482,0.55,143.939
Don't Kill My High (feat. Wiz Khalifa & Social House) - Ashworth Remix,2PFeyFxdxs5d7KJa8cHtaB,lost kings,Don't Kill My High (Remixes) (feat. Wiz Khalifa & Social House),0.797,0.654,10,-10.973,0,0.1,0.0738,2.1e-06,0.159,0.832,127.043
Don't Kill My High (feat. Wiz Khalifa & Social House) - Tim Gunter Remix,64oSB76jjpAAG0y0HB6RDk,lost kings,Don't Kill My High (Remixes) (feat. Wiz Khalifa & Social House),0.595,0.926,1,-3.773,1,0.0474,0.0607,0.0,0.113,0.467,144.082
Don't Kill My High (feat. Wiz Khalifa & Social House) - Sullivan King Remix,15IXHzw8hQoGzWfUSM9XIo,lost kings,Don't Kill My High (Remixes) (feat. Wiz Khalifa & Social House),0.502,0.916,1,-3.351,1,0.0494,0.000543,3.32e-05,0.0745,0.239,145.088
Don't Kill My High (feat. Wiz Khalifa & Social House) - neutral. Remix,70J6NleFsG9tDEmOp6u7cF,lost kings,Don't Kill My High (Remixes) (feat. Wiz Khalifa & Social House),0.527,0.749,3,-6.106,0,0.0472,0.0883,0.0,0.373,0.289,143.908
Don't Kill My High (feat. Wiz Khalifa & Social House) - Pilton Remix,4D7CXCKPbqCdbgKtBRR5dQ,lost kings,Don't Kill My High (Remixes) (feat. Wiz Khalifa & Social House),0.586,0.757,1,-7.695,1,0.248,0.122,0.0,0.0738,0.634,144.149
Don't Kill My High,09yhMTRqQ1I1dniu3PoIQi,lost kings,Paper Crowns (Deluxe),0.674,0.932,8,-4.876,1,0.0718,0.0363,0.0,0.0576,0.826,144.039
Anti-Everything,5d1fRO6RYAtbPPgbpSHnlA,lost kings,Paper Crowns (Deluxe),0.734,0.663,0,-7.292,1,0.185,0.28,0.0,0.12,0.256,101.943
When We Were Young,1WzeBB0MJQjFWviDaOQMWS,lost kings,Paper Crowns (Deluxe),0.555,0.799,0,-5.629,0,0.0419,0.00649,0.0,0.106,0.314,129.969
FU4E,6C3MGasn7adPXHlE1z4NbV,lost kings,Paper Crowns (Deluxe),0.794,0.644,5,-5.522,1,0.0355,0.134,5.18e-05,0.182,0.788,146.032
Stuck,1eJatF0z90MBrOwZ3t0isl,lost kings,Paper Crowns (Deluxe),0.755,0.801,7,-4.944,0,0.0882,0.0185,1.61e-06,0.067,0.542,105.004
Drunk As Hell,62YEJ95M8YWjsR6LaqDyPd,lost kings,Paper Crowns (Deluxe),0.713,0.819,11,-3.461,0,0.0715,0.0449,1.35e-05,0.22,0.337,123.043
Drunk As Hell (feat. Jesper Jenset) - Riggi & Piros Remix,328ePeVPNn71ehnoOEAJ6s,lost kings,Drunk As Hell (Remixes) (feat. Jesper Jenset),0.696,0.84,11,-5.042,0,0.167,0.227,5.11e-06,0.239,0.373,128.023
Drunk As Hell (feat. Jesper Jenset) - Nolan van Lith Remix,1BxcaxHhZzkSM0dZIEccDg,lost kings,Drunk As Hell (Remixes) (feat. Jesper Jenset),0.477,0.83,11,-7.069,0,0.0809,0.0192,1.89e-06,0.0706,0.188,143.93
Drunk As Hell (feat. Jesper Jenset) - Adam Kahati Remix,5r3ZP21i86DVgxGspJvttu,lost kings,Drunk As Hell (Remixes) (feat. Jesper Jenset),0.645,0.697,2,-8.29,1,0.175,0.0102,1.81e-05,0.0954,0.267,137.961
