track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Make Believe,7IoTUnyyvbMEY2UuE2Tmsx,Luke Dean,Make Believe,0.789,0.953,6,-6.928,1,0.0526,0.0154,0.146,0.0973,0.801,133.004
Gets Like That,1aBVDx9VjyLEk8rz8pezru,Luke Dean,The Finest EP,0.811,0.495,11,-17.722,1,0.151,0.011,0.00133,0.0658,0.482,130.004
Touch Me,2SxK8egmvSInDUb6gC3lxI,Luke Dean,The Finest EP,0.711,0.689,0,-15.17,1,0.089,0.00512,0.524,0.124,0.454,132.04
Like You,7x12czV5p4jvEjBNe7EEWP,Luke Dean,The Finest EP,0.781,0.513,11,-21.034,1,0.0532,0.0235,0.78,0.0756,0.718,132.982
Get Hard (You In The Lobby),3tUtwmznpPiEu8AkqX3Xom,Luke Dean,Get Hard (You In The Lobby),0.805,0.932,0,-4.191,1,0.0445,0.00533,0.032,0.112,0.769,130.006
Sounding A Bit 90's,3wDX4XkXyJBHAIW5SOl7Eo,Luke Dean,Sounding Different EP,0.794,0.938,6,-8.692,0,0.0557,0.000868,0.896,0.0584,0.43,129.002
U Doin It?,146EN8OJ5XHAYTwNMUtEbX,Luke Dean,Silly People EP,0.793,0.832,11,-9.304,0,0.0501,0.00125,0.597,0.0927,0.897,130.025
The Finest,3s8jNQmpMoqLTnhu77qyCr,Luke Dean,The Finest EP,0.796,0.419,6,-20.079,0,0.0532,0.0255,0.0982,0.118,0.525,132.01
Silly People,0as4cbkq44VUzIaUygkOYq,Luke Dean,Silly People EP,0.855,0.736,0,-10.695,0,0.0915,0.00282,0.705,0.0664,0.569,130.024
Pump It,3ZwYpXxwvM5VLanSLWdmSe,Luke Dean,Ready Set Go,0.812,0.923,7,-8.422,1,0.113,0.00539,0.782,0.0224,0.774,131.988
How You Baby,2PmeuEbErxqwxqLLOycojp,Luke Dean,Sounding Different EP,0.735,0.844,10,-10.146,0,0.0465,0.108,0.775,0.0691,0.713,129.977
Baby's On The Decks,7H9WQvN4ksosDJaPq4cur7,Luke Dean,Ready Set Go,0.789,0.978,11,-9.466,0,0.0847,0.00466,0.132,0.0332,0.774,132.043
Diss You Right,04hChKMnKWebVkpYBCzzEw,Luke Dean,Diss You Right EP,0.802,0.862,9,-10.311,1,0.0563,0.000171,0.804,0.0899,0.532,129.013
You On Tha List,4BaTWdd0J1ZHEg6TyZuYCp,Luke Dean,You On Tha List,0.797,0.923,5,-9.35,1,0.0531,3.85e-05,0.902,0.0987,0.58,127.998
Feel Much Better (Luke Dean Remix),1PGQIufPz1D2e4DwcmJH5w,Luke Dean,Feel Much Better (Luke Dean Remix),0.559,0.823,6,-6.426,0,0.0522,0.00911,0.263,0.143,0.645,131.136
To the Call,19ual8PstUtQKN5lFyrpiq,Luke Dean,To the Call,0.723,0.818,7,-8.426,1,0.105,0.0434,0.582,0.0969,0.458,129.052
Watcha Want?,5duxECIjRxy09bHb8uXDHL,Luke Dean,Silly People EP,0.8,0.932,5,-9.031,0,0.0654,0.00436,0.908,0.089,0.88,128.986
Goin On,2PzFW5j8GJwYmC4ponkwdP,Luke Dean,Sounding Different EP,0.756,0.748,8,-9.965,1,0.0345,0.154,0.633,0.0782,0.906,127.982
Gimme a Break,0YhrD6IsS8gahogUmsBJag,Luke Dean,Diss You Right EP,0.789,0.842,7,-10.936,1,0.046,3.37e-05,0.879,0.0603,0.519,129.01
Wanna Be,5ovHEvY0fKJXfe3uoNg4HY,Luke Dean,Just the 1,0.798,0.749,2,-9.173,1,0.0503,9.75e-05,0.926,0.054,0.847,129.054
10am,6uHrHwvQx7QtW8nffNrbnA,Luke Dean,Just the 1,0.798,0.939,6,-9.522,1,0.0437,0.00324,0.766,0.109,0.911,129.008
Rock Wid Me,2yZnkZBNrsagpo0QtJdyyo,Luke Dean,Ready Set Go,0.797,0.929,5,-10.237,0,0.1,0.00266,0.623,0.12,0.737,130.003
Ready Set Go,1AY3gMoc5rkdSKJ0S7sZHT,Luke Dean,Ready Set Go,0.746,0.98,5,-8.705,0,0.0627,0.0147,0.788,0.0901,0.93,132.005
Strictly Different,4cMflkFZeUvEqNAb68F8XW,Luke Dean,Sounding Different EP,0.692,0.938,0,-8.511,1,0.0444,0.000191,0.1,0.0411,0.731,129.005
Keep It Going,6H1hnPuByQx04RKMDyPvFi,Luke Dean,Silly People EP,0.783,0.918,5,-8.92,0,0.0447,0.000261,0.673,0.0645,0.47,128.987
Just The 1,2fPh6bjQg450CGAljwHe6H,Luke Dean,Just the 1,0.814,0.751,7,-9.341,1,0.0559,0.00163,0.692,0.0729,0.608,129.995
Just The 1 - Madvilla Remix,0S8OHA52AhMUiSGk5dKW6F,Luke Dean,Just the 1,0.749,0.957,9,-6.407,1,0.083,0.00344,0.748,0.273,0.761,132.019
To the Call - Original Mix,0TyqEeeBqIEcXAMTiDxRjW,Luke Dean,"Artistique Creations, Vol. 25",0.723,0.818,7,-8.426,1,0.105,0.0434,0.58,0.0969,0.458,129.052
