track_name,track_id,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Adrenalina (Minha Gasolina),04KNQ19sU4QfARgavVEiNR,Maddix,Adrenalina (Minha Gasolina),0.796,0.975,7,-7.439,1,0.136,0.465,0.527,0.277,0.593,142.002
The Prophecy,3N7FYk2FoSZMAwb229Qqnw,Maddix,The Prophecy,0.273,0.896,1,-4.705,1,0.0913,0.000841,0.351,0.305,0.0632,137.992
Lose This Feeling - Maddix Remix,4k6rfEGWGrv8rOHnjVcXVw,Maddix,Lose This Feeling (Maddix Remix),0.584,0.92,3,-7.346,1,0.203,0.209,0.305,0.306,0.496,159.966
I'm From Holland,2qJvo0PQfsR3DGsWXYqvmo,Maddix,I'm From Holland,0.682,0.977,7,-4.828,1,0.0841,0.0139,0.701,0.354,0.156,139.955
Spiritum,1Ck2WX9Gw7zIFlhc6kZRu9,Maddix,Spiritum,0.623,0.962,4,-8.092,0,0.0869,0.016,0.11,0.0932,0.119,142.001
People Are Strange - Festival Mix,1PX3kAcJXHl377VMNJTTmZ,Maddix,People Are Strange (Incl. Festival Mix),0.636,0.913,11,-5.666,0,0.0908,0.00219,0.0242,0.598,0.074,127.958
16,1DaiV2h1XWvqpyxJ25Q6Cs,Maddix,16,0.511,0.882,9,-9.294,0,0.0712,0.0502,0.743,0.583,0.0898,144.979
Close To You,5NFCZQEma4ll0SD00lS6FQ,Maddix,Close To You,0.459,0.958,7,-7.768,0,0.0783,0.0117,0.303,0.366,0.136,140.036
Thrill,0n8PMT5vyu8lffykqYvOIo,Maddix,Thrill,0.593,0.947,8,-7.564,1,0.0834,0.00169,0.475,0.653,0.0768,129.93
Follow Me,3XG0MXydSFJJM6OAf4LUDA,Maddix,Follow Me,0.574,0.822,11,-7.232,1,0.0396,0.000556,0.162,0.442,0.0739,128.001
No Escape,3ytww1ezoYfvTYaiNWnxG2,Maddix,No Escape,0.65,0.87,2,-5.948,1,0.0566,0.00645,0.0815,0.171,0.0669,134.981
Computers Take Over The World - Maddix Remix,1YvZAl9rv455hj64qOZmj5,Maddix,Computers Take Over The World (Remixes),0.57,0.935,1,-7.541,1,0.055,0.0164,0.791,0.11,0.258,141.97
My Gasoline,6dyfsauAoa5qN0tj9JKamE,Maddix,My Gasoline,0.65,0.983,7,-7.574,1,0.0618,0.0536,0.684,0.323,0.464,139.991
Love Takes Over,4cGhsEZuHW25c7njXpSx2v,Maddix,Love Takes Over,0.621,0.985,0,-7.482,1,0.126,0.0463,0.376,0.456,0.648,139.998
Open Sesame (Abracadabra) [feat. Leila K],4ygydEkcYBt05oS9sHxZ8h,Maddix,Open Sesame (Abracadabra) [feat. Leila K],0.628,0.936,11,-7.173,1,0.155,0.0283,0.548,0.422,0.216,155.073
Take Me Away Again,2meQ2wSIBU8OQDKlJcJk5j,Maddix,Take Me Away Again,0.565,0.743,3,-7.738,0,0.0877,0.000926,0.177,0.0491,0.118,137.98
My Fantasy,3ynLsU2eeew6HJSKKQIsck,Maddix,My Fantasy,0.621,0.914,8,-7.329,1,0.0503,0.0373,0.468,0.543,0.574,140.005
Lethal Industry (feat. Tiësto) - Maddix Remix,23ZKUUK3N88YD5Jj2DdOW7,Maddix,Lethal Industry (feat. Tiësto) [Maddix Remix],0.598,0.879,7,-6.782,1,0.0468,0.000288,0.924,0.15,0.19,134.984
My Gasoline - Hard Edit,2pmk8xGNKwmKrmQBK9Vwgf,Maddix,My Gasoline (Hard Edit),0.577,0.99,6,-8.048,0,0.0715,0.0324,0.393,0.132,0.251,151.986
Revolution,4YtVNUrDjKbdrpkreAaz17,Maddix,Revolution,0.457,0.968,7,-6.855,1,0.0953,0.0186,0.698,0.692,0.0375,139.978
Superheroes,61Jbc8ryoXMSVc1DO8e3sV,Maddix,Superheroes,0.608,0.95,0,-4.886,1,0.0368,0.00716,4.87e-05,0.36,0.2,144.997
Hellfire,5qq6MmZYOHvU3fICNggSCW,Maddix,Hellfire,0.655,0.933,10,-4.798,0,0.101,0.0222,0.412,0.459,0.402,150.01
Open Sesame (Abracadabra) - D-Block & S-te-Fan Remix,50Sc0h3OULBSUjBir1X0K3,Maddix,Open Sesame (Abracadabra) [D-Block & S-te-Fan Remix],0.544,0.995,11,-2.918,0,0.362,0.0323,0.000336,0.642,0.0782,155.046
Sound of the Underground,6izkirLr49VxNFpHJvi37a,Maddix,Sound of the Underground,0.539,0.964,8,-6.572,1,0.0719,0.0381,0.604,0.324,0.31,151.99
Rave Till My Grave,7w0OLfAqXs05KpUU34ngWd,Maddix,Rave Till My Grave,0.678,0.958,2,-3.754,1,0.524,0.00945,0.00084,0.372,0.152,149.996
Activating,3pazCuwZT3PIxjCiWEZdfY,Maddix,The Lost DNA Vol. 1,0.633,0.908,8,-5.432,0,0.061,0.0379,0.843,0.432,0.271,129.985
Late At Night,0sc94v4bi5XGSPSjjXK0Zh,Maddix,Late At Night,0.772,0.978,0,-4.148,1,0.0957,0.034,0.00971,0.765,0.429,149.972
Bella Ciao,3M0NUo9eoV5otcWVIPNrwD,Maddix,Bella Ciao,0.615,0.892,4,-4.688,0,0.0472,0.00214,0.000185,0.227,0.23,129.969
Where You Are (Orchestral Version) - Live At The Forum,6CYWPXC27hiPCWOcYig7tz,Maddix,Where You Are (Orchestral Version) - Live At The Forum,0.44,0.899,9,-7.687,0,0.115,0.0244,0.518,0.958,0.0384,132.044
Heute Nacht,1eMUGMEWrvTXYWrPobq2dH,Maddix,Heute Nacht,0.609,0.912,11,-6.593,0,0.0391,0.0196,0.478,0.133,0.0391,135.027
Never Alone,3d59YKK0xcsrzTW58SjRZw,Maddix,Never Alone,0.591,0.989,10,-5.758,0,0.0848,0.147,0.193,0.225,0.483,150.043
Meet Her At The Love Parade,58bT1VNZ0Itc70Sz7mcueT,Maddix,Meet Her At The Love Parade,0.407,0.941,11,-7.525,0,0.156,0.00638,0.184,0.236,0.405,150.014
90s Bitch,2GcncPaqXotQIPokzRM5pP,Maddix,90s Bitch,0.565,0.955,11,-7.753,0,0.0564,0.00355,0.849,0.303,0.625,154.988
ACID,6JkQb1qCCJDBV7kW5vJUAH,Maddix,ACID,0.573,0.982,0,-5.518,1,0.0576,0.0278,0.768,0.386,0.0617,135.034
Tell Me Why - Maddix Remix,5D8Z0KkFce9ir2yak7uj5C,Maddix,Tell Me Why (Maddix Remix),0.611,0.906,9,-8.194,1,0.0638,0.0175,0.603,0.39,0.476,149.989
Move It 2 The Drum (Mixed),0qdpqFYPtE8OXfQxrIyU7I,Maddix,A State of Trance Year Mix 2025 (Mixed by Armin van Buuren),0.538,0.95,2,-7.988,1,0.0332,0.00186,0.854,0.352,0.961,144.95
Traffic - Maddix Remix,2r0wozbzkaxwlxToj25KsP,Maddix,Traffic (Kryder & Dave Winnel + Maddix Remixes),0.651,0.909,6,-6.133,0,0.0814,0.000728,0.854,0.125,0.132,135.965
Mix The Master (Mixed),7pTcv9vteOHMGHxg4W9nDY,Maddix,A State of Trance Year Mix 2025 (Mixed by Armin van Buuren),0.558,0.998,7,-6.232,1,0.12,0.011,0.8,0.26,0.039,150.017
Raw Diamonds,0m29SeY8I7rC4iSyWkvFsZ,Maddix,Raw Diamonds,0.636,0.908,11,-7.703,0,0.0727,0.00606,0.044,0.156,0.509,149.998
Acid Soul,1IEpqaadJEZXauBX7HHCgb,Maddix,The Lost DNA Vol. 1,0.634,0.96,3,-7.123,1,0.0509,0.0782,0.798,0.334,0.142,134.986
The Formula - FOVOS Remix,1ExwrL7EH0ewznnbYGY91C,Maddix,The Formula,0.631,0.896,9,-5.008,1,0.122,0.0105,0.886,0.367,0.0677,134.985
Lay Low (Maddix Remix),2EOQ9h1uThaLdVdeuzDsRt,Maddix,Lay Low (Remixes),0.546,0.792,10,-9.412,0,0.0628,0.0112,0.15,0.517,0.0653,149.988
Tell Me Why - Maddix Extended Remix,27P4fGPjIN8QKF6mJCVl04,Maddix,Tell Me Why (Maddix Remix),0.614,0.871,11,-8.347,1,0.0626,0.0163,0.741,0.114,0.627,150.001
Mangalam,0sZHijdbtoVPW4hmf7O7OC,Maddix,Mangalam,0.513,0.937,1,-6.37,0,0.0587,0.000433,0.771,0.0805,0.103,140.046
Superheroes - Mixed,3HNbvIQkRMvlEwVVVcBEPP,Maddix,Revealed Selected 003,0.644,0.942,0,-5.351,1,0.0421,0.00816,2.14e-05,0.251,0.391,144.941
State Of Mind,3GMx5zWouv2H6yFnr29fFo,Maddix,State Of Mind,0.537,0.845,8,-6.857,1,0.0558,0.0031,0.649,0.358,0.0374,140.006
Close To You (Audiotricz Remix),6TqKy9halHx61AFUlwiDDZ,Maddix,Close To You (Audiotricz Remix),0.527,0.906,7,-4.898,0,0.07,0.000246,0.000277,0.14,0.0435,149.94
Traffic (ASOT 1159) - Maddix Remix,3dkagydLRrdcc2750u6wzs,Maddix,ASOT 1159 - A State of Trance Episode 1159 [Including Live at Ultra Beijing 2018 (Highlights)],0.626,0.94,8,-7.667,0,0.13,0.00867,0.92,0.235,0.229,135.943
Hypnotizing - Radio Edit,1HDF0PdfGRJyqrdj26TGWi,Maddix,Hypnotizing,0.646,0.878,7,-8.644,1,0.0417,0.215,0.841,0.289,0.0941,137.987
People Are Strange,0zEgrnkY20zz59YgcwUKTs,Maddix,DREAMCHILD,0.351,0.838,2,-5.444,1,0.0861,0.0179,0.0,0.299,0.198,126.474
Computers Take Over The World (Mixed) - Maddix Remix,7ehQnMbDlIS5DAaxdkEuBN,Maddix,A State of Trance 2023 - Mix 3: Who's Afraid of 138?! (Mixed by Armin van Buuren),0.567,0.915,6,-9.317,1,0.0571,0.00698,0.682,0.322,0.059,137.985
